Opportunity.Owner.UniqueUserName,Account.Owner.Role.RolePath,Account.Owner.UniqueUserName,Opportunity.IsWon,Quote.SBQQ__Status__c,Account.ShippingLongitude,Account.BillingLatitude,TimePerStatus,Quote.SBQQ__PartnerDiscount__c,Quote.SBQQ__RegularAmount__c,Account Name,Account.BillingCity,Account.BillingCountry,Account.BillingGeocodeAccuracy,Account.BillingLongitude,Account.BillingPostalCode,Account.BillingState,Account.BillingStreet,Account.Id,Account.Owner.Name,Account.Owner.Role.Name,Account.Owner.Role.ParentRoleId,Account.Owner.Role.Roles,Account.PhotoUrl,Account.SBQQ__AssetQuantitiesCombined__c,Account.SBQQ__ContractCoTermination__c,Account.SBQQ__CoTermedContractsCombined__c,Account.SBQQ__CoTerminationEvent__c,Account.SBQQ__IgnoreParentContractedPrices__c,Account.SBQQ__PreserveBundle__c,Account.SBQQ__PriceHoldEnd__c,Account.SBQQ__PriceHoldEnd__c (Day),Account.SBQQ__PriceHoldEnd__c (Epoch days),Account.SBQQ__PriceHoldEnd__c (Epoch seconds),Account.SBQQ__PriceHoldEnd__c (Hour),Account.SBQQ__PriceHoldEnd__c (Minute),Account.SBQQ__PriceHoldEnd__c (Month),Account.SBQQ__PriceHoldEnd__c (Quarter),Account.SBQQ__PriceHoldEnd__c (Second),Account.SBQQ__PriceHoldEnd__c (Week),Account.SBQQ__PriceHoldEnd__c (Year),Account.SBQQ__RenewalModel__c,Account.SBQQ__RenewalPricingMethod__c,Account.ShippingCity,Account.ShippingCountry,Account.ShippingGeocodeAccuracy,Account.ShippingLatitude,Account.ShippingPostalCode,Account.ShippingState,Account.ShippingStreet,Approvals.Approver.UniqueUserName,Approvals.SubmittedBy.UniqueUserName,Created By ID,Field,Is Primary Quote?,IsDeleted,NewValue,OldValue,Opportunity Name,Opportunity owner,Opportunity.AccountId,Opportunity.Amount,Opportunity.ForecastCategory,Opportunity.ForecastCategoryName,Opportunity.HasOpenActivity,Opportunity.HasOverdueTask,Opportunity.Id,Opportunity.IsClosed,Opportunity.Owner.Name,Opportunity.Owner.Role.Name,Opportunity.Owner.Role.ParentRoleId,Opportunity.Owner.Role.RolePath,Opportunity.Owner.Role.Roles,Opportunity.Probability,Opportunity.SBQQ__Contracted__c,Opportunity.SBQQ__CreateContractedPrices__c,Opportunity.SBQQ__Ordered__c,Opportunity.SBQQ__QuotePricebookId__c,Opportunity.SBQQ__Renewal__c,Opportunity.StageName,Owner.FullPhotoUrl,Owner.Name,Owner.Role.DeveloperName,Owner.Role.Hierarchy_RoleNames,Owner.Role.Name,Owner.Role.ParentRole.DeveloperName,Owner.Role.ParentRole.Name,Owner.Role.ParentRoleId,Owner.Role.RoleNames,Owner.Role.RoleNamesPath,Owner.Role.RolePath,Owner.Role.Roles,Owner.SmallPhotoUrl,Owner.Username,Owner.UserRoleId,ParentId,Quote Name,Quote.Id,Quote.IsDeleted,Quote.SBQQ__AdditionalDiscountAmount__c,Quote.SBQQ__AverageCustomerDiscount__c,Quote.SBQQ__AveragePartnerDiscount__c,Quote.SBQQ__BillingCity__c,Quote.SBQQ__BillingCountry__c,Quote.SBQQ__BillingFrequency__c,Quote.SBQQ__BillingName__c,Quote.SBQQ__BillingPostalCode__c,Quote.SBQQ__BillingState__c,Quote.SBQQ__BillingStreet__c,Quote.SBQQ__ContractingMethod__c,Quote.SBQQ__CustomerAmount__c,Quote.SBQQ__CustomerDiscount__c,Quote.SBQQ__DaysQuoteOpen__c,Quote.SBQQ__DeliveryMethod__c,Quote.SBQQ__DistributorDiscount__c,Quote.SBQQ__DocumentStatus__c,Quote.SBQQ__EmailTemplateId__c,Quote.SBQQ__GenerateContractedPrice__c,Quote.SBQQ__Introduction__c,Quote.SBQQ__Key__c,Quote.SBQQ__LineItemCount__c,Quote.SBQQ__LineItemsGrouped__c,Quote.SBQQ__LineItemsPrinted__c,Quote.SBQQ__ListAmount__c,Quote.SBQQ__MarkupRate__c,Quote.SBQQ__NetAmount__c,Quote.SBQQ__Notes__c,Quote.SBQQ__Opportunity2__c,Quote.SBQQ__Ordered__c,Quote.SBQQ__PaymentTerms__c,Quote.SBQQ__PricebookId__c,Quote.SBQQ__QuoteProcessId__c,Quote.SBQQ__QuoteTemplateId__c,Quote.SBQQ__SalesRep__c,Quote.SBQQ__ShippingCity__c,Quote.SBQQ__ShippingCountry__c,Quote.SBQQ__ShippingName__c,Quote.SBQQ__ShippingPostalCode__c,Quote.SBQQ__ShippingState__c,Quote.SBQQ__ShippingStreet__c,Quote.SBQQ__SubscriptionTerm__c,Quote.SBQQ__TargetCustomerAmount__c,Quote.SBQQ__TotalCustomerDiscountAmount__c,Quote.SBQQ__Type__c,Quote.SBQQ__WatermarkShown__c,Record ID,StatusPreviousValue,StatusValue,Account.CreatedDate,Account.LastActivityDate,Account.LastModifiedDate,Account.LastReferencedDate,Account.LastViewedDate,CreatedDate,NextCreatedDate,Opportunity.CloseDate,Opportunity.CreatedDate,Opportunity.LastActivityDate,Opportunity.LastModifiedDate,Opportunity.LastReferencedDate,Opportunity.LastViewedDate,Quote.CreatedDate,Quote.LastActivityDate,Quote.LastModifiedDate,Quote.LastReferencedDate,Quote.LastViewedDate,Quote.SBQQ__EndDate__c,Quote.SBQQ__ExpirationDate__c,Quote.SBQQ__FirstSegmentTermEndDate__c,Quote.SBQQ__StartDate__c
Andrew Van Alstine,,Andrew Van Alstine,true,In Review,0.000000000000000,0.000000000000000,41 Days,0.00,727620.00,Lakeview Boating Supplies,Chicago,USA,,0.000000000000000,60613,IL,3711 N Pine Grove Apt2-3s,001B000000nQA0XIAW,Andrew Van Alstine,,,,,false,Never,false,,false,true,,,0,0,,,,,,,,Contract Based,Same,Chicago,USA,,0.000000000000000,60613,IL,3711 N Pine Grove Apt2-3s,,,005B0000004ofP3IAI,SBQQ__Status__c,true,false,In Review,Draft,August Sale,Andrew Van Alstine,001B000000nQA0XIAW,646976.15,Closed,Closed,false,false,006B0000004P6LWIA0,true,Andrew Van Alstine,,,,,100,true,false,false,01sB0000001KrsAIAS,false,Closed Won,https://analyticstemplates-demo--c.documentforce.com/profilephoto/005/F,Andrew Van Alstine,,,,,,,,,,,https://analyticstemplates-demo--c.documentforce.com/profilephoto/005/T,stine1536693294167@demo.user,000000000000000AAA,a2dB0000000B7WJIA0,Q-00749,a2dB0000000B7WJIA0,false,80643.85,11.1,0.0,Chicago,USA,,Lakeview Boating Supplies,60613,IL,3711 N Pine Grove Apt2-3s,By Subscription End Date,646976.15,0.00,20,,0.00,,,,"Greetings Frank Stevens,


Enclosed is the proposal I promised you.

I also want to take this opportunity to thank you for all your help. Designing a suitable solution required that I become familiar with your products and your industry. As a result, your",,19,false,true,727620.15,0.00,646976.15,,006B0000004P6LWIA0,false,Net 90,01sB0000001KrsAIAS,a2aB00000009J0TIAU,,005B0000004ixxzIAA,Chicago,USA,Lakeview Boating Supplies,60613,IL,3711 N Pine Grove Apt2-3s,12,0.00,80644.00,Quote,true,a91B00000008OREIA2,Draft,In Review,2017-12-08T01:04:35.000Z,,2018-09-11T19:15:38.000Z,,,2018-08-20T20:49:26.000Z,,2018-10-01,2018-08-20T20:02:16.000Z,,2018-09-24T16:37:27.000Z,,,2018-09-11T15:44:27.000Z,,2018-09-23T22:03:32.000Z,,,,2018-08-27,,2018-08-01
TJ Boskelly,,TJ Boskelly,true,Approved,0.000000000000000,0.000000000000000,-214 Days,0.00,431801.20,Shelby Company Ltd.,Chicago,USA,,0.000000000000000,60654,IL,111 W Illinois St,001B000000nQA0vIAG,TJ Boskelly,,,,,true,Always,true,Add-on,false,true,,,0,0,,,,,,,,Contract Based,Uplift,Chicago,USA,,0.000000000000000,60654,IL,111 W Illinois St,,,005B0000004ofP3IAI,SBQQ__Status__c,true,false,Approved,Draft,Q3 Business - New Sale,TJ Boskelly,001B000000nQA0vIAG,400000.00,Closed,Closed,false,false,006B0000004P6MrIAK,true,TJ Boskelly,,,,,100,true,false,false,01sB0000001KrsAIAS,false,Closed Won,https://analyticstemplates-demo--c.documentforce.com/profilephoto/005/F,TJ Boskelly,,,,,,,,,,,https://analyticstemplates-demo--c.documentforce.com/profilephoto/005/T,kelly1536693294191@demo.user,000000000000000AAA,a2dB0000000B7UuIAK,Q-00662,a2dB0000000B7UuIAK,false,31801.20,9.9,0.0,Chicago,USA,,Shelby Company Ltd.,60654,IL,111 W Illinois St,By Subscription End Date,400000.00,0.00,20,,0.00,,,,"Greetings Thomas Shelby,


Enclosed is the proposal I promised you.

I also want to take this opportunity to thank you for all your help. Designing a suitable solution required that I become familiar with your products and your industry. As a result, your",,7,false,true,443800.15,0.00,400000.00,,006B0000004P6MrIAK,false,Net 30,01sB0000001KrsAIAS,a2aB00000009J0TIAU,,005B0000004ixyMIAQ,Chicago,USA,Shelby Company Ltd.,60654,IL,111 W Illinois St,12,400000.00,43800.15,Quote,false,a91B00000008ORFIA2,Draft,Approved,2017-12-08T01:09:20.000Z,,2018-09-11T19:15:38.000Z,,,2018-08-17T23:57:51.000Z,,2018-01-16,2018-08-17T23:54:21.000Z,,2018-09-24T16:37:34.000Z,,,2018-09-11T15:44:27.000Z,,2018-09-23T22:03:30.000Z,,,,2018-08-24,,2018-09-01
Don Stricklin,,Don Stricklin,true,Accepted,0.000000000000000,0.000000000000000,-170 Days,0.00,1878103.60,DonCo,Alpharetta,United States,,0.000000000000000,30005,GA,5490 McGinnis Ferry Road,001B000000nQ9xvIAC,Don Stricklin,,,,,true,Always,true,Add-on,false,true,,,0,0,,,,,,,,Contract Based,Same,Suwanee,United States,,0.000000000000000,30024,GA,810 Rockbass Road,,,005B0000004ofP3IAI,SBQQ__Status__c,true,false,Accepted,Draft,Protection,Don Stricklin,001B000000nQ9xvIAC,1800000.00,Closed,Closed,false,false,006B0000004P6MzIAK,true,Don Stricklin,,,,,100,true,false,false,01sB0000001KrsAIAS,false,Closed Won,https://analyticstemplates-demo--c.documentforce.com/profilephoto/005/F,Don Stricklin,,,,,,,,,,,https://analyticstemplates-demo--c.documentforce.com/profilephoto/005/T,dstri1536693294203@demo.user,000000000000000AAA,a2dB0000000B7VPIA0,Q-00693,a2dB0000000B7VPIA0,false,78103.60,6.0,0.0,Alpharetta,United States,,DonCo,30005,GA,5490 McGinnis Ferry Road,By Subscription End Date,1800000.00,0.00,0,,0.00,,,,"Greetings Don Stricklin,


Enclosed is the proposal I promised you. Thanks!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!

I also want to take this opportunity to thank you for all your help. Designing a suitable solution required that I become familiar wi",,23,false,true,1914100.15,0.00,1800000.00,,006B0000004P6MzIAK,false,Net 30,01sB0000001KrsAIAS,a2aB00000009J0TIAU,,005B0000004ixyVIAQ,Suwanee,United States,DonCo,30024,GA,810 Rockbass Road,12,1800000.00,114100.15,Quote,false,a91B00000008ORGIA2,Draft,Accepted,2018-08-14T22:23:50.000Z,,2018-09-11T19:15:37.000Z,,,2018-08-17T22:57:47.000Z,,2018-03-01,2018-08-17T22:08:13.000Z,,2018-09-24T16:37:34.000Z,,,2018-09-11T15:44:27.000Z,,2018-09-23T22:03:30.000Z,,,,2018-08-24,,2018-09-01
Brian Falkner,,Brian Falkner,true,In Review,0.000000000000000,0.000000000000000,-120 Days,0.00,1343361.20,Cambridge Data,Charlotte,US,,0.000000000000000,28217,NC,5200 77 Center Dr,001B000000nQ9xcIAC,Brian Falkner,,,,,true,Always,true,Add-on,false,true,,,0,0,,,,,,,,Contract Based,Same,Charlotte,US,,0.000000000000000,28217,NC,5200 77 Center Dr,,,005B0000004ofP3IAI,SBQQ__Status__c,true,false,In Review,Draft,Sato,Brian Falkner,001B000000nQ9xcIAC,975620.90,Closed,Closed,false,false,006B0000004P6MvIAK,true,Brian Falkner,,,,,100,true,false,false,01sB0000001KrsAIAS,false,Closed Won,https://analyticstemplates-demo--c.documentforce.com/profilephoto/005/F,Brian Falkner,,,,,,,,,,,https://analyticstemplates-demo--c.documentforce.com/profilephoto/005/T,brian1536693294132@demo.user,000000000000000AAA,a2dB0000000B7UtIAK,Q-00661,a2dB0000000B7UtIAK,false,367740.30,37.8,0.0,Charlotte,US,,Cambridge Data,28217,NC,5200 77 Center Dr,By Subscription End Date,975620.90,0.00,20,,0.00,,,,"Greetings Cambridge Data ,


Enclosed is the proposal I promised you.

I also want to take this opportunity to thank you for all your help. Designing a suitable solution required that I become familiar with your products and your industry. As a result, yo",,7,false,true,1569200.00,0.00,975620.90,,006B0000004P6MvIAK,false,Net 60,01sB0000001KrsAIAS,a2aB00000009J0TIAU,,005B0000004ixxUIAQ,Charlotte,US,Cambridge Data,28217,NC,5200 77 Center Dr,12,0.00,593579.10,Quote,true,a91B00000008ORHIA2,Draft,In Review,2018-04-18T21:26:57.000Z,,2018-09-11T19:15:37.000Z,,,2018-08-17T23:43:01.000Z,,2018-04-20,2018-08-17T23:23:58.000Z,,2018-09-24T16:37:34.000Z,,,2018-09-11T15:44:27.000Z,,2018-09-23T22:03:30.000Z,,,,2018-08-24,,2018-09-01
Tom @Atomic,,Tom @Atomic,true,In Review,0.000000000000000,0.000000000000000,-215 Days,0.00,5323443.60,The North Face Company,Birmingham,United Kingdom,,0.000000000000000,B321HB,,33 Beverley Hills Boulevard,001B000000nQA0EIAW,Tom @Atomic,,,,,false,Prompt,false,Add-on,false,true,,,0,0,,,,,,,,Contract Based,Same,London,United Kingdom,,0.000000000000000,,,101 Oxford Street,,,005B0000004ofP3IAI,SBQQ__Status__c,true,false,In Review,Draft,Distilled,Tom @Atomic,001B000000nQA0EIAW,5000525.00,Closed,Closed,false,false,006B0000004P6MMIA0,true,Tom @Atomic,,,,,100,true,false,false,01sB0000001KrsAIAS,false,Closed Won,https://analyticstemplates-demo--c.documentforce.com/profilephoto/005/F,Tom @Atomic,,,,,,,,,,,https://analyticstemplates-demo--c.documentforce.com/profilephoto/005/T,tomdavis1536693294164@demo.user,000000000000000AAA,a2dB0000000B7VMIA0,Q-00690,a2dB0000000B7VMIA0,false,322918.60,40.2,0.0,Birmingham,United Kingdom,,The North Face Company,B321HB,,33 Beverley Hills Boulevard,By Subscription End Date,5000525.00,0.00,20,,0.00,,,,"Greetings Andy McNab,


Enclosed is the proposal I promised you.

I also want to take this opportunity to thank you for all your help. Designing a suitable solution required that I become familiar with your products and your industry. As a result, your he",,14,true,true,8356800.45,0.00,5000525.00,,006B0000004P6MMIA0,false,Net 90,01sB0000001KrsAIAS,a2aB00000009J0TIAU,,005B0000004ixxxIAA,London,United Kingdom,The North Face Company,B321HB,,101 Oxford Street,36,0.00,3356275.45,Quote,true,a91B00000008ORIIA2,Draft,In Review,2017-12-11T21:16:19.000Z,,2018-09-11T19:15:38.000Z,,,2018-08-22T18:12:38.000Z,,2018-01-20,2018-08-22T17:50:40.000Z,,2018-09-24T16:37:27.000Z,,,2018-09-11T15:44:27.000Z,,2018-09-23T22:03:30.000Z,,,,2018-08-29,,2018-09-01
KayLeigh Dent,,KayLeigh Dent,false,Approved,0.000000000000000,0.000000000000000,33 Days,0.00,1461194.74,Irvine Company,Newport Beach,United States,,0.000000000000000,92660,CA,550 Newport Center Drive,001B000000nQA14IAG,KayLeigh Dent,,,,,true,Always,true,Add-on,false,true,,,0,0,,,,,,,,Contract Based,List,Newport Beach,United States,,0.000000000000000,92660,CA,550 Newport Center Drive,KayLeigh Dent,KayLeigh Dent,005B0000004ofP3IAI,SBQQ__Status__c,true,false,In Review,Draft,Solution Opportunity,KayLeigh Dent,001B000000nQA14IAG,1461194.74,Pipeline,Pipeline,false,false,006B0000004P6LoIAK,false,KayLeigh Dent,,,,,75,true,false,true,01sB0000001KrsAIAS,false,Proposal/Price Quote,https://analyticstemplates-demo--c.documentforce.com/profilephoto/005/F,KayLeigh Dent,,,,,,,,,,,https://analyticstemplates-demo--c.documentforce.com/profilephoto/005/T,kdent1536693294176@demo.user,000000000000000AAA,a2dB0000000B7UwIAK,Q-00664,a2dB0000000B7UwIAK,false,0.00,9.3,0.0,Newport Beach,United States,,Irvine Company,92660,CA,550 Newport Center Drive,By Subscription End Date,1461194.74,0.00,20,,0.00,,,,"Greetings Irvine Company ,


Enclosed is the proposal I promised you.

I also want to take this opportunity to thank you for all your help. Designing a suitable solution required that I become familiar with your products and your industry. As a result, yo",,11,false,true,1610995.60,0.00,1461194.74,,006B0000004P6LoIAK,false,Net 30,01sB0000001KrsAIAS,a2aB00000009J0TIAU,,005B0000004ixyBIAQ,Newport Beach,United States,Irvine Company,92660,CA,550 Newport Center Drive,24,0.00,149800.86,Quote,true,a91B00000008ORJIA2,Draft,In Review,2017-11-29T07:54:46.000Z,,2018-09-11T19:15:38.000Z,,,2018-09-01T04:51:59.000Z,,2018-07-13,2018-08-30T05:43:11.000Z,,2018-09-24T16:37:27.000Z,,,2018-09-11T15:44:27.000Z,,2018-09-23T22:03:30.000Z,,,,2018-09-06,,2018-09-01
KayLeigh Dent,,KayLeigh Dent,false,Approved,0.000000000000000,0.000000000000000,0 Days,0.00,1461194.74,Irvine Company,Newport Beach,United States,,0.000000000000000,92660,CA,550 Newport Center Drive,001B000000nQA14IAG,KayLeigh Dent,,,,,true,Always,true,Add-on,false,true,,,0,0,,,,,,,,Contract Based,List,Newport Beach,United States,,0.000000000000000,92660,CA,550 Newport Center Drive,KayLeigh Dent,KayLeigh Dent,005B0000004ofP3IAI,SBQQ__Status__c,true,false,Approved,In Review,Solution Opportunity,KayLeigh Dent,001B000000nQA14IAG,1461194.74,Pipeline,Pipeline,false,false,006B0000004P6LoIAK,false,KayLeigh Dent,,,,,75,true,false,true,01sB0000001KrsAIAS,false,Proposal/Price Quote,https://analyticstemplates-demo--c.documentforce.com/profilephoto/005/F,KayLeigh Dent,,,,,,,,,,,https://analyticstemplates-demo--c.documentforce.com/profilephoto/005/T,kdent1536693294176@demo.user,000000000000000AAA,a2dB0000000B7UwIAK,Q-00664,a2dB0000000B7UwIAK,false,0.00,9.3,0.0,Newport Beach,United States,,Irvine Company,92660,CA,550 Newport Center Drive,By Subscription End Date,1461194.74,0.00,20,,0.00,,,,"Greetings Irvine Company ,


Enclosed is the proposal I promised you.

I also want to take this opportunity to thank you for all your help. Designing a suitable solution required that I become familiar with your products and your industry. As a result, yo",,11,false,true,1610995.60,0.00,1461194.74,,006B0000004P6LoIAK,false,Net 30,01sB0000001KrsAIAS,a2aB00000009J0TIAU,,005B0000004ixyBIAQ,Newport Beach,United States,Irvine Company,92660,CA,550 Newport Center Drive,24,0.00,149800.86,Quote,true,a91B00000008ORKIA2,In Review,Approved,2017-11-29T07:54:46.000Z,,2018-09-11T19:15:38.000Z,,,2018-09-01T04:51:59.000Z,2018-09-01T04:51:59.000Z,2018-07-13,2018-08-30T05:43:11.000Z,,2018-09-24T16:37:27.000Z,,,2018-09-11T15:44:27.000Z,,2018-09-23T22:03:30.000Z,,,,2018-09-06,,2018-09-01
KayLeigh Dent,,KayLeigh Dent,false,In Review,0.000000000000000,0.000000000000000,29 Days,0.00,236144.96,Irvine Company,Newport Beach,United States,,0.000000000000000,92660,CA,550 Newport Center Drive,001B000000nQA14IAG,KayLeigh Dent,,,,,true,Always,true,Add-on,false,true,,,0,0,,,,,,,,Contract Based,List,Newport Beach,United States,,0.000000000000000,92660,CA,550 Newport Center Drive,,,005B0000004ofP3IAI,SBQQ__Status__c,true,false,In Review,Draft,85 Licenses with Maintenance,KayLeigh Dent,001B000000nQA14IAG,132463.28,Pipeline,Pipeline,false,false,006B0000004P6KXIA0,false,KayLeigh Dent,,,,,60,false,false,false,01sB0000001KrsAIAS,false,Id. Decision Makers,https://analyticstemplates-demo--c.documentforce.com/profilephoto/005/F,KayLeigh Dent,,,,,,,,,,,https://analyticstemplates-demo--c.documentforce.com/profilephoto/005/T,kdent1536693294176@demo.user,000000000000000AAA,a2dB0000000B7USIA0,Q-00634,a2dB0000000B7USIA0,false,103681.68,65.1,0.0,Newport Beach,United States,,Irvine Company,92660,CA,550 Newport Center Drive,By Subscription End Date,132463.28,46.00,20,,0.00,,,,"Greetings Karen Decker,


Enclosed is the proposal I promised you.

I also want to take this opportunity to thank you for all your help. Designing a suitable solution required that I become familiar with your products and your industry. As a result, your ",,5,false,true,379702.20,0.00,132463.28,,006B0000004P6KXIA0,false,Net 30,01sB0000001KrsAIAS,a2aB00000009J0TIAU,,005B0000004ixyBIAQ,Newport Beach,United States,Irvine Company,92660,CA,550 Newport Center Drive,12,0.00,247238.92,Quote,true,a91B00000008ORLIA2,Draft,In Review,2017-11-29T07:54:46.000Z,,2018-09-11T19:15:38.000Z,,,2018-09-05T04:00:32.000Z,,2018-07-28,2018-09-05T03:58:54.000Z,,2018-09-24T16:37:27.000Z,,,2018-09-11T15:44:27.000Z,,2018-09-23T22:03:30.000Z,,,2020-08-31,2018-09-11,,2018-10-01
Stuart O'Brien,,Stuart O'Brien,true,Approved,0.000000000000000,0.000000000000000,-132 Days,0.00,146439.58,East Leagues Club,Sydney,Australia,,0.000000000000000,2000,NSW,200 George Street,001B000000nQA0eIAG,Stuart O'Brien,,,,,true,Prompt,true,Add-on,false,true,,,0,0,,,,,,,,Contract Based,Same,Melbourne,Australia,,0.000000000000000,3000,VIC,1 Flinders Street,,,005B0000004ofP3IAI,SBQQ__Status__c,true,false,Approved,Draft,New Business,Stuart O'Brien,001B000000nQA0eIAG,140000.00,Closed,Closed,false,false,006B0000004P6KqIAK,true,Stuart O'Brien,,,,,100,true,false,false,01sB0000001KrsAIAS,false,Closed Won,https://analyticstemplates-demo--c.documentforce.com/profilephoto/005/F,Stuart O'Brien,,,,,,,,,,,https://analyticstemplates-demo--c.documentforce.com/profilephoto/005/T,so'br1536693294202@demo.user,000000000000000AAA,a2dB0000000B7V5IAK,Q-00673,a2dB0000000B7V5IAK,false,6439.58,5.0,0.0,Sydney,Australia,,East Leagues Club,2000,NSW,200 George Street,By Subscription End Date,140000.00,0.00,20,,0.00,,,,"Greetings Terry Stack,


Enclosed is the proposal I promised you.

I also want to take this opportunity to thank you for all your help. Designing a suitable solution required that I become familiar with your products and your industry. As a result, your h",,14,false,true,147327.80,0.00,140000.00,,006B0000004P6KqIAK,false,Net 30,01sB0000001KrsAIAS,a2aB00000009J0TIAU,,005B0000004ixyUIAQ,Melbourne,Australia,East Leagues Club,3000,VIC,1 Flinders Street,12,140000.00,7327.80,Quote,false,a91B00000008ORMIA2,Draft,Approved,2018-04-06T03:49:05.000Z,,2018-09-11T19:15:38.000Z,,,2018-09-05T06:58:35.000Z,,2018-04-26,2018-09-05T05:55:05.000Z,,2018-09-24T16:37:27.000Z,,,2018-09-11T15:44:27.000Z,,2018-09-23T22:03:30.000Z,,,,2018-09-12,,2018-10-01
Chris Robison,,Chris Robison,true,In Review,0.000000000000000,0.000000000000000,272 Days,0.00,437788.00,Lightning Consultants,Raleigh,United States,,0.000000000000000,27614,NC,10600 Hanarry Court,001B000000nQA13IAG,Chris Robison,,,,,true,Always,true,Add-on,false,true,,,0,0,,,,,,,,Contract Based,Uplift,Raleigh,United States,,0.000000000000000,27614,NC,10600 Hanarry Court,,,005B0000004ofP3IAI,SBQQ__Status__c,true,false,In Review,Draft,First Purchase,Chris Robison,001B000000nQA13IAG,431848.00,Closed,Closed,false,false,006B0000004P6LFIA0,true,Chris Robison,,,,,100,true,false,false,01sB0000001KrsAIAS,false,Closed Won,https://analyticstemplates-demo--c.documentforce.com/profilephoto/005/F,Chris Robison,,,,,,,,,,,https://analyticstemplates-demo--c.documentforce.com/profilephoto/005/T,bison1536693294173@demo.user,000000000000000AAA,a2dB0000000B7WtIAK,Q-00785,a2dB0000000B7WtIAK,false,5940.00,1.4,0.0,Raleigh,United States,,Lightning Consultants,27614,NC,10600 Hanarry Court,By Subscription End Date,431848.00,0.00,20,,0.00,,,,"Greetings Larry Lightning,


Enclosed is the proposal I promised you.

I also want to take this opportunity to thank you for all your help. Designing a suitable solution required that I become familiar with your products and your industry. As a result, yo",,18,false,true,437788.15,0.00,431848.00,,006B0000004P6LFIA0,false,Net 30,01sB0000001KrsAIAS,,,005B0000004ixy9IAA,Raleigh,United States,Lightning Consultants,27614,NC,10600 Hanarry Court,12,0.00,5940.15,Quote,true,a91B00000008ORNIA2,Draft,In Review,2017-12-19T02:48:08.000Z,,2018-09-11T19:15:38.000Z,,,2017-12-19T03:33:00.000Z,,2018-09-17,2017-12-19T02:52:40.000Z,,2018-09-24T16:37:27.000Z,,,2018-09-11T15:44:29.000Z,,2018-09-23T22:03:30.000Z,,,,2017-12-25,,2018-01-01
