External_Id__c,Name,Owner.External_Id__c,NumberOfEmployees,AnnualRevenue,AccountSource,Type,Industry,BillingStreet,BillingCity,BillingState,BillingCountry,YearStarted,Ownership,Rating,CreatedDate__c,analyticsdemo_batch_id__c
W_Account.2,Resourcesoft,W_Sales_User.1,226,7271000,Social Media,Corporate,Entertainment,64274 Evans Lane,East Scott,HI,USA,1989,Private,Hot,2018-09-02T00:00:00Z,2019102290000005573
W_Account.3,Cipient Networks Inc,W_Sales_User.3,84,6969000,Community,Corporate,Utilities,5546 Rubio Cliff,East Tonya,AK,USA,1923,Private,Warm,2018-08-13T00:00:00Z,2019102290000005573
W_Account.5,Alvion Technologies,W_Sales_User.10,197,9179000,Partner,Corporate,Financial Services,2970 Aaron Viaduct,Lake Katherine,NE,USA,1955,Private,Hot,2017-10-24T00:00:00Z,2019102290000005573
W_Account.7,Lone Star Circuits,W_Sales_User.1,98,9190000,Marketing Event,Corporate,Healthcare & Life Sciences,50931 Gill Garden,Lake Thomas,CA,USA,1981,Subsidiary,Hot,2018-11-30T00:00:00Z,2019102290000005573
W_Account.11,e  bots Consulting Services,W_Sales_User.3,184,2499000,Data.com,Corporate,Recreation,6248 Meagan Port,Oneillshire,HI,USA,1951,Private,Cool,2019-01-26T00:00:00Z,2019102290000005573
W_Account.13,Foreshock,W_Sales_User.8,235,5284000,Website,Corporate,Electronics,006 Wendy Trafficway,Port Janiceburgh,NE,USA,1976,Subsidiary,Cool,2018-12-29T00:00:00Z,2019102290000005573
W_Account.17,Cenquest,W_Sales_User.11,138,9910000,Partner,Corporate,Retail,0434 Kayla Loop,North Michael,OH,USA,1931,Private,Hot,2019-08-10T00:00:00Z,2019102290000005573
W_Account.20,Aries Inc,W_Sales_User.3,204,2169000,Website,Corporate,Hospitality,2826 Santos Knoll,Chelsealand,AZ,USA,1911,Other,Cool,2019-06-11T00:00:00Z,2019102290000005573
W_Account.21,SmartPartner.com,W_Sales_User.9,207,2444000,Cold Call,Corporate,Machinery,2481 Joel Park,Port Tammymouth,IL,USA,2001,Private,Warm,2017-11-05T00:00:00Z,2019102290000005573
W_Account.22,Coviant,W_Sales_User.8,84,5931000,Cold Call,Corporate,Chemicals,5851 Caitlyn Underpass,Henrychester,IA,USA,1907,Private,Cool,2019-04-15T00:00:00Z,2019102290000005573
