External_Id__c,LeadSource,Amount,Account.External_Id__c,Owner.External_Id__c,Name,Type,StageName,ForecastCategoryName,CloseDate,CreatedDateTime__c,LastActivityDate__c,LastModifiedDate__c,analyticsdemo_batch_id__c
W_Opportunity.43,Fields Sales,39373,W_Account.2,W_Sales_User.1,Resourcesoft 8,Existing Business,Closed Won,Closed,2019-02-17,2018-09-02T00:00:00Z,2018-11-15,2018-11-15T00:00:00Z,2019102290000005573
W_Opportunity.53,Reseller,0,W_Account.2,W_Sales_User.3,Resourcesoft 11,New Business,Proposal/Quote,Best Case,2019-11-29,2019-07-29T00:00:00Z,2019-10-17,2019-10-17T00:00:00Z,2019102290000005573
W_Opportunity.63,Reseller,77507,W_Account.3,W_Sales_User.3,Cipient Networks Inc 16,New Business,Closed Lost,Omitted,2018-09-08,2018-08-13T00:00:00Z,2018-08-27,2018-08-27T00:00:00Z,2019102290000005573
W_Opportunity.123,Fields Sales,90000,W_Account.5,W_Sales_User.10,Alvion Technologies 32,Existing Business,Closed Won,Closed,2018-03-03,2017-10-24T00:00:00Z,2017-10-25,2017-10-25T00:00:00Z,2019102290000005573
W_Opportunity.194,Reseller,46504,W_Account.7,W_Sales_User.1,Lone Star Circuits 47,New Business,Closed Lost,Omitted,2019-03-06,2018-11-30T00:00:00Z,2019-01-25,2019-01-25T00:00:00Z,2019102290000005573
W_Opportunity.310,Other,100000,W_Account.11,W_Sales_User.3,e  bots Consulting Services 69,New Business,Closed Lost,Omitted,2019-05-31,2019-01-26T00:00:00Z,2019-05-21,2019-05-21T00:00:00Z,2019102290000005573
W_Opportunity.364,Reseller,145000,W_Account.13,W_Sales_User.8,Foreshock 86,Existing Business,Closed Won,Closed,2019-02-08,2018-12-29T00:00:00Z,2019-01-24,2019-01-24T00:00:00Z,2019102290000005573
W_Opportunity.512,Reseller,51000,W_Account.17,W_Sales_User.11,Cenquest 120,New Business,Closed Lost,Omitted,2019-09-05,2019-08-10T00:00:00Z,2019-09-02,2019-09-02T00:00:00Z,2019102290000005573
W_Opportunity.575,Fields Sales,135000,W_Account.20,W_Sales_User.3,Aries Inc 140,New Business,Negotiation,Best Case,2019-11-30,2019-06-11T00:00:00Z,2019-07-12,2019-07-12T00:00:00Z,2019102290000005573
W_Opportunity.614,Fields Sales,42857,W_Account.21,W_Sales_User.9,SmartPartner.com 148,Add-On Business,Closed Lost,Omitted,2018-02-26,2017-11-05T00:00:00Z,2018-02-03,2018-02-03T00:00:00Z,2019102290000005573
W_Opportunity.627,Reseller,15116,W_Account.21,W_Sales_User.1,SmartPartner.com 154,New Business,Closed Lost,Omitted,2019-03-20,2019-03-17T00:00:00Z,2019-03-17,2019-03-17T00:00:00Z,2019102290000005573
W_Opportunity.642,Reseller,10000,W_Account.22,W_Sales_User.8,Coviant 161,Add-On Business,Closed Lost,Omitted,2019-04-22,2019-04-15T00:00:00Z,2019-04-18,2019-04-18T00:00:00Z,2019102290000005573
W_Opportunity.718,Fields Sales,65789,W_Account.25,W_Sales_User.6,Associated Grocers 179,New Business,Closed Lost,Omitted,2019-09-09,2019-04-10T00:00:00Z,2019-06-03,2019-06-03T00:00:00Z,2019102290000005573
W_Opportunity.732,Reseller,7250,W_Account.27,W_Sales_User.6,Disney Institute 184,Existing Business,Closed Won,Closed,2019-08-10,2019-06-25T00:00:00Z,2019-07-08,2019-07-08T00:00:00Z,2019102290000005573
W_Opportunity.786,Fields Sales,15000,W_Account.29,W_Sales_User.8,CORT Business Services 198,New Business,Closed Lost,Omitted,2019-10-12,2019-04-15T00:00:00Z,2019-08-12,2019-08-12T00:00:00Z,2019102290000005573
W_Opportunity.906,Reseller,77507,W_Account.35,W_Sales_User.2,Metapa 233,Existing Business,Closed Lost,Omitted,2018-10-24,2018-05-14T00:00:00Z,2018-05-27,2018-05-27T00:00:00Z,2019102290000005573
W_Opportunity.932,Reseller,116279,W_Account.36,W_Sales_User.4,Emulex Corp. / Bothell Facility Corp. 240,Add-On Business,Closed Lost,Omitted,2018-03-02,2018-02-03T00:00:00Z,2018-02-04,2018-02-04T00:00:00Z,2019102290000005573
W_Opportunity.943,Reseller,334831,W_Account.37,W_Sales_User.3,Global Infotech Corporation 246,Existing Business,Closed Won,Closed,2019-08-04,2019-06-19T00:00:00Z,2019-07-10,2019-07-10T00:00:00Z,2019102290000005573
W_Opportunity.1010,Reseller,40003,W_Account.41,W_Sales_User.6,TTI Asia 14,Existing Business,Proposal/Quote,Best Case,2019-12-02,2019-06-23T00:00:00Z,2019-07-02,2019-07-02T00:00:00Z,2019102290000005573
W_Opportunity.1037,Reseller,15501,W_Account.44,W_Sales_User.5,Payment Plus 28,New Business,Closed Won,Closed,2018-05-26,2018-04-10T00:00:00Z,2018-04-10,2018-04-10T00:00:00Z,2019102290000005573
W_Opportunity.1054,Reseller,10000,W_Account.45,W_Sales_User.9,Connections for Business 39,New Business,Closed Lost,Omitted,2018-12-01,2018-07-30T00:00:00Z,2018-08-17,2018-08-17T00:00:00Z,2019102290000005573
W_Opportunity.1058,Reseller,10000,W_Account.45,W_Sales_User.9,Connections for Business 43,New Business,Closed Lost,Omitted,2019-02-23,2018-11-17T00:00:00Z,2019-01-22,2019-01-22T00:00:00Z,2019102290000005573
W_Opportunity.1060,Reseller,10000,W_Account.45,W_Sales_User.8,Connections for Business 45,New Business,Closed Lost,Omitted,2018-06-04,2018-01-31T00:00:00Z,2018-04-07,2018-04-07T00:00:00Z,2019102290000005573
W_Opportunity.1082,Reseller,4294,W_Account.45,W_Sales_User.8,Connections for Business 51,Existing Business,Closed Lost,Omitted,2019-07-21,2019-03-30T00:00:00Z,2019-05-16,2019-05-16T00:00:00Z,2019102290000005573
W_Opportunity.1096,Other,12269,W_Account.45,W_Sales_User.10,Connections for Business 58,New Business,Closed Won,Closed,2019-08-12,2019-05-19T00:00:00Z,2019-06-16,2019-06-16T00:00:00Z,2019102290000005573
W_Opportunity.1107,Telesales,24000,W_Account.45,W_Sales_User.3,Connections for Business 65,Existing Business,Negotiation,Commit,2019-11-16,2019-05-28T00:00:00Z,2019-07-28,2019-07-28T00:00:00Z,2019102290000005573
W_Opportunity.1124,Reseller,36144,W_Account.45,W_Sales_User.6,Connections for Business 72,New Business,Negotiation,Commit,2019-11-14,2019-07-23T00:00:00Z,2019-07-29,2019-07-29T00:00:00Z,2019102290000005573
W_Opportunity.1211,Reseller,30674,W_Account.51,W_Sales_User.9,Greenleaf Produce 98,Existing Business,Closed Won,Closed,2019-08-27,2019-01-25T00:00:00Z,2019-06-12,2019-06-12T00:00:00Z,2019102290000005573
W_Opportunity.1236,Fields Sales,240270,W_Account.51,W_Sales_User.5,Greenleaf Produce 106,New Business,Closed Lost,Omitted,2018-12-08,2018-06-17T00:00:00Z,2018-10-13,2018-10-13T00:00:00Z,2019102290000005573
W_Opportunity.1258,Reseller,13323,W_Account.51,W_Sales_User.11,Greenleaf Produce 115,New Business,Closed Won,Closed,2019-02-22,2019-01-12T00:00:00Z,2019-02-03,2019-02-03T00:00:00Z,2019102290000005573
W_Opportunity.1328,Fields Sales,11500,W_Account.54,W_Sales_User.8,Punch Networks Corporation 133,New Business,Negotiation,Commit,2019-10-26,2019-05-07T00:00:00Z,2019-09-02,2019-09-02T00:00:00Z,2019102290000005573
W_Opportunity.1453,Reseller,4000,W_Account.58,W_Sales_User.11,Education Interface 165,Existing Business,Closed Lost,Omitted,2018-06-04,2017-12-08T00:00:00Z,2018-02-23,2018-02-23T00:00:00Z,2019102290000005573
W_Opportunity.1498,Fields Sales,23252,W_Account.60,W_Sales_User.5,North Hills Signal Processing Corp 179,New Business,Closed Won,Closed,2019-05-10,2018-09-06T00:00:00Z,2018-11-02,2018-11-02T00:00:00Z,2019102290000005573
W_Opportunity.1502,Reseller,12263,W_Account.60,W_Sales_User.9,North Hills Signal Processing Corp 180,New Business / Add-on,Closed Won,Closed,2018-11-27,2018-05-29T00:00:00Z,2018-09-06,2018-09-06T00:00:00Z,2019102290000005573
W_Opportunity.1633,Reseller,10640,W_Account.65,W_Sales_User.11,Dimension Data Premier - CO 214,Add-On Business,Closed Won,Closed,2018-08-22,2018-07-07T00:00:00Z,2018-07-10,2018-07-10T00:00:00Z,2019102290000005573
W_Opportunity.1744,Fields Sales,60000,W_Account.67,W_Sales_User.10,Dominion Digital 240,New Business,Closed Lost,Omitted,2018-08-20,2018-03-25T00:00:00Z,2018-06-14,2018-06-14T00:00:00Z,2019102290000005573
