"Case_Id","Account_Id","AccountId","RecordType_Name","ForecastCategory","Case_Priority","IsClosed","CloseDate","Name","CreatedById","OwnerId","Case_IsEscalated","IsWon","RecordTypeId","Account_Name","StageName","RecordTypeName","LastProcessedDate","Case_CaseNumber","LeadSource","Account_Industry","CreatedDate","Id","ForecastCategoryName","Amount","Case_ED_Outcome__c"
"500B000000358spIAA","001B000000WJ6fPIAT","001B000000WJ6fPIAT","Simple Opportunity","Closed","High","true","2020-03-04","Closed Opportunity [2017]","005B0000003Ul7DIAS","005B0000003Ul7DIAS","false","true","012B000000090sjIAA","Fibre Processing Corp","Closed Won","Simple Opportunity","2022-09-09","00013589","N/A","Construction","2017-11-07T16:28:05.000Z","006B0000003mug8IAA","Closed",2400000,51.6
"500B000000358ZZIAY","001B000000WJ6RgIAL","001B000000WJ6RgIAL","Simple Opportunity","Pipeline","Low","false","2022-01-04","New Opportunity [368]","005B0000003JK1iIAG","005B0000003JLI7IAO","false","false","012B000000090sjIAA","ElecCheck","Qualification","Simple Opportunity","2022-09-09","00012400","N/A","Other","2019-06-27T16:57:03.000Z","006B0000003hdtCIAQ","Pipeline",1531000,81.6
"500B00000045wWmIAI","001B000000WJ6RiIAL","001B000000WJ6RiIAL","Simple Opportunity","Pipeline","High","false","2022-05-14","New Opportunity [369]","005B0000003JK1iIAG","005B0000003JLI4IAO","false","false","012B000000090sjIAA","Democracy Data & Communication","Qualification","Simple Opportunity","2022-09-09","00018433","N/A","Agriculture","2019-11-04T21:56:43.000Z","006B0000003hdtDIAQ","Pipeline",1033000,51.6
"500B00000045wWnIAI","001B000000WJ6RjIAL","001B000000WJ6RjIAL","Simple Opportunity","Pipeline","Low","false","2022-04-02","New Opportunity [370]","005B0000003JK1iIAG","005B0000003JLIEIA4","false","false","012B000000090sjIAA","Helix Medical","Qualification","Simple Opportunity","2022-09-09","00018434","N/A","Not For Profit","2019-09-24T00:20:16.000Z","006B0000003hdtEIAQ","Pipeline",1810000,81.6
"500B00000045wWoIAI","001B000000ZU97PIAT","001B000000ZU97PIAT","Simple Opportunity","Omitted","Low","true","2022-02-26","New Opportunity [371]","005B0000003JK1iIAG","005B0000003JLI8IAO","false","false","012B000000090sjIAA","MJM Enterprises","Closed Lost","Simple Opportunity","2022-09-09","00018435","N/A","Utilities","2019-08-19T17:29:15.000Z","006B0000003hdtFIAQ","Omitted",1464000,81.6
"500B00000045wWpIAI","001B000000zmlvXIAQ","001B000000zmlvXIAQ","Simple Opportunity","Omitted","High","true","2022-02-16","New Opportunity [372]","005B0000003JK1iIAG","005B0000003JLIAIA4","false","false","012B000000090sjIAA","lifelogic","Closed Lost","Simple Opportunity","2022-09-09","00018436","N/A","Environmental","2019-08-09T16:42:58.000Z","006B0000003hdtGIAQ","Omitted",1604000,51.6
"500B00000033728IAA","001B000000ZU97QIAT","001B000000ZU97QIAT","Simple Opportunity","Forecast","Medium","false","2022-03-02","New Opportunity [373]","005B0000003JK1iIAG","005B0000003JLIAIA4","false","false","012B000000090sjIAA","Peerless Of America","Negotiation","Simple Opportunity","2022-09-09","00015628","N/A","Manufacturing","2019-08-23T18:44:01.000Z","006B0000003hdtHIAQ","Commit",883000,51.6
"500B00000045wWqIAI","001B000000ZU97RIAT","001B000000ZU97RIAT","Simple Opportunity","Pipeline","High","false","2022-02-23","New Opportunity [374]","005B0000003JK1iIAG","005B0000003JLIGIA4","false","false","012B000000090sjIAA","Velaro","Qualification","Simple Opportunity","2022-09-09","00018437","N/A","Biotechnology","2019-08-16T17:37:45.000Z","006B0000003hdtIIAQ","Pipeline",1861000,81.6
"500B00000045wWrIAI","001B000000ZU97SIAT","001B000000ZU97SIAT","Simple Opportunity","BestCase","High","false","2022-07-21","New Opportunity [375]","005B0000003JK1iIAG","005B0000003JLI4IAO","false","false","012B000000090sjIAA","Get Active SoftwareAcquired","Proposal/Quote","Simple Opportunity","2022-09-09","00018438","N/A","Engineering","2020-01-11T20:15:40.000Z","006B0000003hdtJIAQ","Best Case",501000,81.6
"500B000000358XyIAI","001B000000WJ6RlIAL","001B000000WJ6RlIAL","Simple Opportunity","BestCase","Low","false","2022-04-11","New Opportunity [376]","005B0000003JK1iIAG","005B0000003JLIEIA4","false","false","012B000000090sjIAA","AccountingVoice","Proposal/Quote","Simple Opportunity","2022-09-09","00012301","N/A","Engineering","2019-10-03T00:32:35.000Z","006B0000003hdtKIAQ","Best Case",1553000,81.6
