"Fuel_Type","AccountId","Asset_Category","Asset","AssetExternalId","AccountExternalId","Asset_Type","CountryCode","LastProcessedDate","Date","Business_Region","AssetId","AccountName","Carbon_Inventory","Energy_Usage_kBtu_sq_ft","Electricity_Usage_Previous","Electricity_Usage_kWh_m2","Total_Energy_Consumption_kWh","Electricity_Usage_Current","Scope_3_Emissions","Annual_Energy_Intensity_Variance","Energy_Consumption_Intensity_kWh_m2","Total_Renewable_Energy_kWh","Electricity_Usage_kWh_sq_ft","Fuel_Consumption_Liters","Scope_1_Scope_2_Location_Emissions","Total_Diesel_Consumption","Non_Renewal_Resources","Energy_Emissions","Scope_1_Scope_2_Market_Emissions","Annual_Electricity_Intensity_Variance","Electricity_Cons_Intensity_kWh_m2","Total_Fuel_Oil_Consumption","Energy_Consumption","Data_Center_PUE_current","Total_Natural_Gas_consumption_kWh","Renewal_Resources","Total_Steam_Consumption","Data_Center_PUE_previous","Emissions_from_Stationary_Sources","Total_Building_Area","Energy_Usage_kBtu_m2","High_Outliers","Scope_1_Emissions_tCO2e","Fuel_Consumption_Gallons","Low_Outliers","Total_Allocation_Renewable_Energy"
"Electricity",,"Stationary","*Cirrus Tower","SDO.015",,"Commercial Building","IND","2023-09-18","2020-07-11","Southeast Asia","0phB00000004Mn1IAE",,75,2228,450000,30,135000,250000,67688,3,4.97,57857,323,3139,43566,150000,15000000,1162,21234,7,10.02,12127,8509,66544,36590,29000000,476000,12454,83352,2237000,207,14.8,18608,829,1,40500
"Electricity",,"Vehicle","Los Angeles SMALL TRUCK 12-0024","VDO.024",,"Fleet Vehicle","USA","2023-09-18","2021-03-04","Middle East",,,60,2250,450000,3,120000,250000,76855,30,0.24,25714,32,3139,34345,150000,17000000,1234,22345,9,0.59,10052,5928,45443,61115,35000000,492000,53423,16905,11000,209,13.9,18608,829,1.6,18000
"Refrigerant",,"Vehicle","Los Angeles SMALL TRUCK 12-0024","VDO.024",,"Fleet Vehicle","CAN","2023-09-18","2023-06-14","EMEA",,,95,3326,400000,7,154000,300000,76855,2,2.68,55000,75,3560,23454,150000,17000000,1185,21234,8,5.4,13502,7793,66544,23464,29000000,410000,12354,2393,33000,309,10.3,15000,941,1.4,38500
"Cooling",,"Stationary","*Cirrus Tower","SDO.015",,"Commercial Building","IND","2023-09-18","2023-01-09","Southeast Asia","0phB00000004Mn1IAE",,92,3832,400000,30,154000,250000,76855,27,4.97,33000,323,3560,34345,150000,14000000,1108,22345,9,10.02,14902,9246,66544,43172,35000000,358000,12354,77014,2985000,356,10.7,15000,941,4.9,23100
"Natural Gas",,"Vehicle","Los Angeles SMALL TRUCK 12-0024","VDO.024",,"Fleet Vehicle","FRA","2023-09-18","2023-07-04","EMEA",,,55,3111,350000,29,154000,250000,67688,25,3.39,66000,312,3139,34345,150000,17000000,1751,34543,8,6.87,13275,3909,34124,43433,35000000,476000,12354,19767,28000,289,13.1,21323,829,0.5,46200
"Refrigerant",,"Stationary","*Cirrus Tower","SDO.015",,"Commercial Building","IND","2023-09-18","2020-06-16","Southeast Asia","0phB00000004Mn1IAE",,69,4435,300000,17,135000,150000,56634,4,4.97,38571,183,500,43566,100000,17000000,1531,22345,7,10.02,14987,5210,45443,42121,35000000,373000,12354,93296,31000,412,11.8,15000,132,5.8,27000
"Cooling",,"Stationary","*Cirrus Tower","SDO.015",,"Commercial Building","IND","2023-09-18","2021-04-08","Southeast Asia","0phB00000004Mn1IAE",,50,1464,350000,24,135000,150000,56634,18,4.97,28929,258,500,34345,100000,15000000,424,22345,5,10.02,16775,8386,45443,78791,31023124,469000,12354,17819,3359000,136,12.6,18608,132,0.3,20250
"Natural Gas",,"Vehicle","Los Angeles SMALL TRUCK 12-0024","VDO.024",,"Fleet Vehicle","ARG","2023-09-18","2021-05-01","Southeast Asia",,,39,4596,350000,14,120000,150000,76855,20,0.19,42857,151,500,34345,123678,17000000,1750,22345,8,0.37,14494,5528,45443,65805,31023124,427000,12454,19130,24000,427,10.9,15000,132,5.9,30000
"Diesel",,"Vehicle","Los Angeles SMALL TRUCK 12-0024","VDO.024",,"Fleet Vehicle","CAN","2023-09-18","2023-07-08","Central America",,,48,2497,350000,22,135000,150000,76855,30,2.68,28929,237,3560,34345,100000,17000000,1217,22345,10,5.4,19995,4213,66544,68709,35000000,437000,53423,2725,15000,232,14.3,15000,941,0.6,20250
"FuelOil",,"Stationary","*Cirrus Tower","SDO.015",,"Commercial Building","IND","2023-09-18","2022-10-15","Southeast Asia","0phB00000004Mn1IAE",,50,3455,400000,6,120000,300000,56634,26,4.97,34286,65,3139,23454,150000,14000000,2239,34543,8,10.02,10256,3493,34124,63391,29000000,375000,12354,72115,2455000,321,11.6,18608,829,5.2,24000
