"AccountId","ReportPeriod","LastProcessedDate","BusinessRegion","CountryCode3Digits","AssetType","ReportPeriodBucket","Asset","Country","AssetExternalId","AccountExternalId","AssetId","IsUnitedStatesBuilding","AccountName","EnergyIntensity","EnergyIntensityVariance","CarbonEmission"
,"2021-04-15","2023-03-24","Africa","ZAF","Data Center","2 Years Ago","RDC - Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE","No",,0.11,20,5.6
,"2020-06-30","2023-03-24","AMER","USA","Data Center","3 Years Ago","1800 San Jose St.","United States","SDO.015",,"0phB00000004Mn1IAE","Yes",,0.1,10,5.55
,"2021-09-08","2023-03-24","AMER","USA","Data Center","2 Years Ago","1800 San Jose St.","United States","SDO.015",,"0phB00000004Mn1IAE","Yes",,0.1,10,5.55
,"2021-12-23","2023-03-24","Africa","ZAF","Data Center","2 Years Ago","RDC - Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE","No",,0.11,20,5.6
,"2023-06-26","2023-03-24","Africa","ZAF","Data Center","Current Year","RDC - Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE","No",,0.11,20,5.6
,"2020-06-25","2023-03-24","AMER","USA","Data Center","3 Years Ago","1800 San Jose St.","United States","SDO.015",,"0phB00000004Mn1IAE","Yes",,0.1,10,5.55
,"2021-03-04","2023-03-24","Africa","ZAF","Data Center","2 Years Ago","RDC - Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE","No",,0.11,15,5.6
,"2023-05-16","2023-03-24","AMER","USA","Data Center","Current Year","1800 San Jose St.","United States","SDO.015",,"0phB00000004Mn1IAE","Yes",,0.1,10,5.55
,"2020-05-19","2023-03-24","Africa","ZAF","Data Center","3 Years Ago","RDC - Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE","No",,0.11,15,5.6
,"2021-04-03","2023-03-24","AMER","USA","Data Center","2 Years Ago","1800 San Jose St.","United States","SDO.015",,"0phB00000004Mn1IAE","Yes",,0.1,10,5.55
,"2020-10-04","2023-03-24","Africa","ZAF","Data Center","3 Years Ago","RDC - Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE","No",,0.11,20,5.6
,"2021-06-02","2023-03-24","AMER","USA","Data Center","2 Years Ago","1800 San Jose St.","United States","SDO.015",,"0phB00000004Mn1IAE","Yes",,0.1,10,5.55
,"2021-08-08","2023-03-24","Africa","ZAF","Data Center","2 Years Ago","RDC - Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE","No",,0.11,20,5.6
,"2021-09-03","2023-03-24","AMER","USA","Data Center","2 Years Ago","1800 San Jose St.","United States","SDO.015",,"0phB00000004Mn1IAE","Yes",,0.1,10,5.55
,"2022-05-25","2023-03-24","Africa","ZAF","Data Center","1 Year Ago","RDC - Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE","No",,0.11,15,5.6
,"2022-03-17","2023-03-24","AMER","USA","Data Center","1 Year Ago","1800 San Jose St.","United States","SDO.015",,"0phB00000004Mn1IAE","Yes",,0.1,10,5.55
,"2020-07-31","2023-03-24","AMER","USA","Data Center","3 Years Ago","1800 San Jose St.","United States","SDO.015",,"0phB00000004Mn1IAE","Yes",,0.1,10,5.55
,"2022-04-13","2023-03-24","Africa","ZAF","Data Center","1 Year Ago","RDC - Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE","No",,0.11,15,5.6
,"2022-05-09","2023-03-24","Africa","ZAF","Data Center","1 Year Ago","RDC - Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE","No",,0.11,15,5.6
,"2022-10-20","2023-03-24","AMER","USA","Data Center","1 Year Ago","1800 San Jose St.","United States","SDO.015",,"0phB00000004Mn1IAE","Yes",,0.1,10,5.55
,"2022-01-03","2023-03-24","Africa","ZAF","Data Center","1 Year Ago","RDC - Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE","No",,0.11,20,5.6
,"2022-08-06","2023-03-24","AMER","USA","Data Center","1 Year Ago","1800 San Jose St.","United States","SDO.015",,"0phB00000004Mn1IAE","Yes",,0.1,10,5.55
,"2021-08-01","2023-03-24","Africa","ZAF","Data Center","2 Years Ago","RDC - Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE","No",,0.11,15,5.6
,"2022-04-13","2023-03-24","AMER","USA","Data Center","1 Year Ago","1800 San Jose St.","United States","SDO.015",,"0phB00000004Mn1IAE","Yes",,0.1,10,5.55
,"2020-09-21","2023-03-24","AMER","USA","Data Center","3 Years Ago","1800 San Jose St.","United States","SDO.015",,"0phB00000004Mn1IAE","Yes",,0.1,10,5.55
,"2023-12-31","2023-03-24","Africa","ZAF","Data Center","Current Year","RDC - Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE","No",,0.11,15,5.6
,"2021-03-20","2023-03-24","Africa","ZAF","Data Center","2 Years Ago","RDC - Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE","No",,0.11,15,5.6
,"2020-02-06","2023-03-24","AMER","USA","Data Center","3 Years Ago","1800 San Jose St.","United States","SDO.015",,"0phB00000004Mn1IAE","Yes",,0.1,10,5.55
,"2023-09-28","2023-03-24","Africa","ZAF","Data Center","Current Year","RDC - Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE","No",,0.11,15,5.6
,"2021-03-11","2023-03-24","AMER","USA","Data Center","2 Years Ago","1800 San Jose St.","United States","SDO.015",,"0phB00000004Mn1IAE","Yes",,0.1,10,5.55
,"2023-02-02","2023-03-24","Africa","ZAF","Data Center","Current Year","RDC - Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE","No",,0.11,15,5.6
,"2023-10-05","2023-03-24","AMER","USA","Data Center","Current Year","1800 San Jose St.","United States","SDO.015",,"0phB00000004Mn1IAE","Yes",,0.1,10,5.55
,"2021-08-04","2023-03-24","AMER","USA","Data Center","2 Years Ago","1800 San Jose St.","United States","SDO.015",,"0phB00000004Mn1IAE","Yes",,0.1,10,5.55
,"2021-07-23","2023-03-24","Africa","ZAF","Data Center","2 Years Ago","RDC - Cedar Data Center","South Africa","SDO.008",,"0phB00000004MmuIAE","No",,0.11,15,5.6
