"Scope","ActivityType","LastProcessedDate","ReportDate","Allocation","AllocationCost","Emission","Carried","Purchased","NetEmission"
"Scope 2","Scope 2 Stationary Assets - Commercial Building","2023-02-24","2023-07-29",1.2,36,4.1,0.6,2.5,4.2
"Scope 3","Scope 3 Vehicle Assets - Private Jet","2023-02-24","2019-08-10",1.1,27.5,4.1,1.2,2,2.6
"Scope 1","Scope 1 Stationary Assets - Data Center","2023-02-24","2021-02-04",1.8,36,4.2,2.4,3.5,3.8
"Scope 3","Scope 3 Stationary Assets - Data Center","2023-02-24","2020-07-05",1.2,36,4.9,1.2,2.5,3.2
"Scope 3","Scope 3 Vehicle Assets - Fleet Vehicles","2023-02-24","2017-09-05",1.8,27.5,4.1,0,3,2.8
"Scope 3","Scope 3 Business Travel","2023-02-24","2022-06-06",2.1,27.5,3.8,2.2,4.5,3.4
"Scope 3","Scope 3 Stationary Assets - Commercial Building","2023-02-24","2015-11-04",4,27.5,3,1.7,4,2.1
"Scope 3","Scope 3 Vehicle Assets - Fleet Vehicles","2023-02-24","2016-08-26",3.5,27.5,4.8,0.5,3.5,2.3
"Scope 3","Scope 3 Business Travel","2023-02-24","2018-03-02",1.5,27.5,3.8,1.8,3,3.4
"Scope 3","Scope 3 Vehicle Assets - Fleet Vehicles","2023-02-24","2015-03-20",4,36,3.1,2.1,4,2.1
"Scope 2","Scope 2 Vehicle Assets - Private Jet","2023-02-24","2018-06-19",1.5,36,3.8,2.3,3,3.1
"Scope 1","Scope 1 Vehicle Assets - Private Jet","2023-02-24","2019-01-30",1.1,27.5,4.3,1.2,2,2.8
"Scope 3","Scope 3 Vehicle Assets - Fleet Vehicles","2023-02-24","2020-02-08",1.2,27.5,4.8,1.3,2.5,3.2
"Scope 3","Scope 3 Vehicle Assets - Fleet Vehicles","2023-02-24","2021-07-12",1.8,27.5,4.2,1.9,3.5,3.8
"Scope 3","Scope 3 Vehicle Assets - Fleet Vehicles","2023-02-24","2016-03-04",3.5,27.5,4.8,0.6,3.5,2.2
"Scope 3","Scope 3 Business Travel","2023-02-24","2023-06-09",2.1,27.5,4.4,0.8,2.5,4.3
"Scope 3","Scope 3 Vehicle Assets - Fleet Vehicles","2023-02-24","2022-04-11",2.1,27.5,3.6,2.2,4.5,3.1
"Scope 3","Scope 3 Stationary Assets - Commercial Building","2023-02-24","2017-08-06",1.8,36,4.5,0,3,2.7
"Scope 3","Scope 3 Stationary Assets - Data Center","2023-02-24","2017-02-23",1.8,27.5,4.2,0,3,2.6
"Scope 3","Scope 3 Business Travel","2023-02-24","2021-07-22",1.8,27.5,4.4,1.8,3.5,3.7
"Scope 1","Scope 1 Stationary Assets - Commercial Building","2023-02-24","2023-10-02",2.1,27.5,4.1,0.8,2.5,4.2
"Scope 2","Scope 2 Stationary Assets - Data Center","2023-02-24","2015-04-12",4,36,3.1,1.8,4,2.1
"Scope 3","Scope 3 Vehicle Assets - Fleet Vehicles","2023-02-24","2020-04-06",1.2,27.5,4.8,1.4,2.5,3.1
"Scope 3","Scope 3 Vehicle Assets - Fleet Vehicles","2023-02-24","2018-06-22",1.5,27.5,3.9,2.3,3,3.2
"Scope 3","Scope 3 Vehicle Assets - Fleet Vehicles","2023-02-24","2016-07-09",3.5,27.5,5,0.6,3.5,2.3
"Scope 3","Scope 3 Vehicle Assets - Fleet Vehicles","2023-02-24","2022-01-30",2.1,36,3.6,2.4,4.5,3.1
"Scope 3","Scope 3 Vehicle Assets - Private Jet","2023-02-24","2019-02-28",1.1,27.5,4.5,1.3,2,2.9
"Scope 3","Scope 3 Stationary Assets - Commercial Building","2023-02-24","2017-11-01",1.8,27.5,4.5,0,3,2.8
"Scope 3","Scope 3 Vehicle Assets - Fleet Vehicles","2023-02-24","2022-11-26",2.1,27.5,3.9,2.1,4.5,3.1
"Scope 3","Scope 3 Business Travel","2023-02-24","2020-11-09",1.2,27.5,5,1.2,2.5,3.3
"Scope 1","Scope 1 Vehicle Assets - Fleet Vehicles","2023-02-24","2019-02-19",1.1,27.5,4.5,1.4,2,2.8
"Scope 3","Scope 3 Vehicle Assets - Fleet Vehicles","2023-02-24","2023-04-28",1.2,27.5,4.3,0.8,2.5,4.2
"Scope 3","Scope 3 Business Travel","2023-02-24","2015-09-20",4,36,3.2,2.2,4,2
"Scope 2","Scope 2 Vehicle Assets - Fleet Vehicles","2023-02-24","2021-06-19",1.8,36,4.3,2.4,3.5,3.8
"Scope 3","Scope 3 Stationary Assets - Data Center","2023-02-24","2016-09-18",3.5,27.5,4.9,0.5,3.5,2.3
"Scope 3","Scope 3 Vehicle Assets - Fleet Vehicles","2023-02-24","2018-03-06",1.5,27.5,3.9,1.8,3,3.3
"Scope 3","Scope 3 Vehicle Assets - Fleet Vehicles","2023-02-24","2015-08-17",4,27.5,3.2,1.6,4,2
"Scope 3","Scope 3 Vehicle Assets - Fleet Vehicles","2023-02-24","2020-12-11",1.2,27.5,5,1.1,2.5,3.2
"Scope 3","Scope 3 Stationary Assets - Commercial Building","2023-02-24","2023-06-13",1.2,27.5,4.4,0.6,2.5,4.2
"Scope 3","Scope 3 Business Travel","2023-02-24","2021-02-22",1.8,27.5,4.3,2.1,3.5,3.9
"Scope 2","Scope 2 Stationary Assets - Commercial Building","2023-02-24","2017-08-29",1.8,36,4.4,0,3,2.6
"Scope 1","Scope 1 Vehicle Assets - Fleet Vehicles","2023-02-24","2022-08-06",2.1,36,3.7,2.4,4.5,3.1
"Scope 3","Scope 3 Stationary Assets - Data Center","2023-02-24","2016-12-19",3.5,36,5,0.9,3.5,2.3
"Scope 3","Scope 3 Vehicle Assets - Fleet Vehicles","2023-02-24","2019-01-24",1.1,27.5,4.1,1.3,2,2.9
"Scope 3","Scope 3 Vehicle Assets - Fleet Vehicles","2023-02-24","2018-06-13",1.5,27.5,3.6,2.2,3,3.1
"Scope 3","Scope 3 Business Travel","2023-02-24","2016-11-12",3.5,27.5,4.7,0.8,3.5,2.3
"Scope 3","Scope 3 Vehicle Assets - Fleet Vehicles","2023-02-24","2019-04-26",1.1,27.5,4.3,1.2,2,2.7
"Scope 3","Scope 3 Vehicle Assets - Fleet Vehicles","2023-02-24","2022-11-25",2.1,27.5,3.7,2.1,4.5,3.4
"Scope 3","Scope 3 Vehicle Assets - Fleet Vehicles","2023-02-24","2020-04-07",1.2,36,4.7,1.1,2.5,3.1
"Scope 3","Scope 3 Vehicle Assets - Fleet Vehicles","2023-02-24","2021-05-18",1.8,27.5,4.3,1.8,3.5,3.7
"Scope 2","Scope 2 Vehicle Assets - Fleet Vehicles","2023-02-24","2023-04-07",2.1,36,4.2,0.8,2.5,4.3
"Scope 1","Scope 1 Stationary Assets - Commercial Building","2023-02-24","2018-05-06",1.5,27.5,3.8,1.6,3,3.2
"Scope 3","Scope 3 Business Travel","2023-02-24","2015-12-05",4,27.5,3.2,2.3,4,2
"Scope 3","Scope 3 Stationary Assets - Data Center","2023-02-24","2017-10-27",1.8,27.5,4.4,0,3,2.8
"Scope 3","Scope 3 Stationary Assets - Commercial Building","2023-02-24","2017-03-21",1.8,27.5,4.4,0,3,2.7
"Scope 3","Scope 3 Vehicle Assets - Private Jet","2023-02-24","2015-12-31",4,27.5,3.2,1.8,4,2.1
"Scope 3","Scope 3 Vehicle Assets - Fleet Vehicles","2023-02-24","2023-05-18",1.2,36,4.5,0.7,2.5,4.2
"Scope 3","Scope 3 Business Travel","2023-02-24","2021-06-20",1.8,27.5,4.1,1.8,3.5,3.8
"Scope 3","Scope 3 Vehicle Assets - Fleet Vehicles","2023-02-24","2016-06-11",3.5,27.5,4.9,0.5,3.5,2.4
"Scope 2","Scope 2 Vehicle Assets - Fleet Vehicles","2023-02-24","2020-03-02",1.2,36,5,1.3,2.5,3.1
"Scope 3","Scope 3 Vehicle Assets - Fleet Vehicles","2023-02-24","2022-10-09",2.1,27.5,3.9,2.3,4.5,3.4
"Scope 3","Scope 3 Vehicle Assets - Fleet Vehicles","2023-02-24","2019-04-24",1.1,27.5,4.1,1.1,2,2.7
"Scope 3","Scope 3 Vehicle Assets - Fleet Vehicles","2023-02-24","2018-02-15",1.5,27.5,3.9,1.6,3,3.3
"Scope 3","Scope 3 Business Travel","2023-02-24","2019-06-15",1.1,27.5,4.3,1.2,2,2.8
"Scope 3","Scope 3 Vehicle Assets - Fleet Vehicles","2023-02-24","2017-01-15",1.8,36,4.1,0,3,2.8
"Scope 1","Scope 1 Vehicle Assets - Fleet Vehicles","2023-02-24","2021-09-23",1.8,27.5,4.2,2.4,3.5,3.8
"Scope 3","Scope 3 Stationary Assets - Data Center","2023-02-24","2018-11-13",1.5,27.5,3.9,2.4,3,3.3
"Scope 3","Scope 3 Vehicle Assets - Fleet Vehicles","2023-02-24","2015-11-05",4,27.5,3.1,2.1,4,2.1
"Scope 2","Scope 2 Stationary Assets - Data Center","2023-02-24","2022-05-18",2.1,36,3.6,2.4,4.5,3.2
"Scope 3","Scope 3 Vehicle Assets - Fleet Vehicles","2023-02-24","2020-09-12",1.2,27.5,4.9,1.2,2.5,3.1
"Scope 3","Scope 3 Vehicle Assets - Fleet Vehicles","2023-02-24","2016-09-07",3.5,27.5,4.9,0.9,3.5,2.3
"Scope 1","Scope 1 Vehicle Assets - Private Jet","2023-02-24","2023-08-06",2.1,27.5,4.3,0.8,2.5,4.1
"Scope 3","Scope 3 Stationary Assets - Commercial Building","2023-02-24","2021-04-21",1.8,27.5,4.4,1.9,3.5,3.9
"Scope 3","Scope 3 Business Travel","2023-02-24","2017-07-16",1.8,36,4.4,0,3,2.6
"Scope 3","Scope 3 Vehicle Assets - Fleet Vehicles","2023-02-24","2016-10-25",3.5,27.5,4.8,0.7,3.5,2.4
"Scope 3","Scope 3 Vehicle Assets - Fleet Vehicles","2023-02-24","2018-11-27",1.5,27.5,3.7,1.6,3,3.4
"Scope 3","Scope 3 Stationary Assets - Commercial Building","2023-02-24","2015-01-12",4,27.5,3,2.4,4,2.1
"Scope 3","Scope 3 Stationary Assets - Data Center","2023-02-24","2020-04-22",1.2,27.5,4.9,1.4,2.5,3.3
"Scope 3","Scope 3 Vehicle Assets - Fleet Vehicles","2023-02-24","2022-01-12",2.1,27.5,3.7,2.2,4.5,3.3
"Scope 2","Scope 2 Stationary Assets - Commercial Building","2023-02-24","2023-11-27",1.2,36,4.3,0.5,2.5,4.2
"Scope 3","Scope 3 Business Travel","2023-02-24","2019-10-22",1.1,36,4.2,1.3,2,2.8
"Scope 1","Scope 1 Vehicle Assets - Fleet Vehicles","2023-02-24","2022-11-22",2.1,27.5,3.9,2.2,4.5,3.1
"Scope 3","Scope 3 Vehicle Assets - Fleet Vehicles","2023-02-24","2017-11-27",1.8,27.5,4.4,0,3,2.8
"Scope 3","Scope 3 Vehicle Assets - Fleet Vehicles","2023-02-24","2020-06-09",1.2,27.5,4.7,1.4,2.5,3.4
"Scope 3","Scope 3 Vehicle Assets - Fleet Vehicles","2023-02-24","2023-03-20",2.1,27.5,4.1,0.5,2.5,4.1
"Scope 3","Scope 3 Vehicle Assets - Private Jet","2023-02-24","2019-05-21",1.1,27.5,4.4,1.1,2,2.9
"Scope 3","Scope 3 Vehicle Assets - Fleet Vehicles","2023-02-24","2016-09-24",3.5,27.5,4.7,0.7,3.5,2.2
"Scope 3","Scope 3 Business Travel","2023-02-24","2018-11-08",1.5,36,3.6,2.1,3,3.1
"Scope 3","Scope 3 Stationary Assets - Data Center","2023-02-24","2015-09-08",4,27.5,3.1,1.6,4,2
