"Industry","recordId","Month","Company","Red_Flags","Portfolio","Region","ESG_Score","Rating"
"Manufacturing","0eM8b000000TNE8EAO","2022-04","Tucanterprises","Procurement","Portfolio A","Asia",51,1
"Media and Technology","0eM8b000000TNE8EAO","2021-09","Sunshade","Data Protection","Portfolio B","Europe",43,5
"Financial Services","0eM8b000000TNE8EAO","2021-08","Moondustries","Data Protection","Portfolio C","Asia",33,3
"Public Sector","0eM8b000000TNE8EAO","2021-06","Loki Industries","Health &Safety","Portfolio A","Asia",79,5
"Financial Services","0eM8b000000TNE8EAO","2021-12","North Starporation","Data Protection","Portfolio C","LATAM",74,6
"Public Sector","0eM8b000000TNE8EAO","2021-11","Loki Industries","DE&I","Portfolio C","LATAM",72,1
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2021-07","Buzzylectrics","Quality & Safety","Portfolio B","Asia",66,4
"Health and Life Sciences","0eM8b000000TNE8EAO","2022-02","Elviations","Quality & Safety","Portfolio A","LATAM",29,6
"Media and Technology","0eM8b000000TNE8EAO","2022-03","Ravenman","Health &Safety","Portfolio B","Europe",80,4
"Health and Life Sciences","0eM8b000000TNE8EAO","2022-04","Monarch Motors","Health &Safety","Portfolio C","North America",80,3
"Media and Technology","0eM8b000000TNE8EAO","2021-07","Surgesystems","Data Protection","Portfolio A","South American",77,1
"Health and Life Sciences","0eM8b000000TNE8EAO","2021-07","Elviations","DE&I","Portfolio C","LATAM",45,3
"Media and Technology","0eM8b000000TNE8EAO","2021-07","Ravenman","Health &Safety","Portfolio A","Europe",43,6
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2021-06","Jetbit","Code of Conduct","Portfolio B","North America",57,8
"Manufacturing","0eM8b000000TNE8EAO","2021-11","Purpleworth","Human Rights","Portfolio A","Europe",40,5
"Public Sector","0eM8b000000TNE8EAO","2021-10","Icestone","Human Rights","Portfolio A","North America",64,8
"Manufacturing","0eM8b000000TNE8EAO","2021-07","Rhino Foods","Health &Safety","Portfolio C","North America",88,5
"Financial Services","0eM8b000000TNE8EAO","2021-12","North Starporation","Data Protection","Portfolio A","South American",23,1
"Manufacturing","0eM8b000000TNE8EAO","2022-04","Tucanterprises","Human Rights","Portfolio B","North America",13,2
"Manufacturing","0eM8b000000TNE8EAO","2021-12","Rhino Foods","Procurement","Portfolio A","South American",6,2
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2022-01","Buzzylectrics","Human Rights","Portfolio C","Asia",94,4
"Financial Services","0eM8b000000TNE8EAO","2021-07","Acme","Health &Safety","Portfolio C","LATAM",85,4
"Manufacturing","0eM8b000000TNE8EAO","2021-09","Purpleworth","Carbon Emissions","Portfolio A","Europe",40,3
"Media and Technology","0eM8b000000TNE8EAO","2022-01","Sunshade","Carbon Emissions","Portfolio B","South American",43,3
"Public Sector","0eM8b000000TNE8EAO","2021-06","Icestone","Health &Safety","Portfolio B","South American",64,2
"Financial Services","0eM8b000000TNE8EAO","2022-02","Acme","Carbon Emissions","Portfolio B","North America",85,1
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2021-11","Buzzylectrics","Code of Conduct","Portfolio A","Asia",89,1
"Media and Technology","0eM8b000000TNE8EAO","2021-12","Ravenman","Health &Safety","Portfolio B","Asia",78,3
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2022-03","Jetbit","Carbon Emissions","Portfolio B","Asia",57,4
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2022-01","Buzzylectrics","Code of Conduct","Portfolio A","Europe",63,8
"Media and Technology","0eM8b000000TNE8EAO","2021-08","Sunshade","Quality & Safety","Portfolio A","LATAM",43,8
"Media and Technology","0eM8b000000TNE8EAO","2022-01","Ravenman","DE&I","Portfolio B","Asia",83,3
"Health and Life Sciences","0eM8b000000TNE8EAO","2022-04","Pumpkinavigation","Human Rights","Portfolio A","Europe",9,1
"Health and Life Sciences","0eM8b000000TNE8EAO","2021-09","Pumpkinavigation","Human Rights","Portfolio A","Asia",18,2
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2021-06","Buzzylectrics","Procurement","Portfolio B","LATAM",73,8
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2022-01","Jetbit","Quality & Safety","Portfolio C","LATAM",57,3
"Public Sector","0eM8b000000TNE8EAO","2021-05","Icestone","Carbon Emissions","Portfolio B","North America",64,4
"Health and Life Sciences","0eM8b000000TNE8EAO","2021-12","Pumpkinavigation","Code of Conduct","Portfolio A","North America",18,6
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2021-10","Buzzylectrics","Health &Safety","Portfolio A","Europe",67,2
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2022-05","Bridge Aviation","Data Protection","Portfolio B","Europe",35,8
"Health and Life Sciences","0eM8b000000TNE8EAO","2022-02","Pumpkinavigation","Carbon Emissions","Portfolio C","LATAM",74,1
"Health and Life Sciences","0eM8b000000TNE8EAO","2022-01","Pumpkinavigation","Human Rights","Portfolio A","LATAM",61,5
"Public Sector","0eM8b000000TNE8EAO","2022-04","Icestone","Quality & Safety","Portfolio C","Europe",64,4
"Public Sector","0eM8b000000TNE8EAO","2021-09","Corecords","Procurement","Portfolio B","LATAM",50,1
"Public Sector","0eM8b000000TNE8EAO","2022-03","Loki Industries","Code of Conduct","Portfolio C","Europe",37,4
"Public Sector","0eM8b000000TNE8EAO","2021-10","Loki Industries","Human Rights","Portfolio A","Asia",5,4
"Health and Life Sciences","0eM8b000000TNE8EAO","2021-10","Pumpkinavigation","Human Rights","Portfolio B","Asia",53,1
"Health and Life Sciences","0eM8b000000TNE8EAO","2022-03","Pumpkinavigation","Data Protection","Portfolio A","North America",61,3
"Media and Technology","0eM8b000000TNE8EAO","2022-04","Surgesystems","Data Protection","Portfolio B","South American",77,7
"Public Sector","0eM8b000000TNE8EAO","2021-06","Icestone","Health &Safety","Portfolio C","Asia",64,4
"Public Sector","0eM8b000000TNE8EAO","2021-12","Corecords","Code of Conduct","Portfolio B","Europe",50,7
"Health and Life Sciences","0eM8b000000TNE8EAO","2021-10","Pumpkinavigation","Quality & Safety","Portfolio A","LATAM",87,7
"Health and Life Sciences","0eM8b000000TNE8EAO","2021-11","Pumpkinavigation","Carbon Emissions","Portfolio A","Asia",1,8
"Health and Life Sciences","0eM8b000000TNE8EAO","2021-10","Pumpkinavigation","DE&I","Portfolio C","South American",38,4
"Public Sector","0eM8b000000TNE8EAO","2021-10","Corecords","Quality & Safety","Portfolio C","LATAM",50,1
"Public Sector","0eM8b000000TNE8EAO","2022-01","Corecords","Quality & Safety","Portfolio B","North America",50,7
"Public Sector","0eM8b000000TNE8EAO","2021-10","Icestone","Carbon Emissions","Portfolio B","North America",64,8
"Media and Technology","0eM8b000000TNE8EAO","2021-11","Surgesystems","Procurement","Portfolio A","Asia",77,3
"Media and Technology","0eM8b000000TNE8EAO","2021-07","Sunshade","Procurement","Portfolio A","LATAM",43,8
"Health and Life Sciences","0eM8b000000TNE8EAO","2021-05","Pumpkinavigation","Human Rights","Portfolio B","LATAM",47,4
"Public Sector","0eM8b000000TNE8EAO","2022-04","Icestone","Health &Safety","Portfolio B","Europe",64,8
"Media and Technology","0eM8b000000TNE8EAO","2021-08","Ravenman","Data Protection","Portfolio C","Asia",30,5
"Public Sector","0eM8b000000TNE8EAO","2022-01","Corecords","Quality & Safety","Portfolio C","LATAM",50,7
"Health and Life Sciences","0eM8b000000TNE8EAO","2021-08","Elviations","Health &Safety","Portfolio C","Europe",67,2
"Health and Life Sciences","0eM8b000000TNE8EAO","2021-07","Pumpkinavigation","Data Protection","Portfolio C","South American",85,6
"Media and Technology","0eM8b000000TNE8EAO","2021-12","Ravenman","Quality & Safety","Portfolio C","Europe",50,5
"Manufacturing","0eM8b000000TNE8EAO","2022-03","Tucanterprises","Health &Safety","Portfolio A","South American",30,1
"Media and Technology","0eM8b000000TNE8EAO","2021-07","Surgesystems","Code of Conduct","Portfolio A","LATAM",77,2
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2021-08","Bridge Aviation","Carbon Emissions","Portfolio A","South American",35,1
"Manufacturing","0eM8b000000TNE8EAO","2022-01","Purpleworth","Quality & Safety","Portfolio B","North America",40,6
"Manufacturing","0eM8b000000TNE8EAO","2021-08","Rhino Foods","Data Protection","Portfolio B","Europe",16,2
"Health and Life Sciences","0eM8b000000TNE8EAO","2022-02","Monarch Motors","DE&I","Portfolio B","Asia",80,2
"Public Sector","0eM8b000000TNE8EAO","2022-01","Corecords","Health &Safety","Portfolio B","Asia",50,1
"Public Sector","0eM8b000000TNE8EAO","2021-10","Loki Industries","Quality & Safety","Portfolio B","South American",63,8
"Public Sector","0eM8b000000TNE8EAO","2022-03","Icestone","Code of Conduct","Portfolio A","Asia",64,8
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2021-09","Jetbit","Health &Safety","Portfolio A","LATAM",57,5
"Health and Life Sciences","0eM8b000000TNE8EAO","2021-05","Elviations","Human Rights","Portfolio A","LATAM",20,6
"Media and Technology","0eM8b000000TNE8EAO","2021-05","Surgesystems","Data Protection","Portfolio B","Europe",77,5
"Media and Technology","0eM8b000000TNE8EAO","2021-05","Sunshade","Procurement","Portfolio C","North America",43,8
"Financial Services","0eM8b000000TNE8EAO","2022-04","Acme","Carbon Emissions","Portfolio C","Europe",85,5
"Public Sector","0eM8b000000TNE8EAO","2022-04","Loki Industries","DE&I","Portfolio A","South American",17,1
"Media and Technology","0eM8b000000TNE8EAO","2022-02","Sunshade","Procurement","Portfolio C","North America",43,1
"Manufacturing","0eM8b000000TNE8EAO","2021-06","Tucanterprises","Procurement","Portfolio A","South American",8,5
"Public Sector","0eM8b000000TNE8EAO","2021-08","Icestone","Carbon Emissions","Portfolio B","South American",64,5
"Manufacturing","0eM8b000000TNE8EAO","2022-01","Purpleworth","Human Rights","Portfolio C","North America",40,3
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2021-12","Buzzylectrics","Human Rights","Portfolio B","Europe",96,5
"Health and Life Sciences","0eM8b000000TNE8EAO","2022-04","Pumpkinavigation","DE&I","Portfolio B","Asia",71,5
"Manufacturing","0eM8b000000TNE8EAO","2021-09","Rhino Foods","Human Rights","Portfolio B","Europe",59,7
"Health and Life Sciences","0eM8b000000TNE8EAO","2021-11","Monarch Motors","Health &Safety","Portfolio B","North America",80,6
"Public Sector","0eM8b000000TNE8EAO","2021-08","Icestone","Carbon Emissions","Portfolio C","Asia",64,7
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2022-01","Bridge Aviation","Data Protection","Portfolio B","North America",35,8
"Financial Services","0eM8b000000TNE8EAO","2021-05","Apexrover","Carbon Emissions","Portfolio B","Asia",72,6
"Manufacturing","0eM8b000000TNE8EAO","2021-10","Tucanterprises","DE&I","Portfolio A","LATAM",85,1
"Health and Life Sciences","0eM8b000000TNE8EAO","2022-03","Monarch Motors","Carbon Emissions","Portfolio A","Asia",80,5
"Media and Technology","0eM8b000000TNE8EAO","2022-01","Ravenman","Procurement","Portfolio C","Asia",38,2
"Media and Technology","0eM8b000000TNE8EAO","2021-10","Ravenman","Code of Conduct","Portfolio C","North America",37,2
"Health and Life Sciences","0eM8b000000TNE8EAO","2022-04","Elviations","Data Protection","Portfolio C","Europe",93,8
"Health and Life Sciences","0eM8b000000TNE8EAO","2022-03","Elviations","Carbon Emissions","Portfolio C","LATAM",6,7
"Health and Life Sciences","0eM8b000000TNE8EAO","2021-07","Pumpkinavigation","Procurement","Portfolio A","Europe",89,2
"Health and Life Sciences","0eM8b000000TNE8EAO","2021-10","Elviations","Health &Safety","Portfolio A","North America",25,6
"Media and Technology","0eM8b000000TNE8EAO","2022-02","Sunshade","Carbon Emissions","Portfolio A","Europe",43,4
"Financial Services","0eM8b000000TNE8EAO","2021-09","Moondustries","Code of Conduct","Portfolio C","South American",31,7
"Manufacturing","0eM8b000000TNE8EAO","2021-10","Tucanterprises","Data Protection","Portfolio A","South American",38,8
