"Emission_Category","AccountId","Energy_Consumption","Ground_Travel_Emissions_Category","LastProcessedDate","Consumption_Type","City","RenewalEnergy","Vendor","Date","Business_Travel_Type","Emission_Type","Emission_Source","Country","AccountExternalId","GTE_Value","Cost_Center_Name","AccountName","Electricity_Consumption_Value","Energy_Consumption_Value","Emission_Value","Emissions_from_Business_Travel","Carbon_Intensity"
"Equipment","001B000001SklaOIAR","Solar","#N/A","2023-03-24","Electricity",,"True","British Airways","2023-04-03","Air Travel","Equipment","Equipment","Argentina","SupplierAcct204","#N/A","AMER Sales","Yubo LATAM",7,0,56,31000,0.08
"Data Center Facility","001B000001SklaOIAR","Biomass","#N/A","2023-03-24","Electricity",,"True","United Airlines","2023-02-04","Ground Travel","Data Center Facility","Equipment","Argentina","SupplierAcct204","#N/A","AMER Sales","Yubo LATAM",3,0,56,31000,0.13
"Travel","001B000001SklaOIAR","Wind","#N/A","2023-03-24","Electricity",,"True","Delta","2023-04-27","Ground Travel","Private Jet","Travel","Argentina","SupplierAcct204","#N/A","AMER Sales","Yubo LATAM",21,0,22,31000,0.08
"Travel","001B000001SklaOIAR","Biomass","#N/A","2023-03-24","Electricity",,"True","British Airways","2023-04-23"," Rental Car","Other","Travel","Argentina","SupplierAcct204","#N/A","AMER Sales","Yubo LATAM",2,0,11,31000,0.12
"Vehicle","001B000001SklaOIAR","Biomass","#N/A","2023-03-24","Electricity",,"True","United Airlines","2023-04-22","Air Travel","Air Travel","Vehicle","Argentina","SupplierAcct204","#N/A","AMER Sales","Yubo LATAM",10,0,39,31000,0
"Vehicle","001B000001SklaOIAR","Biomass","#N/A","2023-03-24","Electricity",,"True","Delta","2023-03-23","Ground Travel","Air Travel","Vehicle","Argentina","SupplierAcct204","#N/A","AMER Sales","Yubo LATAM",22,0,20,31000,0.12
"Data Center Facility","001B000001SklaOIAR","Solar","#N/A","2023-03-24","Electricity",,"True","United Airlines","2023-01-02","Private Jet","Data Center Facility","Data Center Facility","Argentina","SupplierAcct204","#N/A","LATAM Sales","Yubo LATAM",7,0,28,31000,0.08
"Equipment","001B000001SklaOIAR","Solar","#N/A","2023-03-24","Electricity",,"True","United Airlines","2023-01-11","Ground Travel","Equipment","Equipment","Argentina","SupplierAcct204","#N/A","LATAM Sales","Yubo LATAM",13,0,28,31000,0.13
"Company Shuttle","001B000001SklaOIAR","Diesel","Limousine","2023-03-24","Energy",,"False","United Airlines","2023-04-09"," Rental Car","Company Shuttle ","Travel","Argentina","SupplierAcct204","#N/A","LATAM Sales","Yubo LATAM",0,9,22,31000,0.04
"Vehicle","001B000001SklaOIAR","Solar","Taxi","2023-03-24","Electricity",,"True","Delta","2023-04-18","Ground Travel","Ground Travel","Vehicle","Argentina","SupplierAcct204","900","LATAM Sales","Yubo LATAM",17,0,20,31000,0.09
"Vehicle","001B000001SklaOIAR","Solar","Taxi","2023-03-24","Electricity",,"True","United Airlines","2023-03-16","Air Travel","Ground Travel","Vehicle","Argentina","SupplierAcct204","1000","LATAM Sales","Yubo LATAM",4,0,20,31000,0.08
"Vehicle","001B000001SklaOIAR","Solar","Taxi","2023-03-24","Electricity",,"True","British Airways","2023-03-04","Air Travel","Hotel Stay","Vehicle","Argentina","SupplierAcct204","1500","LATAM Sales","Yubo LATAM",14,0,20,31000,0.04
"Vehicle","001B000001SklaOIAR","Solar","#N/A","2023-03-24","Electricity",,"True","Emirates","2023-01-19","Ground Travel","Air Travel","Vehicle","Argentina","SupplierAcct204","#N/A","LATAM Sales","Yubo LATAM",6,0,20,31000,0.13
"Commercial Building","001B000001SklaOIAR","Solar","#N/A","2023-03-24","Electricity",,"True","Delta","2023-04-12","Air Travel","Commercial Building","Commercial Building","Argentina","SupplierAcct204","#N/A","LATAM Sales","Yubo LATAM",15,0,42,31000,0.11
"Commercial Building","001B000001SklaOIAR","Solar","#N/A","2023-03-24","Electricity",,"True","Delta","2023-01-09","Ground Travel","Commercial Building","Commercial Building","Argentina","SupplierAcct204","#N/A","LATAM Sales","Yubo LATAM",7,0,28,31000,0.12
"Travel","001B000001SklaOIAR","Diesel","#N/A","2023-03-24","Energy",,"False","United Airlines","2023-03-17","Air Travel","Private Jet","Travel","Argentina","SupplierAcct204","#N/A","LATAM Sales","Yubo LATAM",0,6,17,31000,0.02
"Company Shuttle","001B000001SklaOIAR","Solar","Personal Car","2023-03-24","Electricity",,"True","United Airlines","2023-01-09"," Rental Car","Company Shuttle ","Travel","Argentina","SupplierAcct204","#N/A","LATAM Sales","Yubo LATAM",2,0,11,31000,0.01
"Vehicle","001B000001SklaOIAR","Fuel Oil","Limousine","2023-03-24","Energy",,"False","Delta","2023-02-20","Ground Travel","Hotel Stay","Vehicle","Argentina","SupplierAcct204","1000","LATAM Sales","Yubo LATAM",0,6,29,31000,0.12
"Vehicle","001B000001SklaOIAR","Solar","Subway","2023-03-24","Electricity",,"True","KLM","2023-01-27","Private Jet","Ground Travel","Vehicle","Argentina","SupplierAcct204","1200","LATAM Sales","Yubo LATAM",9,0,20,31000,0.01
"Commercial Building","001B000001SklaOIAR","Biomass","#N/A","2023-03-24","Electricity",,"True","Emirates","2023-04-14","Private Jet","Commercial Building","Commercial Building","Argentina","SupplierAcct204","#N/A","LATAM Sales","Yubo LATAM",15,0,56,31000,0.09
"Equipment","001B000001SklaOIAR","Solar","#N/A","2023-03-24","Electricity",,"True","United Airlines","2023-04-22","Air Travel","Equipment","Equipment","Argentina","SupplierAcct204","#N/A","LATAM Sales","Yubo LATAM",4,0,42,31000,0.04
"Equipment","001B000001SklaOIAR","Solar","#N/A","2023-03-24","Electricity",,"True","Delta","2023-04-12","Private Jet","Equipment","Equipment","Argentina","SupplierAcct204","#N/A","LATAM Sales","Yubo LATAM",23,0,56,31000,0.05
