"CostCenter","EmployeeCountry","LastProcessedDate","StartDateYear","ShortHaulScope3Emissions","ShortHaulSegmentDistance","PredictedShortHaulSegmentDistance","SUM_SegmentDistanceInMiles","PredictedShortHaulScope3Emissions","SUM_Scope3EmissionsInTco2e"
"Sales","India","2022-10-01","2016",0,0,0,133986.8,0,218.938
"HR","Canada","2022-10-01","2016",0,0,0,120399.3,0,194.376
"Technology","United Kingdom","2022-10-01","2016",0,0,0,120169.4,0,197.018
"Finance","Netherlands","2022-10-01","2016",0,0,0,126564.6,0,205.643
"HR","Japan","2022-10-01","2016",0,0,0,95099.4,0,152.22
"Technology","France","2022-10-01","2016",0,0,0,76389.5,0,123.413
"Technology","Canada","2022-10-01","2016",0,0,0,174292.6,0,288.883
"Finance","United Kingdom","2022-10-01","2016",0,0,0,89767.9,0,145.531
"Finance","France","2022-10-01","2016",0,0,0,150318.5,0,242.415
"Finance","Australia","2022-10-01","2016",0,0,0,133593.6,0,165
"Sales","Australia","2022-10-01","2016",0,0,0,107534.7,0,172.842
"Sales","France","2022-10-01","2016",0,0,0,80996.5,0,133.002
"HR","India","2022-10-01","2016",0,0,0,137707.7,0,224.608
"Marketing","Netherlands","2022-10-01","2016",0,0,0,112350.8,0,180.847
"HR","USA","2022-10-01","2016",0,0,0,94329.3,0,152.519
"HR","Germany","2022-10-01","2016",0,0,0,93945.3,0,154.931
"Sales","Netherlands","2022-10-01","2016",0,0,0,111795.6,0,179.379
"HR","France","2022-10-01","2016",0,0,0,89862.5,0,145.484
"Technology","Australia","2022-10-01","2016",0,0,0,108834.3,0,177.173
"Technology","India","2022-10-01","2016",0,0,0,111061.7,0,181.718
"Sales","USA","2022-10-01","2016",0,0,0,131328.9,0,214.095
"Finance","Germany","2022-10-01","2016",0,0,0,105947.5,0,173.152
"Sales","United Kingdom","2022-10-01","2016",0,0,0,114478.8,0,186.514
"Marketing","Australia","2022-10-01","2016",0,0,0,85045.6,0,137.028
"Marketing","France","2022-10-01","2016",0,0,0,99914.9,0,158.441
"Marketing","Japan","2022-10-01","2016",0,0,0,87068.1,0,142.076
"Sales","Japan","2022-10-01","2016",0,0,0,100638,0,161.215
"Marketing","Germany","2022-10-01","2016",0,0,0,125005.1,0,205.144
"Sales","Canada","2022-10-01","2016",0,0,0,94673.6,0,153.422
"Sales","Germany","2022-10-01","2016",0,0,0,105569.6,0,171.347
"Marketing","USA","2022-10-01","2016",0,0,0,104826.8,0,170.797
"Finance","Canada","2022-10-01","2016",0,0,0,109431.3,0,177.08
"Technology","Japan","2022-10-01","2016",0,0,0,93227.6,0,152.299
"HR","Netherlands","2022-10-01","2016",0,0,0,104202.7,0,165.676
"Finance","USA","2022-10-01","2016",0,0,0,104160.4,0,166.711
"Technology","USA","2022-10-01","2016",0,0,0,134267.9,0,220.412
"Marketing","United Kingdom","2022-10-01","2016",0,0,0,101875.7,0,164.271
"HR","Australia","2022-10-01","2016",0,0,0,118322.4,0,189.511
"Finance","Japan","2022-10-01","2016",0,0,0,95031.1,0,154.795
"Marketing","Canada","2022-10-01","2016",0,0,0,84487.4,0,135.665
"HR","United Kingdom","2022-10-01","2016",0,0,0,115715.4,0,186.764
"Technology","Netherlands","2022-10-01","2016",0,0,0,88402.7,0,143.192
"Marketing","India","2022-10-01","2016",0,0,0,75987.8,0,122.538
"Technology","Germany","2022-10-01","2016",0,0,0,159039.8,0,261.986
"Finance","India","2022-10-01","2016",0,0,0,122587.4,0,199.308
"Marketing","Netherlands","2022-10-01","2017",0,0,0,100139.4,0,161.254
"Marketing","Canada","2022-10-01","2017",0,0,0,145323.2,0,238.532
"Finance","Germany","2022-10-01","2017",0,0,0,85081.7,0,138.906
"Sales","Japan","2022-10-01","2017",0,0,0,112016.2,0,182.345
"Finance","USA","2022-10-01","2017",0,0,0,133780.1,0,218.09
"Technology","Australia","2022-10-01","2017",0,0,0,137483.6,0,223.802
"Technology","United Kingdom","2022-10-01","2017",0,0,0,96377.1,0,157.714
"Technology","Germany","2022-10-01","2017",0,0,0,132902.4,0,214.813
"HR","United Kingdom","2022-10-01","2017",0,0,0,102567.7,0,165.042
"HR","USA","2022-10-01","2017",0,0,0,97011.9,0,154.64
"Technology","Canada","2022-10-01","2017",0,0,0,116508.6,0,189.627
"Sales","Netherlands","2022-10-01","2017",0,0,0,93528.3,0,152.096
"Sales","Australia","2022-10-01","2017",0,0,0,172668.4,0,284.547
"Finance","France","2022-10-01","2017",0,0,0,103823.4,0,167.624
"Sales","France","2022-10-01","2017",0,0,0,107468.5,0,175.477
"HR","India","2022-10-01","2017",0,0,0,121135,0,197.34
"Finance","India","2022-10-01","2017",0,0,0,104243.7,0,170.296
"Sales","United Kingdom","2022-10-01","2017",0,0,0,70248.1,0,114.017
"Technology","USA","2022-10-01","2017",0,0,0,109039.8,0,175.14
"Marketing","United Kingdom","2022-10-01","2017",0,0,0,98000.2,0,158.681
"Marketing","India","2022-10-01","2017",0,0,0,146155.4,0,239.43
"HR","Germany","2022-10-01","2017",0,0,0,125291.1,0,205.24
"Technology","Japan","2022-10-01","2017",0,0,0,99719.9,0,159.467
"Finance","Japan","2022-10-01","2017",0,0,0,97687.4,0,158.881
"Marketing","Germany","2022-10-01","2017",0,0,0,117104.2,0,189.54
"HR","France","2022-10-01","2017",0,0,0,102986.1,0,165.579
"HR","Australia","2022-10-01","2017",0,0,0,111764.9,0,183.543
"HR","Netherlands","2022-10-01","2017",0,0,0,105410,0,171.82
"Marketing","France","2022-10-01","2017",0,0,0,131489.5,0,213.391
"Finance","Canada","2022-10-01","2017",0,0,0,137939.4,0,228.582
"Finance","Netherlands","2022-10-01","2017",0,0,0,108079.6,0,176.024
"Marketing","USA","2022-10-01","2017",0,0,0,114948.7,0,189.517
"Technology","Netherlands","2022-10-01","2017",0,0,0,85789.7,0,136.483
"Finance","United Kingdom","2022-10-01","2017",0,0,0,148257.1,0,242.08
"HR","Japan","2022-10-01","2017",0,0,0,122594.2,0,198.98
"Finance","Australia","2022-10-01","2017",0,0,0,109920.9,0,130
"Sales","Canada","2022-10-01","2017",0,0,0,131637.8,0,211.406
"Sales","India","2022-10-01","2017",0,0,0,139646.7,0,227.153
"Marketing","Australia","2022-10-01","2017",0,0,0,125500.8,0,204.924
"Technology","India","2022-10-01","2017",0,0,0,81327.8,0,130.638
"Sales","Germany","2022-10-01","2017",0,0,0,67873.1,0,106.531
"Technology","France","2022-10-01","2017",0,0,0,82566.7,0,132.484
"Sales","USA","2022-10-01","2017",0,0,0,63813.7,0,102.088
"HR","Canada","2022-10-01","2017",0,0,0,120080.4,0,195.959
"Marketing","Japan","2022-10-01","2017",0,0,0,91789.8,0,149.712
"Finance","USA","2022-10-01","2018",0,0,0,171311.7,0,279.643
"HR","Japan","2022-10-01","2018",0,0,0,106061.2,0,171.819
"Technology","Japan","2022-10-01","2018",0,0,0,86781.4,0,139.923
"Technology","India","2022-10-01","2018",0,0,0,145153.4,0,237.286
"HR","United Kingdom","2022-10-01","2018",0,0,0,103791.6,0,167.34
"HR","USA","2022-10-01","2018",0,0,0,80572.8,0,132.701
"HR","Netherlands","2022-10-01","2018",0,0,0,112280.2,0,182.514
"Finance","Japan","2022-10-01","2018",0,0,0,109538.3,0,176.264
"Finance","France","2022-10-01","2018",0,0,0,133486.6,0,218.648
"Finance","Netherlands","2022-10-01","2018",0,0,0,149497.5,0,243.614
"Finance","India","2022-10-01","2018",0,0,0,118930.8,0,192.772
"HR","France","2022-10-01","2018",0,0,0,110161.6,0,178.995
"HR","India","2022-10-01","2018",0,0,0,131823.6,0,214.557
"Finance","Canada","2022-10-01","2018",0,0,0,101180.2,0,163.182
"Technology","Netherlands","2022-10-01","2018",0,0,0,99594.7,0,161.89
"Marketing","USA","2022-10-01","2018",0,0,0,100510.2,0,164.229
"Marketing","France","2022-10-01","2018",0,0,0,102669.6,0,165.241
"Sales","Germany","2022-10-01","2018",0,0,0,89815,0,147.762
"Sales","Japan","2022-10-01","2018",0,0,0,87534.5,0,143.681
"HR","Germany","2022-10-01","2018",0,0,0,144769.1,0,237.824
"Technology","Canada","2022-10-01","2018",0,0,0,108693.7,0,176.139
"Technology","Australia","2022-10-01","2018",0,0,0,105150.7,0,173.849
"Technology","USA","2022-10-01","2018",0,0,0,104616.7,0,168.3
"Marketing","Germany","2022-10-01","2018",0,0,0,143289.8,0,234.961
"Marketing","Australia","2022-10-01","2018",0,0,0,60103.2,0,95.535
"Marketing","Japan","2022-10-01","2018",0,0,0,103865,0,167.306
"Technology","France","2022-10-01","2018",0,0,0,137814.2,0,222.86
"Finance","Australia","2022-10-01","2018",0,0,0,103990,0,70
"Sales","France","2022-10-01","2018",0,0,0,112935.2,0,186.104
"Marketing","United Kingdom","2022-10-01","2018",0,0,0,99618.5,0,160.343
"Finance","Germany","2022-10-01","2018",0,0,0,147263.6,0,242.592
"Marketing","Canada","2022-10-01","2018",0,0,0,122369.7,0,197.832
"HR","Australia","2022-10-01","2018",0,0,0,77927.3,0,124.192
"Marketing","Netherlands","2022-10-01","2018",0,0,0,138543,0,225.73
"Sales","Australia","2022-10-01","2018",0,0,0,102125.1,0,165.626
"HR","Canada","2022-10-01","2018",0,0,0,131031.8,0,211.503
"Technology","United Kingdom","2022-10-01","2018",0,0,0,113733.3,0,185.416
"Technology","Germany","2022-10-01","2018",0,0,0,120008.3,0,194.552
"Sales","Netherlands","2022-10-01","2018",0,0,0,99837.4,0,161.166
"Sales","USA","2022-10-01","2018",0,0,0,95203.3,0,154.065
"Sales","India","2022-10-01","2018",0,0,0,104901.6,0,171.76
"Sales","United Kingdom","2022-10-01","2018",0,0,0,131234.9,0,211.875
"Sales","Canada","2022-10-01","2018",0,0,0,102911.4,0,163.991
"Marketing","India","2022-10-01","2018",0,0,0,115879.4,0,188.491
"Finance","United Kingdom","2022-10-01","2018",0,0,0,103765.9,0,169.578
"Sales","USA","2022-10-01","2019",0,0,0,97242.3,0,156.27
"Finance","Netherlands","2022-10-01","2019",0,0,0,112502.1,0,182.743
"Technology","United Kingdom","2022-10-01","2019",0,0,0,105123.1,0,171.019
"Technology","Canada","2022-10-01","2019",0,0,0,66302.8,0,105.993
"Sales","United Kingdom","2022-10-01","2019",0,0,0,112992.6,0,186.809
"Finance","Canada","2022-10-01","2019",0,0,0,97631.3,0,158.237
"Finance","Germany","2022-10-01","2019",0,0,0,109991.8,0,176.894
"Marketing","Australia","2022-10-01","2019",0,0,0,105764.2,0,168.031
"Technology","Australia","2022-10-01","2019",0,0,0,100130.3,0,163.561
"HR","India","2022-10-01","2019",0,0,0,104526.9,0,172.268
"Marketing","Germany","2022-10-01","2019",0,0,0,97438.4,0,153.52
"HR","Japan","2022-10-01","2019",0,0,0,120816.6,0,194.455
"Sales","France","2022-10-01","2019",0,0,0,96934.3,0,157.068
"Sales","Germany","2022-10-01","2019",0,0,0,120524.5,0,196.376
"Marketing","Netherlands","2022-10-01","2019",0,0,0,137073.6,0,224.105
"HR","Germany","2022-10-01","2019",0,0,0,90950.2,0,147.348
"Finance","France","2022-10-01","2019",0,0,0,137250.6,0,225.269
"Technology","USA","2022-10-01","2019",0,0,0,132986.4,0,216.537
"Finance","Japan","2022-10-01","2019",0,0,0,130393.5,0,212.06
"Finance","India","2022-10-01","2019",0,0,0,155819.5,0,255.653
"HR","USA","2022-10-01","2019",0,0,0,75233,0,120.393
"HR","Netherlands","2022-10-01","2019",0,0,0,117656.6,0,192.248
"HR","Canada","2022-10-01","2019",0,0,0,94181.9,0,151.261
"Sales","Australia","2022-10-01","2019",0,0,0,94792.2,0,154.474
"Marketing","USA","2022-10-01","2019",0,0,0,132130.3,0,215.669
"HR","France","2022-10-01","2019",0,0,0,119632,0,194.787
"Technology","Japan","2022-10-01","2019",0,0,0,117395,0,191.379
"Marketing","Canada","2022-10-01","2019",0,0,0,86130.8,0,138.802
"Finance","Australia","2022-10-01","2019",0,0,0,119684.9,0,80
"HR","Australia","2022-10-01","2019",0,0,0,132408.7,0,218.936
"Marketing","United Kingdom","2022-10-01","2019",0,0,0,79292,0,128.768
"Finance","United Kingdom","2022-10-01","2019",0,0,0,126147.6,0,201.864
"Technology","India","2022-10-01","2019",0,0,0,99106.9,0,158.631
"Technology","France","2022-10-01","2019",0,0,0,129772.6,0,211.441
"Technology","Netherlands","2022-10-01","2019",0,0,0,138801.3,0,228.77
"Marketing","France","2022-10-01","2019",0,0,0,133760.5,0,218.843
"Marketing","Japan","2022-10-01","2019",0,0,0,56721.4,0,93.597
"Sales","Netherlands","2022-10-01","2019",0,0,0,132825.6,0,216.094
"Finance","USA","2022-10-01","2019",0,0,0,131024.1,0,212.89
"Marketing","India","2022-10-01","2019",0,0,0,125596.5,0,204.99
"Sales","Japan","2022-10-01","2019",0,0,0,102790.3,0,167.968
"HR","United Kingdom","2022-10-01","2019",0,0,0,90379.1,0,146.561
"Sales","Canada","2022-10-01","2019",0,0,0,119689.9,0,194.048
"Sales","India","2022-10-01","2019",0,0,0,89103.7,0,143.846
"Technology","Germany","2022-10-01","2019",0,0,0,85356.7,0,136.544
"Marketing","Netherlands","2022-10-01","2020",0,0,0,117905.6,0,191.808
"Marketing","USA","2022-10-01","2020",0,0,0,103870.9,0,167.658
"Sales","Australia","2022-10-01","2020",0,0,0,139700.5,0,228.637
"Finance","Australia","2022-10-01","2020",0,0,0,122241.4,0,110
"Marketing","France","2022-10-01","2020",0,0,0,105493.1,0,165.644
"Marketing","India","2022-10-01","2020",0,0,0,128217.8,0,211.362
"HR","Netherlands","2022-10-01","2020",0,0,0,87461.9,0,139.973
"Technology","India","2022-10-01","2020",0,0,0,142520.5,0,231.624
"Sales","USA","2022-10-01","2020",0,0,0,111032.2,0,181.873
"Finance","India","2022-10-01","2020",0,0,0,104046.1,0,168.578
"Finance","Canada","2022-10-01","2020",0,0,0,151517.4,0,246.364
"Sales","India","2022-10-01","2020",0,0,0,134073.5,0,218.416
"Marketing","Australia","2022-10-01","2020",0,0,0,76304.7,0,120.543
"Technology","Australia","2022-10-01","2020",0,0,0,104400.8,0,166.118
"Finance","France","2022-10-01","2020",0,0,0,144408.2,0,232.726
"Finance","USA","2022-10-01","2020",0,0,0,92820.1,0,148.975
"Technology","Netherlands","2022-10-01","2020",0,0,0,64046.4,0,102.542
"Technology","Japan","2022-10-01","2020",0,0,0,140175.6,0,226.874
"Sales","Netherlands","2022-10-01","2020",0,0,0,116302,0,189.145
"Marketing","Japan","2022-10-01","2020",0,0,0,119241.8,0,194.894
"HR","Canada","2022-10-01","2020",0,0,0,129935,0,213.176
"Finance","Japan","2022-10-01","2020",0,0,0,122512.6,0,200.012
"HR","Germany","2022-10-01","2020",0,0,0,108331.2,0,177.113
"HR","United Kingdom","2022-10-01","2020",0,0,0,99272.4,0,160.184
"Sales","Canada","2022-10-01","2020",0,0,0,98067.3,0,157.408
"Technology","Canada","2022-10-01","2020",0,0,0,98573.5,0,159.89
"Marketing","United Kingdom","2022-10-01","2020",0,0,0,147377.3,0,241.041
"HR","USA","2022-10-01","2020",0,0,0,77120.2,0,125.857
"HR","Australia","2022-10-01","2020",0,0,0,132868.8,0,219.472
"HR","Japan","2022-10-01","2020",0,0,0,89457.2,0,144.064
"HR","France","2022-10-01","2020",0,0,0,123897.2,0,203.484
"Sales","Germany","2022-10-01","2020",0,0,0,117499.6,0,188.435
"Sales","United Kingdom","2022-10-01","2020",0,0,0,152857.7,0,248.434
"Finance","United Kingdom","2022-10-01","2020",0,0,0,132126.3,0,213.072
"Technology","Germany","2022-10-01","2020",0,0,0,98080.1,0,158.469
"Technology","United Kingdom","2022-10-01","2020",0,0,0,105412.5,0,170.488
"Sales","Japan","2022-10-01","2020",0,0,0,115073.2,0,188.695
"Sales","France","2022-10-01","2020",0,0,0,99261.7,0,159.334
"HR","India","2022-10-01","2020",0,0,0,111164,0,176.058
"Marketing","Canada","2022-10-01","2020",0,0,0,133743.8,0,218.045
"Finance","Germany","2022-10-01","2020",0,0,0,95430.4,0,154.402
"Finance","Netherlands","2022-10-01","2020",0,0,0,111201.3,0,180.08
"Technology","France","2022-10-01","2020",0,0,0,93005.5,0,150.491
"Technology","USA","2022-10-01","2020",0,0,0,88723.6,0,144.039
"Marketing","Germany","2022-10-01","2020",0,0,0,108791.7,0,176.705
"Technology","India","2022-10-01","2021",0,0,0,148345.5,0,243.612
"Finance","Canada","2022-10-01","2021",0,0,0,81241.6,0,131.196
"HR","France","2022-10-01","2021",0,0,0,133989.9,0,218.062
"Sales","India","2022-10-01","2021",0,0,0,146143,0,239.181
"Marketing","Netherlands","2022-10-01","2021",0,0,0,108042.9,0,175.812
"Finance","USA","2022-10-01","2021",0,0,0,113998.5,0,182.806
"Finance","France","2022-10-01","2021",0,0,0,109944,0,178.43
"Finance","Australia","2022-10-01","2021",0,0,0,126864.3,0,95
