"LastProcessedDate","SpendBasedPredictedEmissionBucket","Date","SpendBasedEmissionBucket","DateBucket","Supplier_Type","Spend_Based_Emission","Qty_Based_Emission","Spend_Based_Predicted_Emission","Floor_Area","Headcount","Qty_Based_Predicted_Emission","Revenue"
"2023-09-18","Null - No Value","2017-06-15","CY-8 / 78 K Total / Software 14K","6 Years Ago - 2017","Data Processing",14000,10000,,900,900,,900
"2023-09-18","CY+2 / 68 K Total / Software 14K","2025-06-05","NULL - No Value","2 Years Later","Software",,,14000,200,1400,10000,3000
"2023-09-18","CY / 62 K Total / Employment Service 5K","2023-09-23","CY / 62 K Total / Employment Service 5K  ","Current Year","Employment Service",5000,1000,5000,700,700,1000,700
"2023-09-18","Null - No Value","2020-04-12","CY-8 / 78 K Total / Data Processing 9K","3 Years Ago - 2020","Telecommunication",9000,5000,,850,100,,1900
"2023-09-18","Null - No Value","2022-10-30","CY-9 / 73 K Total / Data Processing 9K","Last Year - 2022","Other Real Estate",9000,5000,,1600,250,,1600
"2023-09-18","Null - No Value","2016-06-23","CY-7 / 46 K Total / Business Support 9K","7 Years Ago - 2016","Business Support",9000,5000,,700,500,,2800
"2023-09-18","Null - No Value","2014-06-02","CY-9 / 73 K Total / Legal Services 11K","9 Years Ago - 2014","Legal Services",11000,6000,,800,600,,2300
"2023-09-18","Null - No Value","2015-09-13","CY-4 / 72 K Total / Data Processing 8K","8 Years Ago - 2015","Employment Service",8000,3000,,700,700,,700
"2023-09-18","Null - No Value","2021-05-20","CY-4 / 72 K Total / Telecommunication 11K","2 Years Ago - 2021","Telecommunication",11000,7000,,850,100,,1900
"2023-09-18","Null - No Value","2019-11-03","CY-4 / 72 K Total / Other Real State 10K","4 Years Ago - 2019","Other Real Estate",10000,6000,,1600,250,,1600
"2023-09-18","CY+1 / 52 K Total / Business Support 9K","2024-11-07","NULL - No Value","Next Year","Business Support",,,9000,700,500,5000,2800
"2023-09-18","Null - No Value","2018-08-22","CY-9 / 73 K Total / Legal Services 11K","5 Years Ago - 2018","Software",11000,7000,,200,1400,,3000
"2023-09-18","Null - No Value","2013-06-07","CY / 62 K Total / Legal Services 10K  ","10 Years Ago - 2013","Legal Services",10000,5000,,800,600,,2300
"2023-09-18","Null - No Value","2018-03-20","CY-9 / 73 K Total / Employment Service 8K","5 Years Ago - 2018","Data Processing",8000,4000,,900,900,,900
"2023-09-18","CY / 62 K Total / Software 13K","2023-05-17","CY / 62 K Total / Software 13K  ","Current Year","Software",13000,9000,13000,200,1400,9000,3000
"2023-09-18","Null - No Value","2020-11-16","CY-7 / 46 K Total / Software 10K","3 Years Ago - 2020","Other Real Estate",10000,6000,,1600,250,,1600
"2023-09-18","Null - No Value","2021-03-13","CY-10 / 57 K Total / Other Real Estate 7K  ","2 Years Ago - 2021","Business Support",7000,3000,,700,500,,2800
"2023-09-18","CY+1 / 52 K Total / Employment Service 5K","2025-03-29","NULL - No Value","2 Years Later","Employment Service",,,5000,700,700,1000,700
"2023-09-18","CY+1 / 52 K Total / Telecommunication 8K","2024-04-27","NULL - No Value","Next Year","Telecommunication",,,8000,850,100,4000,1900
"2023-09-18","Null - No Value","2019-01-07","CY-4 / 72 K Total / Data Processing 8K","4 Years Ago - 2019","Data Processing",8000,4000,,900,900,,900
"2023-09-18","Null - No Value","2016-03-08","CY-7 / 46 K Total / Legal Services 8K","7 Years Ago - 2016","Legal Services",8000,4000,,800,600,,2300
"2023-09-18","Null - No Value","2022-12-07","CY-4 / 72 K Total / Business Support 12K","Last Year - 2022","Employment Service",12000,8000,,700,700,,700
"2023-09-18","Null - No Value","2013-01-11","CY-10 / 57 K Total / Legal Services 9K  ","10 Years Ago - 2013","Legal Services",9000,4000,,800,600,,2300
"2023-09-18","Null - No Value","2014-06-14","CY-9 / 73 K Total / Telecommunication 10K","9 Years Ago - 2014","Telecommunication",10000,5000,,850,100,,1900
"2023-09-18","Null - No Value","2015-03-22","CY-8 / 78 K Total / Software 14K","8 Years Ago - 2015","Software",14000,9000,,200,1400,,3000
"2023-09-18","Null - No Value","2017-03-03","CY-10 / 57 K Total / Legal Services 9K  ","6 Years Ago - 2017","Business Support",9000,5000,,700,500,,2800
"2023-09-18","Null - No Value","2020-04-28","CY-10 / 57 K Total / Telecommunication 8K  ","3 Years Ago - 2020","Data Processing",8000,4000,,900,900,,900
"2023-09-18","Null - No Value","2013-04-29","CY / 62 K Total / Other Real Estate 7K  ","10 Years Ago - 2013","Other Real Estate",7000,2000,,1600,250,,1600
"2023-09-18","Null - No Value","2019-04-09","CY-4 / 72 K Total / Software 13K","4 Years Ago - 2019","Software",13000,9000,,200,1400,,3000
"2023-09-18","Null - No Value","2022-05-02","CY-4 / 72 K Total / Software 13K","Last Year - 2022","Employment Service",13000,9000,,700,700,,700
"2023-09-18","CY+1 / 52 K Total / Telecommunication 8K","2024-09-11","NULL - No Value","Next Year","Telecommunication",,,8000,850,100,4000,1900
"2023-09-18","Null - No Value","2014-08-29","CY-9 / 73 K Total / Legal Services 11K","9 Years Ago - 2014","Legal Services",11000,6000,,800,600,,2300
"2023-09-18","Null - No Value","2016-03-29","CY-7 / 46 K Total / Business Support 9K","7 Years Ago - 2016","Business Support",9000,5000,,700,500,,2800
"2023-09-18","CY+2 / 68 K Total / Data Processing 7K","2025-06-02","NULL - No Value","2 Years Later","Data Processing",,,7000,900,900,3000,900
"2023-09-18","Null - No Value","2018-04-06","CY / 62 K Total / Data Processing 6K  ","5 Years Ago - 2018","Other Real Estate",6000,2000,,1600,250,,1600
"2023-09-18","CY / 62 K Total / Employment Service 5K","2023-06-12","CY / 62 K Total / Employment Service 5K  ","Current Year","Employment Service",5000,1000,5000,700,700,1000,700
"2023-09-18","Null - No Value","2017-01-26","CY-8 / 78 K Total / Business Support 13K","6 Years Ago - 2017","Telecommunication",13000,9000,,850,100,,1900
"2023-09-18","Null - No Value","2021-04-10","CY / 62 K Total / Software 13K  ","2 Years Ago - 2021","Other Real Estate",13000,9000,,1600,250,,1600
"2023-09-18","Null - No Value","2015-07-13","CY-8 / 78 K Total / Business Support 13K","8 Years Ago - 2015","Business Support",13000,8000,,700,500,,2800
"2023-09-18","Null - No Value","2020-06-26","CY-7 / 46 K Total / Other Real State 5K","3 Years Ago - 2020","Legal Services",5000,1000,,800,600,,2300
"2023-09-18","CY+2 / 68 K Total / Software 14K","2025-09-02","NULL - No Value","2 Years Later","Software",,,14000,200,1400,10000,3000
"2023-09-18","Null - No Value","2022-08-04","CY-4 / 72 K Total / Other Real State 10K","Last Year - 2022","Data Processing",10000,6000,,900,900,,900
"2023-09-18","Null - No Value","2021-04-16","CY / 62 K Total / Legal Services 10K  ","2 Years Ago - 2021","Legal Services",10000,6000,,800,600,,2300
"2023-09-18","CY+1 / 52 K Total / Software 9K","2024-07-08","NULL - No Value","Next Year","Software",,,9000,200,1400,5000,3000
"2023-09-18","CY / 62 K Total / Business Support 12K","2023-12-03","CY / 62 K Total / Business Support 12K  ","Current Year","Business Support",12000,8000,12000,700,500,8000,2800
"2023-09-18","Null - No Value","2018-02-25","CY-10 / 57 K Total / Employment Service 5K  ","5 Years Ago - 2018","Employment Service",5000,1000,,700,700,,700
"2023-09-18","Null - No Value","2016-09-27","CY-7 / 46 K Total / Telecommunication 7K","7 Years Ago - 2016","Telecommunication",7000,3000,,850,100,,1900
"2023-09-18","Null - No Value","2017-04-18","CY / 62 K Total / Employment Service 5K  ","6 Years Ago - 2017","Other Real Estate",5000,1000,,1600,250,,1600
"2023-09-18","Null - No Value","2019-07-05","CY-4 / 72 K Total / Data Processing 8K","4 Years Ago - 2019","Data Processing",8000,4000,,900,900,,900
"2023-09-18","Null - No Value","2013-12-09","CY-10 / 57 K Total / Data Processing 6K  ","10 Years Ago - 2013","Data Processing",6000,1000,,900,900,,900
"2023-09-18","Null - No Value","2014-04-21","CY-9 / 73 K Total / Software 14K","9 Years Ago - 2014","Software",14000,9000,,200,1400,,3000
"2023-09-18","Null - No Value","2015-12-20","CY-8 / 78 K Total / Telecommunication 11K","8 Years Ago - 2015","Telecommunication",11000,6000,,850,100,,1900
"2023-09-18","Null - No Value","2022-12-09","CY / 62 K Total / Other Real Estate 7K  ","Last Year - 2022","Business Support",7000,3000,,700,500,,2800
"2023-09-18","Null - No Value","2019-08-12","CY-4 / 72 K Total / Other Real State 10K","4 Years Ago - 2019","Other Real Estate",10000,6000,,1600,250,,1600
"2023-09-18","Null - No Value","2020-10-25","CY-8 / 78 K Total / Other Real State 11K","3 Years Ago - 2020","Employment Service",11000,7000,,700,700,,700
