"ProjectName","ProjectId","LastProcessedDate","MitigationType","ProjectExternaId","ReportDate","BusinessRegion","CountryCode3Digits","AdditionalBenefits","ProjectType","Country","TotalPurchasedCredits","CostPerUnit","AvgCreditsPurchased","TotalAllocatedCredits","CreditsAvailable","CreditsAllocated","AvgPrice","TotalAvailableCredits","SustainabilityCredits","CreditsPurchased"
"Carbon Credit Project 54",,"2023-09-18","Removal","SDO.1054","2019-11-26","APAC","VNM","Energy Access","Renewable Energy","Vietnam",2500,20,30,1150,5,2,24,1350,750,1
"Carbon Credit Project 38 - ESP",,"2023-09-18","Reduction","SDO.1038","2015-07-10","EMEA","ESP","Health","Agriculture","Spain",2500,20,90,1150,4,3,24,1350,750,1
"Carbon Credit Project 67",,"2023-09-18","Removal","SDO.1067","2014-04-28","EMEA","HUN","Biodiversity","Agriculture","Hungary",2500,20,80,1150,4,3,24,1350,750,1
"Carbon Credit Project 54",,"2023-09-18","Removal","SDO.1054","2015-04-15","APAC","VNM","Energy Access","Renewable Energy","Vietnam",2500,30,20,1150,4,3,24,1350,750,2
"Carbon Credit Project 38 - ESP",,"2023-09-18","Reduction","SDO.1038","2021-06-24","EMEA","ESP","Health","Agriculture","Spain",2500,30,90,1150,1,1,24,1350,750,1
"Carbon Credit Project 67",,"2023-09-18","Removal","SDO.1067","2023-01-26","EMEA","HUN","Biodiversity","Agriculture","Hungary",2500,20,80,1150,3,4,24,1350,750,1
"Carbon Credit Project 67",,"2023-09-18","Removal","SDO.1067","2023-11-07","EMEA","HUN","Biodiversity","Agriculture","Hungary",2500,20,20,1150,5,4,24,1350,750,1
"Carbon Credit Project 38 - ESP",,"2023-09-18","Reduction","SDO.1038","2018-11-30","EMEA","ESP","Health","Agriculture","Spain",2500,30,90,1150,1,2,24,1350,750,1
"Carbon Credit Project 54",,"2023-09-18","Removal","SDO.1054","2018-11-05","APAC","VNM","Energy Access","Renewable Energy","Vietnam",2500,20,20,1150,3,2,24,1350,750,2
"Carbon Credit Project 38 - ESP",,"2023-09-18","Reduction","SDO.1038","2020-11-21","EMEA","ESP","Health","Agriculture","Spain",2500,30,80,1150,2,2,24,1350,750,1
