"AccountId","Measures","Scope","LastProcessedDate","AccountExternalId","Date","AccountName","Scope_Emissions"
"001B000001SklaOIAR","Actual Emissions (tCO2e)","Scope 1","2023-06-16","SupplierAcct204","2028-12-24","Yubo LATAM",
"001B000001SklaOIAR","Target Compensated Emissions (tCO2e)","Scope 2","2023-06-16","SupplierAcct204","2033-03-01","Yubo LATAM",0
"001B000001SklaOIAR","Forecasted Emissions (tCO2e)","Scope 1","2023-06-16","SupplierAcct204","2021-12-17","Yubo LATAM",
"001B000001SklaOIAR","Final Forecasted Emissions (tCO2e)","Scope 3","2023-06-16","SupplierAcct204","2039-02-23","Yubo LATAM",100000
"001B000001SklaOIAR","Net Emissions Forecast (tCO2e)","Scope 3","2023-06-16","SupplierAcct204","2027-11-14","Yubo LATAM",200000
"001B000001SklaOIAR","Forecasted Emissions (tCO2e)","Scope 1","2023-06-16","SupplierAcct204","2034-05-05","Yubo LATAM",0
"001B000001SklaOIAR","Actual Emissions (tCO2e)","Scope 3","2023-06-16","SupplierAcct204","2025-04-01","Yubo LATAM",
"001B000001SklaOIAR","Forecasted Emissions (tCO2e)","Scope 1","2023-06-16","SupplierAcct204","2029-07-30","Yubo LATAM",0
"001B000001SklaOIAR","Final Forecasted Emissions (tCO2e)","Scope 2","2023-06-16","SupplierAcct204","2041-06-30","Yubo LATAM",0
"001B000001SklaOIAR","Required Carbon Credits (tCO2e)","Scope 2","2023-06-16","SupplierAcct204","2035-02-22","Yubo LATAM",50000
"001B000001SklaOIAR","Final Forecasted Emissions (tCO2e)","Scope 2","2023-06-16","SupplierAcct204","2031-11-10","Yubo LATAM",0
"001B000001SklaOIAR","Forecasted Emissions (tCO2e)","Scope 3","2023-06-16","SupplierAcct204","2020-02-05","Yubo LATAM",
"001B000001SklaOIAR","Required Carbon Credits (tCO2e)","Scope 2","2023-06-16","SupplierAcct204","2036-12-14","Yubo LATAM",0
"001B000001SklaOIAR","Target Emissions (tCO2e)","Scope 1","2023-06-16","SupplierAcct204","2038-01-06","Yubo LATAM",0
