"Supplier_Tier","HasScoreCard","Emission_Calculation_Method","LastProcessedDate","Rank","Date","SupplierExternalId","Emissions_Reduction_Type","Reporting_Scope","SupplierId","Score_Card_Status","SBTI_Target_Status","Supplier","Location","Reported_Emissions","Procurement_Expense","ScoreCardOrder","Calculated_Emissions","Procurement_Emissions","Expense_Ratio","Contribution_to_Total_Emissions","Contribution_total_Emissions_Card","RankNro"
"Tier 1","No","None","2023-09-18","29","2023-07-19","Supplier116","2°C",,"0eMB0000000Gy6RMAS",,"None","Ravenman","UK",4500,250,,3375,228,0.912,1,0.091295,29
"Tier 1","No","None","2023-09-18","28","2022-08-16","Supplier6","3°C",,"0eMB0000000Gy4sMAC",,"None","General Utilities","India",4500,150000,,3375,232,0.001547,1,0.09295,28
"Tier 1","No","None","2023-09-18","28","2023-10-30","Supplier6","1.5 °C",,"0eMB0000000Gy4sMAC",,"None","General Utilities","UK",3500,150000,,2625,232,0.001547,1,0.09295,28
"Tier 1","No","None","2023-09-18","29","2022-11-15","Supplier116","1.5 °C",,"0eMB0000000Gy6RMAS",,"None","Ravenman","Canada",6500,20000,,4875,228,0.0114,1,0.091295,29
"Tier 1","No","None","2023-09-18","29","2022-03-30","Supplier116","1.5 °C",,"0eMB0000000Gy6RMAS",,"None","Ravenman","Canada",4500,30000,,3375,228,0.0076,1,0.091295,29
"Tier 1","No","None","2023-09-18","28","2023-02-22","Supplier6","1.5 °C",,"0eMB0000000Gy4sMAC",,"None","General Utilities","Germany",6500,15000,,4875,232,0.015467,1,0.09295,28
"Tier 1","No","None","2023-09-18","28","2023-04-21","Supplier6","3°C",,"0eMB0000000Gy4sMAC",,"None","General Utilities","India",3500,20000,,2625,232,0.0116,1,0.09295,28
"Tier 1","No","None","2023-09-18","29","2023-02-13","Supplier116","1.5 °C",,"0eMB0000000Gy6RMAS",,"None","Ravenman","Australia",3500,250,,2625,228,0.912,1,0.091295,29
"Tier 1","No","None","2023-09-18","29","2022-03-11","Supplier116","1.5 °C",,"0eMB0000000Gy6RMAS",,"None","Ravenman","UK",5500,300,,4125,228,0.76,1,0.091295,29
"Tier 1","No","None","2023-09-18","28","2022-03-20","Supplier6","2°C",,"0eMB0000000Gy4sMAC",,"None","General Utilities","Canada",4500,400000,,3375,232,0.00058,1,0.09295,28
"Tier 1","No","None","2023-09-18","28","2023-09-04","Supplier6","2°C",,"0eMB0000000Gy4sMAC",,"None","General Utilities","UK",4500,300,,3375,232,0.773333,1,0.09295,28
"Tier 1","No","None","2023-09-18","29","2023-06-12","Supplier116","2°C",,"0eMB0000000Gy6RMAS",,"None","Ravenman","Canada",3500,30000,,2625,228,0.0076,1,0.091295,29
"Tier 1","No","None","2023-09-18","29","2022-01-11","Supplier116","1.5 °C",,"0eMB0000000Gy6RMAS",,"None","Ravenman","Canada",5500,150000,,4125,228,0.00152,1,0.091295,29
"Tier 1","No","None","2023-09-18","28","2023-01-21","Supplier6","3°C",,"0eMB0000000Gy4sMAC",,"None","General Utilities","Germany",6500,15000,,4875,232,0.015467,1,0.09295,28
"Tier 1","No","None","2023-09-18","29","2023-10-13","Supplier116","1.5 °C",,"0eMB0000000Gy6RMAS",,"None","Ravenman","UK",4500,150000,,3375,228,0.00152,1,0.091295,29
"Tier 1","No","None","2023-09-18","28","2023-08-01","Supplier6","2°C",,"0eMB0000000Gy4sMAC",,"None","General Utilities","India",6500,200,,4875,232,1.16,1,0.09295,28
"Tier 1","No","None","2023-09-18","28","2022-10-28","Supplier6","1.5 °C",,"0eMB0000000Gy4sMAC",,"None","General Utilities","India",3500,250,,2625,232,0.928,1,0.09295,28
"Tier 1","No","None","2023-09-18","29","2022-11-13","Supplier116","2°C",,"0eMB0000000Gy6RMAS",,"None","Ravenman","UK",4500,400000,,3375,228,0.00057,1,0.091295,29
"Tier 1","No","None","2023-09-18","28","2022-08-02","Supplier6","1.5 °C",,"0eMB0000000Gy4sMAC",,"None","General Utilities","Germany",6500,250,,4875,232,0.928,1,0.09295,28
"Tier 1","No","None","2023-09-18","29","2022-02-08","Supplier116","1.5 °C",,"0eMB0000000Gy6RMAS",,"None","Ravenman","Canada",5500,15000,,4125,228,0.0152,1,0.091295,29
"Tier 1","No","None","2023-09-18","29","2023-12-16","Supplier116","2°C",,"0eMB0000000Gy6RMAS",,"None","Ravenman","UK",3500,200,,2625,228,1.14,1,0.091295,29
"Tier 1","No","None","2023-09-18","28","2022-10-01","Supplier6","2°C",,"0eMB0000000Gy4sMAC",,"None","General Utilities","Canada",3500,15000,,2625,232,0.015467,1,0.09295,28
"Tier 1","No","None","2023-09-18","29","2022-10-22","Supplier116","2°C",,"0eMB0000000Gy6RMAS",,"None","Ravenman","UK",6500,200,,4875,228,1.14,1,0.091295,29
"Tier 1","No","None","2023-09-18","28","2022-08-18","Supplier6","2°C",,"0eMB0000000Gy4sMAC",,"None","General Utilities","Canada",6500,150000,,4875,232,0.001547,1,0.09295,28
"Tier 1","No","None","2023-09-18","28","2022-04-27","Supplier6","1.5 °C",,"0eMB0000000Gy4sMAC",,"None","General Utilities","India",6500,400000,,4875,232,0.00058,1,0.09295,28
"Tier 1","No","None","2023-09-18","29","2022-10-01","Supplier116","2°C",,"0eMB0000000Gy6RMAS",,"None","Ravenman","UK",4500,30000,,3375,228,0.0076,1,0.091295,29
