"Type_of_Waste","Scope","Category_of_Waste","LastProcessedDate","Treatment_Methods","Date","Scope_3_Upstream_Emissions","Waste_Quantity","Landfill_Waste","Scope_3_Downstream_Emissions","Scope_1_Emissions","Combustion_Waste"
"PET","Scope 1 Emissions","Hazardous","2023-02-24","Composed","2023-10-11",,1500,111,,,18
"Batteries","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Combusted","2020-08-24",,500,97,1567,,28
"Aluminum Cans","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2022-11-07",1100,500,140,,,11
"PVC","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Recycled","2021-10-15",1125,1000,108,,,10
"Aluminum Cans","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Dry Digestate)","2023-08-02",,2000,108,,,15
"Office Paper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2020-10-01",,1000,140,,850,11
"Newspaper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Combusted","2022-01-21",1230,2000,97,,,28
"Newspaper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-06-19",,1500,111,,900,10
"Aluminum Cans","Scope 3 Downstream Emissions","Hazardous","2023-02-24","Landfilled","2021-06-16",,1500,97,2446,,18
"PET","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2020-01-09",,2000,140,,,15
"Office Paper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Recycled","2022-01-15",,1500,111,,590,28
"Office Paper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Combusted","2023-10-02",,2000,108,3244,,15
"Aluminum Cans","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2020-10-30",1069,1500,108,,,18
"Office Paper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2022-10-27",,1500,140,2500,,11
"Newspaper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2023-09-05",,1500,97,,760,10
"Office Paper","Scope 3 Upstream Emissions","Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2021-09-12",1069,1000,111,,,15
"PET","Scope 1 Emissions","Non-Hazardous","2023-02-24","Combusted","2020-09-24",,1500,97,,850,18
"Newspaper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2023-02-25",,500,111,2446,,11
"Aluminum Cans","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2022-11-07",,2000,140,,,10
"Office Paper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-08-29",,1000,108,,760,28
"Aluminum Cans","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Recycled","2021-09-19",,2000,108,3244,,15
"Newspaper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Combusted","2023-12-11",1230,1500,140,,,11
"Newspaper","Scope 1 Emissions","Hazardous","2023-02-24","Recycled","2020-08-17",,1000,111,,590,10
"Office Paper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2022-07-30",,1500,97,1567,,28
"Newspaper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Combusted","2021-10-14",1100,1000,108,,,18
"PET","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2020-03-25",,1500,111,,900,11
"Office Paper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2023-05-13",,1500,97,2500,,10
"Batteries","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Dry Digestate)","2022-11-27",1125,1000,140,,,15
"Aluminum Cans","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2023-10-18",,2000,140,,,28
"Newspaper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Combusted","2022-08-08",,1500,111,,,18
"Office Paper","Scope 3 Upstream Emissions","Hazardous","2023-02-24","Landfilled","2020-10-15",,1500,97,,,28
"Aluminum Cans","Scope 1 Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2021-12-12",,1000,108,,,11
"Newspaper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Recycled","2021-06-04",,1500,97,3244,,15
"Aluminum Cans","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2023-10-24",1230,1500,108,,,10
"Aluminum Cans","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Composed","2022-04-23",,1500,140,,,18
"Newspaper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Combusted","2020-12-26",,1000,111,,850,10
"PET","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Recycled","2023-04-18",1069,1000,111,,,18
"Aluminum Cans","Scope 1 Emissions","Hazardous","2023-02-24","Landfilled","2021-07-28",,1500,97,,900,11
"PVC","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2022-09-23",,500,140,2500,,28
"Office Paper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2020-02-29",1125,2000,108,,,15
"Newspaper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Combusted","2023-10-13",,2000,97,2446,,11
"Aluminum Cans","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2020-07-16",,2000,140,,590,10
"Newspaper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2022-06-09",1100,1000,108,,,28
"PET","Scope 1 Emissions","Non-Hazardous","2023-02-24","Combusted","2021-05-22",,1500,111,,760,15
"Office Paper","Scope 3 Downstream Emissions","Hazardous","2023-02-24","Landfilled","2022-09-09",,1000,97,1567,,18
"Aluminum Cans","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2020-12-26",1069,1500,108,,,15
"Office Paper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Dry Digestate)","2023-01-22",,2000,140,2500,,11
"Newspaper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-03-24",,1000,111,,760,28
"Office Paper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Recycled","2021-02-08",,1500,108,,,10
"Aluminum Cans","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2022-06-07",,2000,97,,590,18
"Office Paper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Combusted","2023-02-13",,1500,140,1567,,28
"PET","Scope 3 Upstream Emissions","Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2020-02-17",1100,1500,111,,,10
"Office Paper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Recycled","2021-08-29",,2000,140,,900,15
"Aluminum Cans","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2020-04-06",,1500,111,2446,,11
"Batteries","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Combusted","2023-10-28",1125,500,108,,,18
"Newspaper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2022-07-07",,1500,97,,,10
"PET","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2023-10-07",,1000,140,,,11
"Office Paper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2022-04-30",1230,1500,111,,,28
"Aluminum Cans","Scope 1 Emissions","Non-Hazardous","2023-02-24","Recycled","2020-02-10",,1000,97,,850,18
"Aluminum Cans","Scope 3 Downstream Emissions","Hazardous","2023-02-24","Composed","2021-11-16",,2000,108,3244,,15
"Office Paper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Combusted","2020-09-20",1069,1500,111,,,15
"Newspaper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2021-04-30",,1500,97,3244,,28
"Newspaper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2023-08-14",,1500,140,,760,10
"Office Paper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2022-08-14",1230,2000,108,,,18
"PET","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2020-10-04",,1000,111,,,11
"Newspaper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Recycled","2022-04-09",,1000,140,,,11
"Newspaper","Scope 3 Upstream Emissions","Hazardous","2023-02-24","Combusted","2023-02-06",1125,1500,108,,,15
"Office Paper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-11-15",,1500,97,,900,18
