"AccountId","BusinessRegion","Asset","AssetExternalId","AccountExternalId","ReportPeriod","ActivityType","LastProcessedDate","ActivitySourceType","TreatmentMethod","AssetType","Country","AssetId","AccountName","FloorArea","WithdrawnWater","ConsumedWater","ConsumedPerDay","DischargedPerDay","EmployeeCount","WithdrawnPerDay","UnitsManufactured","DischargedWater","TreatedWater","WaterManagementCost"
"001B000001SklaNIAR","EMEA","*The Edge HQ","SDO.020","SupplierAcct203","2023-12-31","Discharge","2023-03-24","Ground Water - Renewable","Secondary","Office","NED",,"Yubo Corporation",48500,1200,208,0.57,0.34,29000,3.29,35000,125,836.64,22995
,"EMEA","Tranquility Data Center","SDO.010",,"2022-08-30","Discharge","2023-03-24","Ground Water - Renewable","Primary","Data Center","Germany","0phB00000004MmwIAE",,18000,150,1600,4.38,0.28,10000,0.41,12000,103,6797.7,27795
,"Africa","RDC - Cedar Data Center","SDO.008",,"2013-05-09","Consumption","2023-03-24","Reused Water","Tertiary","Data Center","South Africa",,,12000,2,0,0,0.03,19000,0.01,38500,12,941.22,210
,"Africa","RDC - Cedar Data Center","SDO.008",,"2021-04-17","Consumption","2023-03-24","Third-Party Reserve","Primary","Data Center","South Africa",,,28000,490,376,1.03,0.95,15000,1.34,20000,346,6797.7,18180
,"EMEA","Tranquility Data Center","SDO.010",,"2016-06-27","Discharge","2023-03-24","Sea Water","Secondary","Data Center","Germany","0phB00000004MmwIAE",,18000,60,1820,4.99,0.27,10000,0.16,12000,100,836.64,29700
"001B000001SklaNIAR","EMEA","*The Edge HQ","SDO.020","SupplierAcct203","2016-10-20","Consumption","2023-03-24","Third-Party Reserve","Other","Office","NED",,"Yubo Corporation",18000,654,346,0.95,0.31,10000,1.79,12000,113,104.58,16695
"001B000001SklaNIAR","EMEA","*The Edge HQ","SDO.020","SupplierAcct203","2018-08-29","Withdrawal","2023-03-24","Ground Water - Renewable","Discharge to Env w/o Treatment","Office","NED",,"Yubo Corporation",28000,5,0,0,0.01,15000,0.01,20000,3,1254.96,120
,"EMEA","Tranquility Data Center","SDO.010",,"2016-05-26","Consumption","2023-03-24","Reused Water","Primary","Data Center","Germany","0phB00000004MmwIAE",,18000,50,2000,5.48,0.34,10000,0.14,12000,123,6797.7,32595
,"Africa","RDC - Cedar Data Center","SDO.008",,"2022-07-16","Consumption","2023-03-24","Ground Water - Renewable","Other","Data Center","South Africa",,,18000,1200,208,0.57,0.15,10000,3.29,12000,54,104.58,21930
,"Africa","RDC - Cedar Data Center","SDO.008",,"2017-01-17","Consumption","2023-03-24","Ground Water - Renewable","Other","Data Center","South Africa",,,48500,5,1167,3.2,0.15,29000,0.01,35000,54,104.58,18390
,"EMEA","Tranquility Data Center","SDO.010",,"2016-01-18","Consumption","2023-03-24","Ground Water - Renewable","Primary","Data Center","Germany","0phB00000004MmwIAE",,18000,130,1960,5.37,0.4,10000,0.36,12000,145,6797.7,33525
"001B000001SklaNIAR","EMEA","*The Edge HQ","SDO.020","SupplierAcct203","2016-11-02","Consumption","2023-03-24","Sea Water","Discharge to Env w/o Treatment","Office","NED",,"Yubo Corporation",18000,2,103,0.28,0.34,10000,0.01,12000,125,1254.96,3450
,"EMEA","Tranquility Data Center","SDO.010",,"2018-12-24","Consumption","2023-03-24","Fresh Water","Primary","Data Center","Germany","0phB00000004MmwIAE",,28000,140,1550,4.25,0.36,15000,0.38,20000,132,6797.7,27330
,"Africa","RDC - Cedar Data Center","SDO.008",,"2020-10-11","Withdrawal","2023-03-24","Recycled Water","Secondary","Data Center","South Africa",,,48500,2,0,0,0.01,29000,0.01,35000,3,836.64,75
"001B000001SklaNIAR","EMEA","*The Edge HQ","SDO.020","SupplierAcct203","2014-05-10","Consumption","2023-03-24","Fresh Water","Tertiary","Office","NED",,"Yubo Corporation",38500,140,208,0.57,0.02,29000,0.38,28500,9,941.22,5355
,"Africa","RDC - Cedar Data Center","SDO.008",,"2013-02-20","Consumption","2023-03-24","Fresh Water","Discharge to 3rd Party w/o Treatment","Data Center","South Africa",,,12000,50,346,0.95,0.41,19000,0.14,38500,148,522.9,8160
,"EMEA","Tranquility Data Center","SDO.010",,"2015-10-04","Withdrawal","2023-03-24","Reused Water","Secondary","Data Center","Germany","0phB00000004MmwIAE",,28000,140,1600,4.38,0.36,15000,0.38,20000,132,836.64,28080
"001B000001SklaNIAR","EMEA","*The Edge HQ","SDO.020","SupplierAcct203","2014-09-29","Withdrawal","2023-03-24","Fresh Water","Tertiary","Office","NED",,"Yubo Corporation",38500,1200,1510,4.14,0.02,29000,3.29,28500,9,941.22,40785
,"EMEA","Tranquility Data Center","SDO.010",,"2020-03-11","Consumption","2023-03-24","Ground Water - Non-Renewable","Primary","Data Center","Germany","0phB00000004MmwIAE",,48500,110,2000,5.48,0.39,29000,0.3,35000,141,6797.7,33765
,"Africa","RDC - Cedar Data Center","SDO.008",,"2012-04-05","Consumption","2023-03-24","Ground Water - Renewable","Discharge to 3rd Party w/o Treatment","Data Center","South Africa",,,21000,490,346,0.95,0.02,17000,1.34,16000,9,522.9,12675
"001B000001SklaNIAR","EMEA","*The Edge HQ","SDO.020","SupplierAcct203","2018-06-22","Discharge","2023-03-24","Fresh Water","Other","Office","NED",,"Yubo Corporation",28000,654,208,0.57,0,15000,1.79,20000,0,104.58,12930
,"Africa","RDC - Cedar Data Center","SDO.008",,"2014-08-05","Consumption","2023-03-24","Third-Party Reserve","Discharge to Env w/o Treatment","Data Center","South Africa",,,38500,498,346,0.95,0.02,29000,1.36,28500,9,1254.96,12795
"001B000001SklaNIAR","EMEA","*The Edge HQ","SDO.020","SupplierAcct203","2019-03-27","Consumption","2023-03-24","Reused Water","Discharge to 3rd Party w/o Treatment","Office","NED",,"Yubo Corporation",18000,0,208,0.57,0.33,10000,0,12000,120,522.9,4920
,"EMEA","Tranquility Data Center","SDO.010",,"2012-03-28","Consumption","2023-03-24","Fresh Water","Secondary","Data Center","Germany","0phB00000004MmwIAE",,21000,50,1700,4.66,0.35,17000,0.14,16000,129,836.64,28185
"001B000001SklaNIAR","EMEA","*The Edge HQ","SDO.020","SupplierAcct203","2016-07-27","Consumption","2023-03-24","Ground Water - Renewable","Primary","Office","NED",,"Yubo Corporation",18000,5,1750,4.79,0.01,10000,0.01,12000,3,6797.7,26370
,"EMEA","Tranquility Data Center","SDO.010",,"2016-10-10","Withdrawal","2023-03-24","Fresh Water","Discharge to Env w/o Treatment","Data Center","Germany","0phB00000004MmwIAE",,18000,100,1830,5.01,0.39,10000,0.27,12000,142,1254.96,31080
,"Africa","RDC - Cedar Data Center","SDO.008",,"2017-09-16","Discharge","2023-03-24","Sea Water","Secondary","Data Center","South Africa",,,48500,498,208,0.57,0.15,29000,1.36,35000,54,836.64,11400
,"EMEA","Tranquility Data Center","SDO.010",,"2020-06-25","Withdrawal","2023-03-24","Ground Water - Renewable","Primary","Data Center","Germany","0phB00000004MmwIAE",,48500,90,1620,4.44,0.32,29000,0.25,35000,118,6797.7,27420
,"Africa","RDC - Cedar Data Center","SDO.008",,"2023-06-11","Consumption","2023-03-24","Sea Water","Discharge to 3rd Party w/o Treatment","Data Center","South Africa",,,48500,498,46,0.13,0.15,29000,1.36,35000,54,522.9,8970
"001B000001SklaNIAR","EMEA","*The Edge HQ","SDO.020","SupplierAcct203","2013-06-24","Discharge","2023-03-24","Sea Water","Tertiary","Office","NED",,"Yubo Corporation",12000,2,103,0.28,0.34,19000,0.01,38500,124,941.22,3435
"001B000001SklaNIAR","EMEA","*The Edge HQ","SDO.020","SupplierAcct203","2019-01-03","Consumption","2023-03-24","Recycled Water","Discharge to 3rd Party w/o Treatment","Office","NED",,"Yubo Corporation",18000,80,376,1.03,0.95,10000,0.22,12000,346,522.9,12030
,"EMEA","Tranquility Data Center","SDO.010",,"2012-12-16","Discharge","2023-03-24","Fresh Water","Primary","Data Center","Germany","0phB00000004MmwIAE",,21000,80,1790,4.9,0.33,17000,0.22,16000,120,6797.7,29850
,"Africa","RDC - Cedar Data Center","SDO.008",,"2019-11-21","Withdrawal","2023-03-24","Ground Water - Non-Renewable","Other","Data Center","South Africa",,,18000,1200,46,0.13,0.15,10000,3.29,12000,54,104.58,19500
,"EMEA","Tranquility Data Center","SDO.010",,"2022-07-31","Consumption","2023-03-24","Reused Water","Other","Data Center","Germany","0phB00000004MmwIAE",,18000,90,1970,5.4,0.36,10000,0.25,12000,132,104.58,32880
,"Africa","RDC - Cedar Data Center","SDO.008",,"2020-12-22","Consumption","2023-03-24","Fresh Water","Other","Data Center","South Africa",,,48500,0,98,0.27,0.01,29000,0,35000,3,104.58,1515
"001B000001SklaNIAR","EMEA","*The Edge HQ","SDO.020","SupplierAcct203","2014-07-28","Consumption","2023-03-24","Third-Party Reserve","Primary","Office","NED",,"Yubo Corporation",38500,654,46,0.13,0.28,29000,1.79,28500,101,6797.7,12015
,"Africa","RDC - Cedar Data Center","SDO.008",,"2015-07-12","Consumption","2023-03-24","Reused Water","Discharge to 3rd Party w/o Treatment","Data Center","South Africa",,,28000,654,103,0.28,0.95,15000,1.79,20000,346,522.9,16545
"001B000001SklaNIAR","EMEA","*The Edge HQ","SDO.020","SupplierAcct203","2016-01-31","Withdrawal","2023-03-24","Recycled Water","Primary","Office","NED",,"Yubo Corporation",18000,2,98,0.27,0.15,10000,0.01,12000,54,6797.7,2310
,"EMEA","Tranquility Data Center","SDO.010",,"2021-10-10","Consumption","2023-03-24","Ground Water - Non-Renewable","Tertiary","Data Center","Germany","0phB00000004MmwIAE",,28000,70,1540,4.22,0.29,15000,0.19,20000,107,941.22,25755
,"EMEA","Tranquility Data Center","SDO.010",,"2016-07-17","Withdrawal","2023-03-24","Ground Water - Non-Renewable","Discharge to Env w/o Treatment","Data Center","Germany","0phB00000004MmwIAE",,18000,150,1640,4.49,0.3,10000,0.41,12000,110,1254.96,28500
,"Africa","RDC - Cedar Data Center","SDO.008",,"2018-08-23","Withdrawal","2023-03-24","Sea Water","Discharge to Env w/o Treatment","Data Center","South Africa",,,28000,5,208,0.57,0.15,15000,0.01,20000,54,1254.96,4005
"001B000001SklaNIAR","EMEA","*The Edge HQ","SDO.020","SupplierAcct203","2021-01-23","Consumption","2023-03-24","Reused Water","Tertiary","Office","NED",,"Yubo Corporation",28000,0,103,0.28,0.03,15000,0,20000,12,941.22,1725
,"EMEA","Tranquility Data Center","SDO.010",,"2012-04-14","Discharge","2023-03-24","Reused Water","Discharge to Env w/o Treatment","Data Center","Germany","0phB00000004MmwIAE",,21000,70,1560,4.27,0.29,17000,0.19,16000,105,1254.96,26025
"001B000001SklaNIAR","EMEA","*The Edge HQ","SDO.020","SupplierAcct203","2022-04-14","Discharge","2023-03-24","Ground Water - Renewable","Secondary","Office","NED",,"Yubo Corporation",18000,498,1167,3.2,0.15,10000,1.36,12000,54,836.64,25785
,"Africa","RDC - Cedar Data Center","SDO.008",,"2012-02-16","Consumption","2023-03-24","Third-Party Reserve","Discharge to 3rd Party w/o Treatment","Data Center","South Africa",,,21000,6,46,0.13,0.39,17000,0.02,16000,141,522.9,2895
,"EMEA","Tranquility Data Center","SDO.010",,"2015-03-04","Discharge","2023-03-24","Reused Water","Primary","Data Center","Germany","0phB00000004MmwIAE",,28000,140,1920,5.26,0.28,15000,0.38,20000,102,6797.7,32430
"001B000001SklaNIAR","EMEA","*The Edge HQ","SDO.020","SupplierAcct203","2016-09-25","Consumption","2023-03-24","Fresh Water","Tertiary","Office","NED",,"Yubo Corporation",18000,0,1740,4.77,0.03,10000,0,12000,12,941.22,26280
,"Africa","RDC - Cedar Data Center","SDO.008",,"2020-07-03","Discharge","2023-03-24","Third-Party Reserve","Secondary","Data Center","South Africa",,,48500,150,346,0.95,0,29000,0.41,35000,0,836.64,7440
