Emission_Category,Energy_Consumption,Ground_Travel_Emissions_Category,Consumption_Type,City,RenewalEnergy,Vendor,Date,Business_Travel_Type,Emission_Type,Emission_Source,Country,Cost_Center_Name,Electricity_Consumption_Value,Energy_Consumption_Value,Emission_Value,Emissions_from_Business_Travel,GTE_Value,Carbon_Intensity
Company Shuttle,Steam,Taxi,Electricity,San Fransisco ,False,KLM,2020-04-20, Rental Car,Company Shuttle ,Travel,United States of America,EMEA Sales,15,0,500,7000,,0.63
Data Center Facility,Diesel,,Energy,Tokyo,False,British Airways,2021-10-16,Air Travel,Data Center Facility,Data Center Facility,Japan,AMER HR,0,10,400,15000,,0.29
Vehicle,Fuel Oil,Limousine,Energy,Dublin,False,Delta,2022-02-20,Ground Travel,Hotel Stay,Vehicle,Ireland,LATAM Sales,0,6,150,31000,1000,0.64
Comercial Building,Natural Gas,,Energy,New York,False,United Airlines,2022-02-06,Hotel Stay,Comercial Building,Comercial Building,United States of America,APAC Marketing,0,5,500,31000,,0.6
Equipment,Cooling,,Electricity,San Fransisco ,False,Delta,2022-04-14,Air Travel,Equipment,Equipment,United States of America,General COO,7,0,400,31000,,0.47
Travel,Biomass,,Electricity,Tokyo,True,Emirates,2020-10-03,Private Jet,Private Jet,Travel,Japan,EMEA Sales,18,0,200,7000,,0.49
Vehicle,Geothermal,,Electricity,New York,True,United Airlines,2021-12-31,Ground Travel,Air Travel,Vehicle,United States of America,AMER Sales,5,0,400,15000,,0.27
Travel,Wind,,Electricity,Paris,True,United Airlines,2022-01-25,Ground Travel,Other,Travel,France,EMEA Sales,14,0,400,31000,,0.67
Vehicle,Solar,Personal Car,Electricity,San Fransisco ,True,United Airlines,2022-03-05,Private Jet,Ground Travel,Vehicle,United States of America,General COO,10,0,500,31000,900,0.61
Travel,Hydroelectricity,Subway,Electricity,Paris,True,British Airways,2020-04-21,Air Travel,Fleet Vehicle,Travel,France,APAC Sales,6,0,200,7000,2300,0.05
Company Shuttle,Hydroelectricity,Rental Car,Electricity,Tokyo,True,KLM,2022-04-16,Private Jet,Company Shuttle ,Travel,Japan,LATAM Sales,5,0,150,31000,,0.03
Vehicle,Solar,Subway,Electricity,New York,True,Delta,2021-04-20,Ground Travel,Ground Travel,Vehicle,United States of America,EMEA Sales,11,0,400,15000,1500,0.48
Vehicle,Biomass,Personal Car,Electricity,Dublin,True,United Airlines,2022-03-19, Rental Car,Hotel Stay,Vehicle,Ireland,EMEA Sales,22,0,100,31000,1200,0.08
Data Center Facility,Wind,,Electricity,Paris,True,Delta,2021-06-06,Private Jet,Data Center Facility,Equipment,France,APAC Sales,11,0,100,15000,,0.42
Travel,Heat,,Electricity,San Fransisco ,False,United Airlines,2020-05-29,Air Travel,Other,Travel,United States of America,APAC Sales,15,0,500,7000,,0.47
Travel,Wind,Subway,Electricity,San Fransisco ,True,Delta,2022-02-22,Ground Travel,Fleet Vehicle,Travel,United States of America,APAC Sales,12,0,500,31000,2000,0.62
Equipment,Cooling,,Electricity,San Fransisco ,False,United Airlines,2022-03-07,Private Jet,Equipment,Equipment,United States of America,EMEA Sales,7,0,400,31000,,0.42
Vehicle,Diesel,,Energy,Tokyo,False,British Airways,2021-07-26,Air Travel,Air Travel,Vehicle,Japan,General COO,0,11,100,15000,,0.62
Travel,Biomass,,Electricity,Paris,True,Emirates,2022-03-25,Air Travel,Private Jet,Travel,France,APAC Sales,22,0,100,31000,,0.65
Comercial Building,Solar,,Electricity,New York,True,United Airlines,2020-04-18,Private Jet,Comercial Building,Comercial Building,United States of America,EMEA Sales,5,0,400,7000,,0.68
Travel,Hydroelectricity,Taxi,Electricity,Tokyo,True,KLM,2022-04-26,Hotel Stay,Fleet Vehicle,Travel,Japan,LATAM Sales,3,0,150,31000,1200,0.45
Vehicle,Fuel Oil,,Energy,San Fransisco ,False,United Airlines,2021-03-03,Ground Travel,Air Travel,Vehicle,United States of America,APAC Sales,0,13,500,15000,,0.66
Data Center Facility,Solar,,Electricity,New York,True,Delta,2020-06-23,Air Travel,Data Center Facility,Data Center Facility,United States of America,APAC Marketing,17,0,400,7000,,0.46
Vehicle,Solar,Personal Car,Electricity,Dublin,True,Delta,2022-02-24,Ground Travel,Hotel Stay,Vehicle,Ireland,General COO,15,0,100,31000,2000,0.21
Vehicle,Wind,Personal Car,Electricity,Paris,True,Delta,2022-01-29,Air Travel,Ground Travel,Vehicle,France,AMER HR,1,0,100,31000,900,0.48
Company Shuttle,Biomass,Taxi,Electricity,Tokyo,True,United Airlines,2022-03-21,Private Jet,Company Shuttle ,Travel,Japan,EMEA Sales,23,0,200,31000,,0.25
Equipment,Natural Gas,,Energy,San Fransisco ,False,United Airlines,2020-08-07,Ground Travel,Equipment,Equipment,United States of America,EMEA Sales,0,10,500,7000,,0.47
Travel,Fuel Oil,,Energy,San Fransisco ,False,British Airways,2022-04-20,Ground Travel,Other,Travel,United States of America,AMER Sales,0,9,500,31000,,0.61
Comercial Building,Solar,,Electricity,New York,True,Delta,2021-03-08,Air Travel,Comercial Building,Comercial Building,United States of America,APAC Sales,3,0,400,15000,,0.61
Travel,Wind,,Electricity,New York,True,Delta,2022-03-20, Rental Car,Private Jet,Travel,United States of America,LATAM Sales,12,0,500,31000,,0.24
Company Shuttle,Diesel,Limousine,Energy,Dublin,False,United Airlines,2020-08-12,Private Jet,Company Shuttle ,Travel,Ireland,General COO,0,6,150,7000,,0.09
Equipment,Solar,,Electricity,Paris,True,United Airlines,2022-03-04,Air Travel,Equipment,Equipment,France,APAC Sales,23,0,100,31000,,0.64
Vehicle,Cooling,Subway,Electricity,San Fransisco ,False,KLM,2021-12-08,Private Jet,Ground Travel,Vehicle,United States of America,EMEA Sales,18,0,400,15000,2300,0.45
Vehicle,Solar,,Electricity,Tokyo,True,United Airlines,2022-04-05,Ground Travel,Air Travel,Vehicle,Japan,EMEA Sales,21,0,200,31000,,0.62
Vehicle,Solar,Personal Car,Electricity,New York,True,Delta,2020-10-31, Rental Car,Hotel Stay,Vehicle,United States of America,APAC Sales,1,0,400,7000,1000,0.41
Comercial Building,Biomass,,Electricity,San Fransisco ,True,Emirates,2021-12-21,Private Jet,Comercial Building,Comercial Building,United States of America,AMER HR,2,0,500,15000,,0.66
Travel,Fuel Oil,Subway,Energy,Paris,False,United Airlines,2022-04-10,Ground Travel,Fleet Vehicle,Travel,France,EMEA Sales,0,3,200,31000,1500,0.23
Data Center Facility,Hydroelectricity,,Electricity,Tokyo,True,British Airways,2022-03-13,Air Travel,Data Center Facility,Equipment,Japan,APAC Sales,4,0,150,31000,,0.67
Travel,Wind,,Electricity,San Fransisco ,True,Delta,2020-11-08,Air Travel,Other,Travel,United States of America,EMEA Sales,23,0,500,7000,,0.63
Travel,Solar,,Electricity,New York,True,United Airlines,2022-02-04,Private Jet,Private Jet,Travel,United States of America,EMEA Sales,1,0,400,31000,,0.25
Travel,Solar,,Electricity,San Fransisco ,True,KLM,2021-07-29,Hotel Stay,Private Jet,Travel,United States of America,EMEA Sales,1,0,500,15000,,0.45
Travel,Solar,,Electricity,Tokyo,True,Delta,2022-02-24,Air Travel,Other,Travel,Japan,EMEA Sales,12,0,200,31000,,0.44
Vehicle,Solar,,Electricity,Dublin,True,United Airlines,2020-01-10,Private Jet,Air Travel,Vehicle,Ireland,LATAM Sales,20,0,100,7000,,0.49
Equipment,Solar,,Electricity,San Fransisco ,True,British Airways,2021-07-18,Ground Travel,Equipment,Equipment,United States of America,APAC Sales,15,0,400,15000,,0.67
Company Shuttle,Wind,Personal Car,Electricity,Tokyo,True,Delta,2022-04-07,Ground Travel,Company Shuttle ,Travel,Japan,APAC Marketing,10,0,200,31000,,0.65
Data Center Facility,Hydroelectricity,,Electricity,New York,True,United Airlines,2022-03-19, Rental Car,Data Center Facility,Data Center Facility,United States of America,EMEA Sales,3,0,400,31000,,0.63
Vehicle,Diesel,Rental Car,Energy,San Fransisco ,False,United Airlines,2021-05-07,Private Jet,Hotel Stay,Vehicle,United States of America,General COO,0,1,500,15000,2000,0.48
Comercial Building,Fuel Oil,,Energy,Paris,False,Emirates,2020-02-12,Ground Travel,Comercial Building,Comercial Building,France,General COO,0,1,100,7000,,0.2
Travel,Cooling,Personal Car,Electricity,Paris,False,Delta,2022-01-25,Ground Travel,Fleet Vehicle,Travel,France,EMEA Sales,1,0,200,31000,1200,0.67
Vehicle,Biomass,Subway,Electricity,San Fransisco ,True,Delta,2022-04-12,Private Jet,Ground Travel,Vehicle,United States of America,EMEA Sales,13,0,500,31000,1500,0.62
Vehicle,Wind,Taxi,Electricity,New York,True,KLM,2022-04-23,Air Travel,Hotel Stay,Vehicle,United States of America,LATAM Sales,18,0,400,31000,1000,0.67
Travel,Diesel,Personal Car,Energy,Tokyo,False,United Airlines,2020-09-02,Air Travel,Fleet Vehicle,Travel,Japan,APAC Sales,0,5,200,7000,900,0.2
Comercial Building,Natural Gas,,Energy,San Fransisco ,False,United Airlines,2022-01-24,Air Travel,Comercial Building,Comercial Building,United States of America,APAC Sales,0,13,500,31000,,0.42
Vehicle,Hydroelectricity,,Electricity,Dublin,True,Delta,2021-01-23,Ground Travel,Air Travel,Vehicle,Ireland,APAC Sales,19,0,150,15000,,0.21
Data Center Facility,Biomass,,Electricity,Paris,True,United Airlines,2022-02-24,Ground Travel,Data Center Facility,Equipment,France,General COO,22,0,100,31000,,0.47
Vehicle,Wind,Taxi,Electricity,Tokyo,True,Delta,2021-08-14, Rental Car,Ground Travel,Vehicle,Japan,EMEA Sales,2,0,150,15000,2300,0.46
Equipment,Solar,,Electricity,New York,True,British Airways,2020-12-24,Air Travel,Equipment,Equipment,United States of America,AMER Sales,2,0,500,7000,,0.42
Travel,Biomass,,Electricity,San Fransisco ,True,British Airways,2022-04-15,Private Jet,Private Jet,Travel,United States of America,APAC Sales,16,0,400,31000,,0.65
Company Shuttle,Fuel Oil,Subway,Energy,Tokyo,False,KLM,2022-04-06,Private Jet,Company Shuttle ,Travel,Japan,AMER HR,0,11,400,31000,,0.05
Travel,Solar,,Electricity,San Fransisco ,True,United Airlines,2021-07-14,Ground Travel,Other,Travel,United States of America,EMEA Sales,6,0,500,15000,,0.42
Travel,Solar,,Electricity,Paris,True,Delta,2022-02-02,Hotel Stay,Private Jet,Travel,France,EMEA Sales,19,0,200,31000,,0.66
