"Supplier_Tier","HasScoreCard","Emission_Calculation_Method","Rank","Date","Emissions_Reduction_Type","Reporting_Scope","Score_Card_Status","SBTI_Target_Status","Supplier","Location","Reported_Emissions","Procurement_Expense","ScoreCardOrder","Calculated_Emissions","Procurement_Emissions","Expense_Ratio","Contribution_to_Total_Emissions","Contribution_total_Emissions_Card","RankNro"
"Tier 1","No","None","56","2021-02-26","1.5 °C",,,"None","Xcel Energy","Canada",6500,200,,4875,275,1.375,1,0.10995,56
"Tier 1","No","None","32","2022-03-09","2°C","all scopes",,"None","Green Fields Media","USA",3500,150000,,2625,241,0.001607,1,0.096595,32
"Tier 1","Yes","Supplier Provided","3","2022-08-25","3°C","Scope 1 and 2","Validated","Multiple","*Acme","India",5500,250,3,4125,249,0.996,1,0.0995,3
"Tier 1","No","None","44","2021-10-22","2°C",,,"None","Marriott","UK",4500,20000,,3375,86,0.0043,1,0.03436,44
"Tier 1","No","None","26","2021-05-21","1.5 °C",,,"None","Enterprise","Australia",4500,15000,,3375,234,0.0156,1,0.093495,26
"Tier 1","No","None","17","2022-12-21","2°C",,,"None","Atlas Inc","Germany",6500,400000,,4875,199,0.000498,1,0.0795,17
"Tier 1","No","None","25","2022-09-12","2°C",,,"None","Employnet","Australia",5500,300,,4125,231,0.77,1,0.092395,25
"Tier 1","No","None","54","2021-08-02","1.5 °C",,,"None","United Airline","Germany",3500,30000,,2625,75,0.0025,1,0.02995,54
"Tier 1","No","None","34","2021-05-14","2°C",,,"None","Harmon Consulting","India",3500,500000,,2625,239,0.000478,1,0.095695,34
"Tier 1","No","None","51","2022-07-04","2°C",,,"None","Test Supplier","Canada",5500,200,,4125,1077,5.385,1,0.430995,51
"Tier 1","No","None","47","2022-02-03","3°C",,,"None","RCE, Inc.","USA",4500,400000,,3375,59,0.000148,1,0.0235,47
"Tier 1","No","None","11","2021-10-10","1.5 °C",,,"None","ABC Woodworks","UK",6500,15000,,4875,124,0.008267,1,0.0495,11
"Tier 1","No","None","29","2021-06-09","2°C",,,"None","Glasgow Catering","Canada",6500,30000,,4875,228,0.0076,1,0.091295,29
"Tier 1","No","None","23","2022-01-30","1.5 °C",,,"None","Constellation Energy","Germany",3500,300,,2625,234,0.78,1,0.093495,23
"Tier 1","Yes","Spend Based","6","2022-09-07","2°C",,"Complete","Multiple","Universal Services","Australia",4500,250,4,3375,209,0.836,1,0.0834,6
"Tier 1","No","None","36","2021-04-14","2°C",,,"None","Hertz","UK",5500,500000,,4125,239,0.000478,1,0.095695,36
"Tier 1","No","None","16","2022-02-20","3°C","Scope 1 and 2",,"None","Allied Technologies","USA",3500,150000,,2625,2194,0.014627,1,0.8775,16
"Tier 1","No","None","27","2021-05-19","1.5 °C",,,"None","Five Winds Project, LLC","India",5500,20000,,4125,234,0.0117,1,0.093495,27
"Tier 1","No","None","14","2022-09-02","2°C",,,"None","Air France","Australia",4500,150000,,3375,1424,0.009493,1,0.5695,14
