"Date","Emissions_Scope_Category","Emission_Activity_Category","Target_Renewable_Energy_Percentage","Total_Floor_Area_sqft","Target_Compensated_Emissions_tCO2e","Forecasted_Renewable_Energy_Cons","Forecasted_Emissions_Intensity_Reduc","Forecasted_Emissions_tCO2e","Actual_Renewable_Energy_Cons","Net_Emissions_Forecast_tCO2e","Headcount","Planned_Supplier_Emissions_Reduction","Required_Carbon_Credits_tCO2e","Actual_Emissions_Intensity","Planned_Carbon_Credits_tCO2e","Revenue","Planned_Operational_Emissions_Reduction","Final_Forecasted_Emissions_tCO2e","Actual_Emissions_tCO2e","Target_Emissions_tCo2e"
"2022-02-21","Scope 3","Scope 3 Franchising",30,250000,100000,200000,10,250000,30,0,250,250000,,20,150000,200,200000,,50000,0
"2029-12-06","Scope 1","Fleet Vehicles",0,50000,50000,,0,50000,,50000,50,100000,250000,0,0,200,100000,100000,,200000
"2021-04-21","Scope 2","Commercial Building",10,100000,200000,50000,,,50,100000,150,,,15,,250,250000,,100000,
"2037-11-25","Scope 3","Scope 3 Uncategorized Emissions",15,150000,150000,250000,40,100000,,200000,350,50000,0,,200000,250,0,0,,50000
"2030-08-26","Scope 1","Data Center",20,200000,250000,100000,20,0,,250000,100,150000,100000,25,250000,150,,150000,,150000
"2026-09-22","Scope 2","Private Jet",,50000,0,0,,200000,,,200,,150000,30,50000,150,150000,50000,,
"2032-01-06","Scope 1","Private Jet",30,200000,,150000,30,,,150000,300,200000,200000,10,100000,200,50000,100000,,100000
"2025-09-30","Scope 2","Commercial Building",0,200000,250000,150000,50,150000,,50000,250,0,50000,25,,200,0,100000,,250000
"2033-09-17","Scope 3","Commercial Building",15,100000,100000,0,10,250000,,250000,350,250000,200000,15,,150,150000,250000,,100000
"2023-01-10","Scope 3","Scope 3 Investments",10,150000,150000,250000,30,50000,,0,50,50000,0,30,50000,150,100000,200000,,250000
"2031-10-14","Scope 1","Data Center",,250000,200000,50000,,,,,100,150000,50000,20,150000,150,200000,150000,,150000
"2035-12-16","Scope 2","Fleet Vehicles",20,150000,50000,,20,200000,,200000,300,,100000,0,0,200,50000,0,,50000
"2036-10-17","Scope 1","Data Center",30,200000,,150000,0,100000,,100000,200,0,,10,100000,200,250000,200000,,
"2024-07-22","Scope 2","Fleet Vehicles",0,250000,0,200000,50,0,,150000,150,100000,150000,,200000,200,,100000,,200000
"2040-12-21","Scope 3","Scope 3 Business Travel",,50000,250000,100000,40,150000,,100000,200,200000,250000,,250000,250,100000,250000,,0
"2034-12-19","Scope 2","Private Jet",20,100000,200000,100000,0,0,,150000,300,100000,50000,20,50000,150,50000,,,0
"2038-09-25","Scope 3","Scope 3 Capital Goods",10,150000,150000,,,150000,,0,350,250000,200000,0,150000,200,150000,50000,,
"2028-05-29","Scope 1","Commercial Building",15,250000,50000,200000,40,,,250000,250,,150000,30,250000,150,200000,150000,,250000
"2027-11-07","Scope 3","Scope 3 Purchased Goods Services",10,100000,100000,150000,50,250000,,200000,100,0,0,15,,200,250000,50000,,50000
"2020-01-14","Scope 2","Commercial Building",,200000,0,250000,,,70,,50,,,25,,350,,,250000,
"2019-11-11","Scope 1","Private Jet",0,50000,,50000,,,90,50000,150,,,10,,150,0,,200000,
"2039-07-29","Scope 2","Fleet Vehicles",30,200000,100000,0,10,200000,,0,350,50000,100000,,200000,250,100000,200000,,150000
"2036-08-02","Scope 1","Data Center",20,50000,250000,0,20,50000,,200000,100,150000,,20,100000,250,250000,100000,,100000
"2030-09-16","Scope 3","Scope 3 Processing Sold Products",15,100000,150000,150000,30,100000,,50000,250,200000,250000,25,0,150,200000,250000,,200000
"2021-04-27","Scope 3","Fleet Vehicles",,250000,,100000,,,0,250000,200,,,10,,100,150000,0,,
"2022-12-16","Scope 2","Commercial Building",15,200000,50000,150000,50,50000,,,50,,0,15,150000,300,,150000,0,
"2023-12-09","Scope 1","Data Center",10,150000,0,50000,30,200000,,100000,150,150000,150000,0,100000,150,50000,0,,150000
"2034-05-06","Scope 1","Private Jet",30,50000,200000,,40,250000,,150000,300,250000,100000,30,50000,200,0,200000,,50000
"2035-03-04","Scope 2","Fleet Vehicles",0,100000,50000,250000,,0,,250000,200,200000,250000,10,0,250,100000,100000,,100000
"2029-07-10","Scope 3","Scope 3 Downstream Leased Assets",20,150000,150000,200000,20,100000,,,300,100000,200000,,,150,,50000,,0
"2031-05-05","Scope 3","Scope 3 Waste Generated in Operations",15,250000,0,150000,0,150000,,100000,250,0,,25,200000,200,50000,250000,,200000
"2026-10-24","Scope 2","Commercial Building",0,200000,,150000,10,,,150000,100,50000,50000,20,250000,150,200000,150000,,250000
"2027-01-28","Scope 1","Private Jet",10,200000,100000,,40,,,0,150,0,50000,15,,150,150000,,,150000
"2028-03-25","Scope 1","Data Center",,150000,200000,100000,,50000,,200000,50,,,30,200000,150,0,100000,,250000
"2032-03-13","Scope 3","Scope 3 Upstream Leased Assets",20,200000,250000,250000,10,200000,,50000,350,100000,250000,0,100000,150,250000,50000,,50000
"2040-11-09","Scope 2","Fleet Vehicles",30,50000,150000,50000,30,0,,200000,100,200000,0,15,0,200,50000,,,0
"2019-07-15","Scope 1","Commercial Building",20,250000,50000,0,,,20,100000,300,,,30,,350,100000,150000,150000,
