"Fuel_Type","Asset_Category","Asset","Asset_Type","CountryCode","Date","Business_Region","Carbon_Inventory","Energy_Usage_kBtu_sq_ft","Electricity_Usage_Previous","Electricity_Usage_kWh_m2","Total_Energy_Consumption_kWh","Electricity_Usage_Current","Scope_3_Emissions","Annual_Energy_Intensity_Variance","Energy_Consumption_Intensity_kWh_m2","Total_Renewable_Energy_kWh","Electricity_Usage_kWh_sq_ft","Fuel_Consumption_Liters","Scope_1_Scope_2_Location_Emissions","Total_Diesel_Consumption","Non_Renewal_Resources","Energy_Emissions","Scope_1_Scope_2_Market_Emissions","Annual_Electricity_Intensity_Variance","Electricity_Cons_Intensity_kWh_m2","Total_Fuel_Oil_Consumption","Energy_Consumption","Data_Center_PUE_current","Total_Natural_Gas_consumption_kWh","Renewal_Resources","Total_Steam_Consumption","Data_Center_PUE_previous","Emissions_from_Stationary_Sources","Total_Building_Area","Energy_Usage_kBtu_m2","High_Outliers","Scope_1_Emissions_tCO2e","Fuel_Consumption_Gallons","Low_Outliers","Total_Allocation_Renewable_Energy"
"Electricity","Vehicle","Company Jet #1","Private Jet","IRL","2020-12-14","Middle East",97,3186,450000,17,154000,350000,56634,2,0.01,44000,183,3139,43566,150000,14000000,1775,22345,7,0.02,14570,123324,34124,10547,35000000,404000,12354,2679,2401000,296,15,18608,829,5.8,30800
"Natural Gas","Vehicle","Circle St Tower 8","Fleet Vehicle","BRA","2021-05-06","North America",89,1281,400000,3,135000,450000,67688,12,1.05,57857,32,3139,34345,123678,17000000,1974,21234,7,2.13,14647,123324,45443,79496,29000000,447000,53423,93656,14000,119,13.3,21323,829,2.7,40500
"Steam","Stationary","Straight St Tower 4","Comercial Building","AUS","2022-02-19","AMER",84,3584,350000,16,120000,400000,76855,6,4.19,42857,172,3139,23454,100000,15000000,318,34543,4,8.45,12038,123324,66544,59101,31023124,474000,12454,4158,3160000,333,10,15000,829,1.9,30000
"Diesel","Vehicle","Company Jet #2","Private Jet","CAN","2019-12-01","North America",81,2928,400000,22,154000,300000,67688,18,2.68,33000,237,3560,23454,123678,15000000,1901,21234,10,5.4,10542,123324,45443,26531,29000000,480000,12454,98615,34000,272,14.3,18608,941,2.9,23100
"Refrigerant","Stationary","45 Keppely Rd 5B","Comercial Building","IRL","2021-01-28","Central Asia",73,140,250000,14,135000,500000,76855,10,0.01,48214,151,3560,43566,100000,17000000,573,22345,10,0.02,10780,123324,66544,41599,31023124,436000,53423,17872,2674000,13,10.8,15000,941,4.5,33750
"Cooling","Scope 3","Business Travel FY20","Scope 3","USA","2019-12-06","Southeast Asia",56,1539,350000,15,120000,350000,56634,27,0.24,25714,161,3139,34345,150000,14000000,1516,34543,5,0.59,13682,123324,34124,53500,35000000,416000,12354,16340,16000,143,13.1,21323,829,2.9,18000
"Propane","Stationary","West Longs Peak","Comercial Building","BRA","2020-03-21","South America",74,3541,400000,8,120000,500000,67688,30,1.05,51429,86,3560,43566,123678,15000000,1468,34543,7,2.13,11265,123324,45443,69620,31023124,387000,53423,79227,30000,329,14.6,21323,941,2.7,36000
"Heat","Vehicle","981 Rue Housterton","Fleet Vehicle","JPN","2022-09-25","EMEA",70,1378,300000,4,154000,300000,56634,8,2.52,44000,43,3560,34345,150000,17000000,816,21234,4,5.15,10669,123324,66544,78884,35000000,417000,12354,16007,3462000,128,12.8,15000,941,3.8,30800
"FuelOil","Stationary","81 Rue Mocklie","Comercial Building","FRA","2020-02-21","EMEA",74,840,400000,21,135000,400000,76855,28,3.39,38571,226,3560,23454,100000,14000000,1260,22345,7,6.87,17263,123324,34124,74546,29000000,381000,12454,81266,14000,78,10.4,18608,941,6,27000
"Diesel","Stationary","*Cirrus Tower","Comercial Building","USA","2022-01-27","AMER",96,2110,350000,7,120000,450000,67688,25,0.24,25714,75,3560,23454,123678,14000000,763,21234,3,0.59,12172,123324,34124,42377,35000000,404000,53423,91129,2100000,196,11.1,21323,941,5.1,18000
