"Quote","Order_Status","Account_ID","Order_Number","Order_Product_ID","Quote_Name"
"0Q04x0000009WnECAU","Activated","0014x00000D8SpuAAF","00000215","8024x000000DjjpAAC","LC 17 Mobile subscribers"
"0Q04x0000009WnECAU","Activated","0014x00000D8SpuAAF","00000215","8024x000000DjjqAAC","LC 17 Mobile subscribers"
"0Q04x0000009WnECAU","Activated","0014x00000D8SpuAAF","00000215","8024x000000DjjrAAC","LC 17 Mobile subscribers"
"0Q04x0000009WnECAU","Activated","0014x00000D8SpuAAF","00000215","8024x000000DjjsAAC","LC 17 Mobile subscribers"
"0Q04x0000009WnECAU","Activated","0014x00000D8SpuAAF","00000215","8024x000000DjjtAAC","LC 17 Mobile subscribers"
"0Q04x0000009WnECAU","Activated","0014x00000D8SpuAAF","00000215","8024x000000DjjuAAC","LC 17 Mobile subscribers"
"0Q04x0000009YImCAM","Activated","0014x00000FSbASAA1","00000260","8024x000000DxXpAAK","S Broadband internet 25"
"0Q04x0000009YImCAM","Activated","0014x00000FSbASAA1","00000260","8024x000000DxXqAAK","S Broadband internet 25"
"0Q04x0000009YImCAM","Activated","0014x00000FSbASAA1","00000260","8024x000000DxXrAAK","S Broadband internet 25"
"0Q04x0000009YImCAM","Activated","0014x00000FSbASAA1","00000260","8024x000000DxXsAAK","S Broadband internet 25"
"0Q04x0000009YImCAM","Activated","0014x00000FSbASAA1","00000260","8024x000000DxXtAAK","S Broadband internet 25"
"0Q04x0000009YImCAM","Activated","0014x00000FSbASAA1","00000260","8024x000000DxXuAAK","S Broadband internet 25"
"0Q0B0000000c6x7KAA","Ready To Submit","0014x00000HmKJLAA3","00000286","8024x000000E35qAAC","WFD 8 Broadband Locations"
"0Q0B0000000c6x7KAA","Ready To Submit","0014x00000HmKJLAA3","00000286","8024x000000E35rAAC","WFD 8 Broadband Locations"
"0Q0B0000000c6x7KAA","Ready To Submit","0014x00000HmKJLAA3","00000286","8024x000000E35sAAC","WFD 8 Broadband Locations"
"0Q0B0000000c6x7KAA","Ready To Submit","0014x00000HmKJLAA3","00000286","8024x000000E35tAAC","WFD 8 Broadband Locations"
"0Q0B0000000c6x7KAA","Ready To Submit","0014x00000HmKJLAA3","00000286","8024x000000E35uAAC","WFD 8 Broadband Locations"
"0Q0B0000000c6x7KAA","Ready To Submit","0014x00000HmKJLAA3","00000286","8024x000000E35vAAC","WFD 8 Broadband Locations"
"0Q04x0000009eUfCAI","Ready To Submit","0014x00000HmpyeAAB","00000347","8024x000000E4yvAAC","AL VPN"
"0Q04x0000009eUfCAI","Ready To Submit","0014x00000HmpyeAAB","00000347","8024x000000E4ywAAC","AL VPN"
"0Q04x0000009eUfCAI","Ready To Submit","0014x00000HmpyeAAB","00000347","8024x000000E4yxAAC","AL VPN"
"0Q04x0000009eUfCAI","Ready To Submit","0014x00000HmpyeAAB","00000347","8024x000000E4yyAAC","AL VPN"
"0Q04x0000009eUfCAI","Ready To Submit","0014x00000HmpyeAAB","00000347","8024x000000E4yzAAC","AL VPN"
"0Q04x0000009WnECAU","Activated","0014x00000D8SpjAAF","00000198","8024x000000DjiBAAS","LC 17 Mobile subscribers"
"0Q04x0000009WnECAU","Activated","0014x00000D8SpjAAF","00000198","8024x000000DjiCAAS","LC 17 Mobile subscribers"
"0Q04x0000009WnECAU","Activated","0014x00000D8SpjAAF","00000198","8024x000000DjiDAAS","LC 17 Mobile subscribers"
"0Q04x0000009WnECAU","Activated","0014x00000D8SpjAAF","00000198","8024x000000DjiEAAS","LC 17 Mobile subscribers"
"0Q04x0000009WnECAU","Activated","0014x00000D8SpjAAF","00000198","8024x000000DjiFAAS","LC 17 Mobile subscribers"
"0Q04x0000009WnECAU","Activated","0014x00000D8SpjAAF","00000198","8024x000000DjiGAAS","LC 17 Mobile subscribers"
"0Q04x0000009eULCAY","Ready To Submit","0014x00000Kn3DFAAZ","00000390","8024x000000E9eHAAS","RR + 12 Mobile subscribers"
"0Q04x0000009eULCAY","Ready To Submit","0014x00000Kn3DFAAZ","00000390","8024x000000E9eIAAS","RR + 12 Mobile subscribers"
"0Q04x0000009eULCAY","Ready To Submit","0014x00000Kn3DFAAZ","00000390","8024x000000E9eJAAS","RR + 12 Mobile subscribers"
"0Q04x0000009eULCAY","Ready To Submit","0014x00000Kn3DFAAZ","00000390","8024x000000E9eKAAS","RR + 12 Mobile subscribers"
"0Q04x0000009eULCAY","Ready To Submit","0014x00000Kn3DFAAZ","00000390","8024x000000E9eLAAS","RR + 12 Mobile subscribers"
"0Q04x0000009eULCAY","Ready To Submit","0014x00000Kn3DFAAZ","00000390","8024x000000E9eMAAS","RR + 12 Mobile subscribers"
"0Q04x0000009eULCAY","Ready To Submit","0014x00000Kn3DFAAZ","00000390","8024x000000E9eNAAS","RR + 12 Mobile subscribers"
"0Q04x0000009eULCAY","Ready To Submit","0014x00000Kn3DFAAZ","00000390","8024x000000E9eOAAS","RR + 12 Mobile subscribers"
"0Q04x0000009eULCAY","Ready To Submit","0014x00000Kn3DMAAZ","00000392","8024x000000E9eXAAS","RR + 12 Mobile subscribers"
"0Q04x0000009eULCAY","Ready To Submit","0014x00000Kn3DMAAZ","00000392","8024x000000E9eYAAS","RR + 12 Mobile subscribers"
"0Q04x0000009eULCAY","Ready To Submit","0014x00000Kn3DMAAZ","00000392","8024x000000E9eZAAS","RR + 12 Mobile subscribers"
"0Q04x0000009eULCAY","Ready To Submit","0014x00000Kn3DMAAZ","00000392","8024x000000E9eaAAC","RR + 12 Mobile subscribers"
"0Q04x0000009eULCAY","Ready To Submit","0014x00000Kn3DMAAZ","00000392","8024x000000E9ebAAC","RR + 12 Mobile subscribers"
"0Q04x0000009eULCAY","Ready To Submit","0014x00000Kn3DMAAZ","00000392","8024x000000E9ecAAC","RR + 12 Mobile subscribers"
"0Q04x0000009eULCAY","Ready To Submit","0014x00000Kn3DMAAZ","00000392","8024x000000E9edAAC","RR + 12 Mobile subscribers"
"0Q04x0000009eULCAY","Ready To Submit","0014x00000Kn3DMAAZ","00000392","8024x000000E9eeAAC","RR + 12 Mobile subscribers"
,"Activated","0014x00000FSPf0AAH","00000249","8024x000000DwwqAAC",
,"Activated","0014x00000FSPf0AAH","00000249","8024x000000DwwrAAC",
,"Activated","0014x00000FSPf0AAH","00000249","8024x000000DwwsAAC",
,"Activated","0014x00000FSPf0AAH","00000249","8024x000000DwwtAAC",
,"Activated","0014x00000FSPf0AAH","00000249","8024x000000DwwuAAC",
,"Activated","0014x00000FSPf0AAH","00000249","8024x000000DwwvAAC",
,"Activated","0014x00000FSPf0AAH","00000249","8024x000000DwwwAAC",
,"Activated","0014x00000D7ut1AAB","00000178","8024x000000DdCqAAK",
,"Activated","0014x00000D7ut1AAB","00000178","8024x000000DdCrAAK",
,"Activated","0014x00000D7ut1AAB","00000178","8024x000000DdCsAAK",
,"Activated","0014x00000D7ut1AAB","00000178","8024x000000DdCtAAK",
,"Activated","0014x00000D7ut1AAB","00000178","8024x000000DdCuAAK",
,"Activated","0014x00000D7ut1AAB","00000178","8024x000000DdCvAAK",
"0Q04x0000009dh4CAA","Ready To Submit","0014x00000HmnduAAB","00000344","8024x000000E4imAAC","AM Broadband Services"
"0Q04x0000009dh4CAA","Ready To Submit","0014x00000HmnduAAB","00000344","8024x000000E4inAAC","AM Broadband Services"
"0Q04x0000009dh4CAA","Ready To Submit","0014x00000HmnduAAB","00000344","8024x000000E4ioAAC","AM Broadband Services"
"0Q04x0000009dh4CAA","Ready To Submit","0014x00000HmnduAAB","00000344","8024x000000E4ipAAC","AM Broadband Services"
"0Q04x0000009dh4CAA","Ready To Submit","0014x00000HmnduAAB","00000344","8024x000000E4iqAAC","AM Broadband Services"
"0Q04x0000009dh4CAA","Ready To Submit","0014x00000HmnduAAB","00000344","8024x000000E4irAAC","AM Broadband Services"
