"Driver_Development","Account_ID","Fleet","Parent_Parent_AccountParents","Color","Parent_BillingCountry","Parent_Id","Service","Date","Segment","Design","Year","Model","Country","Stage","Account_Name","Parent_AccountName","Engine","Revenue","CSAT"
"FALSE","0011U000009j7b0QAA","Medium","0011U000009j7aHQAQ","Red","Denmark","0011U000009j7b0QAA","3y Maintenance Service","2017-01-01 00:00:00","Logistics","Stockholm","2017.00","WES6000","Denmark","Closed Won","Advanced Transportation Denmark","Advanced Transportation Denmark","Hybrid",30000,9
"TRUE","0011U000009j7aHQAQ","Medium","0011U000009j7aHQAQ","White","Netherlands","0011U000009j7aHQAQ","3y Extended Warranty ","2017-01-01 00:00:00","Logistics","Copenhagen","2017.00","MTK1000","Netherlands","Closed Won","Advanced Transportation","Advanced Transportation","Electric",55000,7
"FALSE","0011U000009j7b4QAA","Medium","0011U000009j7aHQAQ","White","Sweden","0011U000009j7b4QAA","3y Extended Warranty ","2017-01-01 00:00:00","Construction","Amsterdam","2017.00","WES6000","Sweden","Closed Won","Advanced Transportation Sweden","Advanced Transportation Sweden","Combustion",40000,5
"FALSE","0011U000009j7aFQAQ","Large","0011U000009j7aFQAQ","Black","Germany","0011U000009j7aFQAQ","Fleet Management","2017-01-01 00:00:00","Construction","Brussels","2017.00","BAY2000","Germany","Closed Won","Advanced Transportation Germany","Advanced Transportation Germany","Electric",50000,8
"TRUE","0011U000009j7aGQAQ","Large","0011U000009j7aGQAQ","Blue","Belgium","0011U000009j7aGQAQ","5y Extended Warranty","2017-01-01 00:00:00","Logistics","Brussels","2017.00","WES6000","Belgium","Closed Won","Advanced Transportation Belgium","Advanced Transportation Belgium","Hybrid",55000,7
"FALSE","0011U000009j7aFQAQ","Medium","0011U000009j7aFQAQ","Red","Germany","0011U000009j7aFQAQ","Fleet Management","2017-01-01 00:00:00","Construction","Oslo","2017.00","MTK1000","Germany","Closed Won","Advanced Transportation Germany","Advanced Transportation Germany","Electric",40000,8
"FALSE","0011U000009j7aFQAQ","Medium","0011U000009j7aFQAQ","Red","Germany","0011U000009j7aFQAQ","Fleet Management","2017-01-01 00:00:00","Construction","Helsinki","2017.00","WES6000","Germany","Closed Won","Advanced Transportation Germany","Advanced Transportation Germany","Combustion",40000,8
"TRUE","0011U000009j7aGQAQ","Small","0011U000009j7aGQAQ","Black","Belgium","0011U000009j7aGQAQ","Fleet Management","2017-01-01 00:00:00","Logistics","Copenhagen","2017.00","KIM4000","Belgium","Closed Won","Advanced Transportation Belgium","Advanced Transportation Belgium","Hybrid",40000,7
"FALSE","0011U000009j7aFQAQ","Small","0011U000009j7aFQAQ","Silver","Germany","0011U000009j7aFQAQ","5y Maintenance Service","2017-01-01 00:00:00","Construction","Amsterdam","2017.00","BAY2000","Germany","Closed Lost","Advanced Transportation Germany","Advanced Transportation Germany","Hybrid",35000,8
"TRUE","0011U000009j7b0QAA","Large","0011U000009j7aHQAQ","Black","Denmark","0011U000009j7b0QAA","3y Extended Warranty ","2017-01-01 00:00:00","Logistics","Copenhagen","2017.00","NOH1500","Denmark","Closed Won","Advanced Transportation Denmark","Advanced Transportation Denmark","Combustion",40000,9
