"Closed","CreatedDate","LastProcessedDate","Account_Name","CloseDate","Amount"
"TRUE","2020-10-12","2022-04-08","Cipient Networks Inc","2020-11-07",77507
"FALSE","2021-03-27","2022-04-08","e  bots Consulting Services","2021-07-30",100000
"TRUE","2019-10-12","2022-04-08","American Environmental Container Corp.","2019-11-27",23252
"TRUE","2019-12-20","2022-04-08","American Environmental Container Corp.","2020-01-29",131762
"FALSE","2021-06-14","2022-04-08","CORT Business Services","2021-12-11",15000
"TRUE","2020-09-28","2022-04-08","Connections for Business","2021-01-30",10000
"TRUE","2021-01-16","2022-04-08","Connections for Business","2021-04-24",10000
"TRUE","2019-12-01","2022-04-08","Connections for Business","2020-04-03",10000
"TRUE","2020-04-01","2022-04-08","Connections for Business","2020-08-03",10000
"FALSE","2021-05-29","2022-04-08","Connections for Business","2021-09-19",4294
"TRUE","2019-10-16","2022-04-08","Connections for Business","2020-02-11",4294
"FALSE","2021-07-18","2022-04-08","Connections for Business","2021-10-11",12269
"TRUE","2019-11-13","2022-04-08","Centerfield Technology Inc","2019-12-23",13157
"TRUE","2020-02-07","2022-04-08","Education Interface","2020-08-03",4000
"TRUE","2020-11-05","2022-04-08","North Hills Signal Processing Corp","2021-07-09",23252
"TRUE","2020-07-28","2022-04-08","North Hills Signal Processing Corp","2021-01-26",12263
"TRUE","2020-05-24","2022-04-08","Dominion Digital","2020-10-19",60000
"TRUE","2021-02-21","2022-04-08","Dominion Digital","2021-04-02",46504
"TRUE","2019-09-04","2022-04-08","Atofina Petrochemicals   Port Arthur","2019-10-20",15920
"TRUE","2021-02-07","2022-04-08","Rofin-Sinar Technologies","2021-07-19",7361
"TRUE","2020-11-18","2022-04-08","iPrint.com","2021-03-22",36144
"TRUE","2020-02-12","2022-04-08","Product Development Consulting","2020-05-05",7361
"TRUE","2020-12-28","2022-04-08","Product Development Consulting","2021-04-26",7361
"TRUE","2020-01-04","2022-04-08","Product Development Consulting","2020-05-02",9690
"TRUE","2020-01-05","2022-04-08","Golden Key International Honour Society","2020-04-30",50000
"TRUE","2020-12-13","2022-04-08","Hispanic Outsourcing Solutions","2021-01-28",15000
"FALSE","2021-04-23","2022-04-08","Koch Industries","2021-10-14",150000
"TRUE","2020-01-12","2022-04-08","Thrivent Financial for Lutherans","2020-02-23",921
"TRUE","2020-12-06","2022-04-08","Rex Wyon Inc","2021-04-15",0
"FALSE","2021-06-09","2022-04-08","Rex Wyon Inc","2021-11-02",660375
"TRUE","2020-03-29","2022-04-08","Rex Wyon Inc","2020-09-27",10000
"TRUE","2020-04-30","2022-04-08","Kinzan","2020-10-23",14208
"TRUE","2019-08-23","2022-04-08","Davis Wright Tremaine LLP","2020-02-03",32000
"TRUE","2020-05-17","2022-04-08","Samson Investment Company","2020-06-29",18000
"TRUE","2019-11-05","2022-04-08","King Systems","2019-12-23",124011
"TRUE","2019-12-11","2022-04-08","Dotlogix Inc","2020-06-05",38753
"TRUE","2019-12-14","2022-04-08","John Zink Company","2020-05-02",250000
"TRUE","2021-03-13","2022-04-08","InterOPS","2021-07-25",38753
"TRUE","2020-07-12","2022-04-08","Executive Greetings","2020-10-31",60000
"TRUE","2020-08-18","2022-04-08","Day  s Molding & Machinery","2020-11-12",65000
"FALSE","2021-06-23","2022-04-08","Day  s Molding & Machinery","2021-08-10",15501
"TRUE","2020-01-05","2022-04-08","Lightning Rod Software","2020-03-22",15501
"TRUE","2020-07-23","2022-04-08","Hubbert Systems Consulting,orporated","2021-01-06",5000
"TRUE","2020-08-18","2022-04-08","Cmore Results Inc","2021-01-30",100000
"TRUE","2020-08-07","2022-04-08","Cmore Results Inc","2020-12-19",87209
"TRUE","2020-05-29","2022-04-08","A Open Booking Agency","2020-11-11",5000
"TRUE","2019-12-26","2022-04-08","Pueblo Foods Harvest Sharing","2020-02-12",10000
"TRUE","2019-10-22","2022-04-08","PointBase","2020-04-27",20000
"TRUE","2020-12-20","2022-04-08","PointBase","2021-04-19",110000
"TRUE","2020-02-20","2022-04-08","EDP Consulting Inc","2020-06-23",10000
"TRUE","2020-08-09","2022-04-08","SeminarSource.com","2020-10-30",38753
"FALSE","2021-04-15","2022-04-08","Net Unlimited Cabling Sols","2021-08-09",25000
"FALSE","2021-06-05","2022-04-08","World Internet Resources","2021-10-27",61349
"TRUE","2019-08-20","2022-04-08","Buxton Consulting Co","2020-01-05",0
"TRUE","2020-12-22","2022-04-08","Packaging Department Inc","2021-04-24",15350
"TRUE","2020-02-05","2022-04-08","bottom line financial group","2020-08-03",50000
"TRUE","2020-08-15","2022-04-08","24-7 Financial.com","2020-11-23",101000
"TRUE","2020-08-20","2022-04-08","Skyline Connections","2021-01-13",51000
"FALSE","2021-06-12","2022-04-08","Georgia U S Data Services Inc","2021-08-25",136500
"FALSE","2021-06-29","2022-04-08","IntelliCorp","2021-10-31",0
"FALSE","2021-05-12","2022-04-08","Independent Technology Group","2021-07-28",310029
"TRUE","2020-02-17","2022-04-08","Independent Technology Group","2020-04-03",14000
"TRUE","2020-04-14","2022-04-08","Prizmalite Industries","2020-07-11",14754
"TRUE","2020-10-08","2022-04-08","Prizmalite Industries","2021-02-03",125000
"TRUE","2020-06-23","2022-04-08","Dominion Marine Media","2020-08-03",76744
"FALSE","2021-06-13","2022-04-08","Dominion Marine Media","2021-08-18",15501
"FALSE","2021-05-05","2022-04-08","Tappedinto.com","2021-10-06",400000
"TRUE","2020-04-22","2022-04-08","IncentOne","2020-10-23",87250
"TRUE","2020-07-21","2022-04-08","Thomas Industries","2020-12-08",29000
"TRUE","2020-03-14","2022-04-08","NCI Building Systems, Inc","2020-04-29",31002
"TRUE","2020-05-15","2022-04-08","NCI Building Systems, Inc","2020-11-13",14261
