"LastModifiedDate","AccountGroup.Name","Description","BillingCity","ccrz__PreventAddrBookSave__c","JigsawCompanyId","Website","LastReferencedDate","Name","Industry","ccrz__PreventNewBillAddrCO__c","Phone","AccountSource","ShippingCountry","BillingPostalCode","ShippingCity","PhotoUrl","ccrz__PreventNewAddrCheckout__c","ccrz__CustomField2__c","IsDeleted","LastViewedDate","AccountNumber","ShippingStreet","SystemModstamp","ccrz__TaxExemptAccount__c","Type","BillingCountry","ccrz__SourceSystem__c","BillingStreet","ShippingPostalCode","CreatedDate","LastActivityDate","ccrz__CustomField1__c","ccrz__E_AccountGroup__c","ShippingState","Id","SicDesc","ccrz__UsedByCloudcraze__c","Fax","BillingState","Jigsaw","NumberOfEmployees","AnnualRevenue"
"2020-04-14T14:25:48.000Z","Anonymous",,,"false",,,,"CCAnonymous","N/A","false",,,,,,,"false",,"false",,,,"2020-04-14T14:25:48.000Z","false",,,,,,"2020-04-14T14:25:48.000Z",,,"a7H3A00001p0MaAUAU",,"0013A00001gycHgQAI",,"false",,"N/A",,0,0
"2020-04-14T14:25:48.000Z",,,,"false",,,,"Alpine Nutrition Outlet (Brooklyn)","Retail","false","(718) 555-1212",,"United States",,"Brooklyn",,"false",,"false",,"A0030","490 Fulton St","2020-04-14T14:25:48.000Z","false","Outlet Store",,,,"11201","2020-04-14T14:25:48.000Z",,,,"NY","0013A00001gycHhQAI",,"false",,"N/A",,0,0
"2020-04-14T14:25:48.000Z",,,"San Francisco","false",,"www.scottsrestaurant.com",,"Scott's San Francisco","N/A","false","3174071234",,"United States","94105","San Francisco",,"false",,"false",,,"50 Fremont Street","2020-04-14T14:25:48.000Z","false",,"United States",,"50 Fremont Street","94105","2020-04-14T14:25:48.000Z","2020-02-05",,,"CA","0013A00001gycHiQAI",,"false",,"CA",,0,0
"2020-04-14T14:25:48.000Z",,,"Louisville","false","18597705","www.ntoretail.com",,"Huge Store - Louisville","Retail","false","(720) 555-0153","Partner","United States","1522","Louisville",,"false",,"false",,"A0085","9901-9951 Bunsen Way","2020-04-14T14:25:48.000Z","false","Specialty Store","USA",,"9901-9951 Bunsen Way","1522","2020-04-14T14:25:48.000Z","2019-06-07",,,"KY","0013A00001gycHjQAI","Management Consulting Services","false","(720) 555-0182","KY","18597705",405,240000000
"2020-04-14T14:25:48.000Z",,"Up and coming player in the space.","Tampa","false",,"www.ntoretail.com",,"Huge Store - Tampa","Retail","false","(794) 555-0153","Marketing Event","United States","3244","Tampa",,"false",,"false",,"A0011","203-299 North Marion Street","2020-04-14T14:25:48.000Z","false","Specialty Store","USA",,"203-299 North Marion Street","3244","2020-04-14T14:25:48.000Z","2019-06-07",,,"FL","0013A00001gycHkQAI",,"false","(794) 555-0182","FL",,450,84000000
"2020-04-14T14:25:48.000Z",,,"Largo","false",,"www.ntoretail.com",,"Huge Store - Largo","Retail","false","(720) 555-0153","Referral","United States","33701","Largo",,"false",,"false",,"A0051","500 Belcher Road","2020-04-14T14:25:48.000Z","false","Specialty Store","USA",,"500 Belcher Road","33701","2020-04-14T14:25:48.000Z","2019-06-07",,,"FL","0013A00001gycHlQAI",,"false","(720) 555-0182","FL",,75,240000000
"2020-04-14T14:25:48.000Z","Summit Resellers Group",,"Huntsville","false",,"www.ntoretail.com",,"Sure Store - Benton","Retail","false","(415) 555-0153","Referral","United States","3849","Bentonville",,"false",,"false",,"A0138","Benton","2020-04-14T14:25:48.000Z","false","Chain","USA",,"11803 Memorial Parkway Southeast","17814","2020-04-14T14:25:48.000Z","2019-06-07",,"a7H3A00001p0Ma4UAE","AR","0013A00001gycHmQAI",,"false","(415) 555-0182","AL",,275,50000000000
"2020-04-14T14:25:48.000Z",,,"San Francisco","false",,,,"Natural Nutritions","Technology","false",,,"United States","94105","San Francisco",,"false",,"false",,"A43836686","50 Fremont Street","2020-04-14T14:25:48.000Z","false",,"United States",,"1 Market Street","94105","2020-04-14T14:25:48.000Z","2020-02-07",,,"CA","0013A00001gycHnQAI",,"false",,"CA",,0,0
"2020-04-14T14:25:48.000Z","Nutrition Stop Group",,"San Mateo","false",,,,"Nutrition Stop - Hillsdale","N/A","false","(650) 555-1212",,"United States","94403","San Mateo",,"false",,"false",,"A0176","186 Hillsdale Mall","2020-04-14T14:25:48.000Z","false","Mom and Pop Store","US",,"186 Hillsdale Mall","94403","2020-04-14T14:25:48.000Z",,,"a7H3A00001p0Ma5UAE","CA","0013A00001gycHoQAI",,"false",,"CA",,0,0
"2020-04-14T14:25:48.000Z",,,"San Francisco","false",,,,"Rachel Morris PA","N/A","false","(776) 808-2306",,"United States","94105","San Francisco",,"false",,"false",,,"50 Fremont Street","2020-04-14T14:25:48.000Z","false",,"United States",,"50 Fremont Street","94105","2020-04-14T14:25:48.000Z",,,,"CA","0013A00001gycHpQAI",,"false",,"CA",,0,0
"2020-04-14T14:25:48.000Z",,,"San Francisco","false",,,,"Morris Household","Retail","false","(317) 407-2755",,"United States","46204","San fFrancisco",,"false",,"false",,"A0035","50 Fremont Street","2020-04-14T14:25:48.000Z","false","Chain","US",,"1 Market Street","94105","2020-04-14T14:25:48.000Z","2019-06-07",,,"CA","0013A00001gycHqQAI",,"false",,"CA",,0,0
"2020-04-14T14:25:48.000Z",,,"San Francisco","false",,,,"Lindsay Siovaila","N/A","false","(433) 922-4599",,,,,,"false",,"false",,,,"2020-04-14T14:25:48.000Z","false",,,,"245 Bozeman Ave",,"2020-04-14T14:25:48.000Z",,,,,"0013A00001gycHrQAI",,"false",,"CA",,0,0
"2020-04-14T14:25:48.000Z",,,"Los Angeles","false",,,,"Dan Gilbert","N/A","false","(654)892-2121",,,,,,"false",,"false",,,,"2020-04-14T14:25:48.000Z","false",,,,"9888 36th Ave W",,"2020-04-14T14:25:48.000Z","2019-01-25",,,,"0013A00001gycHsQAI",,"false",,"CA",,0,0
"2020-04-14T14:25:48.000Z",,"Formerly known as United Partners*","San Francisco","false","32234143","www.ohanacorporation.com",,"Ohana, Inc.","Technology","false","(415) 555-0153","Referral","United States","94105","Jacksonville",,"false",,"false",,"A0044","Duval","2020-04-14T14:25:48.000Z","false","Chain","USA",,"1 Market St.","32099","2020-04-14T14:25:48.000Z","2019-06-07",,,"FL","0013A00001gycHtQAI","Nonclassifiable Establishments","false","(673) 555-0182","CA","32234143",14800,87000000
"2020-04-14T14:25:48.000Z",,"Up and coming player in the space.","New Alexandria","false",,"www.dfcinc.net",,"Better Buy - New Alexandria","Retail","false","(769) 555-0153","Website","United States","3467","New Alexandria",,"false",,"false",,"A0024","269 Fennel Street","2020-04-14T14:25:48.000Z","false","Chain","USA",,"269 Fennel Street","3467","2020-04-14T14:25:48.000Z","2019-06-07",,,"PA","0013A00001gycHuQAI",,"false","(769) 555-0182","PA",,290,3400000000
"2020-04-14T14:25:48.000Z",,"An innovator in its area.","Washington","false",,"www.vandenterprise.com",,"Better Buy - Washington","Retail","false","(674) 555-0153","Partner","United States","20001","Washington",,"false",,"false",,"A0026","607 13th Street Northwest","2020-04-14T14:25:48.000Z","false","Chain","USA",,"607 13th Street Northwest","20001","2020-04-14T14:25:48.000Z","2019-06-07",,,"DC","0013A00001gycHvQAI",,"false","(674) 555-0182","DC",,46,96000000
"2020-04-14T14:25:48.000Z",,"An innovator in its area.","Charlottesville","false",,"www.advancedcomms.net",,"Better Buy - Charlottesville","Retail","false","(401) 555-5200","Website","United States","22902","Charlottesville",,"false",,"false",,"A0031","1907 East Market Street","2020-04-14T14:25:48.000Z","false","Chain","USA",,"1907 East Market Street","22902","2020-04-14T14:25:48.000Z","2019-06-07",,,"VA","0013A00001gycHwQAI",,"false","(346) 555-0182","VA",,6540,5000000
"2020-04-14T14:25:48.000Z",,,"San Francsico","false",,"www.stylesandsound.com",,"Sure Store - Douglas","Retail","false","(415) 555-3493","Website","United States","94105","Omaha",,"false",,"false",,"A0133","Douglas","2020-04-14T14:25:48.000Z","false","Chain","USA",,"50 Fremont Street","1516","2020-04-14T14:25:48.000Z","2019-06-07",,,"NE","0013A00001gycHxQAI",,"false",,"CA",,25,240000000
"2020-04-14T14:25:48.000Z",,,"San Francisco","false",,"www.techlabsinc.com",,"Better Buy - Shelby","Technology","false","(415) 555-0199","Marketing Event","United States","94105","Shelby",,"false",,"false",,"A0038","Cleveland","2020-04-14T14:25:48.000Z","false","Chain","USA",,"800 3rd Street","13042","2020-04-14T14:25:48.000Z","2019-06-07",,,"NC","0013A00001gycHyQAI",,"false",,"CA",,1750,2400000
"2020-04-14T14:25:48.000Z",,,"San Francisco","false",,"www.redstudiodesigns.com",,"Better Buy - Hollywood","Communications","false","(415) 555-8471","Marketing Event","United States","94105","Hollywood",,"false",,"false",,"A0046","Broward","2020-04-14T14:25:48.000Z","false","Chain","USA",,"101 California St","33004","2020-04-14T14:25:48.000Z","2019-06-07",,,"FL","0013A00001gycHzQAI",,"false",,"CA",,310,24000000
"2020-04-14T14:25:48.000Z",,"Larry is married and has two children.  He is an avid golfer and cyclist, and travels quite often.","Santa Monica","false",,,,"Larry Baxter","N/A","false","(310) 555-0100","Website","USA","90401","Santa Monica",,"false",,"false",,"P37326679","1351 Palisades Beach Road","2020-04-14T14:25:48.000Z","false",,"USA",,"1351 Palisades Beach Road","90401","2020-04-14T14:25:48.000Z","2019-06-07",,,"CA","0013A00001gycI0QAI",,"false","(310) 555-0122","CA",,0,240000
"2020-04-14T14:25:48.000Z",,,"San Francisco","false",,,,"Tammy Baxter","N/A","false","(415) 555-3930","Website","USA","94113","San Francisco",,"false",,"false",,"P31668627","2350 Jones St.","2020-04-14T14:25:48.000Z","false",,"USA",,"2350 Jones St.","94113","2020-04-14T14:25:48.000Z",,,,"CA","0013A00001gycI1QAI",,"false","(415) 555-0199","CA",,0,240000
"2020-04-14T14:25:48.000Z",,,"Oakland","false",,,,"Wes Hardin","N/A","false","(510) 555-5500","Website","USA","94618","Oakland",,"false",,"false",,"P80090032","5801 College Ave","2020-04-14T14:25:48.000Z","false",,"USA",,"5801 College Ave","94618","2020-04-14T14:25:48.000Z",,,,"CA","0013A00001gycI2QAI",,"false",,"CA",,0,0
"2020-04-14T14:25:48.000Z",,,"Oakland","false",,,,"Mike Welch","N/A","false","(510) 555-0058","Website","USA","94612","Oakland",,"false",,"false",,"P25255707","807 Telegraph Ave","2020-04-14T14:25:48.000Z","false",,"USA",,"807 Telegraph Ave","94612","2020-04-14T14:25:48.000Z","2019-11-07",,,"CA","0013A00001gycI3QAI",,"false",,"CA",,0,0
"2020-04-14T14:25:48.000Z",,,"East Palo Alto","false",,,,"Karen Wells","N/A","false","(650) 555-4455","Website","USA","94303","East Palo Alto",,"false",,"false",,"P63887038","1700 E Bayshore Rd","2020-04-14T14:25:48.000Z","false",,"USA",,"1700 E Bayshore Rd","94303","2020-04-14T14:25:48.000Z","2019-11-07",,,"CA","0013A00001gycI4QAI",,"false",,"CA",,0,0
"2020-04-14T14:25:48.000Z",,,"San Francisco","false",,,,"Mina Passini","N/A","false","(415) 555-1414","Website","USA","94117","San Francisco",,"false",,"false",,"P17116361","598 Haight St","2020-04-14T14:25:48.000Z","false",,"USA",,"598 Haight St","94117","2020-04-14T14:25:48.000Z","2019-06-07",,,"CA","0013A00001gycI5QAI",,"false",,"CA",,0,0
"2020-04-14T14:25:48.000Z",,,"Davis","false",,,,"Stacy McNeil","N/A","false","(266) 555-9830","Marketing Event","USA","95616","Davis",,"false",,"false",,"P45600078","315 E. 14th Street","2020-04-14T14:25:48.000Z","false",,"USA",,"315 E. 14th St.","95616","2020-04-14T14:25:48.000Z",,,,"CA","0013A00001gycI6QAI",,"false",,"CA",,0,0
"2020-04-14T14:25:48.000Z",,,"San Francisco","false",,,,"Deanna Collins","N/A","false","(266) 555-2339","Website",,"94110",,,"false",,"false",,"P79919654",,"2020-04-14T14:25:48.000Z","false",,"USA",,"2323 Mission St",,"2020-04-14T14:25:48.000Z","2019-06-07",,,,"0013A00001gycI7QAI",,"false",,"CA",,0,0
"2020-04-14T14:25:48.000Z",,,"San Francisco","false",,,,"Andy Peterson","N/A","false","(310) 555-3983","Partner","USA","94102","San Francisco",,"false",,"false",,"P78501290","100 Larkin Street","2020-04-14T14:25:48.000Z","false",,"USA",,"100 Larkin Street","94102","2020-04-14T14:25:48.000Z","2019-06-07",,,"CA","0013A00001gycI8QAI",,"false",,"CA",,0,0
"2020-04-14T14:25:48.000Z",,,"San Francisco","false",,,,"Anne Frost","N/A","false","(266) 555-8819","Referral",,"94105",,,"false",,"false",,"P87097545",,"2020-04-14T14:25:48.000Z","false",,"USA",,"345 California St",,"2020-04-14T14:25:48.000Z","2019-06-07",,,,"0013A00001gycI9QAI",,"false",,"CA",,0,0
"2020-04-14T14:25:48.000Z",,,"La Jolla","false",,,,"Robert Janzen","N/A","false","(858) 555-0100","Website","USA","92037","La Jolla",,"false",,"false",,"P27429234","3136 Almahurst Row","2020-04-14T14:25:48.000Z","false",,"USA",,"3136 Almahurst Row","92037","2020-04-14T14:25:48.000Z","2019-06-07",,,"CA","0013A00001gycIAQAY",,"false","(858) 555-0199","CA",,0,2400000
"2020-04-14T14:25:48.000Z",,,"San Francisco","false",,,,"Heath Axworth","N/A","false","(415) 555-4142","Website","USA","94118","San Francisco",,"false",,"false",,"P30287946","3640 Sacramento St","2020-04-14T14:25:48.000Z","false",,"USA",,"3640 Sacramento St","94118","2020-04-14T14:25:48.000Z",,,,"CA","0013A00001gycIBQAY",,"false",,"CA",,0,0
"2020-04-14T14:25:48.000Z",,,"San Francisco","false",,,,"Duncan Macintosh","N/A","false","(415) 555-8888","Website","USA","94123","San Francisco",,"false",,"false",,"P16712743","1909 Union St","2020-04-14T14:25:48.000Z","false",,"USA",,"1909 Union St","94123","2020-04-14T14:25:48.000Z","2019-06-07",,,"CA","0013A00001gycICQAY",,"false",,"CA",,0,0
"2020-04-14T14:25:48.000Z",,,"Walnut Creek","false",,,,"Lance Gonzales","N/A","false","(925) 555-8844","Website","USA","94596","Walnut Creek",,"false",,"false",,"P87709929","1644 N. Broadway","2020-04-14T14:25:48.000Z","false",,"USA",,"1644 N. Broadway","94596","2020-04-14T14:25:48.000Z",,,,"CA","0013A00001gycIDQAY",,"false",,"CA",,0,0
"2020-04-14T14:25:48.000Z",,,"Pleasant Hill","false",,,,"Gabe Hotkins","N/A","false","(925) 555-6666","Website","USA","94523","Pleasant Hill",,"false",,"false",,"P55538485","1750 Oak Park Blvd.","2020-04-14T14:25:48.000Z","false",,"USA",,"1750 Oak Park Blvd.","94523","2020-04-14T14:25:48.000Z","2019-06-07",,,"CA","0013A00001gycIEQAY",,"false",,"CA",,0,0
"2020-04-14T14:25:48.000Z",,,"Woodland","false",,,,"Robert Simpson","N/A","false","(530) 555-8425","Marketing Event","USA","95695","Woodland",,"false",,"false",,"P70528105","250 1st St","2020-04-14T14:25:48.000Z","false",,"USA",,"250 1st St","95695","2020-04-14T14:25:48.000Z",,,,"CA","0013A00001gycIFQAY",,"false",,"CA",,0,0
"2020-04-14T14:25:48.000Z",,,"San Francisco","false",,,,"Mike Garcia","N/A","false","(415) 555-1212","Partner","USA","94105","San Francisco",,"false",,"false",,"P45658727","500 Howard St","2020-04-14T14:25:48.000Z","false",,"USA",,"500 Howard St","94105","2020-04-14T14:25:48.000Z",,,,"CA","0013A00001gycIGQAY",,"false",,"CA",,0,0
"2020-04-14T14:25:48.000Z",,,"Mountain View","false",,,,"Mark Smith","N/A","false","(650) 555-6652","Referral","USA","94041","Mountain View",,"false",,"false",,"P59282106","585 Franklin St","2020-04-14T14:25:48.000Z","false",,"USA",,"585 Franklin St","94041","2020-04-14T14:25:48.000Z","2019-06-07",,,"CA","0013A00001gycIHQAY",,"false",,"CA",,0,0
"2020-04-14T14:25:48.000Z",,,"San Francisco","false",,"www.sustainabledistribution.com",,"Sustainable Distribution","Retail","false","(794) 555-0153","Referral","United States","94127","San Mateo",,"false",,"false",,"A95492842","2337 Ocean Ave","2020-04-14T14:25:48.000Z","false","Mid-Market","USA",,"2337 Ocean Ave","94127","2020-04-14T14:25:48.000Z","2020-02-07",,,"CA","0013A00001gycIIQAY",,"false",,"CA",,300,84000000
"2020-04-14T14:25:48.000Z",,,"Bowling Green","false","4223715","www.greendotmedia.com",,"Sure Store - Houston","Retail","false","(415) 555-3827","Partner","United States","1083","Dothan",,"false",,"false",,"A0170","Houston","2020-04-14T14:25:48.000Z","false","Chain","USA",,"8141 U.S. 31W","15342","2020-04-14T14:25:48.000Z","2019-06-07",,,"AL","0013A00001gycIJQAY","Advertising Agencies","false",,"KY","4223715",3900,40000
"2020-04-14T14:25:48.000Z",,"This Accounts Data is used to Drive the dashboards.  Don't touch the data in this account unless you want to modify the sales dashboards.","Saint Petersburg","false",,"www.datamart.com",,"Sure Store - Hampshire","Retail","false","(678) 555-0153","Marketing Event","United States","33701","Hatfield",,"false",,"false",,"A0153","Hampshire","2020-04-14T14:25:48.000Z","false","Chain","USA",,"2234 31st Street North","38461","2020-04-14T14:25:48.000Z","2019-06-07",,,"MA","0013A00001gycILQAY",,"false","(678) 555-0182","FL",,2400,210000000
"2020-04-14T14:25:48.000Z","PortalAccount",,"Berkeley","false",,,,"NTO Store - Berkeley","Retail","false","(510) 555-1212",,"United States","94703","Berkeley",,"false",,"false",,"A0006","2727 Milvia Street","2020-04-14T14:25:48.000Z","false","Specialty Store","United States",,"2727 Milvia Street","94703","2020-04-14T14:25:48.000Z",,,"a7H3A00001p0Ma6UAE","CA","0013A00001gycINQAY",,"false",,"CA",,0,0
"2020-04-14T14:25:48.000Z","PortalAccount",,"San Francisco","false",,"ntoretail.com",,"NTO Store - Presidio","Retail","false","(415) 555-1212",,"United States","94129","San Francisco",,"false",,"false",,"A0027","610 Old Mason Street","2020-04-14T14:25:48.000Z","false","Specialty Store","United States",,"610 Old Mason Street","94129","2020-04-14T14:25:48.000Z","2019-06-19",,"a7H3A00001p0Ma6UAE","CA","0013A00001gycIOQAY",,"false",,"CA",,1000,0
"2020-04-14T14:25:48.000Z","Alpine Nutrition Outlets",,"Hayward","false",,,,"Alpine Nutrition Outlet (Hayward)","Retail","false","(510) 471-9166",,"United States","94541","Hayward",,"false",,"false",,"A0060","19661 Hesperian Blvd","2020-04-14T14:25:48.000Z","false","Outlet Store","United States",,"19661 Hesperian Blvd","94541","2020-04-14T14:25:48.000Z",,,"a7H3A00001p0Ma7UAE","CA","0013A00001gycIPQAY",,"false",,"CA",,0,0
"2020-04-14T14:25:48.000Z","PortalAccount",,"Walnut Creek","false",,,,"NTO Store - Walnut Creek","Retail","false","(925) 941-6100",,"United States","94598","Walnut Creek",,"false",,"false",,"A0103","1881 Ygnacio Valley Road","2020-04-14T14:25:48.000Z","false","Specialty Store","United States",,"1881 Ygnacio Valley Road","94598","2020-04-14T14:25:48.000Z",,,"a7H3A00001p0Ma6UAE","CA","0013A00001gycIQQAY",,"false",,"CA",,0,0
"2020-04-14T14:25:48.000Z","Rondel Group",,"San Francisco","false",,"www.rondelstore.com/sf",,"Rondel Store - San Francisco South","Retail","false","(415) 555-1212",,"United States","94112","San Francisco",,"false",,"false",,"A0116","1830 Ocean Avenue","2020-04-14T14:25:48.000Z","false","Big Box","United States",,"1830 Ocean Avenue","94112","2020-04-14T14:25:48.000Z","2020-02-04",,"a7H3A00001p0Ma8UAE","CA","0013A00001gycIRQAY",,"false",,"CA",,125,0
