Context,SurveyID,SurveyVersion.SurveyVersion.Survey.Name,Survey Name,SurveyVersion.SurveyVersionId,Scale,StageOrder,Journey,QuestionID,QuestionType,Stage,SubjectObjectType,SurveyVersion.SurveyVersion.Survey.Id,SurveyVersionID
Customer CSAT,0KdB0000000CzMTKA0,Ursa Acquisition Survey,Ursa Acquisition Survey,0KsB0000000Czc7KAC,5,1,CSAT Experience Map,0KuB0000000D2TWKA0,Rating,Acquisition,-,0KdB0000000CzMTKA0,0KsB0000000Czc7KAC
Customer CSAT,0KdB0000000CzMUKA0,Ursa Claims Survey,Ursa Claims Survey,0KsB0000000Czc8KAC,5,3,CSAT Experience Map,0KuB0000000D2U2KAK,Rating,Claims,-,0KdB0000000CzMUKA0,0KsB0000000Czc8KAC
Customer CSAT,0KdB0000000CzMYKA0,Ursa Onboarding Survey,Ursa Onboarding Survey,0KsB0000000CzcCKAS,5,2,CSAT Experience Map,0KuB0000000D2TdKAK,Rating,Onboarding,-,0KdB0000000CzMYKA0,0KsB0000000CzcCKAS
Customer NPS,0KdB00000000H5nKAE,Claims Processing,Claims Processing,0KsB00000000HJBKA2,5,3,Ursa Experience Map,0KuB00000000J30KAE,NPS,Claims,-,0KdB00000000H5nKAE,0KsB00000000HJBKA2
Customer CSAT,0KdB0000000CzMdKAK,Ursa Relational Survey,Ursa Relational Survey,0KsB0000000CzcHKAS,5,4,CSAT Experience Map,0KuB0000000D2UDKA0,Rating,Relational,-,0KdB0000000CzMdKAK,0KsB0000000CzcHKAS
Customer NPS,0KdB00000000H5xKAE,Onboarding,Onboarding,0KsB00000000HJLKA2,5,2,Ursa Experience Map,0KuB00000000J3aKAE,NPS,Onboarding,-,0KdB00000000H5xKAE,0KsB00000000HJLKA2
Customer CSAT,0KdB0000000CzMiKAK,Ursa Renewal Survey,Ursa Renewal Survey,0KsB0000000CzcMKAS,5,5,CSAT Experience Map,0KuB0000000D2UQKA0,Rating,Renewal,-,0KdB0000000CzMiKAK,0KsB0000000CzcMKAS
Customer CSAT,0KdB00000000H5nKAE,Claims Processing,Claims Processing,0KsB00000000HJBKA2,5,3,CSAT Experience Map,0KuB00000000J33KAE,Rating,Claims,-,0KdB00000000H5nKAE,0KsB00000000HJBKA2
Customer NPS,0KdB0000000CzMTKA0,Ursa Acquisition Survey,Ursa Acquisition Survey,0KsB0000000Czc7KAC,5,1,Ursa Experience Map,0KuB0000000D2TVKA0,NPS,Acquisition,-,0KdB0000000CzMTKA0,0KsB0000000Czc7KAC
Customer NPS,0KdB0000000CzMUKA0,Ursa Claims Survey,Ursa Claims Survey,0KsB0000000Czc8KAC,5,3,Ursa Experience Map,0KuB0000000D2U1KAK,NPS,Claims,-,0KdB0000000CzMUKA0,0KsB0000000Czc8KAC
Customer NPS,0KdB0000000CzMYKA0,Ursa Onboarding Survey,Ursa Onboarding Survey,0KsB0000000CzcCKAS,5,2,Ursa Experience Map,0KuB0000000D2TcKAK,NPS,Onboarding,-,0KdB0000000CzMYKA0,0KsB0000000CzcCKAS
Customer NPS,0KdB0000000CzMdKAK,Ursa Relational Survey,Ursa Relational Survey,0KsB0000000CzcHKAS,5,4,Ursa Experience Map,0KuB0000000D2UCKA0,NPS,Relational,-,0KdB0000000CzMdKAK,0KsB0000000CzcHKAS
Customer NPS,0KdB0000000CzMiKAK,Ursa Renewal Survey,Ursa Renewal Survey,0KsB0000000CzcMKAS,5,5,Ursa Experience Map,0KuB0000000D2UPKA0,NPS,Renewal,-,0KdB0000000CzMiKAK,0KsB0000000CzcMKAS
