"Context","SurveyID","SurveyVersion_SurveyVersion_Survey_Name","SurveyName","SurveyVersion_SurveyVersionId","QuestionType","SurveyVersion_SurveyVersion_Survey_Id","QuestionID","Stage","SurveyVersionID","SubjectObjectType","Journey","Scale","StageOrder"
"Customer CSAT","0KdB0000000CzMTKA0","Ursa Acquisition Survey","Ursa Acquisition Survey","0KsB0000000Czc7KAC","Rating","0KdB0000000CzMTKA0","0KuB0000000D2TWKA0","Acquisition","0KsB0000000Czc7KAC","-","CSAT Experience Map",5,1
"Customer CSAT","0KdB0000000CzMUKA0","Ursa Claims Survey","Ursa Claims Survey","0KsB0000000Czc8KAC","Rating","0KdB0000000CzMUKA0","0KuB0000000D2U2KAK","Claims","0KsB0000000Czc8KAC","-","CSAT Experience Map",5,3
"Customer CSAT","0KdB0000000CzMYKA0","Ursa Onboarding Survey","Ursa Onboarding Survey","0KsB0000000CzcCKAS","Rating","0KdB0000000CzMYKA0","0KuB0000000D2TdKAK","Onboarding","0KsB0000000CzcCKAS","-","CSAT Experience Map",5,2
"Customer NPS","0KdB00000000H5nKAE","Claims Processing","Claims Processing","0KsB00000000HJBKA2","NPS","0KdB00000000H5nKAE","0KuB00000000J30KAE","Claims","0KsB00000000HJBKA2","-","Ursa Experience Map",5,3
"Customer CSAT","0KdB0000000CzMdKAK","Ursa Relational Survey","Ursa Relational Survey","0KsB0000000CzcHKAS","Rating","0KdB0000000CzMdKAK","0KuB0000000D2UDKA0","Relational","0KsB0000000CzcHKAS","-","CSAT Experience Map",5,4
"Customer NPS","0KdB00000000H5xKAE","Onboarding","Onboarding","0KsB00000000HJLKA2","NPS","0KdB00000000H5xKAE","0KuB00000000J3aKAE","Onboarding","0KsB00000000HJLKA2","-","Ursa Experience Map",5,2
"Customer CSAT","0KdB0000000CzMiKAK","Ursa Renewal Survey","Ursa Renewal Survey","0KsB0000000CzcMKAS","Rating","0KdB0000000CzMiKAK","0KuB0000000D2UQKA0","Renewal","0KsB0000000CzcMKAS","-","CSAT Experience Map",5,5
"Customer CSAT","0KdB00000000H5nKAE","Claims Processing","Claims Processing","0KsB00000000HJBKA2","Rating","0KdB00000000H5nKAE","0KuB00000000J33KAE","Claims","0KsB00000000HJBKA2","-","CSAT Experience Map",5,3
"Customer NPS","0KdB0000000CzMTKA0","Ursa Acquisition Survey","Ursa Acquisition Survey","0KsB0000000Czc7KAC","NPS","0KdB0000000CzMTKA0","0KuB0000000D2TVKA0","Acquisition","0KsB0000000Czc7KAC","-","Ursa Experience Map",5,1
"Customer NPS","0KdB0000000CzMUKA0","Ursa Claims Survey","Ursa Claims Survey","0KsB0000000Czc8KAC","NPS","0KdB0000000CzMUKA0","0KuB0000000D2U1KAK","Claims","0KsB0000000Czc8KAC","-","Ursa Experience Map",5,3
"Customer NPS","0KdB0000000CzMYKA0","Ursa Onboarding Survey","Ursa Onboarding Survey","0KsB0000000CzcCKAS","NPS","0KdB0000000CzMYKA0","0KuB0000000D2TcKAK","Onboarding","0KsB0000000CzcCKAS","-","Ursa Experience Map",5,2
"Customer NPS","0KdB0000000CzMdKAK","Ursa Relational Survey","Ursa Relational Survey","0KsB0000000CzcHKAS","NPS","0KdB0000000CzMdKAK","0KuB0000000D2UCKA0","Relational","0KsB0000000CzcHKAS","-","Ursa Experience Map",5,4
"Customer NPS","0KdB0000000CzMiKAK","Ursa Renewal Survey","Ursa Renewal Survey","0KsB0000000CzcMKAS","NPS","0KdB0000000CzMiKAK","0KuB0000000D2UPKA0","Renewal","0KsB0000000CzcMKAS","-","Ursa Experience Map",5,5
