"Description","UltimateParent.Name","IsActive","RecordType.Name","Name","StartDate","UltimateParent.UltimateParentId","RecordTypeId","ParentId","Status","EndDate","Type","UltimateParent.ParentCampaign.Name","Id","UltimateParent.CampaignParents","ExpectedResponse","NumberOfLeads","NumberOfOpportunities","NumberSent","NumberOfResponses","BudgetedCost","NumberOfContacts","ActualCost","NumberOfWonOpportunities","NumberOfConvertedLeads"
"This campaign syncs to the Pardot Engagement Studio to demonstrate how Salesforce products all work together.","Thank You Gift - Facebook Leads","true","Child Campaign","Thank You Gift - Facebook Leads","2020-04-05","701f40000011dNIAAY","012f4000001BWl2AAG","701f40000011dNGAAY","Completed","2020-05-05","Social Media","*Annual Marketing Plan","701f40000011dNJAAY","701f40000011dNGAAY",0,0,0,0,0,10000,0,0,0,0
"Drive awareness and leads at the annual industry tradeshow.","Industry Tradeshow","true","Child Campaign","Industry Tradeshow","2020-04-25","701f40000011dNIAAY","012f4000001BWl2AAG","701f40000011dNHAAY","In Progress","2020-05-25","Event","*Annual Marketing Plan","701f40000011dMzAAI","701f40000011dMzAAI",5,47,9,1000,31,35000,5,26700,3,2
"Sponsored ads on industry websites to drive traffic to our own.","Industry Websites Advertising","true","Child Campaign","Industry Websites Advertising","2020-04-24","701f40000011dNIAAY","012f4000001BWl2AAG","701f40000011dNFAAY","In Progress","2020-05-24","Web Marketing","*Annual Marketing Plan","701f40000011dN1AAI","701f40000011dN1AAI",5,58,8,1000,63,55000,10,75000,2,0
"Follow up with customers who fill out a web-to-lead form to access materials on our website.","Web-to-Lead Campaign","true","Child Campaign","Web-to-Lead Campaign","2020-02-25","701f40000011dNIAAY","012f4000001BWl2AAG","701f40000011dNFAAY","Completed","2020-03-26","Web Marketing","*Annual Marketing Plan","701f40000011dN0AAI","701f40000011dN0AAI",0,25,10,0,29,20000,4,21000,3,0
"Google AdWords campaign to drive new leads to our public website.","Google Adwords","true","Child Campaign","Google Adwords","2020-04-30","701f40000011dNIAAY","012f4000001BWl2AAG","701f40000011dNFAAY","In Progress","2020-05-30","Web Marketing","*Annual Marketing Plan","701f40000011dN4AAI","701f40000011dN4AAI",0,58,6,100,51,10000,10,8300,2,9
"Webinar to establish ourselves as experts in the field, attract new prospects and more deeply engage customers.","Best Practices Webinar","true","Child Campaign","Best Practices Webinar","2020-02-15","701f40000011dNIAAY","012f4000001BWl2AAG","701f40000011dNHAAY","Completed","2020-03-16","Web Marketing","*Annual Marketing Plan","701f40000011dNBAAY","701f40000011dNBAAY",0,34,4,50,50,15000,16,17850,2,0
"Engage customers who tweet our company's official Twitter handle.","Twitter Inbound Campaign","true","Child Campaign","Twitter Inbound Campaign","2020-06-04","701f40000011dNIAAY","012f4000001BWl2AAG","701f40000011dNGAAY","Planned","2020-07-04","Social Media","*Annual Marketing Plan","701f40000011dN6AAI","701f40000011dN6AAI",0,0,5,0,26,12000,41,11400,1,0
"Identify leads by monitoring popular industry hashtags and our competitors' twitter handles for unhappy customers who can be converted.","Twitter Social Listening and Engagment","true","Child Campaign","Twitter Social Listening and Engagment","2020-03-18","701f40000011dNIAAY","012f4000001BWl2AAG","701f40000011dNGAAY","In Progress","2020-04-17","Social Media","*Annual Marketing Plan","701f40000011dN8AAI","701f40000011dN8AAI",0,33,5,0,15,35000,0,31250,2,0
"Generate leads from Facebook ads which drive leads to our company's public Facebook page.","Facebook Advertising","true","Child Campaign","Facebook Advertising","2020-04-30","701f40000011dNIAAY","012f4000001BWl2AAG","701f40000011dNGAAY","In Progress","2020-05-30","Social Media","*Annual Marketing Plan","701f40000011dNCAAY","701f40000011dNCAAY",0,29,7,0,29,10000,0,20500,0,0
"C- and VP-level lunch with special guest speaker to raise awareness and drive deeper customer engagement.","New Customer Campaign","true","Child Campaign","New Customer Campaign","2020-01-26","701f40000011dNIAAY","012f4000001BWl2AAG","701f40000011dNHAAY","Completed","2020-02-25","Event","*Annual Marketing Plan","701f40000011dN7AAI","701f40000011dN7AAI",0,16,5,0,30,15500,17,15300,1,0
