"Context","SurveyVersion.SurveyVersion.Survey.Name","SurveyID","SurveyName","QuestionType","SurveyVersion.SurveyVersion.Survey.Id","QuestionID","Stage","SurveyVersionID","SubjectObjectType","SurveyVersion.SurveyVersionId","Journey","Scale","StageOrder"
"Customer CSAT","Ursa Acquisition Survey","0KdB0000000CzMTKA0","Ursa Acquisition Survey","Rating","0KdB0000000CzMTKA0","0KuB0000000D2TWKA0","Acquisition","0KsB0000000Czc7KAC","-","0KsB0000000Czc7KAC","CSAT Experience Map",5,1
"Customer CSAT","Ursa Claims Survey","0KdB0000000CzMUKA0","Ursa Claims Survey","Rating","0KdB0000000CzMUKA0","0KuB0000000D2U2KAK","Claims","0KsB0000000Czc8KAC","-","0KsB0000000Czc8KAC","CSAT Experience Map",5,3
"Customer CSAT","Ursa Onboarding Survey","0KdB0000000CzMYKA0","Ursa Onboarding Survey","Rating","0KdB0000000CzMYKA0","0KuB0000000D2TdKAK","Onboarding","0KsB0000000CzcCKAS","-","0KsB0000000CzcCKAS","CSAT Experience Map",5,2
"Customer NPS","Claims Processing","0KdB00000000H5nKAE","Claims Processing","NPS","0KdB00000000H5nKAE","0KuB00000000J30KAE","Claims","0KsB00000000HJBKA2","-","0KsB00000000HJBKA2","Ursa Experience Map",5,3
"Customer CSAT","Ursa Relational Survey","0KdB0000000CzMdKAK","Ursa Relational Survey","Rating","0KdB0000000CzMdKAK","0KuB0000000D2UDKA0","Relational","0KsB0000000CzcHKAS","-","0KsB0000000CzcHKAS","CSAT Experience Map",5,4
"Customer NPS","Onboarding","0KdB00000000H5xKAE","Onboarding","NPS","0KdB00000000H5xKAE","0KuB00000000J3aKAE","Onboarding","0KsB00000000HJLKA2","-","0KsB00000000HJLKA2","Ursa Experience Map",5,2
"Customer CSAT","Ursa Renewal Survey","0KdB0000000CzMiKAK","Ursa Renewal Survey","Rating","0KdB0000000CzMiKAK","0KuB0000000D2UQKA0","Renewal","0KsB0000000CzcMKAS","-","0KsB0000000CzcMKAS","CSAT Experience Map",5,5
"Customer CSAT","Claims Processing","0KdB00000000H5nKAE","Claims Processing","Rating","0KdB00000000H5nKAE","0KuB00000000J33KAE","Claims","0KsB00000000HJBKA2","-","0KsB00000000HJBKA2","CSAT Experience Map",5,3
"Customer NPS","Ursa Acquisition Survey","0KdB0000000CzMTKA0","Ursa Acquisition Survey","NPS","0KdB0000000CzMTKA0","0KuB0000000D2TVKA0","Acquisition","0KsB0000000Czc7KAC","-","0KsB0000000Czc7KAC","Ursa Experience Map",5,1
"Customer NPS","Ursa Claims Survey","0KdB0000000CzMUKA0","Ursa Claims Survey","NPS","0KdB0000000CzMUKA0","0KuB0000000D2U1KAK","Claims","0KsB0000000Czc8KAC","-","0KsB0000000Czc8KAC","Ursa Experience Map",5,3
"Customer NPS","Ursa Onboarding Survey","0KdB0000000CzMYKA0","Ursa Onboarding Survey","NPS","0KdB0000000CzMYKA0","0KuB0000000D2TcKAK","Onboarding","0KsB0000000CzcCKAS","-","0KsB0000000CzcCKAS","Ursa Experience Map",5,2
"Customer NPS","Ursa Relational Survey","0KdB0000000CzMdKAK","Ursa Relational Survey","NPS","0KdB0000000CzMdKAK","0KuB0000000D2UCKA0","Relational","0KsB0000000CzcHKAS","-","0KsB0000000CzcHKAS","Ursa Experience Map",5,4
"Customer NPS","Ursa Renewal Survey","0KdB0000000CzMiKAK","Ursa Renewal Survey","NPS","0KdB0000000CzMiKAK","0KuB0000000D2UPKA0","Renewal","0KsB0000000CzcMKAS","-","0KsB0000000CzcMKAS","Ursa Experience Map",5,5
