"IsDeleted","NetworkId","Topic.ManagedTopicType","SystemModstamp","Topic.CreatedDate","EntityId","EntityType","Topic.Id","CreatedById","Topic.Description","CreatedDate","TopicId","Id","EntityKeyPrefix","Topic.Name","Topic.TalkingAbout"
"false",,,"2020-02-13T08:42:46.000Z","2020-02-13T08:42:46.000Z","0KdB0000000TS5qKAG","Survey","0TOB0000000oIcZOAU","005B0000006SOxlIAG",,"2020-02-13T08:42:46.000Z","0TOB0000000oIcZOAU","0FTB0000002GvC1OAK","0Kd","Audi",1
"false",,,"2020-02-13T08:43:20.000Z","2020-02-13T08:43:20.000Z","0KdB0000000TS5qKAG","Survey","0TOB0000000oIcaOAE","005B0000006SOxlIAG",,"2020-02-13T08:43:20.000Z","0TOB0000000oIcaOAE","0FTB0000002GvC2OAK","0Kd","Product Feedback",1
"false",,,"2020-02-13T08:42:56.000Z","2020-02-13T08:42:56.000Z","0KdB0000000TS5qKAG","Survey","0TOB0000000oIceOAE","005B0000006SOxlIAG",,"2020-02-13T08:42:56.000Z","0TOB0000000oIceOAE","0FTB0000002GvC6OAK","0Kd","Car",1
"false",,,"2020-02-13T08:47:46.000Z","2020-02-13T08:47:46.000Z","0KuB0000000PHJAKA4","SurveyQuestion","0TOB0000000oIcjOAE","005B0000006SOxlIAG",,"2020-02-13T08:47:46.000Z","0TOB0000000oIcjOAE","0FTB0000002GvCBOA0","0Ku","Satisfaction With Purchase",1
"false",,,"2020-02-13T08:49:56.000Z","2020-02-13T08:49:56.000Z","0KcB0000000PJoeKAG","SurveyQuestionChoice","0TOB0000000oIckOAE","005B0000006SOxlIAG",,"2020-02-13T08:49:56.000Z","0TOB0000000oIckOAE","0FTB0000002GvCCOA0","0Kc","A4",1
"false",,,"2020-02-13T08:48:45.000Z","2020-02-13T08:48:45.000Z","0KuB0000000PHJ7KAO","SurveyQuestion","0TOB0000000oIcoOAE","005B0000006SOxlIAG",,"2020-02-13T08:48:45.000Z","0TOB0000000oIcoOAE","0FTB0000002GvCGOA0","0Ku","Products",1
"false",,,"2020-02-13T08:50:39.000Z","2020-02-13T08:50:39.000Z","0KcB0000000PJomKAG","SurveyQuestionChoice","0TOB0000000oIctOAE","005B0000006SOxlIAG",,"2020-02-13T08:50:39.000Z","0TOB0000000oIctOAE","0FTB0000002GvCLOA0","0Kc","A3",1
"false",,,"2020-02-17T08:29:46.000Z","2020-02-13T08:50:39.000Z","0KuB0000000PHJ7KAO","SurveyQuestion","0TOB0000000oIctOAE","005B0000006SOxlIAG",,"2020-02-17T08:29:46.000Z","0TOB0000000oIctOAE","0FTB0000002GvH1OAK","0Ku","A3",1
"false",,,"2020-02-17T08:30:27.000Z","2020-02-13T08:50:39.000Z","0KuB0000000PHJ9KAO","SurveyQuestion","0TOB0000000oIctOAE","005B0000006SOxlIAG",,"2020-02-17T08:30:27.000Z","0TOB0000000oIctOAE","0FTB0000002GvH2OAK","0Ku","A3",1
"false",,,"2020-02-17T08:30:50.000Z","2020-02-17T08:30:50.000Z","0KuB0000000PHJ9KAO","SurveyQuestion","0TOB0000000oJq7OAE","005B0000006SOxlIAG",,"2020-02-17T08:30:50.000Z","0TOB0000000oJq7OAE","0FTB0000002GvH3OAK","0Ku","A5",1
