"ProductFamily","OrderEffectiveDate","ProductName","TotalsInterval","LastProcessedDate","OrderAccountName","OrderAccountParent","UnitPrice","TotalPrice","Quantity"
"Vision","2020-04-19","Protective Eyewear","From 50 to 250","2020-09-04","Vand Enterprises, INC","United Central",177,30975,175
"Product","2020-09-21","Makana Health Synergy 250 Pacemaker","From 50 to 250","2020-09-04","BioSpan, LLC","United Central",4349,1087250,250
"X-Ray","2020-05-12","Ceiling-Mounted Tube Stand 590","From 50 to 250","2020-09-04","United Partners","United Central",200,20000,100
"Attachment","2020-12-02","Enhanced Scanner Package","From 50 to 250","2020-09-04","United Physicians Group","United Central",15360,1536000,100
"Consumables","2020-08-27","Gloves and Gowns","From 500 to 1000","2020-09-04","United Hospital","United Central",325,292500,900
"Product","2020-03-24","Focalized Mounting System","From 50 to 250","2020-09-04","Big Sky & Sons","United Central",175,39375,225
"AutoSense","2020-07-14","Renal Dialysis Device","From 50 to 250","2020-09-04","Mercy Hospital","United Central",11800,1180000,100
"Capital Equipment","2020-06-27","Glucose Monitor","From 50 to 250","2020-09-04","Tyconet","United Central",220,16500,75
"Consumables","2020-02-15","Gloves and Gowns","From 50 to 250","2020-09-04","Allied Technologies","United Central",325,16250,50
"Product","2020-01-17","Power Modulator","From 50 to 250","2020-09-04","Universal Containers","United Central",300,22500,75
"Consumables","2020-11-07","CBGM Sensor Pack (50)","From 50 to 250","2020-09-04","Allied Technologies","United Central",738,92250,125
"Wholesales Acquisition Cost","2020-09-10","Alpha Knee","From 50 to 250","2020-09-04","Tyconet","United Central",530,106000,200
"Kits","2020-12-21","Cardiac Closure Device","From 50 to 250","2020-09-04","Universal Containers","United Central",536,134000,250
"Consumables","2020-11-27","CBGM Sensor Pack (50)","From 50 to 250","2020-09-04","Big Sky & Sons","United Central",738,92250,125
"Capital Equipment","2020-07-29","Glucose Monitor","From 50 to 250","2020-09-04","United Physicians Group","United Central",220,33000,150
"Product","2020-10-04","Sharps Containers","From 50 to 250","2020-09-04","United Partners","United Central",520,104000,200
"Accessories","2020-08-25","Remote Control Keypad","From 50 to 250","2020-09-04","Allied Technologies","United Central",440,77000,175
"Wholesales Acquisition Cost","2020-12-29","Blood Pressure Monitor","From 50 to 250","2020-09-04","BioSpan, LLC","United Central",120,6000,50
"Product","2020-11-21","Personal Protection Equipment","From 50 to 250","2020-09-04","Allied Technologies","United Central",1760,132000,75
"X-Ray","2020-05-24","CRM 8000 X-Ray","From 50 to 250","2020-09-04","Mercy Hospital","United Central",25920,3240000,125
"AutoSense","2020-10-26","Enhanced Analytics License","From 50 to 250","2020-09-04","Vand Enterprises, INC","United Central",945,236250,250
"Product","2020-03-15","Focalized Mounting System","From 50 to 250","2020-09-04","Vand Enterprises, INC","United Central",175,43750,250
"Product","2020-09-18","Sharps Containers","From 50 to 250","2020-09-04","Tyconet","United Central",520,78000,150
"Consumables","2020-06-20","Hypodermic Needles","From 350 to 550","2020-09-04","United Physicians Group","United Central",53,18550,350
"X-Ray","2020-01-04","Ceiling-Mounted Tube Stand 590","From 50 to 250","2020-09-04","Mercy Hospital","United Central",200,10000,50
"Product","2020-08-16","Dialysis Tubing","From 50 to 250","2020-09-04","Universal Containers","United Central",550,41250,75
"Wholesales Acquisition Cost","2020-02-20","Blood Pressure Monitor","From 50 to 250","2020-09-04","Big Sky & Sons","United Central",120,27000,225
"Consumables","2020-07-21","Gloves and Gowns","From 50 to 250","2020-09-04","United Partners","United Central",325,40625,125
"Kits","2020-11-11","Cardiac Closure Device","From 50 to 250","2020-09-04","Allied Technologies","United Central",536,80400,150
"Product","2020-04-21","Dialysis Tubing","From 50 to 250","2020-09-04","Allied Technologies","United Central",550,82500,150
"Wholesales Acquisition Cost","2020-12-24","Alpha Knee","From 50 to 250","2020-09-04","BioSpan, LLC","United Central",530,66250,125
"Consumables","2020-05-30","Gloves and Gowns","From 50 to 250","2020-09-04","Vand Enterprises, INC","United Central",325,16250,50
"Consumables","2020-04-19","Hypodermic Needles","From 350 to 550","2020-09-04","United Hospital","United Central",53,23850,450
