"OOS_Kpi_ActualValue","LatestPromotionEndDateFuture","RetailStore_Priority","StoreProduct_InStoreLocationType_Other","OutOfStock_OOS_Actual","StoreProduct_InStoreLocationType_Bin","RetailStore_Name","LatestPromotionEndDatePast","Product_ProductCategory_Name","StoreProduct_InStoreLocationType_Assets","StoreProduct_Favorite","LatestPromotionStartDatePast","RetailStore_StoreType","RetailStore_RetailStoreGroup_Name","Product_Name","StoreProduct_InStoreLocationType_Shelf","State_City","Product_Family","StoreProduct_InStoreLocationType_Backroom","Compliance_DaysSinceLastComplianceCheck","Quantity_Previous_Period","RetailVisitKpi_Number_of_Promotions","Facing_Compliance","Inventory_Compliance","Inventory_DaysSinceInventoryComplianceCheck","Inventory_Inventory_Actual","Quantity_Change_Percentage_vs_Coming_Period_LastYear","OutOfStock_DaysSinceOOSComplianceCheck","Promotion_Compliance","Quantity_Coming_Period_LastYear","Inventory_Inventory_Target","RetailVisitKpi_StoreProduct_Visits","LastYearSamePeriod_Number_of_Promotions","Quantity_Current_Period","OrderItem_DaysSinceLastOrder","ShareOfShelf_Compliance","OutOfStock_Compliance","Store_Visits","Quantity_Change_Percentage_vs_Previous_Period"
"False",,"High","No","True","No","NTO Store - Ferry Plaza Market",,"Product Category 7","No","No",,"Regular","Midwest","Pure Perfect","No","AK - Anchorage","None","No",1,0,,0,68.67,21,109,0,1,0,1146,308,48,,1146,7,85.3,40.91,55,0
"True",,"High","No","True","No","NTO Store - Ferry Plaza Market",,"Product Category 8","No","No",,"Regular","Midwest","Tatva","No","AK - Anchorage","None","No",1,0,,82.47,84.2,41,348,0,1,0,1195,348,47,,1195,7,0,34.78,55,0
"True","2020-06-03","High","No","False","No","Nutrition Stop - Kennesaw",,"Product Category 11","No","No","2018-01-06","Regular","West","Kelloggs Muesli","No","CA - San Jose","None","No",5,0,5,85.7,90.44,34,258,0,5,0,2094,319,58,0,2094,43,0,42,67,0
"False",,"Low","No","True","No","Fare Merchants - Brooklyn",,"Product Category 8","No","No",,"Regular","Northeast","Tatva","No","LA - New Orleans","None","No",0,0,,0,85.33,44,250,0,0,0,2390,250,43,,2390,10,87.73,42.86,47,0
"False",,"High","No","False","No","Nutrition Stop - Kennesaw",,"Product Category 8","No","No",,"Regular","West","Tatva","No","CA - San Jose","None","No",5,0,,0,100,113,276,0,5,0,1562,276,58,,1562,43,85.64,50,67,0
"False","2020-06-03","Low","No","True","No","Rondel Store - Chicago Streeterville",,"Product Category 11","No","No","2018-01-06","Regular","West","Kelloggs Muesli","No","TX - Laredo","None","No",3,0,5,89.21,100,51,319,0,3,0,1050,319,54,0,1050,51,0,50,62,0
"False",,"Low","No","False","No","Rondel Store - Chicago South Loop",,"Product Category 7","No","No",,"Regular","Bay Area","Pure Perfect","No","AZ - Phoenix","None","No",12,0,,0,0,,,0,12,0,2040,,57,,2040,17,0,46.46,67,0
"False",,"Low","No","True","No","Alpine Nutrition - Glendale",,"Product Category 8","No","No",,"Regular","Midwest","Tatva","No","MI - Taylor","None","No",4,0,,89.18,82.59,57,340,0,4,0,1362,348,41,,1362,7,0,30.3,52,0
"False",,"Low","No","False","No","NTO Store - Presidio",,"Product Category 7","No","No",,"Regular","Bay Area","Pure Perfect","No","PA - Kulpsville","None","No",5,0,,0,0,,,0,5,0,1578,,56,,1578,27,0,47.52,63,0
"False",,"Low","No","True","No","Fare Merchants - Austin",,"Product Category 8","No","No",,"Regular","South","Tatva","No","NJ - Middlesex","None","No",5,0,,0,79.31,5,237,0,5,0,2361,370,53,,2361,10,71.16,42,62,0
