"Description","ProductCode","QuantityUnitOfMeasure","CreatedDate","Family","Id","Name"
"Himalayan Cherry description","Himalayan Cherry 172",,"2019-12-24T13:46:24.000Z","None","01tB0000000UI8UIAW","Kelloggs Muesli"
"Tatva description","Tatva 295",,"2019-12-24T13:46:24.000Z","None","01tB0000000UI8VIAW","Tatva"
"Pure Perfect description","Pure Perfect 183",,"2019-12-24T13:46:24.000Z","None","01tB0000000UI8WIAW","Pure Perfect"
"Whitezen description","Whitezen 189",,"2019-12-24T13:46:24.000Z","Product Family1","01tB0000000UI8XIAW","Whitezen"
"Whole green description","Whole green 105",,"2019-12-24T13:46:24.000Z","None","01tB0000000UI8YIAW","Whole green"
"Alone description","Alone 243",,"2019-12-24T13:46:24.000Z","Chocos","01tB0000000UI8ZIAW","Kelloggs Chocos"
"Face matter description","Face matter 209",,"2019-12-24T13:46:24.000Z","Product Family1","01tB0000000UI8aIAG","Face matter"
"Abby osk description","Abby osk 249",,"2019-12-24T13:46:24.000Z","Flakes","01tB0000000UI8bIAG","Kelloggs Corn Flakes"
"Angel Look description","Angel Look 131",,"2019-12-24T13:46:24.000Z","Product Family1","01tB0000000UI8cIAG","Angel Look"
"Gentle description","Gentle 254",,"2019-12-24T13:46:24.000Z","Product Family2","01tB0000000UI8dIAG","Gentle"
"Soft Finger description","Soft Finger 288",,"2019-12-24T13:46:24.000Z","Product Family3","01tB0000000UI8eIAG","Soft Finger"
"Lady link description","Lady link 219",,"2019-12-24T13:46:24.000Z","Product Family2","01tB0000000UI8fIAG","Lady link"
"Laffayette description","Laffayette 200",,"2019-12-24T13:46:24.000Z","None","01tB0000000UI8gIAG","Laffayette"
"Lucima description","Lucima 243",,"2019-12-24T13:46:24.000Z","None","01tB0000000UI8hIAG","Lucima"
"Neptune description","Neptune 277",,"2019-12-24T13:46:24.000Z","Product Family2","01tB0000000UI8iIAG","Neptune"
"Omalay description","Omalay 112",,"2019-12-24T13:46:24.000Z","None","01tB0000000UI8jIAG","Omalay"
"Orgma description","Orgma 139",,"2019-12-24T13:46:24.000Z","Product Family3","01tB0000000UI8kIAG","Orgma"
"Active care description","Active care 250",,"2019-12-24T13:46:24.000Z","Product Family1","01tB0000000UI8lIAG","Active care"
"Elliotte description","Elliotte 226",,"2019-12-24T13:46:24.000Z","Product Family2","01tB0000000UI8mIAG","Elliotte"
"Honey dew description","Honey dew 207",,"2019-12-24T13:46:24.000Z","Honey & Spreads","01tB0000000UI8nIAG","Honey dew"
,,,"2020-04-17T14:50:10.000Z","Product Family2","01tB0000000ti7sIAA","Spindrift"
,,,"2020-04-17T14:50:34.000Z","None","01tB0000000ti7xIAA","Siggis"
,,,"2020-04-17T14:54:56.000Z","NA","01tB0000000ti82IAA","Munchos"
,,,"2020-04-18T09:13:23.000Z","Chips","01tB0000000ti8XIAQ","Keto Nachos"
,"Kellogg's Muesli",,"2020-04-18T09:15:02.000Z","NA","01tB0000000ti8YIAQ","Muesli Nuts"
,,,"2020-04-18T09:16:35.000Z","NA","01tB0000000ti8cIAA","Nesplus"
,,,"2020-04-19T12:16:50.000Z","Honey & Spreads","01tB0000000ti9kIAA","Nutella"
,,,"2020-04-19T12:17:34.000Z","Product Family3","01tB0000000ti9pIAA","Kiya Mint"
,,,"2020-04-20T16:20:27.000Z","Jelly","01tB0000000tiAYIAY","Just Jelly"
,,,"2020-04-20T16:21:21.000Z","Product Family3","01tB0000000tiAdIAI","Mentos"
,"Fairy Wings",,"2020-04-17T14:36:35.000Z","None","01tB0000000ti7nIAA","Fairy Wings"
