"IsDeleted","Category","Description","IsActive","EndDate","Name","SystemModstamp","StartDate","Objective","OwnerId","CreatedDate","Level","Dummy_Key","Id","Methods","EndDate_Computed"
"false",,,"false",,"Store Promotion1","2020-04-20T05:46:50.000Z","2020-04-16",,"005B0000006Q7xcIAC","2020-04-20T05:46:50.000Z",,"NA","0c8B0000000CdT6IAK",,"2020-05-19"
"false",,,"true",,"$5 Off","2020-04-20T17:32:39.000Z","2020-04-16",,"005B0000006Q7xcIAC","2020-04-20T16:38:52.000Z",,"NA","0c8B0000000CdTLIA0",,"2020-05-19"
"false","Pubicity","Description of Dmart Store Promotion 8","true","2020-06-02","Dmart Store Promotion 8","2019-12-24T13:47:20.000Z","2018-01-05","Objective of Dmart Store Promotion 8","005B0000006NoPnIAK","2019-12-24T13:47:20.000Z","Product","NA","0c8B0000000L08AIAS","Gifts","2020-06-02"
"false","Sales Promotion","Description of Dmart Store Promotion 23","true","2020-06-05","Dmart Store Promotion 23","2019-12-24T13:47:20.000Z","2018-01-05","Objective of Dmart Store Promotion 23","005B0000006NoPnIAK","2019-12-24T13:47:20.000Z","Product","NA","0c8B0000000L08PIAS","Coupons","2020-06-05"
"false","Pubicity","Description of Dmart Store Promotion 24","true","2020-06-02","Dmart Store Promotion 24","2019-12-24T13:47:20.000Z","2018-01-06","Objective of Dmart Store Promotion 24","005B0000006NoPnIAK","2019-12-24T13:47:20.000Z","Product Category","NA","0c8B0000000L08QIAS","Sampling and Demonstration","2020-06-02"
"false","Sales Promotion","Description of Dmart Store Promotion 17","true","2020-06-03","Dmart Store Promotion 17","2019-12-24T13:47:20.000Z","2018-01-04","Objective of Dmart Store Promotion 17","005B0000006NoPnIAK","2019-12-24T13:47:20.000Z","Product Category","NA","0c8B0000000L08JIAS","Free Services","2020-06-03"
"false","Advertising","Description of Dmart Store Promotion 5","true","2020-06-06","Dmart Store Promotion 5","2019-12-24T13:47:20.000Z","2018-01-05","Objective of Dmart Store Promotion 5","005B0000006NoPnIAK","2019-12-24T13:47:20.000Z","Product Category","NA","0c8B0000000L087IAC","Trade Show","2020-06-06"
"false","Pubicity","Description of Dmart Store Promotion 19","true","2020-06-04","Dmart Store Promotion 19","2019-12-24T13:47:20.000Z","2018-01-04","Objective of Dmart Store Promotion 19","005B0000006NoPnIAK","2019-12-24T13:47:20.000Z","Product","NA","0c8B0000000L08LIAS","Credit Facility","2020-06-04"
"false","Personal Selling","Description of Dmart Store Promotion 42","true","2020-06-03","Dmart Store Promotion 42","2019-12-24T13:47:20.000Z","2018-01-02","Objective of Dmart Store Promotion 42","005B0000006NoPnIAK","2019-12-24T13:47:20.000Z","Product Category","NA","0c8B0000000L08iIAC","Discounts","2020-06-03"
"false","Personal Selling","Description of Dmart Store Promotion 46","true","2020-06-04","Dmart Store Promotion 46","2019-12-24T13:47:20.000Z","2018-01-06","Objective of Dmart Store Promotion 46","005B0000006NoPnIAK","2019-12-24T13:47:20.000Z","Product","NA","0c8B0000000L08mIAC","Exchange Offer","2020-06-04"
"false","Advertising","Description of Dmart Store Promotion 15","true","2020-06-06","Dmart Store Promotion 15","2019-12-24T13:47:20.000Z","2018-01-05","Objective of Dmart Store Promotion 15","005B0000006NoPnIAK","2019-12-24T13:47:20.000Z","Product Category","NA","0c8B0000000L08HIAS","Trade Show","2020-06-06"
"false","Advertising","Description of Dmart Store Promotion 1","true","2020-06-03","Dmart Store Promotion 1","2019-12-24T13:47:20.000Z","2018-01-06","Objective of Dmart Store Promotion 1","005B0000006NoPnIAK","2019-12-24T13:47:20.000Z","Product","NA","0c8B0000000L083IAC","Display and Exhibition","2020-06-03"
"false","Advertising","Description of Dmart Store Promotion 31","true","2020-06-05","Dmart Store Promotion 31","2019-12-24T13:47:20.000Z","2018-01-04","Objective of Dmart Store Promotion 31","005B0000006NoPnIAK","2019-12-24T13:47:20.000Z","Product","NA","0c8B0000000L08XIAS","Display and Exhibition","2020-06-05"
"false","Pubicity","Description of Dmart Store Promotion 38","true","2020-06-05","Dmart Store Promotion 38","2019-12-24T13:47:20.000Z","2018-01-03","Objective of Dmart Store Promotion 38","005B0000006NoPnIAK","2019-12-24T13:47:20.000Z","Product","NA","0c8B0000000L08eIAC","Gifts","2020-06-05"
"false","Sales Promotion","Description of Dmart Store Promotion 7","true","2020-06-02","Dmart Store Promotion 7","2019-12-24T13:47:20.000Z","2018-01-05","Objective of Dmart Store Promotion 7","005B0000006NoPnIAK","2019-12-24T13:47:20.000Z","Product Category","NA","0c8B0000000L089IAC","Free Services","2020-06-02"
"false","Advertising","Description of Dmart Store Promotion 45","true","2020-06-05","Dmart Store Promotion 45","2019-12-24T13:47:20.000Z","2018-01-03","Objective of Dmart Store Promotion 45","005B0000006NoPnIAK","2019-12-24T13:47:20.000Z","Product Category","NA","0c8B0000000L08lIAC","Trade Show","2020-06-05"
"false","Pubicity","Description of Dmart Store Promotion 14","true","2020-06-02","Dmart Store Promotion 14","2019-12-24T13:47:20.000Z","2018-01-03","Objective of Dmart Store Promotion 14","005B0000006NoPnIAK","2019-12-24T13:47:20.000Z","Product Category","NA","0c8B0000000L08GIAS","Sampling and Demonstration","2020-06-02"
"false","Sales Promotion","Description of Dmart Store Promotion 37","true","2020-06-06","Dmart Store Promotion 37","2019-12-24T13:47:20.000Z","2018-01-04","Objective of Dmart Store Promotion 37","005B0000006NoPnIAK","2019-12-24T13:47:20.000Z","Product Category","NA","0c8B0000000L08dIAC","Free Services","2020-06-06"
"false","Advertising","Description of Dmart Store Promotion 35","true","2020-06-05","Dmart Store Promotion 35","2019-12-24T13:47:20.000Z","2018-01-05","Objective of Dmart Store Promotion 35","005B0000006NoPnIAK","2019-12-24T13:47:20.000Z","Product Category","NA","0c8B0000000L08bIAC","Trade Show","2020-06-05"
"false","Advertising","Description of Dmart Store Promotion 41","true","2020-06-05","Dmart Store Promotion 41","2019-12-24T13:47:20.000Z","2018-01-02","Objective of Dmart Store Promotion 41","005B0000006NoPnIAK","2019-12-24T13:47:20.000Z","Product","NA","0c8B0000000L08hIAC","Display and Exhibition","2020-06-05"
"false","Sales Promotion","Description of Dmart Store Promotion 43","true","2020-06-05","Dmart Store Promotion 43","2019-12-24T13:47:20.000Z","2018-01-06","Objective of Dmart Store Promotion 43","005B0000006NoPnIAK","2019-12-24T13:47:20.000Z","Product","NA","0c8B0000000L08jIAC","Coupons","2020-06-05"
"false","Personal Selling","Description of Dmart Store Promotion 22","true","2020-06-04","Dmart Store Promotion 22","2019-12-24T13:47:20.000Z","2018-01-04","Objective of Dmart Store Promotion 22","005B0000006NoPnIAK","2019-12-24T13:47:20.000Z","Product Category","NA","0c8B0000000L08OIAS","Discounts","2020-06-04"
