"PromotionProduct_Product_Name","AccountId","PromotionProduct_ProductId","PromotionId","RetailStoreId","Promotion.EndDate","Promotion.Name","EndDate","EndDate_Temp","Name","StartDate","InStoreLocationId","RetailStore_Name","PromotionProductCategory_Promotion.ProductCategoryId","RetailLocationGroupId","Dummy_Key","Id","PromotionProductCategory_Promotion.ProductCategory_Name","EndDate_Computed","RetailStore_Id"
"Fairy Wings","001B000001KBbEkIAL","01tB0000000ti7nIAA","0c8B0000000CdT6IAK",,,"Store Promotion1","2020-05-15","2020-05-15","00000051","2020-04-16",,,,,"NA","0cBB00000008RDxMAM",,"2020-05-15",
"Fairy Wings",,"01tB0000000UI8UIAW","0c8B0000000CdTLIA0","0YQB0000000L0C8OAK",,"$5 Off","2020-05-12","2020-05-12","00000054","2020-04-29",,"NTO Store - Noe Valley",,,"NA","0cBB00000008REDMA2",,"2020-05-12","0YQB0000000L0C8OAK"
"Fairy Wings",,"01tB0000000UI8UIAW","0c8B0000000CdTHIA0","0YQB0000000L0C8OAK",,"20% Off","2020-01-15","2020-01-15","00000055","2020-01-01",,"NTO Store - Noe Valley",,,"NA","0cBB00000008REHMA2",,"2020-01-15","0YQB0000000L0C8OAK"
"Active care",,"01tB0000000UI8VIAW","0c8B0000000L08FIAS","0YQB0000000L0BvOAK","2020-06-05","Dmart Store Promotion 13","2020-06-04","2020-06-04","00000042","2018-01-02",,"Fare Merchants - Brooklyn","0ZGB0000000L0ZjOAK",,"NA","0cBB0000000L092MAC","Product Category 1","2020-06-04","0YQB0000000L0BvOAK"
"Active care",,"01tB0000000UI8VIAW","0c8B0000000L08HIAS","0YQB0000000L0CGOA0","2020-06-06","Dmart Store Promotion 15","2020-06-04","2020-06-04","00000005","2018-01-06",,"NTO Store - Ferry Plaza Market","0ZGB0000000L0ZkOAK",,"NA","0cBB0000000L08RMAS","Product Category 2","2020-06-04","0YQB0000000L0CGOA0"
"Active care",,"01tB0000000UI8WIAW","0c8B0000000L08RIAS","0YQB0000000L0C7OAK","2020-06-03","Dmart Store Promotion 25","2020-06-05","2020-06-05","00000048","2018-01-04",,"Alpine Nutrition - Noe Valley","0ZGB0000000L0ZlOAK",,"NA","0cBB0000000L098MAC","Product Category 10","2020-06-05","0YQB0000000L0C7OAK"
"Angel Look",,"01tB0000000UI8ZIAW","0c8B0000000L088IAC","0YQB0000000L0C0OAK","2020-06-06","Dmart Store Promotion 6","2020-06-02","2020-06-02","00000050","2018-01-03",,"Rondel Store - San Francisco Central","0ZGB0000000L0ZkOAK",,"NA","0cBB0000000L09AMAS","Product Category 2","2020-06-02","0YQB0000000L0C0OAK"
"Active care",,"01tB0000000UI8VIAW","0c8B0000000L08ZIAS","0YQB0000000L0BxOAK","2020-06-05","Dmart Store Promotion 33","2020-06-02","2020-06-02","00000035","2018-01-05",,"NTO Store - Berkeley","0ZGB0000000L0ZkOAK",,"NA","0cBB0000000L08vMAC","Product Category 2","2020-06-02","0YQB0000000L0BxOAK"
"Active care",,"01tB0000000UI8VIAW","0c8B0000000L08cIAC","0YQB0000000L0C0OAK","2020-06-05","Dmart Store Promotion 36","2020-06-03","2020-06-03","00000025","2018-01-06",,"Rondel Store - San Francisco Central","0ZGB0000000L0ZkOAK",,"NA","0cBB0000000L08lMAC","Product Category 2","2020-06-03","0YQB0000000L0C0OAK"
"Active care",,"01tB0000000UI8VIAW","0c8B0000000L08AIAS","0YQB0000000L0C1OAK","2020-06-02","Dmart Store Promotion 8","2020-06-03","2020-06-03","00000012","2018-01-05",,"Rondel Store - Austin East","0ZGB0000000L0ZjOAK",,"NA","0cBB0000000L08YMAS","Product Category 1","2020-06-03","0YQB0000000L0C1OAK"
"Active care",,"01tB0000000UI8VIAW","0c8B0000000L08EIAS","0YQB0000000L0C6OAK","2020-06-03","Dmart Store Promotion 12","2020-06-03","2020-06-03","00000049","2018-01-04",,"Alpine Nutrition - Glendale","0ZGB0000000L0ZjOAK",,"NA","0cBB0000000L099MAC","Product Category 1","2020-06-03","0YQB0000000L0C6OAK"
"Angel Look",,"01tB0000000UI8cIAG","0c8B0000000L08aIAC","0YQB0000000L0C2OAK","2020-06-02","Dmart Store Promotion 34","2020-06-06","2020-06-06","00000013","2018-01-05",,"Rondel Store - Chicago Streeterville","0ZGB0000000L0ZlOAK",,"NA","0cBB0000000L08ZMAS","Product Category 10","2020-06-06","0YQB0000000L0C2OAK"
"Active care",,"01tB0000000UI8VIAW","0c8B0000000L08oIAC","0YQB0000000L0CHOA0","2020-06-06","Dmart Store Promotion 48","2020-06-03","2020-06-03","00000039","2018-01-04",,"Fare Merchants - Chelsea","0ZGB0000000L0ZjOAK",,"NA","0cBB0000000L08zMAC","Product Category 1","2020-06-03","0YQB0000000L0CHOA0"
