"PromotionProduct_PromotionId","RetailStoreId","RetailStore_RetailStoreGroup_Name","RetailStore_Account_Name","RetailStore_Location_Address_State","RetailStore_Location_Address_City","Product_Name","ProductId","EndDate","Name","StartDate","ProductCategory_ProductCategory_Name","RetailStore_Name","RetailStore_Location_Name","Id"
"0c8B0000000CdT6IAK","0YQB0000000L0C8OAK","Bay Area","Alpine Nutrition Account",,,"Fairy Wings","01tB0000000ti7nIAA",,"00001501","2020-04-16",,"NTO Store - Noe Valley","Location","0bUB0000000D4ePMAS"
,"0YQB0000000L0C8OAK","Bay Area","Alpine Nutrition Account",,,"Nutella","01tB0000000ti9kIAA",,"00001502","2020-04-14",,"NTO Store - Noe Valley","Location","0bUB0000000D4eUMAS"
"0c8B0000000L083IAC","0YQB0000000L0C9OAK","South","Nutrition Stop Account","CA","San Jose","Whitezen","01tB0000000UI8XIAW","2021-06-03","00000001","2018-01-04","Product Category 9","Alpine Nutrition Outlet (Hayward)","Dmart Location 15","0bUB0000000L8IWMA0"
"0c8B0000000L083IAC","0YQB0000000L0C9OAK","South","Nutrition Stop Account","CA","San Jose","Orgma","01tB0000000UI8kIAG","2021-06-03","00000002","2018-01-02","Product Category 7","Alpine Nutrition Outlet (Hayward)","Dmart Location 15","0bUB0000000L8IXMA0"
"0c8B0000000L083IAC","0YQB0000000L0C9OAK","South","Nutrition Stop Account","CA","San Jose","Face matter","01tB0000000UI8aIAG","2021-06-03","00000003","2018-01-03","Product Category 10","Alpine Nutrition Outlet (Hayward)","Dmart Location 15","0bUB0000000L8IYMA0"
"0c8B0000000L083IAC","0YQB0000000L0C9OAK","South","Nutrition Stop Account","CA","San Jose","Soft Finger","01tB0000000UI8eIAG","2021-06-02","00000004","2018-01-04","Product Category 8","Alpine Nutrition Outlet (Hayward)","Dmart Location 15","0bUB0000000L8IZMA0"
"0c8B0000000L083IAC","0YQB0000000L0C9OAK","South","Nutrition Stop Account","CA","San Jose","Pure Perfect","01tB0000000UI8WIAW","2021-06-04","00000005","2018-01-04","Product Category 7","Alpine Nutrition Outlet (Hayward)","Dmart Location 15","0bUB0000000L8IaMAK"
"0c8B0000000L083IAC","0YQB0000000L0C9OAK","South","Nutrition Stop Account","CA","San Jose","Neptune","01tB0000000UI8iIAG","2021-06-06","00000006","2018-01-05","Product Category 6","Alpine Nutrition Outlet (Hayward)","Dmart Location 15","0bUB0000000L8IbMAK"
"0c8B0000000L085IAC","0YQB0000000L0C9OAK","South","Nutrition Stop Account","CA","San Jose","Whole green","01tB0000000UI8YIAW","2021-06-04","00000007","2018-01-05","Product Category 9","Alpine Nutrition Outlet (Hayward)","Dmart Location 15","0bUB0000000L8IcMAK"
"0c8B0000000L084IAC","0YQB0000000L0C9OAK","South","Nutrition Stop Account","CA","San Jose","Active care","01tB0000000UI8lIAG","2021-06-03","00000008","2018-01-05","Product Category 1","Alpine Nutrition Outlet (Hayward)","Dmart Location 15","0bUB0000000L8IdMAK"
"0c8B0000000L083IAC","0YQB0000000L0C9OAK","South","Nutrition Stop Account","CA","San Jose","Kelloggs Corn Flakes","01tB0000000UI8bIAG","2021-06-05","00000009","2018-01-06","Product Category 3","Alpine Nutrition Outlet (Hayward)","Dmart Location 15","0bUB0000000L8IeMAK"
"0c8B0000000L084IAC","0YQB0000000L0C9OAK","South","Nutrition Stop Account","CA","San Jose","Tatva","01tB0000000UI8VIAW","2021-06-06","00000010","2018-01-02","Product Category 8","Alpine Nutrition Outlet (Hayward)","Dmart Location 15","0bUB0000000L8IfMAK"
"0c8B0000000L083IAC","0YQB0000000L0C9OAK","South","Nutrition Stop Account","CA","San Jose","Lucima","01tB0000000UI8hIAG","2021-06-06","00000011","2018-01-05","Product Category 5","Alpine Nutrition Outlet (Hayward)","Dmart Location 15","0bUB0000000L8IgMAK"
"0c8B0000000CdTGIA0","0YQB0000000L0C9OAK","South","Nutrition Stop Account","CA","San Jose","Kelloggs Muesli","01tB0000000UI8UIAW","2021-06-02","00000012","2018-01-02","Product Category 11","Alpine Nutrition Outlet (Hayward)","Dmart Location 15","0bUB0000000L8IhMAK"
"0c8B0000000L084IAC","0YQB0000000L0C9OAK","South","Nutrition Stop Account","CA","San Jose","Honey dew","01tB0000000UI8nIAG","2021-06-04","00000013","2018-01-06","Product Category 2","Alpine Nutrition Outlet (Hayward)","Dmart Location 15","0bUB0000000L8IiMAK"
"0c8B0000000L083IAC","0YQB0000000L0C9OAK","South","Nutrition Stop Account","CA","San Jose","Elliotte","01tB0000000UI8mIAG","2021-06-03","00000014","2018-01-02","Product Category 10","Alpine Nutrition Outlet (Hayward)","Dmart Location 15","0bUB0000000L8IjMAK"
