"Description","Id","CatalogId","ParentCategoryId","Name","NumberOfProducts"
"Description of Product Category 1","0ZGB0000000L0ZjOAK","0ZSB0000000L0XOOA0",,"Product Category 1",2
"Description of Product Category 2","0ZGB0000000L0ZkOAK","0ZSB0000000L0XPOA0",,"Product Category 2",2
"Description of Product Category 4","0ZGB0000000L0ZmOAK","0ZSB0000000L0XPOA0",,"Product Category 4",1
"Description of Product Category 5","0ZGB0000000L0ZnOAK","0ZSB0000000L0XOOA0",,"Product Category 5",2
"Description of Product Category 6","0ZGB0000000L0ZoOAK","0ZSB0000000L0XPOA0",,"Product Category 6",2
"Description of Product Category 7","0ZGB0000000L0ZpOAK","0ZSB0000000L0XOOA0",,"Product Category 7",2
"Description of Product Category 8","0ZGB0000000L0ZqOAK","0ZSB0000000L0XPOA0",,"Product Category 8",2
"Description of Product Category 9","0ZGB0000000L0ZrOAK","0ZSB0000000L0XOOA0",,"Product Category 9",2
"Description of Product Category 10","0ZGB0000000L0ZsOAK","0ZSB0000000L0XPOA0",,"Product Category 10",2
"Description of Product Category 3","0ZGB0000000L0ZlOAK","0ZSB0000000L0XOOA0",,"Product Category 3",2
,"0ZGB00000008TY4OAM","0ZSB00000008TV9OAM",,"Product Category 11",1
