"Promotion.ProductCategory_Name","PromotionId","ProductCategoryId","Promotion.ProductId","Product_Name","ProductId","Id","Promotion.ProductCategoryId","ProductCategory_Name","Name"
"Product Category 3","0c8B0000000L08gIAC","0ZGB0000000L0ZlOAK","01tB0000000UI8ZIAW","Kelloggs Chocos",,"0c9B00000008PcfIAE","0ZGB0000000L0ZlOAK","Product Category 3","00000001"
"Product Category 10","0c8B0000000L08gIAC","0ZGB0000000L0ZsOAK","01tB0000000UI8aIAG","Elliotte",,"0c9B00000008PcgIAE","0ZGB0000000L0ZsOAK","Product Category 10","00000002"
"Product Category 7","0c8B0000000L08gIAC","0ZGB0000000L0ZpOAK","01tB0000000UI8WIAW","Orgma",,"0c9B00000008PchIAE","0ZGB0000000L0ZpOAK","Product Category 7","00000003"
"Product Category 5","0c8B0000000L08gIAC","0ZGB0000000L0ZnOAK","01tB0000000UI8gIAG","Laffayette",,"0c9B00000008PciIAE","0ZGB0000000L0ZnOAK","Product Category 5","00000004"
"Product Category 1","0c8B0000000L086IAC","0ZGB0000000L0ZjOAK","01tB0000000UI8cIAG","Active care",,"0c9B00000008PcjIAE","0ZGB0000000L0ZjOAK","Product Category 1","00000005"
"Product Category 4","0c8B0000000L086IAC","0ZGB0000000L0ZmOAK","01tB0000000UI8fIAG","Lady link",,"0c9B00000008PckIAE","0ZGB0000000L0ZmOAK","Product Category 4","00000006"
"Product Category 2","0c8B0000000L086IAC","0ZGB0000000L0ZkOAK","01tB0000000UI8dIAG","Gentle",,"0c9B00000008PclIAE","0ZGB0000000L0ZkOAK","Product Category 2","00000007"
"Product Category 8","0c8B0000000L086IAC","0ZGB0000000L0ZqOAK","01tB0000000UI8VIAW","Soft Finger",,"0c9B00000008PcmIAE","0ZGB0000000L0ZqOAK","Product Category 8","00000008"
"Product Category 9","0c8B0000000L08BIAS","0ZGB0000000L0ZrOAK","01tB0000000UI8XIAW","Whitezen",,"0c9B00000008PcnIAE","0ZGB0000000L0ZrOAK","Product Category 9","00000009"
"Product Category 6","0c8B0000000L08BIAS","0ZGB0000000L0ZoOAK","01tB0000000UI8iIAG","Neptune",,"0c9B00000008PcoIAE","0ZGB0000000L0ZoOAK","Product Category 6","00000010"
"Product Category 3","0c8B0000000L08BIAS","0ZGB0000000L0ZlOAK","01tB0000000UI8ZIAW","Kelloggs Chocos",,"0c9B00000008PcpIAE","0ZGB0000000L0ZlOAK","Product Category 3","00000011"
"Product Category 10","0c8B0000000L08BIAS","0ZGB0000000L0ZsOAK","01tB0000000UI8aIAG","Elliotte",,"0c9B00000008PcqIAE","0ZGB0000000L0ZsOAK","Product Category 10","00000012"
"Product Category 7","0c8B0000000L089IAC","0ZGB0000000L0ZpOAK","01tB0000000UI8WIAW","Orgma",,"0c9B00000008PcrIAE","0ZGB0000000L0ZpOAK","Product Category 7","00000013"
"Product Category 5","0c8B0000000L089IAC","0ZGB0000000L0ZnOAK","01tB0000000UI8gIAG","Laffayette",,"0c9B00000008PcsIAE","0ZGB0000000L0ZnOAK","Product Category 5","00000014"
"Product Category 1","0c8B0000000L089IAC","0ZGB0000000L0ZjOAK","01tB0000000UI8cIAG","Active care",,"0c9B00000008PctIAE","0ZGB0000000L0ZjOAK","Product Category 1","00000015"
"Product Category 4","0c8B0000000L089IAC","0ZGB0000000L0ZmOAK","01tB0000000UI8fIAG","Lady link",,"0c9B00000008PcuIAE","0ZGB0000000L0ZmOAK","Product Category 4","00000016"
"Product Category 2","0c8B0000000L08HIAS","0ZGB0000000L0ZkOAK","01tB0000000UI8dIAG","Gentle",,"0c9B00000008PcvIAE","0ZGB0000000L0ZkOAK","Product Category 2","00000017"
"Product Category 8","0c8B0000000L08HIAS","0ZGB0000000L0ZqOAK","01tB0000000UI8VIAW","Soft Finger",,"0c9B00000008PcwIAE","0ZGB0000000L0ZqOAK","Product Category 8","00000018"
"Product Category 9","0c8B0000000L08HIAS","0ZGB0000000L0ZrOAK","01tB0000000UI8XIAW","Whitezen",,"0c9B00000008PcxIAE","0ZGB0000000L0ZrOAK","Product Category 9","00000019"
"Product Category 6","0c8B0000000L08HIAS","0ZGB0000000L0ZoOAK","01tB0000000UI8iIAG","Neptune",,"0c9B00000008PcyIAE","0ZGB0000000L0ZoOAK","Product Category 6","00000020"
"Product Category 3","0c8B0000000L08IIAS","0ZGB0000000L0ZlOAK","01tB0000000UI8ZIAW","Kelloggs Chocos",,"0c9B00000008PczIAE","0ZGB0000000L0ZlOAK","Product Category 3","00000021"
"Product Category 10","0c8B0000000L08IIAS","0ZGB0000000L0ZsOAK","01tB0000000UI8aIAG","Elliotte",,"0c9B00000008Pd0IAE","0ZGB0000000L0ZsOAK","Product Category 10","00000022"
"Product Category 7","0c8B0000000L08IIAS","0ZGB0000000L0ZpOAK","01tB0000000UI8WIAW","Orgma",,"0c9B00000008Pd1IAE","0ZGB0000000L0ZpOAK","Product Category 7","00000023"
"Product Category 5","0c8B0000000L08IIAS","0ZGB0000000L0ZnOAK","01tB0000000UI8gIAG","Laffayette",,"0c9B00000008Pd2IAE","0ZGB0000000L0ZnOAK","Product Category 5","00000024"
"Product Category 1","0c8B0000000L08pIAC","0ZGB0000000L0ZjOAK","01tB0000000UI8cIAG","Active care",,"0c9B00000008Pd3IAE","0ZGB0000000L0ZjOAK","Product Category 1","00000025"
"Product Category 4","0c8B0000000L08pIAC","0ZGB0000000L0ZmOAK","01tB0000000UI8fIAG","Lady link",,"0c9B00000008Pd4IAE","0ZGB0000000L0ZmOAK","Product Category 4","00000026"
"Product Category 2","0c8B0000000L08pIAC","0ZGB0000000L0ZkOAK","01tB0000000UI8dIAG","Gentle",,"0c9B00000008Pd5IAE","0ZGB0000000L0ZkOAK","Product Category 2","00000027"
"Product Category 8","0c8B0000000L08pIAC","0ZGB0000000L0ZqOAK","01tB0000000UI8VIAW","Soft Finger",,"0c9B00000008Pd6IAE","0ZGB0000000L0ZqOAK","Product Category 8","00000028"
"Product Category 9","0c8B0000000L08iIAC","0ZGB0000000L0ZrOAK","01tB0000000UI8XIAW","Whitezen",,"0c9B00000008Pd7IAE","0ZGB0000000L0ZrOAK","Product Category 9","00000029"
"Product Category 6","0c8B0000000L08iIAC","0ZGB0000000L0ZoOAK","01tB0000000UI8iIAG","Neptune",,"0c9B00000008Pd8IAE","0ZGB0000000L0ZoOAK","Product Category 6","00000030"
"Product Category 3","0c8B0000000L08iIAC","0ZGB0000000L0ZlOAK","01tB0000000UI8ZIAW","Kelloggs Chocos",,"0c9B00000008Pd9IAE","0ZGB0000000L0ZlOAK","Product Category 3","00000031"
"Product Category 10","0c8B0000000L08iIAC","0ZGB0000000L0ZsOAK","01tB0000000UI8aIAG","Elliotte",,"0c9B00000008PdAIAU","0ZGB0000000L0ZsOAK","Product Category 10","00000032"
"Product Category 7","0c8B0000000L08nIAC","0ZGB0000000L0ZpOAK","01tB0000000UI8WIAW","Orgma",,"0c9B00000008PdBIAU","0ZGB0000000L0ZpOAK","Product Category 7","00000033"
"Product Category 5","0c8B0000000L08nIAC","0ZGB0000000L0ZnOAK","01tB0000000UI8gIAG","Laffayette",,"0c9B00000008PdCIAU","0ZGB0000000L0ZnOAK","Product Category 5","00000034"
"Product Category 1","0c8B0000000L08nIAC","0ZGB0000000L0ZjOAK","01tB0000000UI8cIAG","Active care",,"0c9B00000008PdDIAU","0ZGB0000000L0ZjOAK","Product Category 1","00000035"
"Product Category 4","0c8B0000000L08nIAC","0ZGB0000000L0ZmOAK","01tB0000000UI8fIAG","Lady link",,"0c9B00000008PdEIAU","0ZGB0000000L0ZmOAK","Product Category 4","00000036"
"Product Category 2","0c8B0000000L08kIAC","0ZGB0000000L0ZkOAK","01tB0000000UI8dIAG","Gentle",,"0c9B00000008PdFIAU","0ZGB0000000L0ZkOAK","Product Category 2","00000037"
"Product Category 8","0c8B0000000L08kIAC","0ZGB0000000L0ZqOAK","01tB0000000UI8VIAW","Soft Finger",,"0c9B00000008PdGIAU","0ZGB0000000L0ZqOAK","Product Category 8","00000038"
"Product Category 9","0c8B0000000L08kIAC","0ZGB0000000L0ZrOAK","01tB0000000UI8XIAW","Whitezen",,"0c9B00000008PdHIAU","0ZGB0000000L0ZrOAK","Product Category 9","00000039"
"Product Category 6","0c8B0000000L08kIAC","0ZGB0000000L0ZoOAK","01tB0000000UI8iIAG","Neptune",,"0c9B00000008PdIIAU","0ZGB0000000L0ZoOAK","Product Category 6","00000040"
"Product Category 3","0c8B0000000L083IAC","0ZGB0000000L0ZlOAK","01tB0000000UI8ZIAW","Kelloggs Chocos",,"0c9B00000008PdJIAU","0ZGB0000000L0ZlOAK","Product Category 3","00000041"
"Product Category 10","0c8B0000000L083IAC","0ZGB0000000L0ZsOAK","01tB0000000UI8aIAG","Elliotte",,"0c9B00000008PdKIAU","0ZGB0000000L0ZsOAK","Product Category 10","00000042"
"Product Category 7","0c8B0000000L083IAC","0ZGB0000000L0ZpOAK","01tB0000000UI8WIAW","Orgma",,"0c9B00000008PdLIAU","0ZGB0000000L0ZpOAK","Product Category 7","00000043"
"Product Category 5","0c8B0000000L083IAC","0ZGB0000000L0ZnOAK","01tB0000000UI8gIAG","Laffayette",,"0c9B00000008PdMIAU","0ZGB0000000L0ZnOAK","Product Category 5","00000044"
"Product Category 1","0c8B0000000L08AIAS","0ZGB0000000L0ZjOAK","01tB0000000UI8cIAG","Active care",,"0c9B00000008PdNIAU","0ZGB0000000L0ZjOAK","Product Category 1","00000045"
"Product Category 4","0c8B0000000L08AIAS","0ZGB0000000L0ZmOAK","01tB0000000UI8fIAG","Lady link",,"0c9B00000008PdOIAU","0ZGB0000000L0ZmOAK","Product Category 4","00000046"
"Product Category 2","0c8B0000000L08AIAS","0ZGB0000000L0ZkOAK","01tB0000000UI8dIAG","Gentle",,"0c9B00000008PdPIAU","0ZGB0000000L0ZkOAK","Product Category 2","00000047"
"Product Category 8","0c8B0000000L08AIAS","0ZGB0000000L0ZqOAK","01tB0000000UI8VIAW","Soft Finger",,"0c9B00000008PdQIAU","0ZGB0000000L0ZqOAK","Product Category 8","00000048"
