Id,Contact.Id,CreatedDate_Custom,IsPersonAccount_Computed,CreatedDate,CitywithState,ContactsTraced,Household_Members
0013c00001qCd7QAAS,0033c00002VC8qJAAT,2020-04-30,True,2020-04-30T00:00:00.000Z,"Anchorage , AK",2.0,3.0
0013c00001qCd7eAAC,0033c00002VC8qXAAT,2020-04-30,True,2020-04-30T00:00:00.000Z,"Milwaukee , WI",2.0,3.0
0013c00001qCd7fAAC,0033c00002VC8qYAAT,2020-04-30,True,2020-04-30T00:00:00.000Z,"Taylor , MI",2.0,3.0
0013c00001qCd7lAAC,0033c00002VC8qeAAD,2020-04-30,True,2020-04-30T00:00:00.000Z,"Middlesex , NJ",2.0,3.0
0013c00001qCd8KAAS,0033c00002VC8rDAAT,2020-04-30,True,2020-04-30T00:00:00.000Z,"Huntingdon Valley , PA",2.0,3.0
0013c00001qCd8SAAS,0033c00002VC8rLAAT,2020-04-30,True,2020-04-30T00:00:00.000Z,"Erie , PA",2.0,3.0
0013c00001qCd8VAAS,0033c00002VC8rOAAT,2020-04-30,True,2020-04-30T00:00:00.000Z,"San Francisco , CA",2.0,3.0
0013c00001qCd8hAAC,0033c00002VC8raAAD,2020-04-30,True,2020-04-30T00:00:00.000Z,"Jacksonville , FL",2.0,3.0
0013c00001qCd90AAC,0033c00002VC8rtAAD,2020-04-30,True,2020-04-30T00:00:00.000Z,"San Leandro , CA",2.0,3.0
0013c00001qCd92AAC,0033c00002VC8rvAAD,2020-04-30,True,2020-04-30T00:00:00.000Z,"Burnsville , MN",2.0,3.0
0013c00001qCd9HAAS,0033c00002VC8sAAAT,2020-04-30,True,2020-04-30T00:00:00.000Z,"Albany , GA",2.0,3.0
0013c00001qCd9dAAC,0033c00002VC8sWAAT,2020-04-30,True,2020-04-30T00:00:00.000Z,"Findlay , OH",2.0,3.0
0013c00001qCd9fAAC,0033c00002VC8sYAAT,2020-04-30,True,2020-04-30T00:00:00.000Z,"Waco , TX",2.0,3.0
0013c00001qCd9xAAC,0033c00002VC8sqAAD,2020-04-30,True,2020-04-30T00:00:00.000Z,"Saint Paul , MN",2.0,3.0
0013c00001qCdA4AAK,0033c00002VC8sxAAD,2020-04-30,True,2020-04-30T00:00:00.000Z,"Philadelphia , PA",2.0,3.0
0013c00001qCdAEAA0,0033c00002VC8t7AAD,2020-04-30,True,2020-04-30T00:00:00.000Z,"Concord , MA",2.0,3.0
0013c00001qCdAFAA0,0033c00002VC8t8AAD,2020-04-30,True,2020-04-30T00:00:00.000Z,"San Francisco , CA",2.0,3.0
0013c00001qCdAZAA0,0033c00002VC8tSAAT,2020-04-30,True,2020-04-30T00:00:00.000Z,"Jacksonville , FL",2.0,3.0
0013c00001qCdAeAAK,0033c00002VC8tXAAT,2020-04-30,True,2020-04-30T00:00:00.000Z,"New York , NY",2.0,3.0
0013c00001qCdBCAA0,0033c00002VC8u5AAD,2020-04-30,True,2020-04-30T00:00:00.000Z,"Wilmington , MA",2.0,3.0
0013c00001qCdBOAA0,0033c00002VC8uHAAT,2020-04-30,True,2020-04-30T00:00:00.000Z,"Bridgewater , NJ",2.0,3.0
0013c00001qCdBQAA0,0033c00002VC8uJAAT,2020-04-30,True,2020-04-30T00:00:00.000Z,"Saint Louis , MO",2.0,3.0
0013c00001qCdBjAAK,0033c00002VC8ucAAD,2020-04-30,True,2020-04-30T00:00:00.000Z,"New York , NY",2.0,3.0
0013c00001qCdBmAAK,0033c00002VC8ufAAD,2020-04-30,True,2020-04-30T00:00:00.000Z,"Indianapolis , IN",2.0,3.0
0013c00001qCdCNAA0,0033c00002VC8vGAAT,2020-04-30,True,2020-04-30T00:00:00.000Z,"Butte , MT",2.0,3.0
0013c00001qCdDPAA0,0033c00002VC8wIAAT,2020-04-30,True,2020-04-30T00:00:00.000Z,"Fort Wayne , IN",2.0,3.0
0013c00001qCdE1AAK,0033c00002VC8wuAAD,2020-04-30,True,2020-04-30T00:00:00.000Z,"Pasadena , CA",2.0,3.0
0013c00001qCdEKAA0,0033c00002VC8xDAAT,2020-04-30,True,2020-04-30T00:00:00.000Z,"Cambridge , MA",2.0,3.0
0013c00001qCdEyAAK,0033c00002VC8xrAAD,2020-04-30,True,2020-04-30T00:00:00.000Z,"Syosset , NY",2.0,3.0
0013c00001qCdF9AAK,0033c00002VC8y2AAD,2020-04-30,True,2020-04-30T00:00:00.000Z,"Garden City , NY",2.0,3.0
0013c00001qCdFLAA0,0033c00002VC8yEAAT,2020-04-30,True,2020-04-30T00:00:00.000Z,"Novato , CA",2.0,3.0
0013c00001qCdFfAAK,0033c00002VC8yYAAT,2020-04-30,True,2020-04-30T00:00:00.000Z,"Metairie , LA",2.0,3.0
0013c00001qCdFpAAK,0033c00002VC8yiAAD,2020-04-30,True,2020-04-30T00:00:00.000Z,"Saint Albans , VT",2.0,3.0
0013c00001qCdHAAA0,0033c00002VC903AAD,2020-04-30,True,2020-04-30T00:00:00.000Z,"Washington , DC",,
0013c00001qCdHKAA0,0033c00002VC90DAAT,2020-04-30,True,2020-04-30T00:00:00.000Z,"Plano , TX",,
0013c00001qCdHSAA0,0033c00002VC90LAAT,2020-04-30,True,2020-04-30T00:00:00.000Z,"Newark , NJ",,
0013c00001qCdHdAAK,0033c00002VC90WAAT,2020-04-30,True,2020-04-30T00:00:00.000Z,"Hialeah , FL",,
0013c00001qCdIOAA0,0033c00002VC91HAAT,2020-04-30,True,2020-04-30T00:00:00.000Z,"Binghamton , NY",,
