Visitor.Name,VisitorId,AccountId,Name,Address.State,Planned_Visit_Start_Time_Formatted,Status,Actual_Visit_End_Time_Formatted,Address.CitywithState,Address.City,IsVisitComplete,RegulatoryAuthorizationType,Actual_Visit_Start_Time_Formatted,PlannedVisitStartTime,Planned_Visit_End_Time_Formatted,Id
visitor last name,0053c00000BWFi7AAH,0013c00001qBqIzAAK,14,IL,2020-04-01 00:00:00,Completed,2020-04-01 12:00:00,"Chicago , IL",Chicago,True,Well-Being Check,2020-04-01 00:00:00,2020-04-01T00:00:00.000Z,,0Z53c000000PB5DCAW
visitor last name,0053c00000BWFi3AAH,0013c00001qBqLFAA0,50,ME,2020-04-01 00:00:00,Completed,2020-04-01 12:00:00,"Bangor , ME",Bangor,True,Well-Being Check,2020-04-01 00:00:00,2020-04-01T00:00:00.000Z,,0Z53c000000PB5nCAG
visitor last name,0053c00000BWFhBAAX,0013c00001qBqICAA0,61,NJ,2020-04-01 00:00:00,Planned,,"Jersey City , NJ",Jersey City,False,Food Delivery,2020-04-01 00:00:00,2020-04-01T00:00:00.000Z,,0Z53c000000PB5yCAG
visitor last name,0053c00000BWFi7AAH,0013c00001qBqKrAAK,154,NY,2020-04-01 00:00:00,Completed,2020-04-01 12:00:00,"Albany , NY",Albany,True,Well-Being Check,2020-04-01 00:00:00,2020-04-01T00:00:00.000Z,,0Z53c000000PB7TCAW
visitor last name,0053c00000BWFhGAAX,0013c00001qBqKbAAK,164,KS,2020-04-01 00:00:00,Completed,2020-04-01 12:00:00,"Abilene , KS",Abilene,True,Well-Being Check,2020-04-01 00:00:00,2020-04-01T00:00:00.000Z,,0Z53c000000PB7dCAG
visitor last name,0053c00000BWFhEAAX,0013c00001qBqKdAAK,166,CA,2020-04-01 00:00:00,Completed,2020-04-01 12:00:00,"Camarillo , CA",Camarillo,True,Medicine / Medical Supplies Delivery,2020-04-01 00:00:00,2020-04-01T00:00:00.000Z,,0Z53c000000PB7fCAG
visitor last name,0053c00000BWFi3AAH,0013c00001qBqKhAAK,170,NJ,2020-04-01 00:00:00,Completed,2020-04-01 12:00:00,"Dunellen , NJ",Dunellen,True,Medicine / Medical Supplies Delivery,2020-04-01 00:00:00,2020-04-01T00:00:00.000Z,,0Z53c000000PB7jCAG
visitor last name,0053c00000BWFi4AAH,0013c00001qBqLRAA0,211,NY,2020-04-01 00:00:00,Planned,,"Pelham , NY",Pelham,False,Temporary Housing,2020-04-01 00:00:00,2020-04-01T00:00:00.000Z,,0Z53c000000PB8OCAW
visitor last name,0053c00000BWFiCAAX,0013c00001qBqLdAAK,219,CA,2020-04-01 00:00:00,Planned,,"Oroville , CA",Oroville,False,Temporary Housing,2020-04-01 00:00:00,2020-04-01T00:00:00.000Z,,0Z53c000000PB8WCAW
visitor last name,0053c00000BWFiDAAX,0013c00001qBqLyAAK,240,TX,2020-04-01 00:00:00,Completed,2020-04-01 12:00:00,"Round Rock , TX",Round Rock,True,Medicine / Medical Supplies Delivery,2020-04-01 00:00:00,2020-04-01T00:00:00.000Z,,0Z53c000000PB8rCAG
visitor last name,0053c00000BWFhBAAX,0013c00001qBqLzAAK,241,MO,2020-04-01 00:00:00,Planned,,"Saint Louis , MO",Saint Louis,False,Food Delivery,2020-04-01 00:00:00,2020-04-01T00:00:00.000Z,,0Z53c000000PB8sCAG
visitor last name,0053c00000BWFhFAAX,0013c00001qBqM3AAK,245,TX,2020-04-01 00:00:00,Planned,,"El Paso , TX",El Paso,False,Food Delivery,2020-04-01 00:00:00,2020-04-01T00:00:00.000Z,,0Z53c000000PB8wCAG
visitor last name,0053c00000BWFhCAAX,0013c00001qBqMyAAK,308,LA,2020-04-01 00:00:00,Completed,2020-04-01 12:00:00,"Lafayette , LA",Lafayette,True,Medicine / Medical Supplies Delivery,2020-04-01 00:00:00,2020-04-01T00:00:00.000Z,,0Z53c000000PB9xCAG
visitor last name,0053c00000BWFhGAAX,0013c00001qBqORAA0,324,FL,2020-04-01 00:00:00,Completed,2020-04-01 12:00:00,"Miami , FL",Miami,True,Medicine / Medical Supplies Delivery,2020-04-01 00:00:00,2020-04-01T00:00:00.000Z,,0Z53c000000PBADCA4
visitor last name,0053c00000BWFhFAAX,0013c00001qBqOSAA0,325,MN,2020-04-01 00:00:00,Planned,,"Shakopee , MN",Shakopee,False,Food Delivery,2020-04-01 00:00:00,2020-04-01T00:00:00.000Z,,0Z53c000000PBAECA4
visitor last name,0053c00000BWFiDAAX,0013c00001qBqNaAAK,360,CA,2020-04-01 00:00:00,Completed,2020-04-01 12:00:00,"El Cajon , CA",El Cajon,True,Medicine / Medical Supplies Delivery,2020-04-01 00:00:00,2020-04-01T00:00:00.000Z,,0Z53c000000PBAnCAO
visitor last name,0053c00000BWFiAAAX,0013c00001qBqNrAAK,377,MS,2020-04-01 00:00:00,Planned,,"Biloxi , MS",Biloxi,False,Food Delivery,2020-04-01 00:00:00,2020-04-01T00:00:00.000Z,,0Z53c000000PBB4CAO
visitor last name,0053c00000BWFhDAAX,0013c00001qBqO1AAK,387,CA,2020-04-01 00:00:00,Planned,,"Gardena , CA",Gardena,False,Temporary Housing,2020-04-01 00:00:00,2020-04-01T00:00:00.000Z,,0Z53c000000PBBECA4
visitor last name,0053c00000BWFhHAAX,0013c00001qBqQxAAK,423,CA,2020-04-01 00:00:00,Planned,,"Roseville , CA",Roseville,False,Well-Being Check,2020-04-01 00:00:00,2020-04-01T00:00:00.000Z,,0Z53c000000PBBoCAO
visitor last name,0053c00000BWFhBAAX,0013c00001qBqP1AAK,441,AR,2020-04-01 00:00:00,Planned,,"Little Rock , AR",Little Rock,False,Medicine / Medical Supplies Delivery,2020-04-01 00:00:00,2020-04-01T00:00:00.000Z,,0Z53c000000PBC6CAO
visitor last name,0053c00000BWFhHAAX,0013c00001qBqQkAAK,463,AZ,2020-04-01 00:00:00,Planned,,"Phoenix , AZ",Phoenix,False,Well-Being Check,2020-04-01 00:00:00,2020-04-01T00:00:00.000Z,,0Z53c000000PBCSCA4
visitor last name,0053c00000BWFhFAAX,0013c00001qBqQiAAK,465,NJ,2020-04-01 00:00:00,Planned,,"Middlesex , NJ",Middlesex,False,Medicine / Medical Supplies Delivery,2020-04-01 00:00:00,2020-04-01T00:00:00.000Z,,0Z53c000000PBCUCA4
visitor last name,0053c00000BWFi4AAH,0013c00001qBqQSAA0,491,AK,2020-04-01 00:00:00,Planned,,"Anchorage , AK",Anchorage,False,Food Delivery,2020-04-01 00:00:00,2020-04-01T00:00:00.000Z,,0Z53c000000PBCuCAO
visitor last name,0053c00000BWFi8AAH,0013c00001qBqQOAA0,495,MI,2020-04-01 00:00:00,Planned,,"Ortonville , MI",Ortonville,False,Food Delivery,2020-04-01 00:00:00,2020-04-01T00:00:00.000Z,,0Z53c000000PBCyCAO
visitor last name,0053c00000BWFiDAAX,0013c00001qBqQJAA0,500,WI,2020-04-01 00:00:00,Completed,2020-04-01 12:00:00,"Milwaukee , WI",Milwaukee,True,Medicine / Medical Supplies Delivery,2020-04-01 00:00:00,2020-04-01T00:00:00.000Z,,0Z53c000000PBD3CAO
visitor last name,0053c00000BWFhGAAX,0013c00001qBqOmAAK,504,CA,2020-04-01 00:00:00,Completed,2020-04-01 12:00:00,"Long Beach , CA",Long Beach,True,Food Delivery,2020-04-01 00:00:00,2020-04-01T00:00:00.000Z,,0Z53c000000PBD7CAO
visitor last name,0053c00000BWFiDAAX,0013c00001qBqS7AAK,540,UT,2020-04-01 00:00:00,Completed,2020-04-01 12:00:00,"Provo , UT",Provo,True,Medicine / Medical Supplies Delivery,2020-04-01 00:00:00,2020-04-01T00:00:00.000Z,,0Z53c000000PBDhCAO
visitor last name,0053c00000BWFhJAAX,0013c00001qBqSGAA0,549,NY,2020-04-01 00:00:00,Planned,,"Mount Vernon , NY",Mount Vernon,False,Temporary Housing,2020-04-01 00:00:00,2020-04-01T00:00:00.000Z,,0Z53c000000PBDqCAO
visitor last name,0053c00000BWFiCAAX,0013c00001qBqTpAAK,559,FL,2020-04-01 00:00:00,Planned,,"Niceville , FL",Niceville,False,Well-Being Check,2020-04-01 00:00:00,2020-04-01T00:00:00.000Z,,0Z53c000000PBE0CAO
visitor last name,0053c00000BWFi6AAH,0013c00001qBqU3AAK,573,TX,2020-04-01 00:00:00,Planned,,"Austin , TX",Austin,False,Medicine / Medical Supplies Delivery,2020-04-01 00:00:00,2020-04-01T00:00:00.000Z,,0Z53c000000PBEECA4
visitor last name,0053c00000BWFi8AAH,0013c00001qBqSKAA0,575,OR,2020-04-01 00:00:00,Planned,,"Bend , OR",Bend,False,Well-Being Check,2020-04-01 00:00:00,2020-04-01T00:00:00.000Z,,0Z53c000000PBEGCA4
visitor last name,0053c00000BWFiBAAX,0013c00001qBqSNAA0,578,PA,2020-04-01 00:00:00,Completed,2020-04-01 12:00:00,"Landisville , PA",Landisville,True,Temporary Housing,2020-04-01 00:00:00,2020-04-01T00:00:00.000Z,,0Z53c000000PBEJCA4
visitor last name,0053c00000BWFhFAAX,0013c00001qBqSpAAK,605,AZ,2020-04-01 00:00:00,Planned,,"Phoenix , AZ",Phoenix,False,Temporary Housing,2020-04-01 00:00:00,2020-04-01T00:00:00.000Z,,0Z53c000000PBEkCAO
visitor last name,0053c00000BWFhCAAX,0013c00001qBqSsAAK,608,FL,2020-04-01 00:00:00,Completed,2020-04-01 12:00:00,"Tampa , FL",Tampa,True,Medicine / Medical Supplies Delivery,2020-04-01 00:00:00,2020-04-01T00:00:00.000Z,,0Z53c000000PBEnCAO
visitor last name,0053c00000BWFiBAAX,0013c00001qBqULAA0,658,HI,2020-04-01 00:00:00,Completed,2020-04-01 12:00:00,"Hilo , HI",Hilo,True,Well-Being Check,2020-04-01 00:00:00,2020-04-01T00:00:00.000Z,,0Z53c000000PBFbCAO
visitor last name,0053c00000BWFi8AAH,0013c00001qBqRPAA0,675,NC,2020-04-01 00:00:00,Planned,,"Fayetteville , NC",Fayetteville,False,Well-Being Check,2020-04-01 00:00:00,2020-04-01T00:00:00.000Z,,0Z53c000000PBFsCAO
visitor last name,0053c00000BWFi3AAH,0013c00001qBqPMAA0,690,NJ,2020-04-01 00:00:00,Completed,2020-04-01 12:00:00,"Freehold , NJ",Freehold,True,Temporary Housing,2020-04-01 00:00:00,2020-04-01T00:00:00.000Z,,0Z53c000000PBG7CAO
visitor last name,0053c00000BWFhHAAX,0013c00001qBqT0AAK,703,LA,2020-04-01 00:00:00,Planned,,"Larose , LA",Larose,False,Temporary Housing,2020-04-01 00:00:00,2020-04-01T00:00:00.000Z,,0Z53c000000PBGKCA4
visitor last name,0053c00000BWFi9AAH,0013c00001qBqT9AAK,716,CT,2020-04-01 00:00:00,Completed,2020-04-01 12:00:00,"Danbury , CT",Danbury,True,Well-Being Check,2020-04-01 00:00:00,2020-04-01T00:00:00.000Z,,0Z53c000000PBGXCA4
visitor last name,0053c00000BWFhIAAX,0013c00001qBqTEAA0,722,CA,2020-04-01 00:00:00,Completed,2020-04-01 12:00:00,"San Dimas , CA",San Dimas,True,Food Delivery,2020-04-01 00:00:00,2020-04-01T00:00:00.000Z,,0Z53c000000PBGdCAO
visitor last name,0053c00000BWFiBAAX,0013c00001qBqRrAAK,738,SD,2020-04-01 00:00:00,Completed,2020-04-01 12:00:00,"Aberdeen , SD",Aberdeen,True,Food Delivery,2020-04-01 00:00:00,2020-04-01T00:00:00.000Z,,0Z53c000000PBGtCAO
visitor last name,0053c00000BWFhJAAX,0013c00001qBqTYAA0,749,FL,2020-04-01 00:00:00,Planned,,"Tampa , FL",Tampa,False,Well-Being Check,2020-04-01 00:00:00,2020-04-01T00:00:00.000Z,,0Z53c000000PBH4CAO
visitor last name,0053c00000BWFhGAAX,0013c00001qBqPkAAK,764,NJ,2020-04-01 00:00:00,Completed,2020-04-01 12:00:00,"Kearny , NJ",Kearny,True,Food Delivery,2020-04-01 00:00:00,2020-04-01T00:00:00.000Z,,0Z53c000000PBHJCA4
visitor last name,0053c00000BWFiCAAX,0013c00001qBqVGAA0,813,LA,2020-04-02 00:00:00,Planned,,"Houma , LA",Houma,False,Temporary Housing,2020-04-02 00:00:00,2020-04-02T00:00:00.000Z,,0Z53c000000PBI6CAO
visitor last name,0053c00000BWFhDAAX,0013c00001qBqV8AAK,821,AZ,2020-04-02 00:00:00,Planned,,"Phoenix , AZ",Phoenix,False,Temporary Housing,2020-04-02 00:00:00,2020-04-02T00:00:00.000Z,,0Z53c000000PBIECA4
visitor last name,0053c00000BWFi5AAH,0013c00001qBqV3AAK,826,NJ,2020-04-02 00:00:00,Completed,2020-04-02 12:00:00,"Atlantic City , NJ",Atlantic City,True,Medicine / Medical Supplies Delivery,2020-04-02 00:00:00,2020-04-02T00:00:00.000Z,,0Z53c000000PBIJCA4
visitor last name,0053c00000BWFhJAAX,0013c00001qBqW6AAK,843,NJ,2020-04-02 00:00:00,Planned,,"Rockaway , NJ",Rockaway,False,Food Delivery,2020-04-02 00:00:00,2020-04-02T00:00:00.000Z,,0Z53c000000PBIaCAO
