"ForecastCategory","CloseDate","Stage_IsAdvanced","CreatedDatePrev","Unique_Sort_Key","OpportunityId","ForecastCategoryPrev","StageIsWon","Deleted","ValidToDate","StageName","StageNamePrev","LastProcessedDate","CloseDatePrev","CustomFilter","StagePrevIsWon","OpportunityAccountId","CreatedDate","ValidFromDate","RecordID","StagePrevIsClosed","StageIsClosed","IsPulled","StagePrevSortOrder","IsLastUpdate","Amount_isUpdated","Stage_isUpdated","Amount","AmountPrev","Duration","IsPushed","CloseDate_isUpdated","StageSortOrder","Time_In_Current_Stage_Duration_Seconds"
"Pipeline","2019-01-05 00:00:00",True,"1970-01-15 00:00:00","2018-09-02T04:00:00.000Z-a1l3s000002wbEFAAY","0063s00000DYwjIAAT","",False,False,"2018-10-03 18:05:06","Qualification","","2019-10-07 14:44:53","1970-01-15 00:00:00",True,"","0013s00000up7GbAAI","2018-09-16 04:00:00","2018-09-16 04:00:00","a1l3s000002wbEFAAY","",False,0,0,0,1,1,24235,0,1519506,1,1,1,18634402
"BestCase","2019-01-05 00:00:00",False,"2018-10-03 18:05:06","2018-09-22T15:46:53.000Z-a1l3s000002wbEHAAY","0063s00000DYwjIAAT","BestCase",False,False,"2018-10-14 08:37:44","Proposal/Quote","Proposal/Quote","2019-10-07 14:44:53","2019-01-05 00:00:00",True,False,"0013s00000up7GbAAI","2018-10-06 15:46:53","2018-10-06 15:46:53","a1l3s000002wbEHAAY",False,False,0,4,0,0,0,24235,24235,665451,0,0,4,18634402
"Pipeline","2019-01-05 00:00:00",True,"2018-12-12 01:12:27","2018-12-14T15:25:52.000Z-a1l3s000002wbELAAY","0063s00000DYwjIAAT","BestCase",False,False,"2019-01-03 01:07:11","Negotiation","Proposal/Quote","2019-10-07 14:44:53","2019-01-05 00:00:00",True,False,"0013s00000up7GbAAI","2018-12-28 15:25:52","2018-12-28 15:25:52","a1l3s000002wbELAAY",False,False,0,4,0,0,1,39373,39373,466879,0,0,5,18634402
"Pipeline","2019-03-03 00:00:00",False,"2018-12-28 15:25:52","2018-12-20T01:07:11.000Z-a1l3s000002wbEMAAY","0063s00000DYwjIAAT","Pipeline",False,False,"2019-02-09 06:08:15","Negotiation","Negotiation","2019-10-07 14:44:53","2019-01-05 00:00:00",True,False,"0013s00000up7GbAAI","2019-01-03 01:07:11","2019-01-03 01:07:11","a1l3s000002wbEMAAY",False,False,0,5,0,0,0,39373,39373,3214864,1,1,5,18634402
"Pipeline","2019-12-13 00:00:00",False,"2019-08-28 10:50:36","2019-08-29T20:55:24.000Z-0083s00000n4MGAAA2","0063s00000DYwjJAAT","Pipeline",False,False,"3000-01-15 00:00:00","Discovery","Discovery","2019-10-07 14:44:53","2019-12-13 00:00:00",True,False,"0013s00000up7GbAAI","2019-09-12 20:55:24","2019-09-12 20:55:24","0083s00000n4MGAAA2",False,False,0,2,1,0,0,0,0,5146,0,0,2,1337461
"Omitted","2018-09-22 00:00:00",False,"2018-09-22 01:12:06","2019-08-29T20:55:24.000Z-0083s00000n4MGBAA2","0063s00000DYwjKAAT","Omitted",False,False,"3000-01-15 00:00:00","Closed Lost","Closed Lost","2019-10-07 14:44:53","2018-09-22 00:00:00",True,False,"0013s00000up7GcAAI","2019-09-12 20:55:24","2019-09-12 20:55:24","0083s00000n4MGBAA2",True,True,0,7,1,0,0,77507,77507,5146,0,0,7,30748171
"BestCase","2019-01-23 00:00:00",True,"2018-12-14 05:00:00","2018-12-02T08:26:28.000Z-a1l3s000002wbEdAAI","0063s00000DYwjMAAT","Pipeline",False,False,"2018-12-18 09:27:42","Discovery","Qualification","2019-10-07 14:44:53","2019-01-23 00:00:00",True,False,"0013s00000up7GeAAI","2018-12-16 08:26:28","2018-12-16 08:26:28","a1l3s000002wbEdAAI",False,False,0,1,0,0,1,53774,53774,176474,0,0,2,19266732
"Omitted","2019-01-23 00:00:00",True,"2018-12-20 23:46:40","2018-12-07T11:27:39.000Z-a1l3s000002wbEgAAI","0063s00000DYwjMAAT","BestCase",False,False,"2018-12-22 00:51:13","Closed Lost","Discovery","2019-10-07 14:44:53","2019-01-23 00:00:00",True,False,"0013s00000up7GeAAI","2018-12-21 11:27:39","2018-12-21 11:27:39","a1l3s000002wbEgAAI",False,True,0,2,0,0,1,53774,53774,48214,0,0,7,19266732
"Pipeline","2019-06-14 00:00:00",False,"2019-03-31 08:00:51","2019-03-27T20:35:35.000Z-a1l3s000002wbEvAAI","0063s00000DYwjNAAT","Pipeline",False,False,"2019-05-21 21:41:07","Proposal/Quote","Proposal/Quote","2019-10-07 14:44:53","2019-03-19 00:00:00",True,False,"0013s00000up7GfAAI","2019-04-10 20:35:35","2019-04-10 20:35:35","a1l3s000002wbEvAAI",False,False,0,4,0,0,0,100000,100000,3546332,1,1,4,9852030
"Omitted","2019-06-14 00:00:00",False,"2019-05-21 21:41:07","2019-08-29T20:55:24.000Z-0083s00000n4MGEAA2","0063s00000DYwjNAAT","Omitted",False,False,"3000-01-15 00:00:00","Closed Lost","Closed Lost","2019-10-07 14:44:53","2019-06-14 00:00:00",True,False,"0013s00000up7GfAAI","2019-09-12 20:55:24","2019-09-12 20:55:24","0083s00000n4MGEAA2",True,True,0,7,1,0,0,100000,100000,5146,0,0,7,9852030
