"Investment_Experience","RebalanceFrequency","Time_Horizon","Is_Churn","Investment_Objectives","Risk_Tolerance","Review_Frequency","Marketing_Segment","FA_Performance3Yr","LastInteraction_Months","Relationship_Length","LastReview_Months","Wallet_Share","FA_PerformanceYTD","FA_Performance1Yr","FA_PerformanceMTD","AUM","FA_PerformanceQTD"
"Moderately Inexperienced","Quarterly","Medium Term","False","Aggressive Growth","Conservative","Monthly","High Net Worth",6.9,10,6,7,0,1.6,1.1,-0.7,496000,-9.5
"Moderately Experienced","Quarterly","Short Term","False","Conservative Income","Aggressive","Annually","Mass Affluent",10.1,4,1,8,0,-4,2.6,0.8,454000,4.4
"Experienced","Annually","Short Term","False","Balanced","Conservative","Quarterly","Female Investor",21.4,4,5,10,0,-3.1,-0.5,-0.7,374000,5.8
"Experienced","Annually","Medium Term","True","Aggressive Growth","Conservative","Annually","High Net Worth",13.4,8,2,1,0,0.9,7.5,1,358000,-3.7
"Moderately Experienced","Annually","Short Term","True","Growth","Conservative","Quarterly","High Net Worth",5.9,0,4,4,0,-4.1,3.9,-0.9,374000,0.4
"Inexperienced","Monthly","Medium Term","False","Conservative Income","Moderate","Quarterly","Female Investor",8.7,13,2,13,100,-1.1,-0.8,0,491000,0
"Moderately Inexperienced","Semiannually","Short Term","True","Income","Aggressive","Annually","Mass Affluent",5,13,0,6,50,-1.8,2,-1.5,208000,-3.9
"Moderately Inexperienced","Quarterly","Long Term","False","Income","Moderate","Monthly","High Net Worth",11.7,7,4,6,100,0.5,-2.1,-1,423000,-5.5
"Moderately Experienced","Quarterly","Medium Term","True","Income","Conservative","Quarterly","Mass Affluent",14,11,2,12,50,-5.3,2,1.9,592000,2.2
"Experienced","Semiannually","Short Term","True","Conservative Income","Aggressive","Annually","High Net Worth",5.4,6,5,8,80,3.7,7.9,1,548000,0.3
"Moderately Inexperienced","Monthly","Medium Term","False","Growth","Aggressive","Annually","Mass Affluent",1.8,7,4,9,50,-2.5,0.7,3.4,603000,6.3
"Inexperienced","Monthly","Short Term","True","Growth","Moderate","Annually","Female Investor",8.8,9,1,5,50,-2,-5.8,2.8,500000,0.6
"Inexperienced","Annually","Short Term","True","Aggressive Growth","Moderate","Annually","Female Investor",7.6,7,6,6,50,-3.3,6.6,0.9,535000,3.5
"Experienced","Semiannually","Short Term","False","Growth","None","Monthly","Millennial",13.9,6,1,5,100,3.8,3.7,0.7,578000,2.3
"Moderately Inexperienced","Quarterly","Medium Term","False","Aggressive Growth","Moderate","Quarterly","Mass Affluent",3.3,13,4,9,50,-1,4.7,1.7,634000,-0.7
"Moderately Inexperienced","Semiannually","Medium Term","True","Aggressive Growth","Moderate","Monthly","High Net Worth",16.2,5,2,7,100,-3.9,1.1,2.9,652000,-1.7
"Moderately Inexperienced","Monthly","Medium Term","True","Income","Aggressive","Quarterly","Mass Affluent",12.4,1,1,9,70,1.9,1.4,1,488000,-3.4
"Experienced","Annually","Long Term","True","Conservative Income","Moderate","Annually","Mass Affluent",24.8,8,1,4,100,-1.7,6.8,4.6,505000,1.9
"Inexperienced","Quarterly","Short Term","False","Income","None","Quarterly","High Net Worth",21.6,6,2,3,50,-3.3,0.9,-0.8,287000,4
"Experienced","Monthly","Short Term","True","Aggressive Growth","Moderate","Annually","Mass Affluent",22.7,3,5,11,100,-0.2,-1.9,0.4,583000,0.7
"Inexperienced","Semiannually","Medium Term","True","Conservative Income","Conservative","Quarterly","Female Investor",22.2,8,5,4,50,-4.7,-3,-1.3,560000,5.7
"Moderately Inexperienced","Semiannually","Long Term","True","Conservative Income","Moderate","Annually","Female Investor",11.7,8,1,9,80,-1.6,-2.5,1.3,787000,4.8
"Experienced","Monthly","Short Term","False","Income","None","Monthly","Millennial",15.7,5,3,9,50,-1.3,1.7,2.7,424000,-3.6
"Inexperienced","Annually","Short Term","True","Aggressive Growth","None","Annually","Mass Affluent",18,8,6,10,50,3,1.6,1.1,418000,-0.9
"Inexperienced","Monthly","Medium Term","True","Income","Aggressive","Annually","Millennial",17.2,10,1,4,50,1.4,-4.6,2,562000,1.4
"Moderately Experienced","Annually","Short Term","True","Balanced","Aggressive","Quarterly","Mass Affluent",21.1,5,4,5,100,1,-1,0.3,581000,-4.6
"Moderately Inexperienced","Annually","Medium Term","True","Aggressive Growth","Moderate","Quarterly","Female Investor",11.5,9,3,6,50,-3.2,6.7,3.2,385000,-1.2
"Inexperienced","Monthly","Short Term","False","Aggressive Growth","Conservative","Quarterly","Mass Affluent",14,7,3,7,100,0.6,1.7,2.5,595000,-5.9
"Moderately Inexperienced","Quarterly","Long Term","True","Balanced","Aggressive","Quarterly","Mass Affluent",6.7,7,3,10,70,3.5,8.4,-1.6,667000,-1.3
"Inexperienced","Quarterly","Medium Term","True","Income","Conservative","Monthly","High Net Worth",18.7,7,5,3,0,-0.6,3.2,2.5,388000,3.4
"Moderately Inexperienced","Semiannually","Medium Term","True","Conservative Income","Conservative","Monthly","Mass Affluent",20.7,8,4,9,0,0.4,5.3,1.1,643000,-1.3
"Moderately Experienced","Semiannually","Medium Term","True","Aggressive Growth","Aggressive","Monthly","Female Investor",24.6,1,2,12,0,0.6,3,0.1,409000,-0.3
"Experienced","Semiannually","Long Term","False","Aggressive Growth","Aggressive","Quarterly","Millennial",12.7,11,8,12,100,5.1,7.1,0.4,477000,3.9
"Moderately Experienced","Monthly","Short Term","True","Growth","Conservative","Monthly","Millennial",-0.8,15,1,8,50,-6.2,-1.4,1.8,367000,1.5
"Experienced","Quarterly","Medium Term","True","Conservative Income","Moderate","Annually","Female Investor",24.9,13,3,12,100,-4.9,5.5,2.4,476000,6.4
"Moderately Experienced","Monthly","Short Term","True","Balanced","Moderate","Monthly","Mass Affluent",6.5,6,3,14,50,2.1,-4.1,1.1,584000,5.2
"Inexperienced","Semiannually","Medium Term","False","Conservative Income","None","Annually","Female Investor",18.8,8,5,3,80,3,1.9,1.7,581000,3.3
"Moderately Inexperienced","Monthly","Medium Term","True","Growth","Moderate","Monthly","Millennial",6.4,8,3,10,50,-2.6,2.4,0.3,927000,-0.3
"Moderately Experienced","Quarterly","Medium Term","False","Income","Aggressive","Monthly","Millennial",14.6,11,4,0,50,0.4,8.7,-2.1,606000,-6.4
