Product,id,Date,AUM,Revenue,Fees,Commissions,LastProcessedDate
Annuity,1,2019-01-31,"$688,051.00","$1,266.00",$471.00,$142.00,2020-05-25
Annuity,2,2019-01-26,"$1,101,404.00","$1,779.00",$333.00,$634.00,2020-05-25
ETF,3,2019-02-21,"$1,150,628.00",$766.00,$419.00,$113.00,2020-05-25
Life Insurance,4,2019-02-18,"$462,348.00",$822.00,$498.00,$927.00,2020-05-25
Life Insurance,5,2018-12-12,"$1,110,180.00","$1,454.00",$450.00,$63.00,2020-05-25
Life Insurance,6,2019-04-04,"$1,157,066.00","$1,908.00",$664.00,$659.00,2020-05-25
Annuity,7,2019-02-04,"$1,177,799.00",$667.00,$0.00,$0.00,2020-05-25
ETF,8,2019-01-01,"$919,275.00","$1,052.00",$556.00,$922.00,2020-05-25
Mutual Fund,9,2019-04-21,"$1,140,515.00","$1,878.00",$170.00,$751.00,2020-05-25
Mutual Fund,10,2018-12-18,"$922,238.00","$1,203.00",$0.00,$0.00,2020-05-25
Life Insurance,11,2018-11-12,"$841,724.00",$556.00,$268.00,$392.00,2020-05-25
Mutual Fund,12,2018-11-29,"$1,094,500.00","$1,604.00",$689.00,$708.00,2020-05-25
ETF,13,2018-12-04,"$491,790.00","$1,565.00",$282.00,$13.00,2020-05-25
Life Insurance,14,2019-05-06,"$598,137.00",$809.00,$755.00,$992.00,2020-05-25
Life Insurance,15,2019-05-22,"$573,037.00","$1,178.00",$503.00,$177.00,2020-05-25
Annuity,16,2018-10-28,"$595,944.00",$816.00,$269.00,$684.00,2020-05-25
ETF,17,2019-03-15,"$440,486.00","$1,645.00",$522.00,$764.00,2020-05-25
Annuity,18,2019-01-25,"$558,388.00",$681.00,$825.00,$802.00,2020-05-25
Annuity,19,2019-01-04,"$550,783.00","$1,065.00",$213.00,$951.00,2020-05-25
Savings,20,2019-03-24,"$454,734.00","$1,123.00",$487.00,$508.00,2020-05-25
Annuity,21,2018-12-04,"$606,486.00","$1,885.00",$794.00,$668.00,2020-05-25
Life Insurance,22,2019-05-08,"$801,082.00","$1,422.00",$297.00,$49.00,2020-05-25
ETF,23,2019-02-27,"$706,809.00","$1,033.00",$969.00,$681.00,2020-05-25
Annuity,24,2019-03-18,"$551,905.00","$1,334.00",$172.00,$475.00,2020-05-25
