ACCOUNTCLIENTCATEGORY,ACCOUNTID,ACCOUNTINDUSTRY,ACCOUNTMARKETINGSEGMENT,ACCOUNTNAME,ACTIVITYID,AMOUNT,CLOSEDATE,CREATEDDATE,DAYSSINCELASTACTIVITY,EXPECTEDREVENUE,FORECASTCATEGORY,ID,ISCLOSED,ISWON,LEADSOURCE,OPPORTUNITYAGE,OPPORTUNITYNAME,OPPORTUNITYOWNER,OWNERCITY,OWNERID,OWNERSMALLPHOTOURL,OWNERSTATE,PROBABILITY,RECORDTYPENAME,STAGE,STAGENAME,STAGESORTORDER,TIMEINSTAGEDURATIONSECONDS,LastProcessedDate
Platinum,001B000000SS4dWIAT,Food & Beverage,Retired,HP - Opsware,Activity 81,59500,2020-02-01,2019-12-07,377,59500,Closed,006B00000049UxLIAU,true,true,Fields Sales,213,HP - Opsware - 59.5k,Chelsea Advisor,Florida,0051U000005L6eJQAS,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,FL,100,Simple,Closed Won,Closed Won,8,22377114,2020-05-25
Platinum,001B000000SS4zbIAD,Construction,High Net Worth Families,hereUare Communications,Activity 401,35000,2019-06-11,2019-09-21,613,35000,Closed,006B00000049VPjIAM,true,true,Fields Sales,290,hereUare Communications - 35k,Allen Advisor,Chicago,0051U000005JQyrQAG,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,100,Simple,Closed Won,Closed Won,8,50868881,2020-05-25
Gold,001B000000SS4nEIAT,Agriculture,Retired,Trinity Management Consulting,Activity 732,62500,2018-09-05,2019-12-14,888,62500,Omitted,006B0000004t2RGIAY,true,false,Fields Sales,206,Trinity Management Consulting - 62.5k,Allen Advisor,Chicago,0051U000005JQyrQAG,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,0,Simple,Closed Lost,Closed Lost,9,41714658,2020-05-25
Silver,001B000000SS4qaIAD,Consulting,Mass Market,Holy Family Hospital,Activity 745,51500,2018-08-20,2019-12-19,900,51500,Closed,006B0000004t2TJIAY,true,true,Fields Sales,201,Holy Family Hospital - 51.5k,Brenda Banker,San Francisco,0051U000005L4E9QAK,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T,CA,100,Simple,Closed Won,Closed Won,8,37057041,2020-05-25
Silver,001B000000WJEFdIAP,Banking,Affluent Professionals,Chapter 2 e  services,Activity 29,100000,2020-05-03,2019-11-17,284,100000,Closed,006B00000049VRmIAM,true,true,Reseller,233,Chapter 2 e  services - 100k,Allen Advisor,Chicago,0051U000005JQyrQAG,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,100,Simple,Closed Won,Closed Won,8,57246298,2020-05-25
Platinum,001B000000SS5yrIAD,Shipping,Mass Market,Bridgehead Group Ltd Inc,Activity 280,74500,2020-08-09,2019-08-11,250,74500,Pipeline,006B00000049UilIAE,false,false,Fields Sales,331,Bridgehead Group Ltd Inc - 74.5k,Allen Advisor,Chicago,0051U000005JQyrQAG,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T,IL,75,Channel (Partner),Proposal/Quote,Proposal/Quote,5,55277954,2020-05-25
Silver,001B000000WJE8HIAX,Other,Affluent Professionals,W.L. Gore & Associates,Activity 314,52500,2019-10-22,2019-12-11,475,52500,Omitted,006B00000049V57IAE,true,false,Fields Sales,209,W.L. Gore & Associates - 52.5k,Allen Advisor,Chicago,0051U000005JQyrQAG,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T,IL,0,Simple,Closed Lost,Closed Lost,9,40145768,2020-05-25
Silver,001B000000WJE4vIAH,Engineering,Millennials,Invision.com,Activity 369,67500,2019-07-25,2019-08-09,675,67500,Omitted,006B00000049Vb9IAE,true,false,Fields Sales,333,Invision.com - 67.5k,Allen Advisor,Chicago,0051U000005JQyrQAG,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,0,Channel (Partner),Closed Lost,Closed Lost,9,26560145,2020-05-25
Silver,001B000000SS4IGIA1,Machinery,Mass Market,Axis Technologies,Activity 430,49500,2019-04-18,2019-08-29,722,49500,Omitted,006B0000003n2zkIAA,true,false,Reseller,313,Axis Technologies - 49.5k,Mark Garet,New York,0051U000005KhW6QAK,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,NY,0,Channel (Partner),Closed Lost,Closed Lost,9,28899194,2020-05-25
Platinum,001B000000SS4AHIA1,Communications,Affluent Professionals,DoxSys,Activity 169,100000,2020-10-07,2019-10-18,232,100000,Best Case,006B00000049VKXIA2,false,false,Fields Sales,263,DoxSys - 100k,Allen Advisor,Chicago,0051U000005JQyrQAG,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,0,Channel (Partner),Discovery,Discovery,0,5471581,2020-05-25
Gold,001B000000lwNrRIAU,Chemicals,Mass Market,Towne Park.,Activity 500,40000,2019-03-07,2019-10-10,764,40000,Closed,006B0000003WbJUIA0,true,true,Reseller,271,Towne Park. - 40k,Allen Advisor,Chicago,0051U000005JQyrQAG,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,100,Channel (Partner),Closed Won,Closed Won,8,61840131,2020-05-25
Gold,001B000000SS4daIAD,Not For Profit,Affluent Professionals,Crdentia,Activity 253,67000,2020-01-24,2019-12-12,382,67000,Omitted,006B00000049UxWIAU,true,false,Fields Sales,208,Crdentia - 67k,Allen Advisor,Chicago,0051U000005JQyrQAG,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,0,Simple,Closed Lost,Closed Lost,9,36247215,2020-05-25
Silver,001B000000SS4alIAD,Insurance,Millennials,800.com Inc,Activity 471,22500,2020-04-12,2019-11-03,329,22500,Omitted,006B0000003n2FSIAY,true,false,Telesales,247,800.com Inc - 22.5k,Allen Advisor,Chicago,0051U000005JQyrQAG,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T,IL,0,Simple,Closed Lost,Closed Lost,9,49138064,2020-05-25
Platinum,001B000000bwMRlIAM,Recreation,Retired,Array,Activity 312,51500,2019-10-28,2019-07-11,620,51500,Omitted,006B00000049Ui6IAE,true,false,Fields Sales,362,Array - 51.5k,Allen Advisor,Chicago,0051U000005JQyrQAG,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,0,Simple,Closed Lost,Closed Lost,9,6759289,2020-05-25
Gold,001B000000WJEFQIA5,Telecommunications,High Net Worth Families,Fidelity National Title Insurance Company,Activity 628,185000,2019-02-14,2019-06-25,819,185000,Omitted,006B0000004t2XfIAI,true,false,Other,378,Fidelity National Title Insurance Company - 185k,Brenda Banker,San Francisco,0051U000005L4E9QAK,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,CA,0,Simple,Closed Lost,Closed Lost,9,2601762,2020-05-25
Platinum,001B000000bwMZLIA2,Shipping,Millennials,Alodus Corporation,Activity 547,75000,2020-01-13,2019-12-19,388,75000,Omitted,006B0000003hgc2IAA,true,false,Fields Sales,201,Alodus Corporation - 75k,Brenda Banker,San Francisco,0051U000005L4E9QAK,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1Q/T,CA,0,Simple,Closed Lost,Closed Lost,9,16183067,2020-05-25
Gold,001B000000SS542IAD,Healthcare & Life Sciences,Mass Market,Principal Global Investors,Activity 564,65000,2019-02-06,2019-09-11,797,65000,Omitted,006B0000004t2ZHIAY,true,false,Reseller,300,Principal Global Investors - 65k,Allen Advisor,Chicago,0051U000005JQyrQAG,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,0,Simple,Closed Lost,Closed Lost,9,52551241,2020-05-25
Platinum,001B000000SS49dIAD,Entertainment,Mass Market,SevenAnswers,Activity 90,25000,2020-03-05,2019-07-05,494,25000,Closed,006B0000003WbixIAC,true,true,Fields Sales,368,SevenAnswers - 25k,Allen Advisor,Chicago,0051U000005JQyrQAG,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UAau/T,IL,100,Simple,Closed Won,Closed Won,8,51040851,2020-05-25
Silver,001B000000WJEDeIAP,Other,Affluent Professionals,The Walsh Group Ltd,Activity 606,57500,2018-10-19,2019-09-03,846,57500,Omitted,006B0000003X122IAC,true,false,Fields Sales,308,The Walsh Group Ltd - 57.5k,Brenda Banker,San Francisco,0051U000005L4E9QAK,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UE1V/T,CA,0,Channel (Partner),Closed Lost,Closed Lost,9,51988798,2020-05-25
Silver,001B000000SS3yZIAT,Biotechnology,Mass Market,ACE Cash Express,Activity 345,44000,2019-08-20,2019-12-02,549,44000,Closed,006B0000003hgaOIAQ,true,true,Fields Sales,218,ACE Cash Express - 44k,Chelsea Advisor,Florida,0051U000005L6eJQAS,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T,FL,100,Simple,Closed Won,Closed Won,8,13823190,2020-05-25
Gold,001B000000SS4IbIAL,Chemicals,Affluent Professionals,Vflash,Activity 374,37500,2019-06-21,2019-08-12,693,37500,Omitted,006B00000049VTPIA2,true,false,Fields Sales,330,Vflash - 37.5k,Mark Garet,New York,0051U000005KhW6QAK,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T,NY,0,Simple,Closed Lost,Closed Lost,9,10048991,2020-05-25
Gold,001B000000WJDz4IAH,Transportation,High Net Worth Families,Workstream,Activity 555,175000,2019-02-12,2019-09-15,815,175000,Omitted,006B0000003n2AAIAY,true,false,Fields Sales,296,Workstream - 175k,Allen Advisor,Chicago,0051U000005JQyrQAG,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T,IL,0,Simple,Closed Lost,Closed Lost,9,33928696,2020-05-25
Gold,001B000000SS3izIAD,Healthcare & Life Sciences,High Net Worth Families,Valley Office Equipment,Activity 143,50500,2020-01-19,2019-12-10,387,50500,Omitted,006B00000049VX5IAM,true,false,Fields Sales,210,Valley Office Equipment - 50.5k,Mark Garet,New York,0051U000005KhW6QAK,https://cumulus-ea4fins--c.documentforce.com/profilephoto/7291U000000UD7k/T,NY,0,Channel (Partner),Closed Lost,Closed Lost,9,47974771,2020-05-25
