"ProductFamily","OrderEffectiveDate","ProductName","LastProcessedDate","OrderAccountName","OrderParentName","UnitPrice","TotalPrice","Quantity"
"Trenchers","2020-11-05","Trencher T48","2020-08-10","Silodyne Company","Advanced Communications",6400,480000,75
"Brooms","2020-04-21","Utility Broom UB1000","2020-08-10","Red Studio Designs","Ohana Technologies",4500,337500,75
"Brooms","2020-06-28","Pickup Broom PB100","2020-08-10","Haven Enterprises","Permadyne GmbH, LTD",6900,2242500,325
"Rippers","2019-08-20","Ripper 37","2020-08-10","Ohana Incorporated.","Ohana Technologies",2000,200000,100
"Compactors","2019-03-14","Compactor 9000","2020-08-10","Meridian Partners","Advanced Communications",8100,2835000,350
"Compactors","2019-01-07","Compactor 9500","2020-08-10","Integrity Systems","Advanced Communications",13000,1300000,100
"Rippers","2020-05-27","Ripper 34","2020-08-10","Acme Partners","Ohana Technologies",1350,168750,125
"Brooms","2020-09-20","Pickup Broom PB200","2020-08-10","Tech Labs","Permadyne GmbH, LTD",7500,1125000,150
"Specialized Attachments","2020-01-17","Pulverizer P20","2020-08-10","Wellspring, Inc.","Ohana Technologies",4750,475000,100
"Trenchers","2020-03-25","Trencher T36","2020-08-10","Momentum Design","Ohana Technologies",6000,900000,150
"Specialized Attachments","2020-10-06","Sweeper S1000","2020-08-10","Silodyne Company","Advanced Communications",7500,1500000,200
"Trenchers","2019-04-11","Trencher T60","2020-08-10","Wellspring, Inc.","Ohana Technologies",9000,2925000,325
"Rippers","2020-08-31","Ripper 19","2020-08-10","Red Studio Designs","Ohana Technologies",800,80000,100
"Compactors","2019-07-08","Compactor 3500","2020-08-10","Ohana Incorporated.","Ohana Technologies",5750,2587500,450
"Specialized Attachments","2020-02-05","Hammer H700","2020-08-10","Tech Labs","Permadyne GmbH, LTD",5750,431250,75
"Rippers","2020-07-03","Ripper 27","2020-08-10","Meridian Partners","Advanced Communications",1000,225000,225
"Specialized Attachments","2020-12-11","Hammer H500","2020-08-10","Integrity Systems","Advanced Communications",4200,2100000,500
"Specialized Attachments","2019-05-26","Pulverizer P10","2020-08-10","Momentum Design","Ohana Technologies",4500,225000,50
"Specialized Attachments","2019-11-25","Backhoe Attachment R2","2020-08-10","Acme Partners","Ohana Technologies",19500,5362500,275
"Specialized Attachments","2019-09-11","Backhoe Attachment R1","2020-08-10","Haven Enterprises","Permadyne GmbH, LTD",20500,4612500,225
"Trenchers","2019-06-11","Trencher T48","2020-08-10","Momentum Design","Ohana Technologies",6400,3040000,475
"Rippers","2019-02-24","Ripper 37","2020-08-10","Red Studio Designs","Ohana Technologies",2000,600000,300
"Specialized Attachments","2019-12-20","Sweeper S1000","2020-08-10","Silodyne Company","Advanced Communications",7500,2250000,300
"Specialized Attachments","2019-10-16","Backhoe Attachment R1","2020-08-10","Meridian Partners","Advanced Communications",20500,5125000,250
"Brooms","2019-10-22","Utility Broom UB1000","2020-08-10","Ohana Incorporated.","Ohana Technologies",4500,2137500,475
"Compactors","2020-10-10","Compactor 9500","2020-08-10","Wellspring, Inc.","Ohana Technologies",13000,2275000,175
"Specialized Attachments","2019-07-13","Hammer H700","2020-08-10","Tech Labs","Permadyne GmbH, LTD",5750,287500,50
"Compactors","2019-04-03","Compactor 3500","2020-08-10","Acme Partners","Ohana Technologies",5750,287500,50
