"Prescription","Case_Id","CaseNumber","Variance"
"Change Field_Service__c to true","500B000000337EGIAY","16380",3.968
"Change Offer_Voucher__c to true","500B000000337EGIAY","16380",2.203
"Change Offer_Voucher__c to true","500B000000337EHIAY","16381",2.332
"Change Offer_Voucher__c to true","500B000000337EIIAY","16382",1.947
"Change Offer_Voucher__c to true","500B000000337EJIAY","16383",1.973
"Change Field_Service__c to true","500B000000337EKIAY","16384",3.923
"Change Offer_Voucher__c to true","500B000000337EKIAY","16384",2.044
"Change Field_Service__c to true","500B000000337ELIAY","16385",3.923
"Change Offer_Voucher__c to true","500B000000337ELIAY","16385",2.044
"Change Field_Service__c to true","500B000000337EMIAY","16386",3.923
"Change Offer_Voucher__c to true","500B000000337EMIAY","16386",2.022
"Change Field_Service__c to true","500B000000337ENIAY","16387",3.923
"Change Offer_Voucher__c to true","500B000000337ENIAY","16387",2.902
"Change Offer_Voucher__c to true","500B000000337EOIAY","16388",2.692
"Change Field_Service__c to true","500B000000337EPIAY","16389",4.082
"Change Field_Service__c to true","500B000000337EQIAY","16390",3.968
"Change Offer_Voucher__c to true","500B000000337EQIAY","16390",2.142
"Change Field_Service__c to true","500B000000337ERIAY","16391",3.968
"Change Offer_Voucher__c to true","500B000000337ERIAY","16391",2.184
"Change Field_Service__c to true","500B000000337ESIAY","16392",3.968
"Change Offer_Voucher__c to true","500B000000337ESIAY","16392",2.146
"Change Field_Service__c to true","500B000000337ETIAY","16393",3.894
"Change Offer_Voucher__c to true","500B000000337ETIAY","16393",3.309
"Change Field_Service__c to true","500B000000337EUIAY","16394",3.968
"Change Offer_Voucher__c to true","500B000000337EUIAY","16394",2.74
"Change Field_Service__c to true","500B000000337EVIAY","16395",3.923
"Change Offer_Voucher__c to true","500B000000337EVIAY","16395",2.044
"Change Offer_Voucher__c to true","500B000000337EWIAY","16396",1.726
"Change Offer_Voucher__c to true","500B000000337EXIAY","16397",2.005
"Change Field_Service__c to true","500B000000337EYIAY","16398",3.923
"Change Offer_Voucher__c to true","500B000000337EYIAY","16398",2.902
"Change Field_Service__c to true","500B000000337EZIAY","16399",3.894
"Change Offer_Voucher__c to true","500B000000337EZIAY","16399",2.863
"Change Field_Service__c to true","500B000000337EaIAI","16400",4.053
"Change Offer_Voucher__c to true","500B000000337EbIAI","16401",1.637
"Change Offer_Voucher__c to true","500B000000337EcIAI","16402",3.247
"Change Field_Service__c to true","500B000000337JvIAI","16726",4.09
"Change Offer_Voucher__c to true","500B000000337JvIAI","16726",1.602
"Change Offer_Voucher__c to true","500B000000337JwIAI","16727",3.055
"Change Field_Service__c to true","500B000000337JxIAI","16728",4.09
"Change Offer_Voucher__c to true","500B000000337JxIAI","16728",2.967
"Change Field_Service__c to true","500B000000337JyIAI","16729",4.062
"Change Offer_Voucher__c to true","500B000000337JyIAI","16729",2.927
"Change Field_Service__c to true","500B000000337JzIAI","16730",3.932
"Change Offer_Voucher__c to true","500B000000337JzIAI","16730",2.276
"Change Field_Service__c to true","500B000000337K0IAI","16731",3.903
"Change Offer_Voucher__c to true","500B000000337K0IAI","16731",2.237
"Change Field_Service__c to true","500B000000337K1IAI","16732",3.976
"Change Offer_Voucher__c to true","500B000000337K1IAI","16732",1.555
"Change Offer_Voucher__c to true","500B000000337K2IAI","16733",1.497
"Change Offer_Voucher__c to true","500B000000337K3IAI","16734",2.419
"Change Field_Service__c to true","500B000000337K4IAI","16735",3.931
"Change Offer_Voucher__c to true","500B000000337K4IAI","16735",3.18
"Change Offer_Voucher__c to true","500B000000337K5IAI","16736",2.927
"Change Field_Service__c to true","500B000000337K6IAI","16737",3.976
"Change Offer_Voucher__c to true","500B000000337K6IAI","16737",1.703
"Change Offer_Voucher__c to true","500B000000337K7IAI","16738",2.809
"Change Offer_Voucher__c to true","500B000000337K8IAI","16739",3.917
"Change Field_Service__c to true","500B000000337K9IAI","16740",4.044
"Change Offer_Voucher__c to true","500B000000337K9IAI","16740",2.669
"Change Field_Service__c to true","500B000000337KAIAY","16741",4.044
"Change Offer_Voucher__c to true","500B000000337KAIAY","16741",2.271
"Change Offer_Voucher__c to true","500B000000337KBIAY","16742",3.079
"Change Field_Service__c to true","500B000000337KCIAY","16743",3.903
"Change Offer_Voucher__c to true","500B000000337KCIAY","16743",2.237
"Change Field_Service__c to true","500B000000337KDIAY","16744",4.062
"Change Offer_Voucher__c to true","500B000000337KEIAY","16745",4.065
"Change Field_Service__c to true","500B000000337KFIAY","16746",4.09
"Change Field_Service__c to true","500B000000337KGIAY","16747",4.09
"Change Offer_Voucher__c to true","500B000000337KGIAY","16747",1.496
"Change Field_Service__c to true","500B000000337EdIAI","16403",3.923
"Change Offer_Voucher__c to true","500B000000337EdIAI","16403",2.773
"Change Field_Service__c to true","500B000000337EeIAI","16404",3.923
"Change Offer_Voucher__c to true","500B000000337EeIAI","16404",2.777
"Change Field_Service__c to true","500B000000337EfIAI","16405",4.081
"Change Offer_Voucher__c to true","500B000000337EgIAI","16406",3.753
"Change Offer_Voucher__c to true","500B000000337EiIAI","16408",3.869
"Change Field_Service__c to true","500B000000337EjIAI","16409",3.991
"Change Offer_Voucher__c to true","500B000000337EjIAI","16409",2.385
"Change Field_Service__c to true","500B000000337EkIAI","16410",4.057
"Change Offer_Voucher__c to true","500B000000337EkIAI","16410",2.915
"Change Field_Service__c to true","500B000000337ElIAI","16411",4.009
"Change Offer_Voucher__c to true","500B000000337ElIAI","16411",2.124
"Change Field_Service__c to true","500B000000337EmIAI","16412",4.249
"Change Offer_Voucher__c to true","500B000000337EmIAI","16412",1.919
"Change Offer_Voucher__c to true","500B000000337EnIAI","16413",4.019
"Change Offer_Voucher__c to true","500B000000337EoIAI","16414",4.056
"Change Field_Service__c to true","500B000000337EpIAI","16415",4.267
"Change Field_Service__c to true","500B000000337EqIAI","16416",4.152
"Change Offer_Voucher__c to true","500B000000337EqIAI","16416",1.748
"Change Field_Service__c to true","500B000000337ErIAI","16417",4.152
"Change Offer_Voucher__c to true","500B000000337ErIAI","16417",1.664
"Change Field_Service__c to true","500B000000337EsIAI","16418",3.991
"Change Offer_Voucher__c to true","500B000000337EsIAI","16418",2.389
"Change Field_Service__c to true","500B000000337EtIAI","16419",3.85
"Change Offer_Voucher__c to true","500B000000337EtIAI","16419",3.228
"Change Offer_Voucher__c to true","500B000000337EuIAI","16420",2.79
"Change Field_Service__c to true","500B000000337EvIAI","16421",3.991
"Change Offer_Voucher__c to true","500B000000337EvIAI","16421",1.807
"Change Field_Service__c to true","500B000000337EwIAI","16422",4.035
"Change Offer_Voucher__c to true","500B000000337EwIAI","16422",1.745
"Change Field_Service__c to true","500B000000337ExIAI","16423",3.85
"Change Offer_Voucher__c to true","500B000000337EyIAI","16424",4.006
"Change Field_Service__c to true","500B000000337EyIAI","16424",3.85
"Change Offer_Voucher__c to true","500B000000337EzIAI","16425",1.584
"Change Field_Service__c to true","500B000000337KHIAY","16748",4.072
"Change Offer_Voucher__c to true","500B000000337KHIAY","16748",2.185
"Change Field_Service__c to true","500B000000337KIIAY","16749",4.044
"Change Offer_Voucher__c to true","500B000000337KIIAY","16749",2.271
"Change Offer_Voucher__c to true","500B000000337KJIAY","16750",2.148
"Change Offer_Voucher__c to true","500B000000337KKIAY","16751",2.986
"Change Field_Service__c to true","500B000000337KLIAY","16752",4.09
"Change Offer_Voucher__c to true","500B000000337KLIAY","16752",2.994
"Change Offer_Voucher__c to true","500B000000337KMIAY","16753",4.065
"Change Field_Service__c to true","500B000000337KNIAY","16754",4.09
"Change Field_Service__c to true","500B000000337KOIAY","16755",4.09
"Change Field_Service__c to true","500B000000337KPIAY","16756",4.072
"Change Offer_Voucher__c to true","500B000000337KPIAY","16756",2.773
"Change Offer_Voucher__c to true","500B000000337KQIAY","16757",2.369
"Change Offer_Voucher__c to true","500B000000337KRIAY","16758",2.776
"Change Field_Service__c to true","500B000000337KSIAY","16759",4.044
"Change Offer_Voucher__c to true","500B000000337KSIAY","16759",2.355
"Change Offer_Voucher__c to true","500B000000337KTIAY","16760",2.8
"Change Field_Service__c to true","500B000000337KUIAY","16761",3.932
"Change Offer_Voucher__c to true","500B000000337KUIAY","16761",2.276
"Change Offer_Voucher__c to true","500B000000337KVIAY","16762",2.254
"Change Offer_Voucher__c to true","500B000000337KWIAY","16763",2.237
"Change Offer_Voucher__c to true","500B000000337KXIAY","16764",1.767
"Change Field_Service__c to true","500B000000337KYIAY","16765",3.932
"Change Offer_Voucher__c to true","500B000000337KYIAY","16765",2.896
"Change Field_Service__c to true","500B000000337KZIAY","16766",4.09
"Change Offer_Voucher__c to true","500B000000337KbIAI","16768",1.687
"Change Field_Service__c to true","500B000000337KcIAI","16769",4.09
"Change Offer_Voucher__c to true","500B000000337KcIAI","16769",2.74
"Change Field_Service__c to true","500B000000337KdIAI","16770",4.062
"Change Offer_Voucher__c to true","500B000000337KdIAI","16770",2.788
"Change Field_Service__c to true","500B000000337F0IAI","16426",4.249
"Change Offer_Voucher__c to true","500B000000337F0IAI","16426",2.371
"Change Offer_Voucher__c to true","500B000000337F1IAI","16427",2.937
"Change Offer_Voucher__c to true","500B000000337F3IAI","16429",4.002
"Change Field_Service__c to true","500B000000337F3IAI","16429",3.85
"Change Field_Service__c to true","500B000000337F4IAI","16430",3.85
"Change Field_Service__c to true","500B000000337F5IAI","16431",4.267
"Change Field_Service__c to true","500B000000337F6IAI","16432",4.249
"Change Offer_Voucher__c to true","500B000000337F6IAI","16432",1.733
"Change Field_Service__c to true","500B000000337F7IAI","16433",4.249
"Change Offer_Voucher__c to true","500B000000337F7IAI","16433",1.737
"Change Field_Service__c to true","500B000000337F8IAI","16434",4.17
"Change Offer_Voucher__c to true","500B000000337F8IAI","16434",2.755
"Change Field_Service__c to true","500B000000337F9IAI","16435",4.17
"Change Offer_Voucher__c to true","500B000000337F9IAI","16435",2.165
"Change Field_Service__c to true","500B000000337FAIAY","16436",4.152
"Change Offer_Voucher__c to true","500B000000337FAIAY","16436",1.893
"Change Field_Service__c to true","500B000000337FBIAY","16437",4.012
"Change Offer_Voucher__c to true","500B000000337FBIAY","16437",2.926
"Change Offer_Voucher__c to true","500B000000337FCIAY","16438",4.042
"Change Field_Service__c to true","500B000000337FDIAY","16439",4.012
"Change Field_Service__c to true","500B000000337FEIAY","16440",3.85
"Change Field_Service__c to true","500B000000337FFIAY","16441",4.152
"Change Offer_Voucher__c to true","500B000000337FFIAY","16441",1.748
"Change Field_Service__c to true","500B000000337FGIAY","16442",4.035
"Change Offer_Voucher__c to true","500B000000337FGIAY","16442",1.638
"Change Field_Service__c to true","500B000000337FHIAY","16443",4.009
"Change Offer_Voucher__c to true","500B000000337FHIAY","16443",2.686
"Change Field_Service__c to true","500B000000337FIIAY","16444",4.152
"Change Offer_Voucher__c to true","500B000000337FIIAY","16444",2.302
"Change Field_Service__c to true","500B000000337FJIAY","16445",3.895
"Change Offer_Voucher__c to true","500B000000337FJIAY","16445",2.766
"Change Field_Service__c to true","500B000000337FKIAY","16446",3.85
