"AccountId","ForecastCategory","IsClosed","RecordType.Name","CloseDate","Name","Account.Industry","Account.Id","Case.Id","CreatedById","OwnerId","IsWon","RecordTypeId","Case.Priority","Case.IsEscalated","StageName","RecordTypeName","LeadSource","Case.CaseNumber","CreatedDate","Account.Name","Id","ForecastCategoryName","Case.ED_Outcome__c","Amount"
"001B000000WJ6fPIAT","Closed","true","Simple Opportunity","2016-10-31","Closed Opportunity [2017]","Construction","001B000000WJ6fPIAT","500B000000358spIAA","005B0000003Ul7DIAS","005B0000003Ul7DIAS","true","012B000000090sjIAA","High","false","Closed Won","Simple Opportunity","N/A","00013589","2017-11-07T16:28:05.000Z","Fibre Processing Corp","006B0000003mug8IAA","Closed",51.6,2400000
"001B000000WJ6RgIAL","Pipeline","false","Simple Opportunity","2018-09-02","New Opportunity [368]","Other","001B000000WJ6RgIAL","500B000000358ZZIAY","005B0000003JK1iIAG","005B0000003JLI7IAO","false","012B000000090sjIAA","Low","false","Qualification","Simple Opportunity","N/A","00012400","2019-06-27T16:57:03.000Z","ElecCheck","006B0000003hdtCIAQ","Pipeline",81.6,1531000
"001B000000WJ6RiIAL","Pipeline","false","Simple Opportunity","2019-01-10","New Opportunity [369]","Agriculture","001B000000WJ6RiIAL","500B00000045wWmIAI","005B0000003JK1iIAG","005B0000003JLI4IAO","false","012B000000090sjIAA","High","false","Qualification","Simple Opportunity","N/A","00018433","2019-11-04T21:56:43.000Z","Democracy Data & Communication","006B0000003hdtDIAQ","Pipeline",51.6,1033000
"001B000000WJ6RjIAL","Pipeline","false","Simple Opportunity","2018-11-29","New Opportunity [370]","Not For Profit","001B000000WJ6RjIAL","500B00000045wWnIAI","005B0000003JK1iIAG","005B0000003JLIEIA4","false","012B000000090sjIAA","Low","false","Qualification","Simple Opportunity","N/A","00018434","2019-09-24T00:20:16.000Z","Helix Medical","006B0000003hdtEIAQ","Pipeline",81.6,1810000
"001B000000ZU97PIAT","Omitted","true","Simple Opportunity","2018-10-25","New Opportunity [371]","Utilities","001B000000ZU97PIAT","500B00000045wWoIAI","005B0000003JK1iIAG","005B0000003JLI8IAO","false","012B000000090sjIAA","Low","false","Closed Lost","Simple Opportunity","N/A","00018435","2019-08-19T17:29:15.000Z","MJM Enterprises","006B0000003hdtFIAQ","Omitted",81.6,1464000
"001B000000zmlvXIAQ","Omitted","true","Simple Opportunity","2018-10-15","New Opportunity [372]","Environmental","001B000000zmlvXIAQ","500B00000045wWpIAI","005B0000003JK1iIAG","005B0000003JLIAIA4","false","012B000000090sjIAA","High","false","Closed Lost","Simple Opportunity","N/A","00018436","2019-08-09T16:42:58.000Z","lifelogic","006B0000003hdtGIAQ","Omitted",51.6,1604000
"001B000000ZU97QIAT","Forecast","false","Simple Opportunity","2018-10-29","New Opportunity [373]","Manufacturing","001B000000ZU97QIAT","500B00000033728IAA","005B0000003JK1iIAG","005B0000003JLIAIA4","false","012B000000090sjIAA","Medium","false","Negotiation","Simple Opportunity","N/A","00015628","2019-08-23T18:44:01.000Z","Peerless Of America","006B0000003hdtHIAQ","Commit",51.6,883000
"001B000000ZU97RIAT","Pipeline","false","Simple Opportunity","2018-10-22","New Opportunity [374]","Biotechnology","001B000000ZU97RIAT","500B00000045wWqIAI","005B0000003JK1iIAG","005B0000003JLIGIA4","false","012B000000090sjIAA","High","false","Qualification","Simple Opportunity","N/A","00018437","2019-08-16T17:37:45.000Z","Velaro","006B0000003hdtIIAQ","Pipeline",81.6,1861000
"001B000000ZU97SIAT","BestCase","false","Simple Opportunity","2019-03-19","New Opportunity [375]","Engineering","001B000000ZU97SIAT","500B00000045wWrIAI","005B0000003JK1iIAG","005B0000003JLI4IAO","false","012B000000090sjIAA","High","false","Proposal/Quote","Simple Opportunity","N/A","00018438","2020-01-11T20:15:40.000Z","Get Active SoftwareAcquired","006B0000003hdtJIAQ","Best Case",81.6,501000
"001B000000WJ6RlIAL","BestCase","false","Simple Opportunity","2018-12-08","New Opportunity [376]","Engineering","001B000000WJ6RlIAL","500B000000358XyIAI","005B0000003JK1iIAG","005B0000003JLIEIA4","false","012B000000090sjIAA","Low","false","Proposal/Quote","Simple Opportunity","N/A","00012301","2019-10-03T00:32:35.000Z","AccountingVoice","006B0000003hdtKIAQ","Best Case",81.6,1553000
