"LastModifiedDate","AreWeFollowing","LastReferencedDate","Contact.Id","Name","Account.Industry","Account.Id","SourceApp","AuthorLabels","MediaType","IsVerified","IsDefault","ParentId","IsDeleted","ProfileType","ExternalPictureURL","Account.BillingState","LastViewedDate","Bio","Contact.Name","IsFollowingUs","NumberOfFriends","Provider","IsBlacklisted","TopicType","Account.BillingCountry","MediaProvider","CreatedDate","Account.Name","Id","RealName","ProfileUrl","NumberOfTweets","InfluencerScore","ListedCount","Following","Followers","R6SourceId"
"2019-06-19T19:54:00.000Z","FALSE",,,"horaciotest",,"001B000000WWXurIAH","SCS",,"Twitter","FALSE","FALSE","001B000000WWXurIAH","FALSE","PERSON","http://pbs.twimg.com/profile_images/473622612447223808/Uoou-i2X_normal.png",,,,,"FALSE",,"Twitter","FALSE","Managed","Canada","TWITTER","2019-03-28T13:01:23.000Z","Courtney Williams","0SPB0000000CWRDOA4","Horacio giovine","http://twitter.com/horaciotest",706,0,0,9,13,3966194229
"2020-08-05T20:13:43.000Z","FALSE",,,"Fabricio Aldecosea",,"001B000000TKs4LIAT","SCS","afff,delete me test 10","Facebook","FALSE","FALSE","001B000000TKs4LIAT","FALSE","PAGE","http://graph.facebook.com/10215583864657405/picture",,,,,"FALSE",,"Facebook","FALSE","Managed","Canada","Facebook Comments","2020-08-05T20:13:14.000Z","Mitchell & Co.","0SPB0000000STZzOAO","Fabricio Aldecosea","http://facebook.com/10215583864657405",0,0,0,0,0,5215358164
"2020-07-02T20:47:25.000Z","FALSE",,,"lonestarr415",,"001B000000jX9pMIAS","SCS",,"Twitter","FALSE","FALSE","001B000000jX9pMIAS","FALSE","PERSON","http://pbs.twimg.com/profile_images/990817271466549248/0FDGh6cB_normal.jpg",,,,,"FALSE",,"Twitter","FALSE","Managed","USA","TWITTER","2020-06-26T23:24:43.000Z","Cleveland Cavaliers","0SPB0000000VTqOOAW","Lone Starr","http://twitter.com/lonestarr415",8,8,0,0,1,7393165071
"2019-06-26T13:41:25.000Z","FALSE",,,"Demo1User",,"001B000000jX9hwIAC","SCS",,"Private Data","FALSE","FALSE","001B000000jX9hwIAC","FALSE","PERSON","http://pbs.twimg.com/profile_images/538315973032284160/_wdvtQYh_normal.jpeg",,,,,"FALSE",,"Twitter","FALSE","Managed","USA","Twitter Received DM","2019-03-28T12:33:45.000Z","Golden State Warriors","0SPB0000000CWR8OAO","Demo User","http://twitter.com/Demo1User",5975,0,1,7,7,4778175108
"2020-07-07T22:18:55.000Z","FALSE",,,"jsomorjai","Manufacturing","001B000000LocJtIAJ","SCS","Author Label","Twitter","FALSE","FALSE","001B000000LocJtIAJ","FALSE","PERSON","http://pbs.twimg.com/profile_images/748006027195457538/El4svG51_normal.jpg","NY",,,,"FALSE",,"Twitter","FALSE","Keyword","USA","TWITTER","2020-07-07T22:18:55.000Z","Acme","0SPB0000000IrnIOAS","John Somorjai","http://twitter.com/jsomorjai",460,44,39,176,873,14635578
"2019-11-07T15:54:09.000Z","FALSE",,,"Vincent Pham","Technology","001B000000LocJuIAJ","SCS",,"Facebook","FALSE","FALSE","001B000000LocJuIAJ","FALSE","PERSON","http://graph.facebook.com/v1.0/10101698767922263/picture","CA",,,,"FALSE",,"Facebook","FALSE","Managed","USA","facebook.com Discussions","2019-11-07T15:54:09.000Z","salesforce.com","0SPB0000000UIVlOAO","Vincent Pham","https://www.facebook.com/app_scoped_user_id/10101698767922263/",0,0,0,0,0,2303778129
"2019-09-25T18:38:28.000Z","FALSE",,,"ntomagic","Media","001B000000LocJsIAJ","SCS",,"Twitter","FALSE","FALSE","001B000000LocJsIAJ","FALSE","PERSON","http://pbs.twimg.com/profile_images/855117046954172416/Y5ybJTGd_normal.jpg","Ontario",,"We are the latest and greatest magic shop, from your favorite brand Northern Trail Outfitters!",,"FALSE",,"Twitter","FALSE","Managed","Canada","TWITTER","2019-08-01T18:56:49.000Z","Global Media","0SPB0000000QCKVOA4","NTO Magic","http://twitter.com/ntomagic",6,0,0,1,0,7058750673
"2020-06-01T16:23:48.000Z","FALSE",,,"Pete Mitchell",,"001B000000eCeJKIA0","SCS",,"Youtube","FALSE","FALSE","001B000000eCeJKIA0","FALSE","PERSON","https://yt3.ggpht.com/-2T-e1KN4mvY/AAAAAAAAAAI/AAAAAAAAAAA/iilf6RIGZR4/s28-c-k-no-mo-rj-c0xffffff/photo.jpg","Massachusetts",,,,"FALSE",,"YouTube","FALSE","Managed","United States","YouTube Social Account Comments","2020-05-29T23:30:45.000Z","Consulting Inc","0SPB0000000VFkMOAW","Pete Mitchell",,0,0,0,0,0,7357302260
"2020-06-29T03:38:14.000Z","FALSE",,,"Nikita Ovtchinikov",,"001B000000Z0btmIAB","SCS",,"Facebook","FALSE","FALSE","001B000000Z0btmIAB","FALSE","PAGE","http://graph.facebook.com/v1.0/10155577461697475/picture",,,,,"FALSE",,"Facebook","FALSE","Managed","Canada","Facebook Comments","2020-06-27T01:29:14.000Z","Mark Hay","0SPB0000000VTqTOAW","Nikita Ovtchinikov","https://www.facebook.com/app_scoped_user_id/YXNpZADpBWEVZAdDFTWjNaSEtoM0xBSWJLQXEwRHRWZAHA0YlhnaFNtYW02Yk1tTE85T2JEMGRCaUJSampXbXpjcmJFR2Q2ZADlGMGZAiWXRpdV9nNzVxTG5sWFYyZA01DZAW1SSURMdnZA3bmozRU1yWQZDZD/",0,0,0,0,0,2303778129
"2019-06-17T14:21:57.000Z","FALSE",,,"WalterClos",,"001B000000jHxCuIAK","SCS",,"Twitter","FALSE","FALSE","001B000000jHxCuIAK","FALSE","PERSON","http://pbs.twimg.com/profile_images/702866337601884161/RQ8HvxqH_normal.jpg",,,,,"FALSE",,"Twitter","FALSE","Managed","USA","TWITTER","2019-03-05T19:14:43.000Z","CourtsCo","0SPB0000000CO4pOAG","W","http://twitter.com/WalterClos",1392,0,1,28,13,6368426069
