"PostTags","LastModifiedDate","Case.Account.BillingState","InboundLinkCount","Classification","MediaType","Case.ClosedDate","SocialPersona.Bio","Shares","Status","IsDeleted","RecipientType","SocialPersona.Id","Case.LastModifiedDate","Handle","TopicProfileName","MediaProvider","Reply.Is_FirstReply","Id","Case.Contact.Name","Case.Owner.Name","KeywordGroupName","SocialPersona.Name","Case.Role.Name","Case.CreatedDate","SocialPersona.CreatedDate","SocialPersona.LastModifiedDate","Case.Origin","Case.RecordTypeId","LikesAndVotes","OwnerId","SocialPersona.IsDeleted","Case.Role.ParentRoleId","SocialPersona.TopicType","UniqueCommentors","Case.Priority","LikedBy","ParentId","Case.RecordTypeName","SourceTags","HarvestDate","PostUrl","SocialPersona.IsDefault","ViewCount","Sentiment","AnalyzerScore","TopicType","SocialPersona.IsVerified","Case.Account.Id","SocialPersona.AuthorLabels","Case.CaseNumber","ReplyToId","Case.Account.Industry","SocialPersona.AreWeFollowing","ThreadSize","Case.OwnerId","SocialPersona.Provider","Case.Type","Posted","PersonaId","Case.IsClosed","Case.Reason","SocialPersona.IsBlacklisted","Name","PostPriority","SocialPersona.Account.BillingCountry","Headline","Case.AccountId","ResponseContextExternalId","MessageType","Case.Account.Name","Case.IsEscalated","WhoId","Case.Status","SocialPersona.IsFollowingUs","LastViewedDate","IsOutbound","Recipient","SocialPersona.NumberOfFriends","Case.Owner.CallCenterId","Content","CreatedDate","CommentCount","Case.ContactId","SocialPersona.RealName","Case.Owner.Id","ReviewedStatus","Case.ValidToWithNow","SocialPersona.ProfileType","EngagementLevel","LastReferencedDate","SocialPersona.MediaProvider","Case.CurrentDate","Case.Id","Language","SocialPersona.ExternalPictureURL","SocialPersona.ProfileUrl","Has_Case_Created","Case.Contact.Id","AttachmentUrl","AttachmentType","SocialPersona.LastViewedDate","Provider","StatusMessage","AssignedTo","SpamRating","Case.Owner.UserRoleId","ExternalPostId","SocialPersona.SourceApp","Case.Owner.Type","SocialPersona.MediaType","SocialPersona.LastReferencedDate","Case.DurationCalculatedField","Reply.First_Response_Time","R6SourceId","ReviewScore","SocialPersona.R6SourceId","R6TopicId","SocialPersona.Following","ReviewScale","SocialPersona.InfluencerScore","SocialPersona.NumberOfTweets","SocialPersona.ListedCount","R6PostId","SocialPersona.Followers"
,"2020-01-16T22:23:39.000Z",,,,"Twitter",,"Buzzing towers and keeping up foreign relations",,,"false","Person","0SPB0000000Q8N7OAK",,"goosesmaverick","SCS 1925236220","TWITTER",,"0STB000000098fmOAA",,,,"goosesmaverick",,,"2019-07-15T17:32:00.000Z","2020-06-26T23:06:45.000Z",,,,"005B0000002jFMlIAM","FALSE",,"Managed",,,,,,,"2019-07-15T17:27:52.000Z","http://twitter.com/798323655402868736/statuses/871780619042291712","FALSE",,"Neutral",,"Managed","FALSE",,"Maverick, Tower Buzzer, VIP",,,,"FALSE",,,"Twitter",,"2019-07-15T17:27:51.000Z","0SPB0000000Q8N7OAK",,,"FALSE","TWEET FROM: goosesmaverick",,"Canada",,,,"Tweet",,,"003B0000008VpIcIAK",,"FALSE",,"false","1925236220",,,"@CliffCorp Tower, this is Ghost Rider requesting a flyby! https://t.co/GJdJzXKPWM","2019-07-15T17:32:01.000Z",,,"Pete Mitchell",,,,"PERSON",,,"Twitter Received DM",,,"English","http://pbs.twimg.com/profile_images/798324331075883009/q6hKH2Ym_normal.jpg","http://twitter.com/goosesmaverick","No",,"http://pbs.twimg.com/media/DBkvu6EUAAIfr-b.jpg","IMAGE",,"Twitter",,,"NotSpam",,"871780619042291712","SCS",,"Private Data",,,,6904740094,0,6904740094,1136798,4,0,9,70,0,646155620448,1
,"2019-07-15T17:32:05.000Z",,,,"Twitter","2020-06-16T20:39:48.000Z",,,,"false","Person","0SPB0000000Q8NCOA0","2020-06-26T20:40:27.000Z","CliffCorp","SCS 1925236220","TWITTER",,"0STB000000098frOAA","Cliff Corporation","Gautam Vasudev",,"CliffCorp","CEO","2019-07-15T17:32:05.000Z","2019-07-15T17:32:05.000Z","2020-07-07T20:16:55.000Z","Twitter",,,"005B0000002jFMlIAM","FALSE",,"Managed",,"Medium",,"500B0000002iHIhIAM","N/A",,"2019-07-15T17:28:41.000Z","http://twitter.com/1925236220/statuses/871780828967206912","FALSE",,"Neutral",,"Managed","FALSE",,,"00001350",,,"FALSE",,"005B0000002jFMlIAM","Twitter",,"2019-07-15T17:28:41.000Z","0SPB0000000Q8NCOA0","true",,"FALSE","TWEET FROM: CliffCorp",,"Canada",,,"834554224033751040","Reply",,"false","003B0000008VpIhIAK","Closed","FALSE",,"false","1925236220",,"04vB00000004DSXIA2","@goosesmaverick try now","2019-07-15T17:32:05.000Z",,"003B0000008VpIhIAK","Cliff Corporation","005B0000002jFMlIAM",,"2020-06-16T20:39:48.000Z","PERSON",,,"TWITTER","2020-08-06T17:26:43.637Z","500B0000002iHIhIAM","English","http://pbs.twimg.com/profile_images/378800000536082222/485368a83e25f0ae57671da56b1804ed_normal.jpeg","http://twitter.com/CliffCorp","Yes","003B0000008VpIhIAK",,,,"Twitter",,,"NotSpam","00EB0000000bWXOMA2","871780828967206912","SCS","User","Twitter",,29128063,,2476435884,0,2476435884,1136798,9,0,9,99,0,646155819803,25
,"2020-06-26T23:27:46.000Z",,,,"Facebook","2020-07-22T17:33:28.000Z",,,,"false",,"0SPB0000000QClBOAW","2020-07-22T17:33:28.000Z","Pete Mitchell","Cliff Corporation","facebook.com Discussions",,"0STB0000000MB21OAG","Pete Mitchell","Eddie Cliff",,"Pete Mitchell","CEO","2020-06-26T23:27:46.000Z","2019-08-23T22:18:10.000Z","2020-06-27T13:50:21.000Z","Facebook",,,"005B0000003IZadIAG","FALSE",,"Managed",,"Medium",,"500B0000003T5L7IAK","N/A",,"2020-06-26T23:26:50.000Z","http://www.facebook.com/permalink.php?story_fbid=1790221181024560&id=411558235557535","FALSE",,"Neutral",,"Managed","FALSE","001B000000TKs4LIAT","VIP","00003746",,,"FALSE",,"005B0000003IZadIAG","Facebook",,"2020-06-26T23:26:37.000Z","0SPB0000000QClBOAW","true",,"FALSE","Post from Pete Mitchell",,"United States",,"001B000000TKs4LIAT",,"Post","Mitchell & Co.","false","003B0000008VpIcIAK","Closed","FALSE",,"false","411558235557535",,,"I forgot my password HELP","2020-06-26T23:27:46.000Z",,"003B0000008VpIcIAK","Pete Mitchell","005B0000003IZadIAG",,"2020-07-22T17:33:28.000Z","PAGE",,,"Facebook Page Incoming Inbox Messages","2020-08-06T17:26:43.637Z","500B0000003T5L7IAK","English","http://graph.facebook.com/v1.0/182410122275766/picture","https://www.facebook.com/app_scoped_user_id/YXNpZADpBWEZAQTWk0UlpXQUdjUmZASRlNGaTNwODhpR2VsT0RtUWNOcHM5TzA5bDk2U2FfY3pZAbzExRkFJWXQ4YkZATM04xZAEhjZAFNVU3FyREp6eUdqZAzQtMTFpQlJaRDNCQ3BIcEo5NFBXUUJOa0NKUkFGNlRB/","Yes","003B0000008VpIcIAK",,,,"Facebook",,,"NotSpam","00EB0000000bWXOMA2","411558235557535_1790221181024560","SCS","User","Private Data",,2225142,,2303778129,0,7087207000,1270434,0,0,0,0,0,773174666260,0
,"2019-09-27T18:24:07.000Z",,,,"Private Data","2019-10-02T22:11:37.000Z","The official account of Evernote Support—we're here to help. Most active M-F from 7am-4pm CST. Submit a support ticket at: https://help.evernote.com",,,"false","Person","0SPB0000000QP0AOAW","2019-10-02T22:39:17.000Z","evernotehelps","SCS 1925236220","Twitter Received DM",,"0STB00000009MdAOAU","Evernote Helps","Eddie Cliff",,"evernotehelps","CEO","2019-09-27T17:51:09.000Z","2019-09-27T17:51:09.000Z","2019-09-27T18:24:07.000Z","Twitter",,,"005B0000003IZadIAG","FALSE",,"Managed",,"Medium",,"500B0000002jh9VIAQ","N/A",,"2019-09-27T18:21:23.000Z","http://twitter.com/1925236220/dm_r/898610788167974916","FALSE",,"Negative",,"Managed","TRUE",,,"00001497",,,"FALSE",,"005B0000003IZadIAG","Twitter",,"2019-09-27T18:21:21.000Z","0SPB0000000QP0AOAW","true",,"FALSE","DM from evernotehelps to: CliffCorp",,"USA",,,"898610788167974916","Direct",,"false","003B0000009RvvzIAC","Closed","FALSE",,"false","1925236220",,,"Hey there!

I'd be happy to check the status of that ticket for you. Would you happen to have the ticket number on hand? If you're unsure, feel free to send me your email address, and I can look it up that way!

I look forward to your reply.
- Aaron","2019-09-27T18:24:07.000Z",,"003B0000009RvvzIAC","Evernote Helps","005B0000003IZadIAG",,"2019-10-02T22:11:37.000Z","PERSON",,,"Twitter Received DM","2020-08-06T17:26:43.637Z","500B0000002jh9VIAQ","English","http://pbs.twimg.com/profile_images/725046102030839808/UbSeQAWV_normal.jpg","http://twitter.com/evernotehelps","Yes","003B0000009RvvzIAC",,,,"Twitter",,,"NotSpam","00EB0000000bWXOMA2","898610788167974916","SCS","User","Private Data",,447628,,5876053766,0,5876053766,1142782,2319,0,70,46803,428,673652857948,11079
,"2020-04-28T18:11:36.000Z",,,,"Twitter","2020-06-01T14:38:31.000Z","Buzzing towers and keeping up foreign relations",,,"false","Person","0SPB0000000Q8N7OAK","2020-06-01T14:38:31.000Z","goosesmaverick","@CliffCorp","TWITTER",,"0STB0000000AIzKOAW","Pete Mitchell","Eddie Cliff",,"goosesmaverick","CEO","2020-01-28T17:22:11.000Z","2019-07-15T17:32:00.000Z","2020-06-26T23:06:45.000Z","Twitter",,,"005B0000003IZadIAG","FALSE",,"Managed",,"Medium",,"500B0000002xn3uIAA","N/A",,"2020-04-28T18:01:49.000Z","http://twitter.com/798323655402868736/statuses/976156860234440704","FALSE",,"Negative",,"Managed","FALSE","001B000000TKs4LIAT","Maverick, Tower Buzzer, VIP","00002587",,,"FALSE",,"005B0000003IZadIAG","Twitter",,"2020-04-28T18:01:46.000Z","0SPB0000000Q8N7OAK","true",,"FALSE","TWEET FROM: goosesmaverick",,"Canada",,"001B000000TKs4LIAT",,"Tweet","Mitchell & Co.","false","003B0000008VpIcIAK","Closed","FALSE",,"false","1925236220",,,"@CliffCorp hi there, having some issues with my tomcat, help!","2020-04-28T18:11:36.000Z",,"003B0000008VpIcIAK","Pete Mitchell","005B0000003IZadIAG",,"2020-06-01T14:38:31.000Z","PERSON",,,"Twitter Received DM","2020-08-06T17:26:43.637Z","500B0000002xn3uIAA","English","http://pbs.twimg.com/profile_images/798324331075883009/q6hKH2Ym_normal.jpg","http://twitter.com/goosesmaverick","Yes","003B0000008VpIcIAK",,,,"Twitter",,,"NotSpam","00EB0000000bWXOMA2","976156860234440704","SCS","User","Private Data",,10790180,,6904740094,0,6904740094,1270433,4,0,9,70,0,751122427803,1
,"2019-08-02T13:44:40.000Z",,,,"Private Data","2020-06-16T20:39:48.000Z",,,,"false","Person","0SPB0000000Q8NCOA0","2020-06-26T20:40:27.000Z","CliffCorp","SCS 1925236220","Twitter Sent DM",,"0STB00000009DSlOAM","Cliff Corporation","Gautam Vasudev",,"CliffCorp","CEO","2019-07-15T17:32:05.000Z","2019-07-15T17:32:05.000Z","2020-07-07T20:16:55.000Z","Twitter",,,"005B0000002jFMlIAM","FALSE",,"Managed",,"Medium",,"500B0000002iHIhIAM","N/A",,"2019-08-02T13:39:25.000Z","http://twitter.com/1925236220/dm_s/878246048996753412","FALSE",,"Neutral",,"Managed","FALSE",,,"00001350",,,"FALSE",,"005B0000002jFMlIAM","Twitter",,"2019-08-02T13:39:09.000Z","0SPB0000000Q8NCOA0","true",,"FALSE","DM from CliffCorp to: testinguser_3",,"Canada",,,"878246048996753412","Direct",,"false","003B0000008VpIhIAK","Closed","FALSE",,"false","1925236220",,"04vB00000004DSXIA2","Twitter Feedback","2019-08-02T13:44:40.000Z",,"003B0000008VpIhIAK","Cliff Corporation","005B0000002jFMlIAM",,"2020-06-16T20:39:48.000Z","PERSON",,,"TWITTER","2020-08-06T17:26:43.637Z","500B0000002iHIhIAM","English","http://pbs.twimg.com/profile_images/378800000536082222/485368a83e25f0ae57671da56b1804ed_normal.jpeg","http://twitter.com/CliffCorp","Yes","003B0000008VpIhIAK",,,,"Twitter",,,"NotSpam","00EB0000000bWXOMA2","878246048996753412","SCS","User","Twitter",,29128063,,2476435884,0,2476435884,1142782,9,0,9,99,0,652530649040,25
,"2019-08-07T00:00:17.000Z","NY",,,"Private Data","2019-09-13T18:09:03.000Z",,,,"false",,"0SPB0000000QAicOAG","2019-09-13T18:09:03.000Z","Eddie Cliff","SCS 411558235557535","Facebook Review Posts",,"0STB00000009DonOAE","Jonathan Amos","Gautam Vasudev",,"Eddie Cliff","CEO","2019-07-22T09:37:29.000Z","2019-07-22T09:37:29.000Z","2020-06-29T02:27:52.000Z","Facebook",,,"005B0000002jFMlIAM","FALSE",,"Managed",,"Medium",,"500B0000002iNUiIAM","N/A",,"2019-08-06T23:54:50.000Z","https://www.facebook.com/10155648271463814","FALSE",,"Positive",,"Managed","FALSE","001B000000LocJtIAJ",,"00001353",,"Manufacturing","FALSE",,"005B0000002jFMlIAM","Facebook",,"2019-08-06T23:53:58.000Z","0SPB0000000QAicOAG","true",,"FALSE","Review from: Eddie Cliff",,"Canada",,"001B000000LocJtIAJ",,"Post","Acme","false","003B0000008W25yIAC","Closed","FALSE",,"false","411558235557535",,"04vB00000004DSXIA2","Probably my favorite business in San Francisco, always so polite and helpful when I come in!","2019-08-07T00:00:17.000Z",,"003B0000007UQAmIAO","Eddie Cliff","005B0000002jFMlIAM",,"2019-09-13T18:09:03.000Z","PAGE",,,"Facebook Comments","2020-08-06T17:26:43.637Z","500B0000002iNUiIAM","English","http://graph.facebook.com/v1.0/708448813/picture","https://www.facebook.com/app_scoped_user_id/708448813/","Yes","003B0000007UQAmIAO",,,,"Facebook",,,"NotSpam","00EB0000000bWXOMA2","10155648271463814","SCS","User","Facebook",,4609894,,7106023156,5,2303778129,1141296,0,5,0,0,0,654036574757,0
,"2020-01-16T22:01:46.000Z",,,,"Twitter",,"Buzzing towers and keeping up foreign relations",,"DELETED","false","Person","0SPB0000000Q8N7OAK",,"goosesmaverick","SCS 1925236220","TWITTER",,"0STB0000000HOeNOAW",,,,"goosesmaverick",,,"2019-07-15T17:32:00.000Z","2020-06-26T23:06:45.000Z",,,,"005B0000003IZadIAG","FALSE",,"Managed",,,,,,,"2020-01-16T21:57:05.000Z","http://twitter.com/798323655402868736/statuses/938890123835424768","FALSE",,"Neutral",,"Managed","FALSE",,"Maverick, Tower Buzzer, VIP",,,,"FALSE",,,"Twitter",,"2020-01-16T21:57:03.000Z","0SPB0000000Q8N7OAK",,,"FALSE","TWEET FROM: goosesmaverick",,"Canada",,,,"Tweet",,,"003B0000008VpIcIAK",,"FALSE",,"false","1925236220",,,"Tweet Has Been Deleted on Twitter","2020-01-16T22:01:46.000Z",,,"Pete Mitchell",,"Needed",,"PERSON",,,"Twitter Received DM",,,"English","http://pbs.twimg.com/profile_images/798324331075883009/q6hKH2Ym_normal.jpg","http://twitter.com/goosesmaverick","No",,,,,"Twitter",,,"NotSpam",,"938890123835424768","SCS",,"Private Data",,,,6904740094,0,6904740094,1142782,4,0,9,70,0,713499981035,1
,"2020-06-28T23:17:20.000Z",,,,"Facebook","2020-07-22T17:33:28.000Z",,,,"false",,"0SPB0000000VTqTOAW","2020-07-22T17:33:28.000Z","Nikita Ovtchinikov","Cliff Corporation","facebook.com Discussions",,"0STB0000000MB8xOAG","Nikita Ovtchinikov","Eddie Cliff",,"Nikita Ovtchinikov","CEO","2020-06-27T01:29:14.000Z","2020-06-27T01:29:14.000Z","2020-06-29T03:38:14.000Z","Facebook",,,"005B0000003IZadIAG","FALSE",,"Managed",,"Medium",,"500B0000003T5QRIA0","N/A",,"2020-06-28T23:15:06.000Z","http://www.facebook.com/permalink.php?story_fbid=1792335304146481&id=411558235557535","FALSE",,"Neutral",,"Managed","FALSE",,,"00003780",,,"FALSE",,"005B0000003IZadIAG","Facebook",,"2020-06-28T23:14:52.000Z","0SPB0000000VTqTOAW","true",,"FALSE","Post from Nikita Ovtchinikov",,"Canada",,,,"Post",,"false","003B000000C7BtjIAF","Closed","FALSE",,"false","411558235557535",,,"CliffCorp USA please reset my password","2020-06-28T23:17:20.000Z",,"003B000000C7BtjIAF","Nikita Ovtchinikov","005B0000003IZadIAG",,"2020-07-22T17:33:28.000Z","PAGE",,,"Facebook Comments","2020-08-06T17:26:43.637Z","500B0000003T5QRIA0","English","http://graph.facebook.com/v1.0/10155577461697475/picture","https://www.facebook.com/app_scoped_user_id/YXNpZADpBWEVZAdDFTWjNaSEtoM0xBSWJLQXEwRHRWZAHA0YlhnaFNtYW02Yk1tTE85T2JEMGRCaUJSampXbXpjcmJFR2Q2ZADlGMGZAiWXRpdV9nNzVxTG5sWFYyZA01DZAW1SSURMdnZA3bmozRU1yWQZDZD/","Yes","003B000000C7BtjIAF",,,,"Facebook",,,"NotSpam","00EB0000000bWXOMA2","411558235557535_1792335304146481","SCS","User","Facebook",,2217854,,2303778129,0,2303778129,1270434,0,0,0,0,0,774053509999,0
,"2020-06-28T23:20:25.000Z",,,,"Facebook","2020-07-22T17:33:28.000Z",,,"SENT","false",,,"2020-07-22T17:33:28.000Z","Cliff Corporation","Cliff Corporation","Facebook Comments","true","0STB0000000MB8yOAG","Nikita Ovtchinikov","Eddie Cliff",,,"CEO","2020-06-27T01:29:14.000Z",,,"Facebook",,,"005B0000003IZadIAG",,,,,"Medium",,"500B0000003T5QRIA0","N/A",,"2020-06-28T23:17:48.000Z","http://www.facebook.com/permalink.php?story_fbid=1792335304146481&id=411558235557535&comment_id=1792336607479684",,,"Neutral",,"Managed",,,,"00003780","0STB0000000MB8xOAG",,,,"005B0000003IZadIAG",,,"2020-06-28T23:17:25.000Z",,"true",,,"Comment From: Cliff Corporation",,,,,"411558235557535_1792335304146481","Comment",,"false",,"Closed",,,"true","10155577461697475",,,"Make that dinner reservation, Nikita!","2020-06-28T23:17:21.000Z",,"003B000000C7BtjIAF",,"005B0000003IZadIAG",,"2020-07-22T17:33:28.000Z",,,,,"2020-08-06T17:26:43.637Z","500B0000003T5QRIA0","English",,,"Yes","003B000000C7BtjIAF",,,,"Facebook","Sent",,"NotSpam","00EB0000000bWXOMA2","411558235557535_1792335304146481_1792336607479684",,"User",,,2217854,149,2303778129,0,,1270434,,0,,,,774054845895,
