"SBQQ__Contract__c.BillingCountry","SBQQ__SubscriptionStartDate__c","SBQQ__Contract__c.SBQQ__RenewalOpportunity__c.Name","SBQQ__BillingType__c","DaysToExpirationBucket","SBQQ__Contract__c.AccountId.Name","SBQQ__Contract__c.SBQQ__AmendmentRenewalBehavior__c","SBQQ__ProductName__c","SBQQ__CreditProductId__c","Quote.SBQQ__Renewal__c","SBQQ__SubscriptionEndDate__c","IsDeleted","SBQQ__Contract__c.SBQQ__RenewalOpportunity__c.IsWon","SBQQ__ChargeType__c","SBQQ__ComponentSubscriptionScope__c","SBQQ__Contract__c.CustomerSignedDate","Id","Quote.SBQQ__RenewedSubscription__c","SBQQ__DimensionType__c","SBQQ__Contract__c.SBQQ__RenewalForecast__c","SBQQ__RenewedDate__c","SBQQ__Contract__c","SBQQ__TerminatedDate__c","SBQQ__Contract__c.BillingState","SBQQ__DynamicOptionId__c","RenewalQuote.SBQQ__Quote__c","SBQQ__EndDate__c","SBQQ__Contract__c.AccountId","SBQQ__Contract__c.SBQQ__AmendmentStartDate__c","SBQQ__Contract__c.SBQQ__RenewalQuoted__c","SBQQ__SegmentKey__c","SBQQ__Bundled__c","SBQQ__OptionType__c","Quote.Id","SBQQ__Contract__c.ActivatedDate","Quote.Name","SBQQ__Contract__c.BillingCity","SBQQ__Contract__c.SBQQ__AmendmentOpportunityStage__c","HasRenewal","Name","RenewalQuote.SBQQ__RenewedSubscription__c","SBQQ__Contract__c.StartDate","SBQQ__Contract__c.CustomerSignedTitle","SBQQ__Contract__c.SBQQ__RenewalOpportunity__c.Id","SBQQ__Contract__c.StatusCode","SBQQ__Contract__c.CreatedDate","RenewalQuote.SBQQ__Renewal__c","SBQQ__Contract__c.CompanySignedDate","RenewalQuote.Name","SBQQ__StartDate__c","RenewalStatus","SBQQ__Contract__c.SBQQ__RenewalOpportunity__c.IsClosed","SBQQ__QuoteLine__c","SBQQ__Contract__c.SBQQ__AmendmentOpportunityRecordTypeId__c","SBQQ__Contract__c.ContractNumber","Active","RenwalWarning","SBQQ__ContractNumber__c","CreatedDate","SBQQ__Contract__c.SBQQ__RenewalOpportunity__c","SBQQ__Contract__c.SBQQ__RenewalOpportunity__c.StageName","SBQQ__Contract__c.SBQQ__SubscriptionQuantitiesCombined__c","RenewalQuote.Id","SBQQ__ComponentDiscountedByPackage__c","IsRenewal","SBQQ__SegmentEndDate__c","SBQQ__Contract__c.EndDate","SBQQ__Contract__c.Status","SBQQ__BillingFrequency__c","Quote.SBQQ__Quote__c","SBQQ__Bundle__c","SBQQ__PricingMethod__c","SBQQ__SegmentLabel__c","SBQQ__SegmentStartDate__c","SBQQ__DiscountScheduleType__c","SBQQ__RenewalQuantity__c","SBQQ__Contract__c.SBQQ__RenewalOpportunity__c.Amount","SBQQ__RenewalPrice__c","SBQQ__Discount__c","SBQQ__ListPrice__c","SBQQ__SegmentIndex__c","SBQQ__Contract__c.SBQQ__ActiveContract__c","SBQQ__Contract__c.SBQQ__RenewalOpportunity__c.Probability","SBQQ__OptionLevel__c","SBQQ__NetPrice__c","SBQQ__RegularPrice__c","ARR","SBQQ__Quantity__c","DaysToExpiration","MRR","SBQQ__Contract__c.SBQQ__RenewalUpliftRate__c","SBQQ__OptionDiscount__c","SBQQ__Number__c","SBQQ__SegmentUplift__c","SBQQ__SegmentUpliftAmount__c","SBQQ__UnitCost__c","SBQQ__BundledQuantity__c","SBQQ__ProrateMultiplier__c","SBQQ__CustomerPrice__c","SBQQ__MarkupRate__c","SBQQ__DistributorDiscount__c","SBQQ__SegmentQuantity__c","SBQQ__OptionDiscountAmount__c","SBQQ__MarkupAmount__c","SBQQ__PartnerDiscount__c","SBQQ__AdditionalDiscountAmount__c","SBQQ__RenewalUpliftRate__c","SBQQ__Contract__c.SBQQ__RenewalTerm__c","SBQQ__OriginalUnitCost__c","SBQQ__SpecialPrice__c","SBQQ__Contract__c.ContractTerm"
,"2017-04-09",,,"Less than 30 Days","Mile White","Latest End Date","Maintenance Contract",,,,"false",,,,,"a2lB0000000DDniIAG",,,"false",,"800B00000009C9kIAE",,,"a2UB0000000DMPtMAO",,"2018-04-08","001B000000mBLWYIA4",,"false",,"false","Component",,"2018-09-12T16:18:21.000Z",,,,"false","SUB-0000003",,"2017-04-09",,,"Activated","2018-08-24T22:12:40.000Z",,,,"2017-04-09","No Renewal Opportunity Created",,,,"00000146","false","false","00000146","2018-08-24T22:12:40.000Z",,,"false",,"false","false",,"2018-04-08","Activated",,,"false","List",,,,1,,2200,,26400,,0,,1,26400,26400,26400,1,-852,2200,,,4,,,,1,12,26400,,,,,,,,,12,,2200,12
,,"Target Direct Marketing: eFact Bronze",,"Less than 30 Days","Target Direct Marketing","Latest End Date","eFact Bronze",,,,"false","true",,,,"a2lB0000000UXUtIAO",,,"false",,"800B0000000PbN2IAK",,,,,"2019-09-02","001B000001KM6djIAD",,"false",,"false",,,"2020-08-05T21:48:42.000Z",,,,"false","SUB-0000302",,"2018-09-03",,"006B0000005coAlIAI","Activated","2020-08-05T21:48:23.000Z",,,,"2018-09-03","Closed Won","true",,,"00000447","false","false","00000447","2020-08-07T18:32:59.000Z","006B0000005coAlIAI","Closed Won","false",,"false","false",,"2019-09-02","Activated",,,"false","List",,,,,100,,,,,0,100,,,,100,1,-340,8.33,,,,,,,,,100,,,,,,,,,,,,12
,,"Target Direct Marketing: eFact Platinum",,"Less than 180 Days","Target Direct Marketing","Latest End Date","eFact Platinum",,,,"false","true",,,,"a2lB0000000UXUsIAO",,,"false",,"800B0000000PbN1IAK",,,,,"2020-11-07","001B000001KM6djIAD",,"false",,"false",,,"2020-08-05T21:48:42.000Z",,,,"false","SUB-0000301",,"2018-11-08",,"006B0000005coAmIAI","Activated","2020-08-05T21:48:23.000Z",,,,"2018-11-08","Closed Won","true",,,"00000446","true","false","00000446","2020-08-07T18:32:59.000Z","006B0000005coAmIAI","Closed Won","false",,"false","false",,"2020-11-07","Activated",,,"false","List",,,,,1000,,,,,1,100,,,,500,1,91,41.67,,,,,,,,,1000,,,,,,,,,,,,24
,,"TapNet Marketing: eFact Platinum",,"Less than 30 Days","TapNet Marketing","Latest End Date","eFact Platinum",,,,"false","true",,,,"a2lB0000000UXUrIAO",,,"false",,"800B0000000PbN0IAK",,,,,"2019-11-15","001B000001KM6d3IAD",,"false",,"false",,,"2020-08-05T21:48:42.000Z",,,,"false","SUB-0000300",,"2018-11-16",,"006B0000005coAkIAI","Activated","2020-08-05T21:48:23.000Z",,,,"2018-11-16","Closed Won","true",,,"00000445","false","false","00000445","2020-08-07T18:32:59.000Z","006B0000005coAkIAI","Closed Won","false",,"false","false",,"2019-11-15","Activated",,,"false","List",,,,,1000,,,,,0,100,,,,1000,1,-266,83.33,,,,,,,,,1000,,,,,,,,,,,,12
,,"Stonesoft Corp.: eFact Silver",,"Less than 30 Days","Stonesoft Corp.","Latest End Date","eFact Gold",,,,"false","false",,,,"a2lB0000000UXUqIAO",,,"false",,"800B0000000PbMzIAK",,,,,"2020-05-01","001B000001KM6esIAD",,"false",,"false",,,"2020-08-05T21:48:42.000Z",,,,"false","SUB-0000299",,"2019-05-02",,"006B0000005coAjIAI","Activated","2020-08-05T21:48:23.000Z",,,,"2019-05-02","Proposal/Quote","false",,,"00000444","false","false","00000444","2020-08-07T18:32:59.000Z","006B0000005coAjIAI","Proposal/Quote","false",,"false","false",,"2020-05-01","Activated",,,"false","List",,,,,250,,,,,0,75,,,,250,1,-98,20.83,,,,,,,,,250,,,,,,,,,,,,12
,,"Stonesoft Corp.: eFact Platinum",,"More than 365 Days","Stonesoft Corp.","Latest End Date","eFact Platinum",,,,"false","false",,,,"a2lB0000000UXUpIAO",,,"false",,"800B0000000PbMyIAK",,,,,"2022-01-16","001B000001KM6esIAD",,"false",,"false",,,"2020-08-05T21:48:42.000Z",,,,"false","SUB-0000298",,"2019-01-17",,"006B0000005coAiIAI","Activated","2020-08-05T21:48:23.000Z",,,,"2019-01-17","Discovery","false",,,"00000443","true","false","00000443","2020-08-07T18:32:59.000Z","006B0000005coAiIAI","Discovery","false",,"false","false",,"2022-01-16","Activated",,,"false","List",,,,,1000,,,,,1,35,,,,333.33,1,526,27.78,,,,,,,,,1000,,,,,,,,,,,,36
,,"St Mary  s Regional Medical Center Inc: eFact Silver",,"Less than 30 Days","St Mary  s Regional Medical Center Inc","Latest End Date","eFact Gold",,,,"false","true",,,,"a2lB0000000UXUoIAO",,,"false",,"800B0000000PbMxIAK",,,,,"2019-06-07","001B000001KM6eOIAT",,"false",,"false",,,"2020-08-05T21:48:42.000Z",,,,"false","SUB-0000297",,"2018-12-08",,"006B0000005coAhIAI","Activated","2020-08-05T21:48:23.000Z",,,,"2018-12-08","Closed Won","true",,,"00000442","false","false","00000442","2020-08-07T18:32:59.000Z","006B0000005coAhIAI","Closed Won","false",,"false","false",,"2019-06-07","Activated",,,"false","List",,,,,250,,,,,0,100,,,,500,1,-427,41.67,,,,,,,,,250,,,,,,,,,,,,6
,,"St Mary  s Regional Medical Center Inc: eFact Gold",,"Less than 30 Days","St Mary  s Regional Medical Center Inc","Latest End Date","eFact Silver",,,,"false","true",,,,"a2lB0000000UXUnIAO",,,"false",,"800B0000000PbMwIAK",,,,,"2020-03-10","001B000001KM6eOIAT",,"false",,"false",,,"2020-08-05T21:48:42.000Z",,,,"false","SUB-0000296",,"2019-03-11",,"006B0000005coAgIAI","Activated","2020-08-05T21:48:23.000Z",,,,"2019-03-11","Closed Won","true",,,"00000441","false","false","00000441","2020-08-07T18:32:59.000Z","006B0000005coAgIAI","Closed Won","false",,"false","false",,"2020-03-10","Activated",,,"false","List",,,,,500,,,,,0,100,,,,500,1,-150,41.67,,,,,,,,,500,,,,,,,,,,,,12
,,"St Mary  s Regional Medical Center Inc: eFact Bronze",,"Less than 30 Days","St Mary  s Regional Medical Center Inc","Latest End Date","eFact Bronze",,,,"false","true",,,,"a2lB0000000UXUmIAO",,,"false",,"800B0000000PbMvIAK",,,,,"2020-03-03","001B000001KM6eOIAT",,"false",,"false",,,"2020-08-05T21:48:42.000Z",,,,"false","SUB-0000295",,"2019-03-04",,"006B0000005coAfIAI","Activated","2020-08-05T21:48:23.000Z",,,,"2019-03-04","Closed Won","true",,,"00000440","false","false","00000440","2020-08-07T18:32:59.000Z","006B0000005coAfIAI","Closed Won","false",,"false","false",,"2020-03-03","Activated",,,"false","List",,,,,100,,,,,0,100,,,,100,1,-157,8.33,,,,,,,,,100,,,,,,,,,,,,12
,,"St. Ives Cleveland: eFact Silver",,"Less than 30 Days","St. Ives Cleveland","Latest End Date","eFact Gold",,,,"false","true",,,,"a2lB0000000UXUlIAO",,,"false",,"800B0000000PbMuIAK",,,,,"2019-04-28","001B000001KM6feIAD",,"false",,"false",,,"2020-08-05T21:48:42.000Z",,,,"false","SUB-0000294",,"2018-10-29",,"006B0000005coAeIAI","Activated","2020-08-05T21:48:23.000Z",,,,"2018-10-29","Closed Won","true",,,"00000439","false","false","00000439","2020-08-07T18:32:59.000Z","006B0000005coAeIAI","Closed Won","false",,"false","false",,"2019-04-28","Activated",,,"false","List",,,,,250,,,,,0,100,,,,500,1,-467,41.67,,,,,,,,,250,,,,,,,,,,,,6
