"Country","Product","Date","Percent_Target","Profit","Revenue","Cost","Pipeline"
"Japan","aeox","2017-01-01",50,31182.9,89094,57911.1,840749
"Japan","apiera","2017-01-02",94,131296.2,375132,243835.8,560892
"Japan","rezota","2017-01-03",5,150844.05,430983,280138.95,976659
"Japan","aeox","2017-01-04",14,134103.2,383152,249048.8,935823
"Japan","adoriva","2017-01-05",79,162805.65,465159,302353.35,283716
"Japan","vucoo","2017-01-06",30,153439.65,438399,284959.35,968166
"Japan","rezota","2017-01-07",23,93447.55,266993,173545.45,796432
"Japan","aeox","2017-01-08",63,163700.25,467715,304014.75,429500
"Japan","adoriva","2017-01-09",30,31906,91160,59254,841044
"Japan","neutratronic","2017-01-10",3,21326.2,60932,39605.8,842332
"Japan","vucoo","2017-01-11",75,15415.75,44045,28629.25,718809
"Japan","adoriva","2017-01-12",75,73967.95,211337,137369.05,414650
"Japan","aeox","2017-01-13",36,103937.75,296965,193027.25,334067
"Japan","aeox","2017-01-14",5,19296.2,55132,35835.8,972458
"Japan","adoriva","2017-01-15",95,65888.55,188253,122364.45,898760
"Japan","apiera","2017-01-16",0,29988.7,85682,55693.3,400384
"Japan","rezota","2017-01-17",9,118700.05,339143,220442.95,212565
"Japan","neutratronic","2017-01-18",48,147197.4,420564,273366.6,983836
"Japan","rezota","2017-01-19",17,85374.1,243926,158551.9,442012
"Japan","apiera","2017-01-20",80,167459.6,478456,310996.4,907724
"Japan","aeox","2017-01-21",89,78379.7,223942,145562.3,931472
"Japan","apiera","2017-01-22",64,66350.9,189574,123223.1,463648
"Japan","adoriva","2017-01-23",23,25162.55,71893,46730.45,792862
"Japan","apiera","2017-01-24",49,109450.95,312717,203266.05,537161
"Japan","rezota","2017-01-25",92,58052.4,165864,107811.6,297405
"Japan","apiera","2017-01-26",35,35390.25,101115,65724.75,572757
"Japan","neutratronic","2017-01-27",60,151767.7,433622,281854.3,182484
"Japan","adoriva","2017-01-28",76,115915.1,331186,215270.9,303192
"Japan","adoriva","2017-01-29",94,133847.7,382422,248574.3,740735
"Japan","rezota","2017-01-30",17,80977.4,231364,150386.6,121125
"Japan","apiera","2017-01-31",34,16915.85,48331,31415.15,860636
"Japan","neutratronic","2017-02-01",28,148821.4,425204,276382.6,926571
"Japan","apiera","2017-02-02",89,1320.2,3772,2451.8,666767
"Japan","rezota","2017-02-03",56,4138.05,11823,7684.95,249863
"Japan","aeox","2017-02-04",98,162003.1,462866,300862.9,172752
"Japan","vucoo","2017-02-05",0,68882.1,196806,127923.9,343624
"Japan","vucoo","2017-02-06",9,62974.1,179926,116951.9,210227
"Japan","aeox","2017-02-07",26,152164.95,434757,282592.05,249983
"Japan","aeox","2017-02-08",29,126162.05,360463,234300.95,437491
"Japan","adoriva","2017-02-09",72,82045.95,234417,152371.05,852398
"Japan","aeox","2017-02-10",100,127392.65,363979,236586.35,869033
"Japan","apiera","2017-02-11",45,154280.35,440801,286520.65,679176
"Japan","apiera","2017-02-12",6,25188.45,71967,46778.55,831573
"Japan","aeox","2017-02-13",26,132002.85,377151,245148.15,908697
"Japan","adoriva","2017-02-14",66,158762.8,453608,294845.2,913350
