"Account_ID","Description","LastProcessedDate","AppDate_OLD","Vehicle","AppDate","Payment","AppType","Contract","Cost","Base","DeviceUsage","MilesDriven","Variance"
"0013h00000FfrecAAB","Scheduled Maintenance","2021-08-12","2018-06-12","Car 8","2019-10-12","Service Plan","Maintenance","Two Years",100,2,4,11559,2
"0013h00000FfrecAAB","Scheduled Maintenance","2021-08-12","2018-06-26","Car 9","2019-10-26","Service Plan","Maintenance","Two Years",100,4,5,14098,1
"0013h00000FfrecAAB","Scheduled Maintenance","2021-08-12","2018-07-11","Car 10","2019-11-10","Service Plan","Maintenance","Two Years",100,6,6,14453,0
"0013h00000FfrecAAB","Scheduled Maintenance","2021-08-12","2018-09-12","Car 8","2020-01-12","Service Plan","Maintenance","Two Years",100,8,10,14522,2
"0013h00000FfrecAAB","Brakes Maintenance","2021-08-12","2018-09-17","Car 5","2020-01-17","Out of Pocket","Others","One Year",620,10,11,0,1
"0013h00000FfrecAAB","Scheduled Maintenance","2021-08-12","2018-09-26","Car 9","2020-01-26","Service Plan","Maintenance","Two Years",100,12,13,14666,1
"0013h00000FfrecAAB","Scheduled Maintenance","2021-08-12","2018-10-11","Car 10","2020-02-10","Service Plan","Maintenance","Two Years",100,14,14,14958,0
"0013h00000FfrecAAB","Scheduled Maintenance","2021-08-12","2018-12-13","Car 1","2020-04-13","Service Plan","Maintenance","One Year",100,16,18,14511,2
"0013h00000FfrecAAB","Scheduled Maintenance","2021-08-12","2018-12-13","Car 8","2020-04-13","Service Plan","Maintenance","Two Years",100,18,19,13745,1
"0013h00000FfrecAAB","Scheduled Maintenance","2021-08-12","2018-12-15","Car 2","2020-04-15","Service Plan","Maintenance","One Year",100,20,20,14626,0
"0013h00000FfrecAAB","Scheduled Maintenance","2021-08-12","2018-12-17","Car 3","2020-04-17","Service Plan","Maintenance","One Year",100,22,24,14113,2
"0013h00000FfrecAAB","Scheduled Maintenance","2021-08-12","2018-12-19","Car 4","2020-04-19","Service Plan","Maintenance","One Year",100,24,26,13620,2
"0013h00000FfrecAAB","Scheduled Maintenance","2021-08-12","2018-12-21","Car 5","2020-04-21","Service Plan","Maintenance","One Year",100,26,28,12279,2
"0013h00000FfrecAAB","Scheduled Maintenance","2021-08-12","2018-12-23","Car 6","2020-04-23","Service Plan","Maintenance","One Year",100,28,30,12122,2
"0013h00000FfrecAAB","Scheduled Maintenance","2021-08-12","2018-12-25","Car 7","2020-04-25","Service Plan","Maintenance","One Year",100,30,32,14620,2
"0013h00000FfrecAAB","Scheduled Maintenance","2021-08-12","2018-12-27","Car 9","2020-04-27","Service Plan","Maintenance","Two Years",100,32,34,14688,2
"0013h00000FfrecAAB","Broken Window","2021-08-12","2018-12-28","Car 7","2020-04-28","Out of Pocket","Others","One Year",2390,34,36,0,2
"0013h00000FfrecAAB","Battery Maintenance","2021-08-12","2019-01-04","Car 4","2020-05-05","Out of Pocket","Others","One Year",1070,36,38,0,2
"0013h00000FfrecAAB","Broken Headlight","2021-08-12","2019-01-07","Car 2","2020-05-08","Out of Pocket","Others","One Year",1230,38,40,0,2
"0013h00000FfrecAAB","Scheduled Maintenance","2021-08-12","2019-01-11","Car 10","2020-05-12","Service Plan","Maintenance","Two Years",100,40,40,13670,0
"0013h00000FfrecAAB","Broken Window","2021-08-12","2019-01-11","Car 6","2020-05-12","Out of Pocket","Others","One Year",2050,42,44,0,2
"0013h00000FfrecAAB","Radiator Flush","2021-08-12","2019-01-12","Car 4","2020-05-14","Out of Pocket","Others","One Year",1130,44,44,0,0
"0013h00000FfrecAAB","Brakes Maintenance","2021-08-12","2019-01-23","Car 4","2020-05-25","Out of Pocket","Others","One Year",1470,46,46,0,0
"0013h00000FfrecAAB","Broken Window","2021-08-12","2019-02-23","Car 5","2020-06-23","Out of Pocket","Others","One Year",1990,48,49,0,1
"0013h00000FfrecAAB","Scheduled Maintenance","2021-08-12","2019-03-14","Car 1","2020-07-13","Service Plan","Maintenance","One Year",100,50,50,14162,0
"0013h00000FfrecAAB","Scheduled Maintenance","2021-08-12","2019-03-14","Car 8","2020-07-13","Service Plan","Maintenance","Two Years",100,52,54,14636,2
"0013h00000FfrecAAB","Scheduled Maintenance","2021-08-12","2019-03-16","Car 2","2020-07-15","Service Plan","Maintenance","One Year",100,54,54,12100,0
"0013h00000FfrecAAB","Scheduled Maintenance","2021-08-12","2019-03-18","Car 3","2020-07-17","Service Plan","Maintenance","One Year",100,56,56,12046,0
"0013h00000FfrecAAB","Scheduled Maintenance","2021-08-12","2019-03-20","Car 4","2020-07-19","Service Plan","Maintenance","One Year",100,58,58,13018,0
"0013h00000FfrecAAB","Scheduled Maintenance","2021-08-12","2019-03-22","Car 5","2020-07-21","Service Plan","Maintenance","One Year",100,60,62,13729,2
"0013h00000FfrecAAB","Scheduled Maintenance","2021-08-12","2019-03-24","Car 6","2020-07-23","Service Plan","Maintenance","One Year",100,62,62,12024,0
"0013h00000FfrecAAB","Scheduled Maintenance","2021-08-12","2019-03-26","Car 7","2020-07-25","Service Plan","Maintenance","One Year",100,64,64,14967,0
"0013h00000FfrecAAB","Scheduled Maintenance","2021-08-12","2019-03-28","Car 9","2020-07-27","Service Plan","Maintenance","Two Years",100,66,68,14195,2
