"Closed","CreatedDate","LastProcessedDate","Account_Name","CloseDate","Amount"
"TRUE","2020-02-16","2021-08-12","Cipient Networks Inc","2020-03-13",77507
"FALSE","2020-07-31","2021-08-12","e  bots Consulting Services","2020-12-03",100000
"TRUE","2019-02-15","2021-08-12","American Environmental Container Corp.","2019-04-02",23252
"TRUE","2019-04-25","2021-08-12","American Environmental Container Corp.","2019-06-04",131762
"FALSE","2020-10-18","2021-08-12","CORT Business Services","2021-04-16",15000
"TRUE","2020-02-02","2021-08-12","Connections for Business","2020-06-05",10000
"TRUE","2020-05-22","2021-08-12","Connections for Business","2020-08-28",10000
"TRUE","2019-04-06","2021-08-12","Connections for Business","2019-08-08",10000
"TRUE","2019-08-06","2021-08-12","Connections for Business","2019-12-08",10000
"FALSE","2020-10-02","2021-08-12","Connections for Business","2021-01-23",4294
"TRUE","2019-02-19","2021-08-12","Connections for Business","2019-06-17",4294
"FALSE","2020-11-21","2021-08-12","Connections for Business","2021-02-14",12269
"TRUE","2019-03-19","2021-08-12","Centerfield Technology Inc","2019-04-28",13157
"TRUE","2019-06-13","2021-08-12","Education Interface","2019-12-08",4000
"TRUE","2020-03-11","2021-08-12","North Hills Signal Processing Corp","2020-11-12",23252
"TRUE","2019-12-02","2021-08-12","North Hills Signal Processing Corp","2020-06-01",12263
"TRUE","2019-09-28","2021-08-12","Dominion Digital","2020-02-23",60000
"TRUE","2020-06-27","2021-08-12","Dominion Digital","2020-08-06",46504
"TRUE","2019-01-08","2021-08-12","Atofina Petrochemicals   Port Arthur","2019-02-23",15920
"TRUE","2020-06-13","2021-08-12","Rofin-Sinar Technologies","2020-11-22",7361
"TRUE","2020-03-24","2021-08-12","iPrint.com","2020-07-26",36144
"TRUE","2019-06-18","2021-08-12","Product Development Consulting","2019-09-09",7361
"TRUE","2020-05-03","2021-08-12","Product Development Consulting","2020-08-30",7361
"TRUE","2019-05-10","2021-08-12","Product Development Consulting","2019-09-06",9690
"TRUE","2019-05-11","2021-08-12","Golden Key International Honour Society","2019-09-04",50000
"TRUE","2020-04-18","2021-08-12","Hispanic Outsourcing Solutions","2020-06-03",15000
"FALSE","2020-08-27","2021-08-12","Koch Industries","2021-02-17",150000
"TRUE","2019-05-18","2021-08-12","Thrivent Financial for Lutherans","2019-06-29",921
"TRUE","2020-04-11","2021-08-12","Rex Wyon Inc","2020-08-19",0
"FALSE","2020-10-13","2021-08-12","Rex Wyon Inc","2021-03-08",660375
"TRUE","2019-08-03","2021-08-12","Rex Wyon Inc","2020-02-01",10000
"TRUE","2019-09-04","2021-08-12","Kinzan","2020-02-27",14208
"TRUE","2018-12-27","2021-08-12","Davis Wright Tremaine LLP","2019-06-09",32000
"TRUE","2019-09-21","2021-08-12","Samson Investment Company","2019-11-03",18000
"TRUE","2019-03-11","2021-08-12","King Systems","2019-04-28",124011
"TRUE","2019-04-16","2021-08-12","Dotlogix Inc","2019-10-10",38753
