"LastModifiedDate","Category_Cluster__c","LastReferencedDate","Category_Name__c","End_Date__c","Customer_Name__c","Customer__c","Name","Category_c_Cluster__c","Approved__c","Start_Date__c","IsDeleted","Objectives__c","Quarter__c","Category_c_Name","Selected__c","LastViewedDate","CurrencyIsoCode","SystemModstamp","Customer_c_Name","Category__c","CreatedDate","LastActivityDate","Id","Promo_Name__c","Status__c","Total_Cannibalised_Volume__c","Incremental_Volume__c","Total_Cannibalised_Sales__c","Promo_vs_Cannibalised_Sales__c","RoI__c","Total_Promo_Sales__c","Total_Promo_Volume__c","Promo_vs_Cannibalised_Volume__c","Breakeven__c","of_Days__c"
"2016/08/04","Food - Ingredients",,"Baking","2015/05/30","Deli XL","0015800000GgZGVAA3","Deli XL: Hair Care - May 2015","Food - Ingredients","true","2015/05/16","false","Drive Penetration","Q2","Baking","true",,"EUR","2016/08/04","Deli XL","a1358000000Ag7PAAS","2016/08/04",,"a1I58000001vt8REAQ","Deli XL: Baking - May 2015","Approved",-27000,38880,-8868.68,75,49,35474.71,108000,75,20,14
"2016/08/04","Food - Snacks",,"Portioned Multipacks","2015/10/31","Superunie PlusRetail","0015800000GgZGeAAN","Superunie PlusRetail: Leaf Tea - Oct 2015","Food - Snacks","true","2015/10/03","false","Grow Market Share","Q4","Portioned Multipacks","true",,"EUR","2016/08/04","Superunie PlusRetail","a1358000000Ag7YAAS","2016/08/04",,"a1I58000001vt8TEAQ","Superunie PlusRetail: Portioned Multipacks - Oct 2015","Approved",-55080,53550,-19298.24,64,35,53606.23,153000,64,22,28
"2016/08/04","Health",,"Supplements - Powder","2015/11/15","Deli XL","0015800000GgZGVAA3","Deli XL: BCS_C&DC Alternatives - Oct 2015","Health","true","2015/10/18","false","Grow Market Share","Q4","Supplements - Powder","true",,"EUR","2016/08/04","Deli XL","a1358000000Ag7aAAC","2016/08/04",,"a1I58000001vt8UEAQ","Deli XL: Supplements - Powder - Oct 2015","Approved",-44000,61600,-17022.02,75,30,68088.09,176000,75,42,28
"2016/08/04","Beauty - Skin Care",,"Moisturiser","2015/08/26","SU Detail Consult","0015800000GgZGcAAN","SU Detail Consult: Breakfast - Aug 2015","Beauty - Skin Care","true","2015/08/05","false","Grow Market Share","Q3","Moisturiser","true",,"EUR","2016/08/04","SU Detail Consult","a1358000000Ag7ZAAS","2016/08/04",,"a1I58000001vt8VEAQ","SU Detail Consult: Moisturiser - Aug 2015","Approved",-24600,50840,-9516.86,85,28,63445.72,164000,85,27,21
"2016/08/04","Beauty - Hair Care",,"Oil","2015/08/22","Superunie Coop","0015800000GgZGaAAN","Superunie Coop: Fabric Cleaning - Jul 2015","Beauty - Hair Care","true","2015/07/25","false","Grow Market Share","Q3","Oil","true",,"EUR","2016/08/04","Superunie Coop","a1358000000Ag7XAAS","2016/08/04",,"a1I58000001vt8WEAQ","Superunie Coop: Oil - Jul 2015","Approved",-20880,34800,-5791.58,76,54,24131.56,87000,76,38,28
"2016/08/04","Beauty - Skin Care",,"Moisturiser","2015/05/31","Schlecker","0015800000GgZGhAAN","Schlecker: Breakfast - May 2015","Beauty - Skin Care","true","2015/05/10","false","Drive Weight of Purchase","Q2","Moisturiser","true",,"EUR","2016/08/04","Schlecker","a1358000000Ag7ZAAS","2016/08/04",,"a1I58000001vt8XEAQ","Schlecker: Moisturiser - May 2015","Approved",-43230,44540,-14830.84,67,36,44941.93,131000,67,34,21
"2016/08/04","Food - Snacks",,"Portioned Multipacks","2015/06/14","Superunie Cluster","0015800000GgZGdAAN","Superunie Cluster: Leaf Tea - May 2015","Food - Snacks","true","2015/05/31","false","Maximise Gross Profit","Q2","Portioned Multipacks","true",,"EUR","2016/08/04","Superunie Cluster","a1358000000Ag7YAAS","2016/08/04",,"a1I58000001vt8YEAQ","Superunie Cluster: Portioned Multipacks - May 2015","Approved",-25070,40330,-9881.68,77,54,42963.82,109000,77,19,14
"2016/08/04","Beauty - Hair Care",,"Oil","2015/08/12","Others DI online","0015800000GgZGZAA3","Others DI online: Fabric Cleaning - Jul 2015","Beauty - Hair Care","true","2015/07/22","false","Maximise Gross Profit","Q3","Oil","true",,"EUR","2016/08/04","Others DI online","a1358000000Ag7XAAS","2016/08/04",,"a1I58000001vt8ZEAQ","Others DI online: Oil - Jul 2015","Approved",-66230,66230,-17887.06,63,26,48343.42,179000,63,41,21
"2016/08/04","Drink",,"Water - Home","2015/09/06","Others export","0015800000GgZGWAA3","Others export: Vitality Shots - Aug 2015","Drink","true","2015/08/23","false","Drive Frequency","Q3","Water - Home","true",,"EUR","2016/08/04","Others export","a1358000000Ag7fAAC","2016/08/04",,"a1I58000001vt8bEAA","Others export: Water - Home - Aug 2015","Approved",-69160,83980,-23726.6,72,52,84737.84,247000,72,34,14
"2016/08/04","Food - Ingredients",,"Baking","2015/07/27","Variety Discount","0015800000GgZGbAAN","Variety Discount: Hair Care - Jul 2015","Food - Ingredients","true","2015/07/06","false","Drive Penetration","Q3","Baking","true",,"EUR","2016/08/04","Variety Discount","a1358000000Ag7PAAS","2016/08/04",,"a1I58000001vt8cEAA","Variety Discount: Baking - Jul 2015","Approved",-72230,65240,-27415.97,69,8,88438.6,233000,69,15,21
"2016/08/04","Beauty - Skin Care",,"Moisturiser","2015/10/20","Schlecker","0015800000GgZGhAAN","Schlecker: Breakfast - Sep 2015","Beauty - Skin Care","true","2015/09/22","false","Grow Market Share","Q3","Moisturiser","true",,"EUR","2016/08/04","Schlecker","a1358000000Ag7ZAAS","2016/08/04",,"a1I58000001vt8dEAA","Schlecker: Moisturiser - Sep 2015","Approved",-47400,41080,-17645.38,70,28,58817.95,158000,70,45,28
"2016/08/04","Health",,"Supplements - Powder","2015/08/29","Schlecker","0015800000GgZGhAAN","Schlecker: BCS_C&DC Alternatives - Aug 2015","Health","true","2015/08/08","false","Drive Volume","Q3","Supplements - Powder","true",,"EUR","2016/08/04","Schlecker","a1358000000Ag7aAAC","2016/08/04",,"a1I58000001vt8eEAA","Schlecker: Supplements - Powder - Aug 2015","Approved",-30900,67980,-13307.4,85,32,88715.98,206000,85,31,21
"2016/08/04","Health",,"Supplements - Daily","2015/10/31","Tesco","0015800000GgZGRAA3","Albert Heijn BV: BCS_Breakfast - Oct 2015","Health","true","2015/10/17","false","Drive Weight of Purchase","Q4","Supplements - Daily","true",,"EUR","2016/08/16","Tesco","a1358000000Ag7TAAS","2016/08/04",,"a1I58000001vt8fEAA","Tesco: Supplements - Daily - Oct 2015","Approved",-26860,56880,-9018.75,83,51,53051.48,158000,83,41,14
"2016/08/04","Beauty - Skin Care",,"Protection","2015/11/03","Superunie Cluster","0015800000GgZGdAAN","Superunie Cluster: CCA - Sep 2015","Beauty - Skin Care","true","2015/09/29","false","Drive Penetration","Q3","Protection","true",,"EUR","2016/08/04","Superunie Cluster","a1358000000Ag7bAAC","2016/08/04",,"a1I58000001vt8gEAA","Superunie Cluster: Protection - Sep 2015","Approved",-75020,72600,-27379.76,69,37,88321.81,242000,69,43,35
"2016/08/04","Beauty - Skin Care",,"Moisturiser","2015/06/10","Superunie Cluster","0015800000GgZGdAAN","Superunie Cluster: Breakfast - May 2015","Beauty - Skin Care","true","2015/05/13","false","Grow Market Share","Q2","Moisturiser","true",,"EUR","2016/08/04","Superunie Cluster","a1358000000Ag7ZAAS","2016/08/04",,"a1I58000001vt8kEAA","Superunie Cluster: Moisturiser - May 2015","Approved",-51700,61100,-20755.63,78,6,94343.75,235000,78,31,28
"2016/08/04","Food - Snacks",,"Bulk Packs","2015/07/03","Superunie Coop","0015800000GgZGaAAN","Superunie Coop: Other Frozen Food - Jun 2015","Food - Snacks","true","2015/06/05","false","Grow Market Share","Q2","Bulk Packs","true",,"EUR","2016/08/04","Superunie Coop","a1358000000Ag7hAAC","2016/08/04",,"a1I58000001vt8nEAA","Superunie Coop: Bulk Packs - Jun 2015","Approved",-14080,29040,-5241.5,84,47,32759.36,88000,84,19,28
"2016/08/04","Health",,"Supplements - Powder","2015/10/07","Superunie Coop","0015800000GgZGaAAN","Superunie Coop: BCS_C&DC Alternatives - Sep 2015","Health","true","2015/09/02","false","Drive Weight of Purchase","Q3","Supplements - Powder","true",,"EUR","2016/08/04","Superunie Coop","a1358000000Ag7aAAC","2016/08/04",,"a1I58000001vt8qEAA","Superunie Coop: Supplements - Powder - Sep 2015","Approved",-14820,35340,-6598.73,87,7,50759.49,114000,87,16,35
