"Quarter","Status","Category","Record_ID","Customer_Name","Customer","Approved","Objectives","Category_Name","End_Date","Category_Cluster","Promo","Selected","Start_Date","of_Days","Breakeven_Uplift","RoI","Total_Promo_Sales","Total_Cannibalised_Sales","Total_Promo_Volume","Incremental_Volume","Total_Cannibalised_Volume"
"Q2","Approved","a1324000000BgxKAAS","a1I24000000qLWAEA2","Superunie Sligro","0012400000FKJdLAAX","true","Drive Volume","CCA","2015/05/03","Foods","P-000000329","true","2015/04/19",14,24,52,64000,-12160,160000,49600,-30400
"Q2","Approved","a1324000000BgxNAAS","a1I24000000qLRwEAM","Bijeen Jumbo","0012400000EHCqmAAH","true","Drive Frequency","Dressings","2015/05/06","Foods","P-000000067","true","2015/04/22",14,19,37,118220,-24826.2,257000,82240,-53970
"Q2","Approved","a1324000000BgxFAAS","a1I24000000qLVrEAM","Superunie Coop","0012400000FKJcmAAH","true","Grow Market Share","BCS_Breakfast","2015/05/10","Baking Cooking & Spreading","P-000000310","true","2015/04/19",21,30,20,85860,-12020.4,162000,51840,-22680
"Q2","Approved","a1324000000BgxaAAC","a1I24000000qLWMEA2","Superunie PlusRetail","0012400000FKJd6AAH","true","Drive Weight of Purchase","Skin Care","2015/05/10","Personal Care","P-000000341","true","2015/04/26",14,9,40,91180,-20059.6,194000,60140,-42680
"Q2","Approved","a1324000000BgxSAAS","a1I24000000qLV6EAM","Superunie Cluster","0012400000FKJchAAH","true","Grow Market Share","Leaf Tea","2015/05/12","Refreshment","P-000000263","true","2015/04/21",21,38,47,49500,-14850,110000,28600,-33000
"Q2","Approved","a1324000000BgxYAAS","a1I24000000qLVWEA2","Deli XL","0012400000EHCqlAAH","true","Drive Weight of Purchase","Other Frozen Food","2015/05/15","Refreshment","P-000000289","true","2015/05/01",14,26,13,101920,-15288,182000,54600,-27300
"Q2","Approved","a1324000000BgxHAAS","a1I24000000qLWXEA2","Etos","0012400000FKJalAAH","true","Grow Market Share","BCS_Dressings","2015/05/15","Baking Cooking & Spreading","P-000000352","true","2015/05/01",14,16,51,103630,-33161.6,241000,96400,-77120
"Q2","Approved","a1324000000BgxOAAS","a1I24000000qLS3EAM","Bijeen Jumbo","0012400000EHCqmAAH","true","Drive Weight of Purchase","Fabric Cleaning","2015/05/17","Home Care","P-000000074","true","2015/05/03",14,11,6,91520,-15558.4,176000,59840,-29920
"Q2","Approved","a1324000000BgxWAAS","a1I24000000qLTJEA2","Others DI online","0012400000FKJbFAAX","true","Grow Market Share","Oral","2015/05/18","Personal Care","P-000000152","true","2015/04/20",28,17,46,88920,-17784,171000,44460,-34200
"Q2","Approved","a1324000000BgxMAAS","a1I24000000qLRaEAM","Albert Heijn BV","0012400000EHCqiAAH","true","Drive Trial","Deo","2015/05/19","Personal Care","P-000000045","true","2015/05/05",14,24,45,110240,-38584,208000,79040,-72800
"Q2","Approved","a1324000000BgxXAAS","a1I24000000qLVNEA2","Etos","0012400000FKJalAAH","true","Drive Weight of Purchase","Oriental","2015/05/20","Foods","P-000000280","true","2015/05/06",14,21,10,98100,-31392,218000,78480,-69760
"Q2","Approved","a1324000000BgxQAAS","a1I24000000qLVtEAM","Superunie PlusRetail","0012400000FKJd6AAH","true","Drive Weight of Purchase","Hair Care","2015/05/20","Personal Care","P-000000312","true","2015/04/22",28,34,12,156770,-51734.1,257000,77100,-84810
"Q2","Approved","a1324000000BgxMAAS","a1I24000000qLRZEA2","Deli XL","0012400000EHCqlAAH","true","Drive Frequency","Deo","2015/05/23","Personal Care","P-000000044","true","2015/05/02",21,39,48,99820,-20962.2,217000,80290,-45570
"Q2","Approved","a1324000000BgxKAAS","a1I24000000qLScEAM","SU Detail Consult","0012400000FKJcXAAX","true","Drive Penetration","CCA","2015/05/23","Foods","P-000000109","true","2015/04/25",28,42,44,127200,-19080,240000,96000,-36000
"Q2","Approved","a1324000000BgxOAAS","a1I24000000qLSuEAM","Deli XL","0012400000EHCqlAAH","true","Grow Market Share","Fabric Cleaning","2015/05/23","Home Care","P-000000127","true","2015/04/25",28,25,50,77900,-24149,205000,77900,-63550
"Q2","Approved","a1324000000BgxVAAS","a1I24000000qLT4EAM","Metro/Makro","0012400000FKJb5AAH","true","Drive Trial","Meat","2015/05/24","Foods","P-000000137","true","2015/05/03",21,32,40,106210,-24428.3,247000,88920,-56810
"Q2","Approved","a1324000000BgxFAAS","a1I24000000qLT7EAM","Superunie Cluster","0012400000FKJchAAH","true","Grow Market Share","BCS_Breakfast","2015/05/24","Baking Cooking & Spreading","P-000000140","true","2015/04/26",28,13,13,116160,-25555.2,242000,67760,-53240
"Q2","Approved","a1324000000BgxLAAS","a1I24000000qLUMEA2","AS Watson","0012400000EHCqsAAH","true","Maximise Gross Profit","Cleaners","2015/05/24","Home Care","P-000000217","true","2015/05/03",21,28,44,133100,-45254,242000,67760,-82280
"Q2","Approved","a1324000000BgxTAAS","a1I24000000qLV9EAM","Variety Discount","0012400000FKJdVAAX","true","Grow Market Share","M&HDW","2015/05/24","Home Care","P-000000266","true","2015/05/03",21,42,53,64400,-7728,140000,49000,-16800
"Q2","Approved","a1324000000BgxPAAS","a1I24000000qLVFEA2","Variety Discount","0012400000FKJdVAAX","true","Drive Trial","Fabric Conditioner","2015/05/24","Home Care","P-000000272","true","2015/04/26",28,44,48,65790,-13158,153000,41310,-30600
"Q2","Approved","a1324000000BgxGAAS","a1I24000000qLRuEAM","Others export","0012400000FKJbPAAX","true","Grow Market Share","BCS_C&DC Alternatives","2015/05/25","Baking Cooking & Spreading","P-000000065","true","2015/04/20",35,36,7,120840,-27793.2,212000,78440,-48760
"Q2","Approved","a1324000000BgxbAAC","a1I24000000qLU5EAM","Superunie Cluster","0012400000FKJchAAH","true","Grow Market Share","Skin Cleansing","2015/05/25","Personal Care","P-000000200","true","2015/04/27",28,7,54,112800,-30456,240000,88800,-64800
"Q2","Approved","a1324000000BgxSAAS","a1I24000000qLWzEAM","AS Watson","0012400000EHCqsAAH","true","Maximise Gross Profit","Leaf Tea","2015/05/25","Refreshment","P-000000380","true","2015/05/04",21,37,33,98980,-23755.2,202000,70700,-48480
"Q2","Approved","a1324000000BgxRAAS","a1I24000000qLTmEAM","Metro/Makro","0012400000FKJb5AAH","true","Drive Penetration","Ice Cream","2015/05/27","Refreshment","P-000000181","true","2015/05/13",14,35,6,76250,-22112.5,125000,48750,-36250
"Q2","Approved","a1324000000BgxQAAS","a1I24000000qLVgEAM","Bijeen Jumbo","0012400000EHCqmAAH","true","Grow Market Share","Hair Care","2015/05/27","Personal Care","P-000000299","true","2015/05/13",14,10,50,91060,-32781.6,157000,56520,-56520
"Q2","Approved","a1324000000BgxPAAS","a1I24000000qLV4EAM","Superunie Sligro","0012400000FKJdLAAX","true","Drive Volume","Fabric Conditioner","2015/05/27","Home Care","P-000000261","true","2015/05/06",21,28,19,108900,-40293,242000,91960,-89540
"Q2","Approved","a1324000000BgxNAAS","a1I24000000qLV7EAM","Superunie Sligro","0012400000FKJdLAAX","true","Maximise Gross Profit","Dressings","2015/05/27","Foods","P-000000264","true","2015/05/13",14,21,51,62480,-20618.4,142000,44020,-46860
"Q2","Approved","a1324000000BgxNAAS","a1I24000000qLVbEAM","Superunie Coop","0012400000FKJcmAAH","true","Drive Weight of Purchase","Dressings","2015/05/28","Foods","P-000000294","true","2015/04/23",35,23,8,125440,-35123.2,224000,67200,-62720
"Q2","Approved","a1324000000BgxaAAC","a1I24000000qLU0EAM","Deli XL","0012400000EHCqlAAH","true","Drive Trial","Skin Care","2015/05/29","Personal Care","P-000000195","true","2015/04/24",35,41,17,94000,-33840,235000,61100,-84600
"Q2","Approved","a1324000000BgxWAAS","a1I24000000qLSAEA2","Variety Discount","0012400000FKJdVAAX","true","Drive Trial","Oral","2015/05/30","Personal Care","P-000000081","true","2015/04/25",35,33,31,72450,-7969.5,161000,57960,-17710
"Q2","Approved","a1324000000BgxdAAC","a1I24000000qLVmEAM","Superunie PlusRetail","0012400000FKJd6AAH","true","Maximise Gross Profit","Vitality Shots","2015/05/30","Baking Cooking & Spreading","P-000000305","true","2015/05/16",14,25,6,124950,-21241.5,245000,83300,-41650
"Q2","Approved","a1324000000BgxQAAS","a1I24000000qLWWEA2","Deli XL","0012400000EHCqlAAH","true","Drive Penetration","Hair Care","2015/05/30","Personal Care","P-000000351","true","2015/05/16",14,20,49,48600,-12150,108000,38880,-27000
"Q2","Approved","a1324000000BgxJAAS","a1I24000000qLQzEAM","Schlecker","0012400000FKJcNAAX","true","Drive Weight of Purchase","Breakfast","2015/05/31","Foods","P-000000008","true","2015/05/10",21,34,36,61570,-20318.1,131000,44540,-43230
"Q2","Approved","a1324000000BgxXAAS","a1I24000000qLRWEA2","Deli XL","0012400000EHCqlAAH","true","Drive Penetration","Oriental","2015/06/02","Foods","P-000000041","true","2015/05/05",28,30,44,91800,-9180,204000,79560,-20400
"Q2","Approved","a1324000000BgxGAAS","a1I24000000qLSCEA2","AS Watson","0012400000EHCqsAAH","true","Grow Market Share","BCS_C&DC Alternatives","2015/06/02","Baking Cooking & Spreading","P-000000083","true","2015/05/12",21,36,40,108900,-18513,198000,75240,-33660
"Q2","Approved","a1324000000BgxYAAS","a1I24000000qLU3EAM","Albert Heijn BV","0012400000EHCqiAAH","true","Grow Market Share","Other Frozen Food","2015/06/02","Refreshment","P-000000198","true","2015/05/12",21,41,12,53200,-19152,140000,56000,-50400
"Q2","Approved","a1324000000BgxOAAS","a1I24000000qLU4EAM","Others NL FS","0012400000FKJc8AAH","true","Grow Market Share","Fabric Cleaning","2015/06/02","Home Care","P-000000199","true","2015/05/12",21,8,47,52650,-11056.5,135000,44550,-28350
"Q2","Approved","a1324000000BgxJAAS","a1I24000000qLVQEA2","Others NL FS","0012400000FKJc8AAH","true","Maximise Gross Profit","Breakfast","2015/06/03","Foods","P-000000283","true","2015/04/29",35,8,34,114400,-22880,220000,77000,-44000
"Q2","Approved","a1324000000BgxVAAS","a1I24000000qLWEEA2","Albert Heijn BV","0012400000EHCqiAAH","true","Drive Weight of Purchase","Meat","2015/06/03","Foods","P-000000333","true","2015/05/20",14,37,24,86620,-24253.6,142000,51120,-39760
"Q2","Approved","a1324000000BgxJAAS","a1I24000000qLWZEA2","Deli XL","0012400000EHCqlAAH","true","Drive Trial","Breakfast","2015/06/03","Foods","P-000000354","true","2015/05/06",28,38,24,109040,-41435.2,232000,81200,-88160
"Q2","Approved","a1324000000BgxbAAC","a1I24000000qLXEEA2","Bijeen Jumbo","0012400000EHCqmAAH","true","Grow Market Share","Skin Cleansing","2015/06/03","Personal Care","P-000000395","true","2015/04/29",35,24,28,53900,-12397,110000,35200,-25300
"Q2","Approved","a1324000000BgxLAAS","a1I24000000qLUZEA2","Metro/Makro","0012400000FKJb5AAH","true","Maximise Gross Profit","Cleaners","2015/06/03","Home Care","P-000000230","true","2015/05/20",14,33,35,96040,-26891.2,196000,62720,-54880
"Q2","Approved","a1324000000BgxRAAS","a1I24000000qLUwEAM","Others NL FS","0012400000FKJc8AAH","true","Maximise Gross Profit","Ice Cream","2015/06/03","Refreshment","P-000000253","true","2015/05/13",21,19,49,48800,-15616,122000,45140,-39040
"Q2","Approved","a1324000000BgxOAAS","a1I24000000qLVHEA2","Etos","0012400000FKJalAAH","true","Maximise Gross Profit","Fabric Cleaning","2015/06/04","Home Care","P-000000274","true","2015/05/07",28,38,41,82800,-27324,138000,51060,-45540
"Q2","Approved","a1324000000BgxPAAS","a1I24000000qLWQEA2","Schlecker","0012400000FKJcNAAX","true","Drive Penetration","Fabric Conditioner","2015/06/04","Home Care","P-000000345","true","2015/05/21",14,28,31,52510,-14177.7,89000,22250,-24030
