Account.CUSTOM2,Account.CUSTOM3,Account_SALES_REP,Account_CITY,Account_STATE,ActivityDate,ACCOUNT_ID,Account_CUSTOMER_SITE,Account_REGION,ActivityType,Account_COUNTRY,Account_POSTAL_CODE,Account_CUSTOMER,Week,Account_CUSTOM1,Activities,Account_LAT,Account_LONG,Offset,ExpertHours
Negative Growth over 20%,LOW MIX,John Central,Bentonville,AR,26/02/2020,A0002,Sure Store - Benton,Central,Email/Phone,United States,17814,Sure Store,11/1/16,SMALL,4,36.35161,-94.2132,86400,14
Negative Growth over 20%,LOW MIX,John Central,Bentonville,AR,26/02/2020,A0002,Sure Store - Benton,Central,Visit,United States,17814,Sure Store,11/1/16,SMALL,12,36.35161,-94.2132,86400,0
Negative Growth over 20%,LOW MIX,John Central,Bentonville,AR,26/01/2020,A0002,Sure Store - Benton,Central,Email/Phone,United States,17814,Sure Store,10/1/16,SMALL,1,36.35161,-94.2132,2764800,17
Negative Growth over 20%,LOW MIX,John Central,Bentonville,AR,26/01/2020,A0002,Sure Store - Benton,Central,Visit,United States,17814,Sure Store,10/1/16,SMALL,1,36.35161,-94.2132,2764800,0
Negative Growth over 20%,LOW MIX,John Central,Bentonville,AR,27/12/2019,A0002,Sure Store - Benton,Central,Email/Phone,United States,17814,Sure Store,9/1/16,SMALL,1,36.35161,-94.2132,5356800,2
Negative Growth over 20%,LOW MIX,John Central,Bentonville,AR,27/12/2019,A0002,Sure Store - Benton,Central,Visit,United States,17814,Sure Store,9/1/16,SMALL,7,36.35161,-94.2132,5356800,0
Negative Growth over 20%,LOW MIX,John Central,Bentonville,AR,26/11/2019,A0002,Sure Store - Benton,Central,Email/Phone,United States,17814,Sure Store,8/1/16,SMALL,3,36.35161,-94.2132,8035200,15
Negative Growth over 20%,LOW MIX,John Central,Bentonville,AR,26/11/2019,A0002,Sure Store - Benton,Central,Visit,United States,17814,Sure Store,8/1/16,SMALL,6,36.35161,-94.2132,8035200,0
Negative Growth over 20%,LOW MIX,John Central,Bentonville,AR,26/10/2019,A0002,Sure Store - Benton,Central,Email/Phone,United States,17814,Sure Store,7/1/16,SMALL,3,36.35161,-94.2132,10713600,2
Negative Growth over 20%,LOW MIX,John Central,Bentonville,AR,26/10/2019,A0002,Sure Store - Benton,Central,Visit,United States,17814,Sure Store,7/1/16,SMALL,10,36.35161,-94.2132,10713600,0
Negative Growth over 20%,LOW MIX,John Central,Bentonville,AR,26/09/2019,A0002,Sure Store - Benton,Central,Email/Phone,United States,17814,Sure Store,6/1/16,SMALL,6,36.35161,-94.2132,13305600,17
Negative Growth over 20%,LOW MIX,John Central,Bentonville,AR,26/09/2019,A0002,Sure Store - Benton,Central,Visit,United States,17814,Sure Store,6/1/16,SMALL,1,36.35161,-94.2132,13305600,0
Negative Growth over 20%,LOW MIX,John Central,Bentonville,AR,26/08/2019,A0002,Sure Store - Benton,Central,Email/Phone,United States,17814,Sure Store,5/1/16,SMALL,5,36.35161,-94.2132,15984000,15
