"Case_ID","Account_ID","Case_Owner","Case_Status","Case_Number","Create_Date","Account_Name","Case_Type","Escalated","Closed","Age_Hours","Open"
"5006A00000606dG","0016A00000OptVf","Brenda Service","Open","1447","3/19/18","Better Buy - Charlottesville","RA Request",0,0,377,1
"5006A00000606dC","0016A00000OptVf","Tim Service","Open","1321","3/20/18","Better Buy - Charlottesville","RA Request",0,1,-39239,0
"5006A00000606dA","0016A00000OptVf","Lauren Bailey","Closed","1450","3/21/18","Better Buy - Charlottesville","RA Request",0,0,377,1
"5006A00000606cv","0016A00000OptVf","Tim Service","Open","1192","3/22/18","Better Buy - Charlottesville","RA Request",0,1,-83402,0
"5006A00000606cn","0016A00000OptVf","Brenda Service","Open","1182","3/23/18","Better Buy - Charlottesville","RA Request",0,1,-19282,0
"5006A00000606cl","0016A00000OptVf","Brenda Service","Closed","1180","3/24/18","Better Buy - Charlottesville","RA Request",0,1,-19282,0
"5006A00000606q1","0016A00000OptVf","Tim Service","Open","1584","3/25/18","Better Buy - Charlottesville","RA Request",0,0,377,1
"5006A00000606pt","0016A00000OptVf","Tier 2 Queue","Open","1454","3/26/18","Better Buy - Charlottesville","RA Request",0,0,377,1
"5006A00000606ej","0016A00000OptVf","Admin User","Open","2362","3/27/18","Better Buy - Charlottesville","RA Request",0,0,377,1
"5006A00000606pr","0016A00000OptVf","Jay Service","Closed","1436","3/28/18","Better Buy - Charlottesville","RA Request",0,1,-50538,0
"5006A00000606pp","0016A00000OptVf","Tim Service","Open","1197","3/29/18","Better Buy - Charlottesville","RA Request",0,1,-83401,0
"5006A00000606pe","0016A00000OptVf","Jay Service","Open","1201","3/30/18","Better Buy - Charlottesville","RA Request",0,1,-83397,0
"5006A00000606pd","0016A00000OptVf","Linda Service","Open","1200","3/31/18","Better Buy - Charlottesville","RA Request",0,1,-83398,0
"5006A00000606dy","0016A00000OptVf","2 IDO Contributor","Closed","1818","4/1/18","Better Buy - Charlottesville","RA Request",0,1,-9363,0
"5006A00000606dn","0016A00000OptVf","Jay Service","Open","1651","4/2/18","Better Buy - Charlottesville","RA Request",0,0,377,1
"5006A00000606dF","0016A00000OptVc","Brenda Service","Open","1437","4/3/18","Better Buy - Jacksonville","RA Request",0,1,-39238,0
"5006A00000606dE","0016A00000OptVc","Linda Service","Closed","1493","4/4/18","Better Buy - Jacksonville","RA Request",0,1,-39238,0
"5006A00000606dD","0016A00000OptVc","Brenda Service","Open","1456","4/5/18","Better Buy - Jacksonville","RA Request",0,1,-39239,0
"5006A00000606d9","0016A00000OptVc","Jay Service","Open","1400","4/6/18","Better Buy - Jacksonville","RA Request",0,1,-39239,0
"5006A00000606cj","0016A00000OptVc","Tim Service","Open","1503","4/7/18","Better Buy - Jacksonville","RA Request",0,1,-17051,0
"5006A00000606py","0016A00000OptVc","Lauren Bailey","Closed","1533","4/8/18","Better Buy - Jacksonville","RA Request",0,0,377,1
"5006A00000606px","0016A00000OptVc","Brenda Service","Open","1530","4/9/18","Better Buy - Jacksonville","RA Request",0,1,-17051,0
"5006A00000606eN","0016A00000OptVc","Tier 3 Queue","Open","2338","4/10/18","Better Buy - Jacksonville","RA Request",0,1,-318,0
"5006A00000606po","0016A00000OptVc","Brenda Service","Closed","1191","4/11/18","Better Buy - Jacksonville","RA Request",0,1,-65566,0
"5006A00000606e0","0016A00000OptVc","SDO_A4","Open","1826","4/12/18","Better Buy - Jacksonville","RA Request",0,1,-3994,0
"5006A00000606dt","0016A00000OptVc","Tim Service","Open","1745","4/13/18","Better Buy - Jacksonville","RA Request",0,0,377,1
"5006A00000606dl","0016A00000OptVc","Brenda Service","Open","1615","4/14/18","Better Buy - Jacksonville","RA Request",0,0,377,1
"5006A00000606dj","0016A00000OptVc","Jay Service","Open","1607","4/15/18","Better Buy - Jacksonville","RA Request",0,1,-26334,0
"5006A00000606df","0016A00000OptVc","Linda Service","Open","1592","4/16/18","Better Buy - Jacksonville","RA Request",0,1,-26334,0
"5006A00000606dd","0016A00000OptVc","Tier 2 Queue","Closed","1750","4/17/18","Better Buy - Jacksonville","RA Request",0,0,377,1
"5006A00000606cy","0016A00000OptVd","Tier 2 Queue","Open","1219","4/18/18","Better Buy - New Alexandria","RA Request",0,0,377,1
"5006A00000606pU","0016A00000OptVd","Tim Service","Open","1170","4/19/18","Better Buy - New Alexandria","RA Request",0,1,-19282,0
"5006A00000606dp","0016A00000OptVd","Tier 1 Queue","Closed","1740","4/20/18","Better Buy - New Alexandria","RA Request",1,0,377,1
"5006A00000606q0","0016A00000OptVh","Brenda Service","Closed","1581","4/21/18","Better Buy - Shelby","RA Request",0,0,377,1
"5006A00000606db","0016A00000OptVZ","Tier 1 Queue","Open","1831","4/22/18","Better Buy - Virginia Beach","RA Request",0,0,377,1
"5006A00000606da","0016A00000OptVZ","Social Queue","Open","1832","4/23/18","Better Buy - Virginia Beach","RA Request",0,0,377,1
"5006A00000606dP","0016A00000OptVZ","Tier 1 Queue","Closed","1913","4/24/18","Better Buy - Virginia Beach","RA Request",0,0,377,1
"5006A00000606dO","0016A00000OptVZ","Adrian Service","Open","1873","4/25/18","Better Buy - Virginia Beach","RA Request",0,0,377,1
"5006A00000606dN","0016A00000OptVZ","Tier 2 Queue","Open","1863","4/26/18","Better Buy - Virginia Beach","RA Request",0,0,377,1
"5006A00000606dL","0016A00000OptVZ","Tier 3 Queue","Open","1854","4/27/18","Better Buy - Virginia Beach","RA Request",0,0,377,1
"5006A00000606dK","0016A00000OptVZ","Tier 2 Queue","Open","1829","4/28/18","Better Buy - Virginia Beach","RA Request",0,0,377,1
"5006A00000606eM","0016A00000OptVZ","Adrian Service","Open","2337","4/29/18","Better Buy - Virginia Beach","RA Request",0,0,377,1
"5006A00000606eI","0016A00000OptVZ","Admin User","Open","2333","4/30/18","Better Buy - Virginia Beach","RA Request",0,0,377,1
"5006A00000606e9","0016A00000OptVZ","Social Queue","Closed","1916","3/14/18","Better Buy - Virginia Beach","RA Request",0,0,377,1
"5006A00000606e7","0016A00000OptVZ","Tier 1 Queue","Open","1914","3/15/18","Better Buy - Virginia Beach","RA Request",0,0,377,1
"5006A00000606dc","0016A00000OptVZ","Sam Service","Open","1830","3/16/18","Better Buy - Virginia Beach","RA Request",0,0,377,1
"5006A00000606dB","0016A00000OptVe","Jay Service","Closed","1455","3/17/18","Better Buy - Washington","RA Request",0,1,-39239,0
"5006A00000606pk","0016A00000OptVe","Tim Service","Open","1184","3/18/18","Better Buy - Washington","RA Request",0,1,-19282,0
"5006A00000606pW","0016A00000OptWO","Tim Service","Open","1165","3/19/18","Better Buy - Wilmington","RA Request",0,1,-19282,0
"5006A00000606e8","0016A00000OptXw","Admin User","Closed","1915","3/20/18","Fare Merchants - Union Sq","RA Request",0,1,-1852,0
"5006A00000606e2","0016A00000OptYG","Tier 2 Queue","Open","1834","3/21/18","Fastest Men Alive","RA Request",0,0,377,1
"5006A00000606pX","0016A00000OptWR","Linda Service","Open","1167","3/22/18","Huge Store - Bartlett","RA Request",0,1,-19282,0
"5006A00000606cp","0016A00000OptWU","Jay Service","Closed","1242","3/23/18","Huge Store - Birmingham","RA Request",0,1,-83399,0
"5006A00000606pz","0016A00000OptWU","Tier 2 Queue","Open","1580","3/24/18","Huge Store - Birmingham","RA Request",0,0,377,1
"5006A00000606pT","0016A00000OptWU","Linda Service","Open","1166","3/25/18","Huge Store - Birmingham","RA Request",0,1,-19282,0
"5006A00000606cz","0016A00000OptWJ","Brenda Service","Open","1257","3/26/18","Huge Store - Boca Raton","RA Request",0,0,377,1
"5006A00000606pn","0016A00000OptWJ","Tim Service","Open","1189","3/27/18","Huge Store - Boca Raton","RA Request",0,1,-83398,0
"5006A00000606pm","0016A00000OptWJ","Jay Service","Closed","1188","3/28/18","Huge Store - Boca Raton","RA Request",0,1,-19282,0
"5006A00000606pi","0016A00000OptWJ","Tim Service","Open","1181","3/29/18","Huge Store - Boca Raton","RA Request",0,1,-19282,0
"5006A00000606cw","0016A00000OptWN","Linda Service","Open","1217","3/30/18","Huge Store - Cape Coral","RA Request",0,1,-50538,0
"5006A00000606pf","0016A00000OptWG","Linda Service","Open","1175","3/31/18","Huge Store - Cocoa","RA Request",0,1,-19282,0
"5006A00000606cx","0016A00000OptWPQAZ","Tier 2 Queue","Open","1218","4/1/18","Huge Store - Fort Myers","Allowance Markdown",0,0,377,1
"5006A00000606cu","0016A00000OptWPQAZ","Brenda Service","Closed","1169","4/2/18","Huge Store - Fort Myers","RA Request",0,1,300,0
"5006A00000606e5","0016A00000OptWPQAZ","Social Queue","Escalated","1853","4/3/18","Huge Store - Fort Myers","Order Status",1,0,377,1
"5006A00000606dr","0016A00000OptWPQAZ","Tier 2 Queue","Closed","1742","4/4/18","Huge Store - Fort Myers","RA Request",0,0,377,1
"5006A00000606dm","0016A00000OptWPQAZ","Tier 1 Queue","Open","1630","4/5/18","Huge Store - Fort Myers","RA Request",0,0,36,1
"5006A00000606d2","0016A00000OptWQ","Brenda Service","Open","1164","4/6/18","Huge Store - Kansas City","RA Request",0,1,-19282,0
"5006A00000606pj","0016A00000OptWQ","Tim Service","Closed","1183","4/7/18","Huge Store - Kansas City","RA Request",0,1,-19282,0
"5006A00000606pV","0016A00000OptWQ","Jay Service","Open","1213","4/8/18","Huge Store - Kansas City","RA Request",0,1,-83401,0
"5006A00000606dq","0016A00000OptWQ","Tier 1 Queue","Escalated","1741","4/9/18","Huge Store - Kansas City","RA Request",1,0,377,1
"5006A00000606ps","0016A00000OptVT","Linda Service","Open","1439","4/10/18","Huge Store - Largo","RA Request",0,0,377,1
"5006A00000606ct","0016A00000OptWB","Tim Service","Closed","1296","4/11/18","Huge Store - Lincoln","RA Request",0,1,-19287,0
"5006A00000606ph","0016A00000OptWB","Brenda Service","Open","1179","4/12/18","Huge Store - Lincoln","RA Request",0,1,-19282,0
"5006A00000606pb","0016A00000OptWB","Jay Service","Escalated","1194","4/13/18","Huge Store - Lincoln","RA Request",0,1,-19213,0
"5006A00000606pg","0016A00000OptWT","Brenda Service","Closed","1178","4/14/18","Huge Store - Memphis","RA Request",0,1,-19282,0
"5006A00000606pw","0016A00000OptVV","Brenda Service","Open","1529","4/15/18","Huge Store - Tampa","RA Request",0,1,-37753,0
"5006A00000606pv","0016A00000OptVV","Tim Service","Open","1528","4/16/18","Huge Store - Tampa","RA Request",0,0,377,1
"5006A00000606di","0016A00000OptVV","Jay Service","Open","1606","4/17/18","Huge Store - Tampa","RA Request",0,0,377,1
"5006A00000606cq","0016A00000OptWV","Tim Service","Closed","1247","4/18/18","Huge Store - Youngstown","RA Request",0,1,-19280,0
"5006A00000606ck","0016A00000OptWV","Linda Service","Open","1438","4/19/18","Huge Store - Youngstown","RA Request",0,0,377,1
"5006A00000606pY","0016A00000OptWV","Linda Service","Open","1171","4/20/18","Huge Store - Youngstown","RA Request",0,1,-19282,0
"5006A00000606q2","0016A00000OptVj","Tim Service","Open","1631","4/21/18","Larry Baxter","RA Request",0,0,377,1
"5006A00000606ek","0016A00000OptVj","Admin User","Closed","2363","4/22/18","Larry Baxter","RA Request",0,0,377,1
"5006A00000606dk","0016A00000OptVj","Jay Service","Open","1608","4/23/18","Larry Baxter","RA Request",0,0,377,1
"5006A00000606dh","0016A00000OptVj","Linda Service","Open","1605","4/24/18","Larry Baxter","RA Request",0,0,377,1
"5006A00000606dg","0016A00000OptVj","Tim Service","Open","1604","4/25/18","Larry Baxter","RA Request",0,1,-32139,0
"5006A00000606eB","0016A00000OptVa","Tim Service","Open","1937","4/26/18","Lindsay Siovaila","RA Request",0,0,377,1
"5006A00000606eA","0016A00000OptVa","Tim Service","Open","1936","4/27/18","Lindsay Siovaila","RA Request",0,1,-318,0
"5006A00000606e4","0016A00000OptVa","Tier 3 Queue","Closed","1837","4/28/18","Lindsay Siovaila","RA Request",0,0,377,1
"5006A00000606eh","0016A00000OptYD","Admin User","Open","2360","4/29/18","Newton Farms","RA Request",0,1,-667,0
"5006A00000606eg","0016A00000OptYD","Brenda Service","Open","2359","4/30/18","Newton Farms","RA Request",0,1,-668,0
"5006A00000606ef","0016A00000OptYD","Brenda Service","Closed","2358","3/14/18","Newton Farms","RA Request",0,1,-668,0
"5006A00000606ds","0016A00000OptWf","Brenda Service","Open","1743","3/15/18","Niki Sullivan","RA Request",0,0,377,1
"5006A00000606eC","0016A00000OptXd","Tim Service","Open","1940","3/16/18","NTO Store - Berkeley","RA Request",0,0,377,1
"5006A000006DbiA","0016A00000OptXe","Adrian Service","Closed","2423","3/17/18","NTO Store - Ferry Plaza Market","RA Request",0,0,16,1
"5006A00000606fA","0016A00000OptXe","Tier 2 Queue","Open","2389","3/18/18","NTO Store - Ferry Plaza Market","RA Request",0,1,-456,0
"5006A00000606f9","0016A00000OptXe","Tier 3 Queue","Open","2388","3/19/18","NTO Store - Ferry Plaza Market","RA Request",0,0,377,1
"5006A00000606f8","0016A00000OptXe","Tier 2 Queue","Closed","2387","3/20/18","NTO Store - Ferry Plaza Market","RA Request",1,0,377,1
"5006A00000606f7","0016A00000OptXe","Tier 2 Queue","Open","2386","3/21/18","NTO Store - Ferry Plaza Market","RA Request",0,1,-456,0
"5006A00000606f6","0016A00000OptXe","Tier 3 Queue","Open","2385","3/22/18","NTO Store - Ferry Plaza Market","RA Request",0,1,-456,0
"5006A000006DV3l","0016A00000OptW5","IoT Queue","Closed","2422","3/23/18","NTO Store - Presidio","RA Request",0,0,27,1
"5006A000006DbjK","0016A00000OptW5","IoT Queue","Open","2424","3/24/18","NTO Store - Presidio","RA Request",0,0,16,1
"5006A00000606dZ","0016A00000OptW5","Adrian Service","Closed","1931","3/25/18","NTO Store - Presidio","RA Request",0,0,377,1
"5006A00000606dY","0016A00000OptW5","Admin User","Open","1933","3/26/18","NTO Store - Presidio","RA Request",0,1,-791,0
"5006A00000606dX","0016A00000OptW5","Adrian Service","Open","1946","3/27/18","NTO Store - Presidio","RA Request",0,1,-791,0
"5006A00000606dW","0016A00000OptW5","Tim Service","Closed","1941","3/28/18","NTO Store - Presidio","RA Request",0,1,-791,0
"5006A00000606dV","0016A00000OptW5","Adrian Service","Open","1945","3/29/18","NTO Store - Presidio","RA Request",0,1,-791,0
"5006A00000606dU","0016A00000OptW5","Tim Service","Open","1942","3/30/18","NTO Store - Presidio","RA Request",0,1,-791,0
"5006A00000606dT","0016A00000OptW5","Tim Service","Closed","1943","3/31/18","NTO Store - Presidio","RA Request",0,1,-791,0
"5006A00000606dS","0016A00000OptW5","Admin User","Open","1927","4/1/18","NTO Store - Presidio","RA Request",0,1,-1133,0
"5006A00000606dR","0016A00000OptW5","Tier 3 Queue","Closed","1926","4/2/18","NTO Store - Presidio","RA Request",0,1,-1133,0
"5006A00000606dQ","0016A00000OptW5","Admin User","Open","1925","4/3/18","NTO Store - Presidio","RA Request",0,1,-1133,0
"5006A00000606pI","0016A00000OptW5","IoT Queue","Open","2404","4/4/18","NTO Store - Presidio","RA Request",0,0,377,1
"5006A000006D1Dp","0016A00000OptW5","IoT Queue","Closed","2416","4/5/18","NTO Store - Presidio","RA Request",0,0,90,1
"5006A00000606co","0016A00000OptWF","Linda Service","Open","1203","4/6/18","Sure Store - Burlington","RA Request",0,0,377,1
"5006A00000606de","0016A00000OptW4","Tier 2 Queue","Open","1531","4/7/18","Sure Store - Hampshire","RA Request",0,0,377,1
"5006A00000606dH","0016A00000OptW2","Jay Service","Closed","1582","4/8/18","Sure Store - Houston","RA Request",0,0,377,1
"5006A00000606cm","0016A00000OptW2","Tim Service","Open","1173","4/9/18","Sure Store - Houston","RA Request",0,1,-19282,0
"5006A00000606pu","0016A00000OptW2","Brenda Service","Closed","1497","4/10/18","Sure Store - Houston","RA Request",0,0,377,1
"5006A00000606ei","0016A00000OptW2","Admin User","Open","2361","4/11/18","Sure Store - Houston","RA Request",0,0,377,1
"5006A00000606pl","0016A00000OptW2","Tim Service","Open","1187","4/12/18","Sure Store - Houston","RA Request",0,1,-19282,0
"5006A00000606pZ","0016A00000OptW2","Brenda Service","Closed","1172","4/13/18","Sure Store - Houston","RA Request",0,1,-19282,0
"5006A00000606pS","0016A00000OptW2","Tier 2 Queue","Open","1248","4/14/18","Sure Store - Houston","RA Request",0,0,377,1
"5006A00000606d0","0016A00000OptWM","Brenda Service","Open","1250","4/15/18","Sure Store - Lake","RA Request",0,1,-79553,0
"5006A00000606pa","0016A00000OptWM","Tim Service","Closed","1174","4/16/18","Sure Store - Lake","RA Request",0,1,-83398,0
"5006A00000606dJ","0016A00000OptWH","Tier 2 Queue","Open","1506","4/17/18","Sure Store - Middlesex","RA Request",0,0,377,1
"5006A00000606dI","0016A00000OptWH","Brenda Service","Open","1176","4/18/18","Sure Store - Middlesex","RA Request",0,1,-19282,0
"5006A00000606pq","0016A00000OptWH","Linda Service","Closed","1252","4/19/18","Sure Store - Middlesex","RA Request",0,1,-83399,0
"5006A00000606do","0016A00000OptWH","Tier 2 Queue","Open","1739","4/20/18","Sure Store - Middlesex","RA Request",0,0,377,1
"5006A00000606cr","0016A00000OptWI","Tim Service","Open","1177","4/21/18","Sure Store - New York","RA Request",0,1,-19282,0
"5006A00000606cs","0016A00000OptWE","Brenda Service","Closed","1199","4/22/18","Sure Store - Polk","RA Request",0,0,377,1
"5006A00000606pc","0016A00000OptWC","Jay Service","Open","1195","4/23/18","Sure Store - Tulsa","RA Request",0,1,-83398,0
"5006A00000606ci","0016A00000OptWD","Brenda Service","Closed","1196","4/24/18","Sure Store - Tulsa","RA Request",0,1,-83401,0
