"Account_CUSTOMER_SITE","Status","OrderNumber","OrderID","AR","CreatedDate","DeliveryStatus","SFDC_Id","AccountOwner","OrderStartDate","Discount","Return","Rejection","OrderAmount"
"Anne Frost","Shipped","209","8016A000002m7B1","30 - 60 Days","4/4/18","Late","0016A00000OptVs","Admin User","3/11/18",20,13,17,1100
"Better Buy - Charlottesville","Open","125","8016A000002m7AP","60 - 90 Days","4/4/18","Open","0016A00000OptVf","Bill West","10/23/17",28,10,17,13787
"Better Buy - Charlottesville","Open","126","8016A000002m7AQ","90 - 120 Days","4/4/18","Open","0016A00000OptVf","Bill West","11/27/17",33,17,13,29977
"Better Buy - Columbia","Open","119","8016A000002m7AL",">120 Days","4/4/18","Open","0016A00000OptYK","Admin User","12/5/17",28,20,13,24482
"Better Buy - Jacksonville","Shipped","221","8016A000002m7BC","30 - 60 Days","4/4/18","On Time","0016A00000OptVc","Cindy Central","7/28/18",18,12,12,29900
"Better Buy - Jacksonville","Open","101","8016A000002m7AF","60 - 90 Days","4/4/18","Open","0016A00000OptVc","Cindy Central","6/26/17",26,14,16,10792
"Better Buy - Jacksonville","Open","104","8016A000002m7AH","90 - 120 Days","4/4/18","Open","0016A00000OptVc","Cindy Central","6/26/17",19,16,13,3498
"Better Buy - Jacksonville","Open","102","8016A000002m7AG",">120 Days","4/4/18","Open","0016A00000OptVc","Cindy Central","6/26/17",18,18,13,30872
"Better Buy - Norfolk","Open","146","8016A000002m7Ak","30 - 60 Days","4/4/18","Open","0016A00000OptYP","Paul Partner","2/5/18",19,12,11,5990
"Better Buy - Virginia Beach","Allocated","255","8016A000002m79c","60 - 90 Days","4/4/18","Open","0016A00000OptVZ","Admin User","12/28/17",35,16,17,223.2
"Better Buy - Virginia Beach","Open","233","8016A000002m79d","90 - 120 Days","4/4/18","Open","0016A00000OptVZ","Admin User","12/13/17",15,16,18,24000
"Better Buy - Virginia Beach","Open","236","8016A000002m79e",">120 Days","4/4/18","Open","0016A00000OptVZ","Admin User","1/17/18",20,18,11,79.2
"Better Buy - Virginia Beach","Picked","256","8016A000002m79r","30 - 60 Days","4/4/18","Open","0016A00000OptVZ","Admin User","12/28/17",18,14,16,215.2
"Better Buy - Virginia Beach","Shipped","257","8016A000002m79s","60 - 90 Days","4/4/18","Late","0016A00000OptVZ","Admin User","12/28/17",23,10,17,199.95
"Better Buy - Virginia Beach","Shipped","258","8016A000002m79t","90 - 120 Days","4/4/18","Late","0016A00000OptVZ","Admin User","12/28/17",35,14,16,316.2
"Better Buy - Virginia Beach","Shipped","264","8016A000002m79x",">120 Days","4/4/18","Late","0016A00000OptVZ","Admin User","3/17/18",15,17,17,230.97
"Better Buy - Virginia Beach","Shipped","229","8016A000002m7AD","30 - 60 Days","4/4/18","Late","0016A00000OptVZ","Admin User","12/22/17",16,18,18,542.2
"Better Buy - Virginia Beach","Shipped","237","8016A000002m7AE","60 - 90 Days","4/4/18","Late","0016A00000OptVZ","Admin User","1/19/18",28,13,17,199.95
"Better Buy - Washington","Open","123","8016A000002m7AO","90 - 120 Days","4/4/18","Open","0016A00000OptVe","Ely East","1/21/18",28,14,17,8985
"Biospan, LLC.","Shipped","225","8016A000002m7BE",">120 Days","4/4/18","On Time","0016A00000OptYJ","Cindy Central","11/4/17",21,18,16,25000
"Biospan, LLC.","Open","226","8016A000002m7BF","30 - 60 Days","4/4/18","Open","0016A00000OptYJ","Cindy Central","11/4/17",28,13,17,32000
"Biospan, LLC.","Open","127","8016A000002m7AR","60 - 90 Days","4/4/18","Open","0016A00000OptYJ","Cindy Central","1/22/18",16,11,12,8994
"Fare Merchants - Union Sq","Open","239","8016A000002m79i","90 - 120 Days","4/4/18","Open","0016A00000OptXw","Chantelle Rep","8/5/17",29,20,12,40227.3
"Fare Merchants - Union Sq","Open","240","8016A000002m79j",">120 Days","4/4/18","Open","0016A00000OptXw","Chantelle Rep","9/2/17",21,12,11,27698
"Fare Merchants - Union Sq","Shipped","244","8016A000002m79l","30 - 60 Days","4/4/18","On Time","0016A00000OptXw","Chantelle Rep","12/25/17",23,14,14,67000
"Fare Merchants - Union Sq","Shipped","245","8016A000002m79m","60 - 90 Days","4/4/18","On Time","0016A00000OptXw","Chantelle Rep","12/25/17",18,19,11,34762
"Fare Merchants - Union Sq","Shipped","246","8016A000002m79n","90 - 120 Days","4/4/18","On Time","0016A00000OptXw","Chantelle Rep","12/25/17",32,15,16,59763
"Fare Merchants - Union Sq","Shipped","249","8016A000002m79q",">120 Days","4/4/18","On Time","0016A00000OptXw","Chantelle Rep","12/25/17",26,19,10,49622
"Huge Store - Birmingham","Open","132","8016A000002m7AW","30 - 60 Days","4/4/18","Open","0016A00000OptWU","Cindy Central","2/24/18",24,15,12,8089
"Huge Store - Birmingham","Open","133","8016A000002m7AX","60 - 90 Days","4/4/18","Open","0016A00000OptWU","Cindy Central","1/25/18",21,11,14,11089
"Huge Store - Cocoa","Open","134","8016A000002m7AY","90 - 120 Days","4/4/18","Open","0016A00000OptWG","Wendy West","12/4/17",25,11,18,23513
"Huge Store - Cocoa","Open","135","8016A000002m7AZ",">120 Days","4/4/18","Open","0016A00000OptWG","Wendy West","2/20/18",24,13,14,10493
"Huge Store - Fort Myers","Picked","139","8016A000002m7Ad","30 - 60 Days","4/4/18","Open","0016A00000OptWPQAZ","Kasey Central","1/23/18",25,12,10,17377
"Huge Store - Fort Myers","Open","140","8016A000002m7Ae","60 - 90 Days","4/4/18","Open","0016A00000OptWPQAZ","Kasey Central","11/21/17",20,10,16,26980
"Huge Store - Fort Myers","Shipped","141","8016A000002m7Af","90 - 120 Days","4/4/18","On Time","0016A00000OptWPQAZ","Kasey Central","11/7/17",28,19,11,36432
"Huge Store - Youngstown","Open","129","8016A000002m7AS",">120 Days","4/4/18","Open","0016A00000OptWV","Ricky East","10/30/17",18,20,16,14488
"Huge Store - Youngstown","Open","128","8016A000002m7AT","30 - 60 Days","4/4/18","Open","0016A00000OptWV","Ricky East","11/28/17",33,20,12,84931
