"Description","ProductCode","QuantityUnitOfMeasure","Family","Id","Name"
"Pure Perfect description","Pure Perfect 183",,"None","01tB0000000UI8WIAW","Pure Perfect"
"Whitezen description","Whitezen 189",,"None","01tB0000000UI8XIAW","Whitezen"
"Whole green description","Whole green 105",,"None","01tB0000000UI8YIAW","Whole green"
"Face matter description","Face matter 209",,"None","01tB0000000UI8aIAG","Face matter"
"Angel Look description","Angel Look 131",,"None","01tB0000000UI8cIAG","Angel Look"
"Gentle description","Gentle 254",,"None","01tB0000000UI8dIAG","Gentle"
"Soft Finger description","Soft Finger 288",,"None","01tB0000000UI8eIAG","Soft Finger"
"Lady link description","Lady link 219",,"None","01tB0000000UI8fIAG","Lady link"
"Laffayette description","Laffayette 200",,"None","01tB0000000UI8gIAG","Laffayette"
"Lucima description","Lucima 243",,"None","01tB0000000UI8hIAG","Lucima"
"Neptune description","Neptune 277",,"None","01tB0000000UI8iIAG","Neptune"
"Omalay description","Omalay 112",,"None","01tB0000000UI8jIAG","Omalay"
"Orgma description","Orgma 139",,"None","01tB0000000UI8kIAG","Orgma"
"Active care description","Active care 250",,"None","01tB0000000UI8lIAG","Active care"
"Elliotte description","Elliotte 226",,"None","01tB0000000UI8mIAG","Elliotte"
"Honey dew description","Honey dew 207",,"None","01tB0000000UI8nIAG","Honey dew"
"Alone description","Alone 243",,"None","01tB0000000UI8ZIAW","Kelloggs Chocos"
"Abby osk description","Abby osk 249",,"None","01tB0000000UI8bIAG","Kelloggs Corn Flakes"
"Tatva description","Tatva 295",,"None","01tB0000000UI8VIAW","Tatva"
"Himalayan Cherry description","Himalayan Cherry 172",,"None","01tB0000000UI8UIAW","Kelloggs Muesli"
