Account_CUSTOM2,Account_CUSTOM3,Account_SALES_REP,Account_CITY,Account_STATE,ACCOUNT_ID,Account_CUSTOMER_SITE,Account_REGION,Account_COUNTRY,TARGET_DATE,TargetDate,Account_CUSTOMER,Account_TARGET,Account_CUSTOM1,Activities,BEHIND_TARGET,AHEAD_TARGET,Hours,Account_LAT,Account_LONG,ON_TARGET,Offset,Target
10-20% Positive Growth,MEDIUM QTY,John Central,Ballwin,TX,A0001,Great Store USA - Ballwin,Central,United States,1/2/17,25/03/2021,Great Store USA,ON,VERY SMALL,72,14900,1700,44,38.5838,-90.5965,8500,-33881190,8500
10-20% Positive Growth,MEDIUM QTY,John Central,Ballwin,TX,A0001,Great Store USA - Ballwin,Central,United States,1/3/17,25/02/2021,Great Store USA,ON,VERY SMALL,70,16900,1900,33,38.5838,-90.5965,9700,-31461990,9700
10-20% Positive Growth,MEDIUM QTY,John Central,Ballwin,TX,A0001,Great Store USA - Ballwin,Central,United States,1/4/17,25/01/2021,Great Store USA,ON,VERY SMALL,117,17200,1900,53,38.5838,-90.5965,9500,-28783590,9500
10-20% Positive Growth,MEDIUM QTY,John Central,Ballwin,TX,A0001,Great Store USA - Ballwin,Central,United States,1/5/17,26/12/2020,Great Store USA,ON,VERY SMALL,91,19000,2100,34,38.5838,-90.5965,10500,-26191590,10500
10-20% Positive Growth,MEDIUM QTY,John Central,Ballwin,TX,A0001,Great Store USA - Ballwin,Central,United States,1/6/17,25/11/2020,Great Store USA,ON,VERY SMALL,66,17600,2000,29,38.5838,-90.5965,8800,-23513190,8800
10-20% Positive Growth,MEDIUM QTY,John Central,Ballwin,TX,A0001,Great Store USA - Ballwin,Central,United States,1/7/17,26/10/2020,Great Store USA,ON,VERY SMALL,114,18500,5700,45,38.5838,-90.5965,11100,-20921190,11100
10-20% Positive Growth,MEDIUM QTY,John Central,Ballwin,TX,A0001,Great Store USA - Ballwin,Central,United States,1/8/17,25/09/2020,Great Store USA,ON,VERY SMALL,47,21400,5000,24,38.5838,-90.5965,10500,-18242790,10500
10-20% Positive Growth,MEDIUM QTY,John Central,Ballwin,TX,A0001,Great Store USA - Ballwin,Central,United States,1/9/17,25/08/2020,Great Store USA,ON,VERY SMALL,50,23200,5500,22,38.5838,-90.5965,12700,-15564390,12700
10-20% Positive Growth,MEDIUM QTY,John Central,Ballwin,TX,A0001,Great Store USA - Ballwin,Central,United States,1/10/17,26/07/2020,Great Store USA,ON,VERY SMALL,52,28000,5200,25,38.5838,-90.5965,15000,-12972390,15000
10-20% Positive Growth,MEDIUM QTY,John Central,Ballwin,TX,A0001,Great Store USA - Ballwin,Central,United States,1/11/17,25/06/2020,Great Store USA,ON,VERY SMALL,36,25500,6100,21,38.5838,-90.5965,16300,-10293990,16300
10-20% Positive Growth,MEDIUM QTY,John Central,Ballwin,TX,A0001,Great Store USA - Ballwin,Central,United States,1/12/17,26/05/2020,Great Store USA,ON,VERY SMALL,41,21600,5100,33,38.5838,-90.5965,14400,-7701990,14400
10-20% Positive Growth,MEDIUM QTY,John Central,Ballwin,TX,A0001,Great Store USA - Ballwin,Central,United States,1/1/18,25/04/2020,Great Store USA,ON,VERY SMALL,17,15300,7700,27,38.5838,-90.5965,11600,-5023590,11600
10-20% Positive Growth,MEDIUM QTY,John Central,Ballwin,TX,A0001,Great Store USA - Ballwin,Central,United States,1/2/18,25/03/2020,Great Store USA,ON,VERY SMALL,2,6900,2700,14,38.5838,-90.5965,5100,-2345190,5100
Negative Growth over 20%,LOW MIX,John Central,Bentonville,AR,A0002,Sure Store - Benton,Central,United States,1/2/17,25/03/2021,Sure Store,ON,SMALL,1,-5600,-1200,15,36.35161,-94.2132,-2700,-33881190,-2700
Negative Growth over 20%,LOW MIX,John Central,Bentonville,AR,A0002,Sure Store - Benton,Central,United States,1/3/17,25/02/2021,Sure Store,ON,SMALL,1,8600,1900,5,36.35161,-94.2132,4500,-31461990,4500
Negative Growth over 20%,LOW MIX,John Central,Bentonville,AR,A0002,Sure Store - Benton,Central,United States,1/4/17,25/01/2021,Sure Store,ON,SMALL,10,15500,4200,18,36.35161,-94.2132,8200,-28783590,8200
Negative Growth over 20%,LOW MIX,John Central,Bentonville,AR,A0002,Sure Store - Benton,Central,United States,1/5/17,26/12/2020,Sure Store,ON,SMALL,4,12700,2400,8,36.35161,-94.2132,6000,-26191590,6000
Negative Growth over 20%,LOW MIX,John Central,Bentonville,AR,A0002,Sure Store - Benton,Central,United States,1/6/17,25/11/2020,Sure Store,ON,SMALL,35,22300,4200,24,36.35161,-94.2132,10400,-23513190,10400
Negative Growth over 20%,LOW MIX,John Central,Bentonville,AR,A0002,Sure Store - Benton,Central,United States,1/7/17,26/10/2020,Sure Store,ON,SMALL,23,33000,4300,15,36.35161,-94.2132,13700,-20921190,13700
Negative Growth over 20%,LOW MIX,John Central,Bentonville,AR,A0002,Sure Store - Benton,Central,United States,1/8/17,25/09/2020,Sure Store,ON,SMALL,6,17700,2300,14,36.35161,-94.2132,7000,-18242790,7000
Negative Growth over 20%,LOW MIX,John Central,Bentonville,AR,A0002,Sure Store - Benton,Central,United States,1/9/17,25/08/2020,Sure Store,ON,SMALL,3,16500,2200,9,36.35161,-94.2132,6500,-15564390,6500
Negative Growth over 20%,LOW MIX,John Central,Bentonville,AR,A0002,Sure Store - Benton,Central,United States,1/10/17,26/07/2020,Sure Store,ON,SMALL,0,-5400,-700,2,36.35161,-94.2132,-2100,-12972390,-2100
Negative Growth over 20%,LOW MIX,John Central,Bentonville,AR,A0002,Sure Store - Benton,Central,United States,1/11/17,25/06/2020,Sure Store,ON,SMALL,10,25500,3300,11,36.35161,-94.2132,10000,-10293990,10000
Negative Growth over 20%,LOW MIX,John Central,Bentonville,AR,A0002,Sure Store - Benton,Central,United States,1/12/17,26/05/2020,Sure Store,ON,SMALL,0,4200,900,10,36.35161,-94.2132,1900,-7701990,1900
Negative Growth over 20%,LOW MIX,John Central,Bentonville,AR,A0002,Sure Store - Benton,Central,United States,1/1/18,25/04/2020,Sure Store,ON,SMALL,0,6400,1300,5,36.35161,-94.2132,2900,-5023590,2900
Negative Growth over 20%,LOW MIX,John Central,Bentonville,AR,A0002,Sure Store - Benton,Central,United States,1/2/18,25/03/2020,Sure Store,ON,SMALL,37,28100,8800,15,36.35161,-94.2132,14700,-2345190,14700
20% Positive Growth,ALL RANGES,Sal Lobaugh,Pittsburgh,PA,A0003,Great Store USA - Pittsburgh,East,United States,1/2/17,25/03/2021,Great Store USA,BEHIND,MEDIUM,123,61500,23700,116,40.45805,-80.0081,44700,-33881190,61500
20% Positive Growth,ALL RANGES,Sal Lobaugh,Pittsburgh,PA,A0003,Great Store USA - Pittsburgh,East,United States,1/3/17,25/02/2021,Great Store USA,BEHIND,MEDIUM,149,60500,25900,118,40.45805,-80.0081,46200,-31461990,60500
20% Positive Growth,ALL RANGES,Sal Lobaugh,Pittsburgh,PA,A0003,Great Store USA - Pittsburgh,East,United States,1/4/17,25/01/2021,Great Store USA,BEHIND,MEDIUM,181,69200,29600,109,40.45805,-80.0081,51100,-28783590,69200
20% Positive Growth,ALL RANGES,Sal Lobaugh,Pittsburgh,PA,A0003,Great Store USA - Pittsburgh,East,United States,1/5/17,26/12/2020,Great Store USA,BEHIND,MEDIUM,238,73300,32100,122,40.45805,-80.0081,52900,-26191590,73300
