"Catering_Event_Type","Id","Cleanliness","Experience","Quality_of_Food","Service_Speed","Overall_Rating"
"Birthday Party","51-2901798",5,4,1,4,4
"Birthday Party","20-2573034",2,3,5,2,2
"Birthday Party","92-9359772",3,1,5,4,4
"Birthday Party","86-2823211",5,1,1,4,4
"Birthday Party","43-8309690",2,2,1,5,5
"Birthday Party","61-8091289",3,5,5,5,1
"Birthday Party","29-5568142",3,2,1,5,5
"Birthday Party","58-6845611",3,5,2,3,2
"Birthday Party","64-1093901",5,2,4,5,4
"Birthday Party","17-8656358",2,1,3,3,1
"Birthday Party","79-7129815",3,2,1,4,4
"Birthday Party","36-8638808",3,1,5,5,1
"Birthday Party","20-3935643",1,3,5,4,2
"Birthday Party","04-3542539",1,1,5,1,4
"Birthday Party","71-4390961",5,3,3,3,3
"Birthday Party","84-7775759",5,5,4,1,5
"Birthday Party","74-9081009",5,5,3,2,2
"Birthday Party","68-5424656",5,2,3,4,3
"Birthday Party","76-7496633",4,3,5,3,5
"Birthday Party","63-9507414",1,1,2,1,5
"Birthday Party","99-6944269",4,2,2,3,1
"Birthday Party","20-6844940",2,3,5,1,5
"Birthday Party","37-5547676",4,1,2,4,3
"Birthday Party","52-4494924",5,2,4,4,5
"Birthday Party","27-0963789",2,5,1,3,2
"Birthday Party","36-7064982",4,2,1,5,1
"Birthday Party","95-1886051",1,3,1,5,1
"Birthday Party","00-6223515",4,2,5,3,5
"Birthday Party","89-3378505",1,3,4,1,2
"Birthday Party","47-3608012",3,4,2,2,2
"Birthday Party","46-2149368",2,5,5,2,2
"Birthday Party","58-1477035",5,4,2,4,1
"Birthday Party","02-0645585",2,2,2,5,5
"Birthday Party","13-4587880",1,2,1,5,3
"Birthday Party","79-2780613",4,1,5,1,3
"Birthday Party","36-5304942",1,1,1,3,3
"Birthday Party","28-2401477",5,2,1,5,5
"Birthday Party","00-6995126",4,1,4,4,5
"Birthday Party","13-8596857",2,4,2,4,1
"Birthday Party","39-8827029",1,5,5,2,4
"Birthday Party","05-9951965",2,1,3,2,3
"Birthday Party","29-2937777",2,1,2,3,5
"Birthday Party","48-4011969",4,5,2,2,5
"Birthday Party","47-4863141",1,3,1,5,3
"Birthday Party","41-2550159",2,1,4,3,1
"Birthday Party","09-6629559",3,4,1,1,1
"Birthday Party","23-0675554",1,3,1,2,3
"Birthday Party","58-2720294",1,1,2,4,3
"Birthday Party","26-3972678",1,4,1,4,5
"Birthday Party","67-7279927",5,4,2,3,1
"Birthday Party","99-6677521",2,2,1,3,2
"Birthday Party","56-8000336",2,4,1,4,1
"Birthday Party","19-5069188",3,1,4,3,2
"Birthday Party","65-0006824",1,3,5,2,5
"Birthday Party","96-3949119",3,1,5,2,2
"Birthday Party","83-8212196",1,2,4,1,3
"Birthday Party","75-3507991",3,3,3,4,1
"Birthday Party","37-5974344",2,4,2,2,2
"Birthday Party","34-6946906",5,5,2,1,3
"Birthday Party","74-2262853",5,2,2,5,3
"Birthday Party","27-0773486",4,3,4,1,4
"Birthday Party","84-1525413",3,3,1,3,5
"Birthday Party","05-7795099",5,4,2,1,5
"Birthday Party","20-2459474",2,3,5,1,1
"Birthday Party","88-4183455",5,5,3,1,2
"Birthday Party","61-0568201",2,1,5,3,2
"Birthday Party","11-9762226",4,4,4,3,3
"Birthday Party","48-1462098",2,1,2,1,2
"Birthday Party","74-0983216",5,5,2,5,3
"Birthday Party","09-3796073",2,2,2,5,1
"Birthday Party","44-0140780",2,3,3,1,1
"Birthday Party","43-4560782",5,4,3,1,3
"Birthday Party","84-1581830",5,1,5,3,5
"Birthday Party","47-9053129",3,1,5,4,4
"Birthday Party","76-2101367",3,4,2,1,4
"Birthday Party","09-4724213",4,2,3,4,2
"Birthday Party","95-1750163",2,5,4,3,2
"Birthday Party","94-8246266",2,4,2,1,2
"Birthday Party","20-6554431",5,1,1,3,1
"Birthday Party","60-9234903",5,1,3,3,5
"Birthday Party","08-1221652",4,5,3,5,5
"Birthday Party","28-6884222",2,5,1,5,4
"Birthday Party","62-0889331",4,4,3,3,5
"Birthday Party","23-8233855",3,2,2,2,3
"Birthday Party","07-6054138",4,1,3,1,1
"Birthday Party","50-6015666",3,4,4,3,1
"Birthday Party","34-0784872",2,5,5,2,3
"Birthday Party","59-9492937",2,5,1,2,2
"Birthday Party","05-9862261",3,1,2,1,1
"Birthday Party","28-5590069",5,1,4,1,2
