"City","STREET","Restaurant","INSPECTION_DATE","GRADE","June","Oct","Yearly_Sales","Apr","Feb","Dec","May","ZIPCODE","Aug","Food_Cost_Per_Month","Nov","Jan","CAMIS","July","Mar","Sep"
"BRONX","WESTCHESTER SQ","SUBWAY","2018/01/10","A",970615.05,650210.07,7405975.31,309037.12,484056.04,265521.91,642682.82,10461,839386.94,22900.91,473304.7,234978.63,50053376,864545.35,962189.31,709447.37
"BROOKLYN","BUSHWICK AVE","SUBWAY","2018/01/10","A",492183.58,805063.57,6717969.03,675055.99,394209.53,917176.22,975444.19,11206,412662.93,28173,265859.35,335045.47,50072652,318565.01,860912.58,265790.61
"MANHATTAN","1 AVENUE","SUBWAY","2018/01/10",,876357.89,755037.65,7887047.83,764172.3,899735.07,694885.84,320677.38,10028,643337.76,25993.92,209501.81,893720.01,41272820,712700.32,809039.48,307882.32
"BROOKLYN","BUSHWICK AVE","SUBWAY","2018/01/10","A",793046.87,906720.16,8240597.03,907912.95,840422.13,489774.1,488024.05,11206,484507.57,28220.38,877901.57,770143.79,50072652,929986.38,228520.34,523637.12
"MANHATTAN","1 AVENUE","SUBWAY","2018/01/10",,320656.05,699921.55,6934622.91,748937.98,752278.64,257393.78,367136.63,10028,479717.96,26631.05,337893.46,458911.35,41272820,919370.32,636438.46,955966.73
"MANHATTAN","1 AVENUE","SUBWAY","2018/01/10",,329867.86,844992.08,8184981.23,852399.89,536859.53,732626.52,683759.26,10028,584915.86,17701.97,466277.86,918448.45,41272820,854342.87,435128.43,945362.62
"MANHATTAN","1 AVENUE","SUBWAY","2018/01/10",,208557.13,871524.04,8205692.02,687158.44,882366.48,596307.52,895451.36,10028,650832.72,23902.38,731045.51,428418.13,41272820,572148.6,771978.67,909903.42
"BRONX","WESTCHESTER SQ","SUBWAY","2018/01/10","A",586363,933623.9,8628831.32,846609.6,799906.3,356367.48,395001.91,10461,781765.69,22882.25,923298.99,881699.44,50053376,368250.15,984981.42,770963.44
"QUEENS","QUEENS BLVD","SUBWAY STORE #30214","2019/01/10",,688115.74,958240.84,7781263.6,332996.91,924852.93,358216.25,345953.96,11374,744303.81,27533.13,890427.98,737598.26,50075917,752401.05,470961.15,577194.72
"MANHATTAN","7 AVENUE","SUBWAY","2019/01/10",,704996.67,824007.21,9396936.65,483337.2,793223.32,835899.79,882542.97,10011,448657.75,26200.29,666621.24,934223.51,41337205,890716.28,971644.34,961066.37
"MANHATTAN","7 AVENUE","SUBWAY","2019/01/10",,774111.3,947629.5,6865310.15,288086.09,306682.63,526520.61,993037.09,10011,875559.29,19720.88,480851.03,372108.52,41337205,340174.38,240982.95,719566.76
"QUEENS","LIBERTY AVE","SUBWAY","2019/01/10","A",648644.42,697438.96,8300246.61,739800.36,929450.55,505513.6,950030.15,11419,278459.16,28066.12,687355.15,983995.13,50002588,920843.28,631680.58,327035.27
"MANHATTAN","7 AVENUE","SUBWAY","2019/01/10",,374554.02,823410.4,6794827.65,567049.38,246122.7,652472.09,910713.02,10011,307145.14,27820.34,363064.75,807009.44,41337205,317086.39,966306.03,459894.29
"QUEENS","QUEENS BLVD","SUBWAY STORE #30214","2019/01/10",,961150.9,575936.73,7368554.11,765287.65,711956.02,347042.41,433013.15,11374,322661.51,15640.09,506915.46,617659.97,50075917,916297.18,393477.54,817155.59
"QUEENS","QUEENS BLVD","SUBWAY STORE #30214","2019/01/10",,684834.16,818669.37,6816930.78,409552.12,870646.58,507936.26,339388.13,11374,920229.32,25109.3,416796.37,829473.23,50075917,343829.65,425187.14,250388.45
"MANHATTAN","W 34TH ST","SUBWAY","2019/01/10",,796885.75,360007.37,6456199.38,685993.95,869326.08,709653.09,269932.68,10001,463666.54,18520.25,256139.76,716029.73,50002933,276652.66,568313.21,483598.56
"MANHATTAN","7 AVENUE","SUBWAY","2019/01/10",,926698.03,475701.74,7780241.44,231714.16,587960.06,706461.14,348723.52,10011,902242.39,22833.53,808458.22,530948.48,41337205,546466.16,757389.21,957478.33
"QUEENS","GRAND AVENUE","SUBWAY","2019/01/10","A",618052.74,396806.48,8360262.1,868408.29,897113.26,694132.72,745691.82,11378,846683.09,27391.62,657592.87,554476.46,40930976,688681.84,988824.71,403797.82
"QUEENS","GRAND AVENUE","SUBWAY","2019/01/10","A",919420.44,785808.86,7136425.52,850943.17,232624.89,225427.43,956257.17,11378,548854.91,24876.11,235107.61,793079.57,40930976,799264.44,512127.46,277509.57
"QUEENS","QUEENS BLVD","SUBWAY STORE #30214","2019/01/10",,889797.21,672659.92,8170818.41,836438.93,576708.67,879432.92,472028.47,11374,920061.05,27773.13,434565,409222.68,50075917,590924.62,994649.49,494329.45
"QUEENS","QUEENS BLVD","SUBWAY STORE #30214","2019/01/10",,512330.12,911863.83,8061400.51,934273.69,944840.07,683915.92,393805.75,11374,903044.56,16543.35,866722.79,362358.88,50075917,791199.17,512897.1,244148.63
"QUEENS","QUEENS BLVD","SUBWAY STORE #30214","2019/01/10",,626675.79,603367.96,8072929.5,677425.51,470621.29,899215.59,827582.89,11374,490367.67,22169.72,671228.89,559057.36,50075917,688630.16,620230.45,938525.94
"QUEENS","GRAND AVENUE","SUBWAY","2019/01/10","A",206112.11,570448.6,6347625.17,895508.92,623972.14,777764.56,305830.7,11378,406930.65,16333.87,744769.36,277462.55,40930976,203251.47,683752.63,651821.48
"QUEENS","LIBERTY AVE","SUBWAY","2019/01/10","A",561403.52,255483.86,6951199.4,701727.4,546483.13,884700.9,295807.5,11419,948853.71,18378.74,963383.37,355016.73,50002588,702277.94,405247.29,330814.05
"MANHATTAN","7 AVENUE","SUBWAY","2019/01/10",,558959.6,586048.8,8357012.73,892330.51,783052.49,729192.92,977899.52,10011,637805.3,17492.18,491743.5,832881.6,41337205,277094.1,677859.36,912145.03
"MANHATTAN","W 34TH ST","SUBWAY","2019/01/10",,838638,516652.66,8469958.23,786825.8,668980.18,622276.52,424511.45,10001,881482.58,28536.52,520163.74,618809.46,50002933,659833.98,994488.36,937295.5
"MANHATTAN","7 AVENUE","SUBWAY","2019/01/10",,714314.61,259426.74,6909624.7,969193.17,408492.87,753464.15,670380.68,10011,574931.91,15538.22,489599.72,202755.67,41337205,289654.35,858352.29,719058.54
"MANHATTAN","W 34TH ST","SUBWAY","2019/01/10",,746482.16,825070.06,7681339.62,960491.57,336572.85,531634.84,314068.5,10001,667331.69,16008.46,934606.91,726981.85,50002933,579015.16,818255.02,240829.01
"MANHATTAN","7 AVENUE","SUBWAY","2019/01/10",,734682.18,266560.25,5476853.85,395633.47,746262.94,284089.93,333540.56,10011,296594.52,29561.81,353269.54,320147.45,41337205,795486.87,649688.44,300897.7
"MANHATTAN","W 34TH ST","SUBWAY","2019/01/10",,356222.56,587037.6,6862004.47,689464.57,980157.59,527188.56,682484.66,10001,443918.56,16588.16,590027.02,534613.54,50002933,265437.75,741776.97,463675.09
"QUEENS","CORONA AVENUE","SUBWAY","2016/01/11",,340283.22,552099.52,6299008.23,231016.11,371715.53,888930.02,239286.98,11368,276598.28,18910.94,712870.66,489923.64,41007188,863071.01,457061.59,876151.67
"QUEENS","CORONA AVENUE","SUBWAY","2016/01/11",,699828.17,716055.79,8412338.32,802677.02,262358.48,803508.63,851339.04,11368,829513.04,22616.67,679774.95,971934.19,41007188,731610.96,809756.58,253981.47
"QUEENS","QUEENS BLVD","SUBWAY","2016/01/11","B",960762.34,704128.16,8382865.84,814851.01,457052.54,776816.56,674983.11,11435,577651.49,15165.6,704290.38,535607.7,50042455,651392.97,953258.65,572070.93
"MANHATTAN","WEST   42 STREET","SUBWAY","2016/01/11","A",653399.62,563540.65,6759039.68,224639.15,953005.88,644834.29,594172.02,10036,375305.72,28075.57,697344.98,389106.09,41592830,530297.09,538833.9,594560.29
"QUEENS","QUEENS BLVD","SUBWAY","2016/01/11","B",331529.84,588454.23,5350283.46,501605.48,262219.73,362043.72,240198.41,11435,608257.68,24131.24,360758.24,791532.02,50042455,859079.7,223748.5,220855.91
"MANHATTAN","WEST   42 STREET","SUBWAY","2016/01/11","A",447430.27,879081.07,6899262.25,276665.75,275823.72,991586.33,837598.73,10036,756827.31,22879.31,349778.25,363108.48,41592830,273580.28,922332.08,525449.98
"QUEENS","CORONA AVENUE","SUBWAY","2016/01/11",,646898.7,367962.23,7130143.06,975901.1,526084.53,571041.21,697388.6,11368,532964.52,29807.89,644223.62,365386.27,41007188,841700.01,717085.81,243506.46
"MANHATTAN","AMSTERDAM AVE","SUBWAY","2017/01/11","A",811233.66,581110.98,7085508.23,818262.25,433092.87,798905.33,541823.47,10031,904612.28,25106.44,792212.28,349698.5,50002203,287734.8,537479.46,229342.35
