"TARGET_DATE","ACCOUNT_ID","Activities","BEHIND_TARGET","AHEAD_TARGET","Hours","ON_TARGET","Offset"
"1/2/17","A0001",72,14900,1700,44,8500,-33881190
"1/3/17","A0001",70,16900,1900,33,9700,-31461990
"1/4/17","A0001",117,17200,1900,53,9500,-28783590
"1/5/17","A0001",91,19000,2100,34,10500,-26191590
"1/6/17","A0001",66,17600,2000,29,8800,-23513190
"1/7/17","A0001",114,18500,5700,45,11100,-20921190
"1/8/17","A0001",47,21400,5000,24,10500,-18242790
"1/9/17","A0001",50,23200,5500,22,12700,-15564390
"1/10/17","A0001",52,28000,5200,25,15000,-12972390
"1/11/17","A0001",36,25500,6100,21,16300,-10293990
"1/12/17","A0001",41,21600,5100,33,14400,-7701990
"1/1/18","A0001",17,15300,7700,27,11600,-5023590
"1/2/18","A0001",2,6900,2700,14,5100,-2345190
"1/2/17","A0002",1,-5600,-1200,15,-2700,-33881190
"1/3/17","A0002",1,8600,1900,5,4500,-31461990
"1/4/17","A0002",10,15500,4200,18,8200,-28783590
"1/5/17","A0002",4,12700,2400,8,6000,-26191590
"1/6/17","A0002",35,22300,4200,24,10400,-23513190
"1/7/17","A0002",23,33000,4300,15,13700,-20921190
"1/8/17","A0002",6,17700,2300,14,7000,-18242790
"1/9/17","A0002",3,16500,2200,9,6500,-15564390
"1/10/17","A0002",0,-5400,-700,2,-2100,-12972390
"1/11/17","A0002",10,25500,3300,11,10000,-10293990
"1/12/17","A0002",0,4200,900,10,1900,-7701990
"1/1/18","A0002",0,6400,1300,5,2900,-5023590
"1/2/18","A0002",37,28100,8800,15,14700,-2345190
"1/2/17","A0003",123,61500,23700,116,44700,-33881190
"1/3/17","A0003",149,60500,25900,118,46200,-31461990
"1/4/17","A0003",181,69200,29600,109,51100,-28783590
"1/5/17","A0003",238,73300,32100,122,52900,-26191590
"1/6/17","A0003",278,76200,33400,132,57200,-23513190
"1/7/17","A0003",232,71500,37700,125,57300,-20921190
"1/8/17","A0003",159,62900,35300,98,53000,-18242790
"1/9/17","A0003",149,122600,38000,79,66900,-15564390
"1/10/17","A0003",68,109800,34100,45,63400,-12972390
"1/11/17","A0003",137,107700,49600,94,66900,-10293990
"1/12/17","A0003",143,96800,45400,122,64800,-7701990
"1/1/18","A0003",113,97900,45900,94,65800,-5023590
"1/2/18","A0003",133,101100,55400,104,72500,-2345190
"1/2/17","A0004",135,123500,55100,105,78800,-33881190
"1/3/17","A0004",66,95200,46500,87,67800,-31461990
"1/4/17","A0004",31,66900,32700,81,47700,-28783590
"1/5/17","A0004",55,86000,43800,82,63000,-26191590
"1/6/17","A0004",78,117600,54300,75,84200,-23513190
"1/7/17","A0004",98,124300,57200,85,89000,-20921190
"1/8/17","A0004",51,85100,39200,94,60000,-18242790
"1/9/17","A0004",60,73800,27400,148,49800,-15564390
"1/10/17","A0004",5,35100,13000,58,23000,-12972390
"1/11/17","A0004",2,20900,7800,74,13900,-10293990
"1/12/17","A0004",0,5200,1900,83,3100,-7701990
"1/1/18","A0004",0,3100,1500,74,2100,-5023590
"1/2/18","A0004",42,71500,34800,64,51100,-2345190
"1/2/17","A0005",23,53700,25500,42,37600,-33881190
"1/3/17","A0005",75,69200,38300,82,50100,-31461990
"1/4/17","A0005",62,71100,19100,64,47100,-28783590
"1/5/17","A0005",41,69300,18600,44,41400,-26191590
"1/6/17","A0005",82,87100,23400,56,52200,-23513190
"1/7/17","A0005",36,66600,17900,42,41200,-20921190
"1/8/17","A0005",69,71900,19300,70,43300,-18242790
"1/9/17","A0005",61,68500,22100,47,47500,-15564390
"1/10/17","A0005",21,67100,21700,17,47900,-12972390
"1/11/17","A0005",31,59400,33500,32,44600,-10293990
"1/12/17","A0005",2,-19300,-9400,34,-13500,-7701990
"1/1/18","A0005",2,-16900,-8200,35,-11900,-5023590
"1/2/18","A0005",0,3800,1800,38,2800,-2345190
"1/2/17","A0006",174,83200,26100,263,62300,-33881190
"1/3/17","A0006",217,97600,62900,238,80000,-31461990
"1/4/17","A0006",158,66200,30400,282,56100,-28783590
"1/5/17","A0006",158,71600,34100,225,60100,-26191590
"1/6/17","A0006",137,66800,31800,223,53900,-23513190
"1/7/17","A0006",123,68000,32300,194,55700,-20921190
"1/8/17","A0006",183,65500,31400,306,54000,-18242790
"1/9/17","A0006",223,85300,40900,220,68100,-15564390
"1/10/17","A0006",149,79400,38100,170,61900,-12972390
"1/11/17","A0006",333,96400,63200,257,77600,-10293990
"1/12/17","A0006",297,81500,53400,321,66000,-7701990
"1/1/18","A0006",264,83700,54900,270,67000,-5023590
"1/2/18","A0006",553,112900,73500,316,91800,-2345190
"1/2/17","A0007",77,90800,36600,80,50700,-33881190
"1/3/17","A0007",249,115800,50200,159,71100,-31461990
"1/4/17","A0007",89,99300,19700,77,54800,-28783590
"1/5/17","A0007",195,111500,22200,134,58100,-26191590
"1/6/17","A0007",99,87300,17400,111,50400,-23513190
"1/7/17","A0007",61,69700,13900,107,42400,-20921190
"1/8/17","A0007",81,58400,14100,138,37300,-18242790
"1/9/17","A0007",146,91300,21900,103,63600,-15564390
"1/10/17","A0007",6,87000,20800,5,53900,-12972390
"1/11/17","A0007",13,66100,23800,18,47300,-10293990
"1/12/17","A0007",5,-47900,-19500,12,-35500,-7701990
"1/1/18","A0007",470,-680000,-277100,6,-467500,-5023590
"1/2/18","A0007",367,-735300,-299700,4,-512200,-2345190
"1/2/17","A0008",227,57600,35800,179,43100,-33881190
"1/3/17","A0008",319,69200,40900,198,52700,-31461990
"1/4/17","A0008",245,59800,38200,203,47100,-28783590
"1/5/17","A0008",203,59500,26600,170,44300,-26191590
"1/6/17","A0008",223,76100,25200,209,47400,-23513190
"1/7/17","A0008",221,77900,25800,197,47100,-20921190
"1/8/17","A0008",185,70800,23500,200,41300,-18242790
"1/9/17","A0008",232,78400,26000,205,47500,-15564390
"1/10/17","A0008",271,83700,27700,210,49000,-12972390
"1/11/17","A0008",112,65900,21800,140,38700,-10293990
"1/12/17","A0008",181,71400,30100,192,44700,-7701990
"1/1/18","A0008",124,39700,25200,187,34500,-5023590
"1/2/18","A0008",584,66900,55500,311,60800,-2345190
"1/2/17","A0009",145,143600,55000,97,86700,-33881190
"1/3/17","A0009",316,158200,60500,174,94700,-31461990
"1/4/17","A0009",263,148100,63100,165,92600,-28783590
"1/5/17","A0009",242,141100,67400,167,91200,-26191590
"1/6/17","A0009",247,127700,61000,208,80600,-23513190
"1/7/17","A0009",178,127000,60700,152,83200,-20921190
"1/8/17","A0009",96,83900,57100,92,69600,-18242790
"1/9/17","A0009",246,126100,67900,167,87800,-15564390
"1/10/17","A0009",187,121800,68300,136,88800,-12972390
"1/11/17","A0009",88,98700,55300,98,74800,-10293990
"1/12/17","A0009",183,124000,62700,158,92200,-7701990
"1/1/18","A0009",92,114700,58000,93,87600,-5023590
"1/2/18","A0009",96,98700,39400,131,71000,-2345190
"1/2/17","A0010",121,102500,45300,82,70700,-33881190
"1/3/17","A0010",120,109100,42600,92,73900,-31461990
"1/4/17","A0010",164,105800,41300,133,71900,-28783590
"1/5/17","A0010",113,100900,39300,101,69500,-26191590
"1/6/17","A0010",136,92800,36200,144,67200,-23513190
"1/7/17","A0010",168,104500,40700,140,77400,-20921190
"1/8/17","A0010",98,84500,32900,125,59000,-18242790
"1/9/17","A0010",117,95700,55900,116,70500,-15564390
"1/10/17","A0010",119,69400,51000,142,60700,-12972390
"1/11/17","A0010",83,69900,51400,97,60100,-10293990
"1/12/17","A0010",151,77400,56900,145,67400,-7701990
"1/1/18","A0010",65,74600,55100,66,65200,-5023590
"1/2/18","A0010",135,77900,57400,127,65600,-2345190
"1/2/17","A0011",168,117100,65700,118,85100,-33881190
"1/3/17","A0011",120,120000,67300,80,88000,-31461990
"1/4/17","A0011",205,117000,65600,144,86300,-28783590
"1/5/17","A0011",153,106000,61300,131,78400,-26191590
"1/6/17","A0011",137,99400,54000,152,74500,-23513190
"1/7/17","A0011",113,100900,54800,122,76000,-20921190
"1/8/17","A0011",110,99900,54200,121,71100,-18242790
"1/9/17","A0011",66,99200,52100,73,68600,-15564390
"1/10/17","A0011",168,106100,55700,163,77100,-12972390
"1/11/17","A0011",70,82100,43100,113,61000,-10293990
"1/12/17","A0011",82,76700,40200,152,59900,-7701990
"1/1/18","A0011",49,71100,41600,85,57800,-5023590
"1/2/18","A0011",106,94300,55200,105,74200,-2345190
"1/2/17","A0012",128,98600,55800,157,75800,-33881190
"1/3/17","A0012",62,118400,57600,71,83100,-31461990
"1/4/17","A0012",240,134600,65500,213,99600,-28783590
"1/5/17","A0012",187,136500,45700,161,94600,-26191590
"1/6/17","A0012",167,143600,48100,130,106000,-23513190
"1/7/17","A0012",178,138100,46300,150,103400,-20921190
"1/8/17","A0012",96,96200,32200,167,74700,-18242790
"1/9/17","A0012",23,55800,16400,116,38800,-15564390
"1/10/17","A0012",138,113300,32800,178,77800,-12972390
"1/11/17","A0012",61,110800,32100,82,72600,-10293990
"1/12/17","A0012",109,117100,33900,132,81000,-7701990
"1/1/18","A0012",116,102400,29700,184,66800,-5023590
"1/2/18","A0012",79,118600,34400,93,75300,-2345190
"1/2/17","A0013",149,83600,42700,159,52100,-33881190
"1/3/17","A0013",100,94000,32800,84,55800,-31461990
"1/4/17","A0013",116,90800,31700,105,59200,-28783590
"1/5/17","A0013",121,96300,33600,97,62100,-26191590
"1/6/17","A0013",61,76200,26600,78,49000,-23513190
"1/7/17","A0013",57,58800,20500,123,37500,-20921190
"1/8/17","A0013",140,82800,28900,152,57700,-18242790
"1/9/17","A0013",43,56300,19600,100,34800,-15564390
"1/10/17","A0013",194,99100,45300,147,64300,-12972390
"1/11/17","A0013",72,80000,39800,71,52100,-10293990
"1/12/17","A0013",218,95500,33600,150,59600,-7701990
"1/1/18","A0013",67,73900,26000,77,45700,-5023590
"1/2/18","A0013",137,91800,32300,102,61600,-2345190
"1/2/17","A0014",125,78500,36900,85,54500,-33881190
"1/3/17","A0014",94,72000,37600,76,54900,-31461990
"1/4/17","A0014",110,61400,38900,122,50400,-28783590
"1/5/17","A0014",97,63300,40100,102,52900,-26191590
"1/6/17","A0014",68,54300,36800,96,47600,-23513190
"1/7/17","A0014",85,59000,36600,103,51100,-20921190
"1/8/17","A0014",90,52600,34200,122,45200,-18242790
"1/9/17","A0014",91,52900,27200,122,43000,-15564390
"1/10/17","A0014",110,57600,30000,121,45600,-12972390
"1/11/17","A0014",41,49400,25900,61,39000,-10293990
"1/12/17","A0014",144,62500,32800,133,46500,-7701990
"1/1/18","A0014",81,61300,33300,72,46500,-5023590
"1/2/18","A0014",166,75100,40700,99,60000,-2345190
"1/2/17","A0015",101,102100,15400,75,68500,-33881190
"1/3/17","A0015",41,67700,10200,69,40900,-31461990
"1/4/17","A0015",175,97900,37000,142,67500,-28783590
"1/5/17","A0015",108,87900,33200,108,57300,-26191590
"1/6/17","A0015",81,83400,31500,90,54900,-23513190
"1/7/17","A0015",79,78300,36300,100,54600,-20921190
"1/8/17","A0015",15,38300,21100,52,29300,-18242790
"1/9/17","A0015",41,41100,24600,105,31400,-15564390
"1/10/17","A0015",44,54300,29800,77,41400,-12972390
"1/11/17","A0015",39,46000,25300,93,34700,-10293990
"1/12/17","A0015",32,51900,28500,61,37400,-7701990
"1/1/18","A0015",37,50700,27900,73,37400,-5023590
"1/2/18","A0015",34,55000,17700,57,36700,-2345190
"1/2/17","A0016",97,67400,19700,95,48200,-33881190
"1/3/17","A0016",254,83700,24500,161,61200,-31461990
"1/4/17","A0016",80,100600,24400,51,68300,-28783590
"1/5/17","A0016",66,81800,19800,64,50900,-26191590
"1/6/17","A0016",238,98600,29500,159,68300,-23513190
"1/7/17","A0016",54,57400,17200,106,39200,-20921190
"1/8/17","A0016",46,70300,21000,61,45900,-18242790
"1/9/17","A0016",88,72100,20100,126,46200,-15564390
"1/10/17","A0016",106,83800,23400,113,50900,-12972390
"1/11/17","A0016",44,70300,19600,67,38000,-10293990
"1/12/17","A0016",91,91700,26200,81,58100,-7701990
"1/1/18","A0016",71,75900,21700,92,45900,-5023590
"1/2/18","A0016",54,61600,17600,107,34900,-2345190
"1/2/17","A0017",67,85300,38000,71,57200,-33881190
"1/3/17","A0017",194,104400,31400,137,66500,-31461990
"1/4/17","A0017",132,96000,28900,110,68400,-28783590
"1/5/17","A0017",76,74200,22300,106,51600,-26191590
