"CUSTOM3","ProductDistribution","CUSTOM1","CUSTOM2","ProductPhoto","PRODUCTID","CategoryPhoto","SUPERGROUP","PRODUCTGROUP","SALESGROUP","MAX_UNITS","PRICE","MIN_UNITS"
,"POPULAR",,,"Products/alpine-blends-secondary-logo.png","P1-002","Products/GoBrew.jpg","Coffee","GoBrew - 16 oz bag - French Roast - Whole Bean 1-12PK","Alpine Blends",35,82,1
,"SPECIAL",,,"Products/alpine-blends-secondary-logo.png","P1-001","Products/GoBrew.jpg","Coffee","GoBrew - 16 oz bag - French Roast - Ground Coffee 1-12PK","Alpine Blends",18,82,1
,"CHAIN ONLY",,,"Products/alpine-nutrition-secondary-logo.png","P1-012","Products/paleo-bars.jpg","Energy Bars","YetiBar - 2 oz bar - Blueberry/Bison - Paleo","Alpine Nutrition",60,159,1
,"POPULAR",,,"Products/alpine-nutrition-secondary-logo.png","P1-013","Products/paleo-bars.jpg","Energy Bars","YetiBar - 2 oz bar - Tart Cherry/Chicken - Paleo","Alpine Nutrition",110,159,1
,"POPULAR",,,"Products/alpine-nutrition-secondary-logo.png","P1-017","Products/paleo-bars.jpg","Energy Bars","BigfootBar - 2 oz bar - Tart Cherry/Pistacio - Paleo","Alpine Nutrition",20,159,1
,"POPULAR",,,"Products/alpine-nutrition-secondary-logo.png","P1-018","Products/paleo-bars.jpg","Energy Bars","BigfootBar - 2 oz bar - Cranberry/Sunflower - Paleo","Alpine Nutrition",100,159,1
,"POPULAR",,,"Products/alpine-energy-secondary-logo.png","P2-012","Products/energygel.jpeg","Energy Bars","GoBAR - 2 oz bar - Tart Cherry - Hi Protein 8-12PK","Alpine Energy",18,139,1
,"POPULAR",,,"Products/alpine-energy-secondary-logo.png","P2-014","Products/energygel.jpeg","Energy Bars","GoBAR - 2 oz bar - Green Tea - Hi Protein 8-12PK","Alpine Energy",30,139,1
,"PRIME",,,"Products/alpine-nutrition-secondary-logo.png","P1-010","Products/paleo-bars.jpg","Energy Bars","YetiBar - 2 oz bar - Tart Cherry/Bison - Paleo","Alpine Nutrition",457,159,1
,"PRIME",,,"Products/alpine-nutrition-secondary-logo.png","P1-011","Products/paleo-bars.jpg","Energy Bars","YetiBar - 2 oz bar - Cranberry/Bison - Paleo","Alpine Nutrition",950,159,1
,"PRIME",,,"Products/alpine-nutrition-secondary-logo.png","P1-016","Products/paleo-bars.jpg","Energy Bars","BigfootBar - 2 oz bar - Tart Cherry/Sunflower - Paleo","Alpine Nutrition",18,159,1
,"PRIME",,,"Products/alpine-nutrition-secondary-logo.png","P1-021","Products/paleo-bars.jpg","Energy Bars","BigfootBar - 2 oz bar - Blueberry/Pistacio - Paleo","Alpine Nutrition",1010,159,1
,"SPECIAL",,,"Products/alpine-nutrition-secondary-logo.png","P1-015","Products/paleo-bars.jpg","Energy Bars","YetiBar - 2 oz bar - Blueberry/Chicken - Paleo","Alpine Nutrition",2,159,1
,"SPECIAL",,,"Products/alpine-nutrition-secondary-logo.png","P1-020","Products/paleo-bars.jpg","Energy Bars","BigfootBar - 2 oz bar - Blueberry/Sunflower - Paleo","Alpine Nutrition",18,159,1
,"SPECIAL",,,"Products/alpine-energy-secondary-logo.png","P2-009","Products/energygel.jpeg","Energy Bars","GoBAR - 2 oz bar - Tart Cherry - Vegan 8-12PK","Alpine Energy",7,139,1
,"SPECIAL",,,"Products/alpine-energy-secondary-logo.png","P2-010","Products/energygel.jpeg","Energy Bars","GoBAR - 2 oz bar - Cranberry - Vegan 8-12PK","Alpine Energy",4,139,1
,"SPECIAL",,,"Products/alpine-energy-secondary-logo.png","P2-011","Products/energygel.jpeg","Energy Bars","GoBAR - 2 oz bar - Green Tea - Vegan 8-12PK","Alpine Energy",13,139,1
,"POPULAR",,,"Products/alpine-energy-secondary-logo.png","P2-015","Products/energy.jpeg","Energy Drinks","Pre - 0.5L PET - Tart Cherry","Alpine Energy",17,10,1
,"POPULAR",,,"Products/alpine-energy-secondary-logo.png","P3-001","Products/energy.jpeg","Energy Drinks","Pre - 0.5L PET - Green Tea","Alpine Energy",50,10,1
,"POPULAR",,,"Products/alpine-energy-secondary-logo.png","P3-013","Products/energy.jpeg","Energy Drinks","During - 0.5L PET - Green Tea 8-4PK","Alpine Energy",40,17,1
,"POPULAR",,,"Products/alpine-energy-secondary-logo.png","P3-014","Products/energy.jpeg","Energy Drinks","During - 0.5L PET - Chai 8-4PK","Alpine Energy",35,17,1
,"POPULAR",,,"Products/alpine-energy-secondary-logo.png","P4-001","Products/energy.jpeg","Energy Drinks","During - 1L PET - Green Tea 4-4PK","Alpine Energy",80,13,1
,"POPULAR",,,"Products/alpine-energy-secondary-logo.png","P4-007","Products/energy.jpeg","Energy Drinks","During - 16oz PET - Green Tea - Powder 6-4PK","Alpine Energy",18,190,1
,"POPULAR",,,"Products/alpine-energy-secondary-logo.png","P4-008","Products/energy.jpeg","Energy Drinks","During - 16oz PET - Chai - Powder 6-4PK","Alpine Energy",18,190,1
