"STM.ServiceResource.User.Name","DayOfWeek","STM.ServiceTerritory.Name","STM.TerritoryType","STM.ServiceResourceId","EndTime","STM.PostalCode","StartTime","STM.ServiceResource.User.Username","OperatingHoursId.Id","OperatingHoursId.TimeZone","STM.ServiceTerritoryId","STM.OperatingHours.TimeZone","StartTime_date","OperatingHoursId","EndTime_date","STM.ServiceTerritory.Country","STM.State","STM.ServiceResource.User.Email","STM.ServiceTerritory.City","Id","AvailableTime"
,"Thursday",,,,"18:00:00.000Z",,"09:00:00.000Z",,"0OH2X000000cU9mWAE","America/Los_Angeles",,,"2000-01-01T09:00:00.000Z","0OH2X000000cU9mWAE","2000-01-01T18:00:00.000Z",,,,,"0Gj2X000000cUMrSAM",540
,"Friday",,,,"18:00:00.000Z",,"09:00:00.000Z",,"0OH2X000000cU9mWAE","America/Los_Angeles",,,"2000-01-01T09:00:00.000Z","0OH2X000000cU9mWAE","2000-01-01T18:00:00.000Z",,,,,"0Gj2X000000cUMsSAM",540
,"Monday",,,,"18:00:00.000Z",,"09:00:00.000Z",,"0OH2X000000cU9mWAE","America/Los_Angeles",,,"2000-01-01T09:00:00.000Z","0OH2X000000cU9mWAE","2000-01-01T18:00:00.000Z",,,,,"0Gj2X000000cUMtSAM",540
,"Tuesday",,,,"18:00:00.000Z",,"09:00:00.000Z",,"0OH2X000000cU9mWAE","America/Los_Angeles",,,"2000-01-01T09:00:00.000Z","0OH2X000000cU9mWAE","2000-01-01T18:00:00.000Z",,,,,"0Gj2X000000cUMuSAM",540
,"Wednesday",,,,"18:00:00.000Z",,"09:00:00.000Z",,"0OH2X000000cU9mWAE","America/Los_Angeles",,,"2000-01-01T09:00:00.000Z","0OH2X000000cU9mWAE","2000-01-01T18:00:00.000Z",,,,,"0Gj2X000000cUMvSAM",540
,"Monday",,,,"17:00:00.000Z",,"08:30:00.000Z",,"0OH2X000000cU9nWAE","America/Los_Angeles",,,"2000-01-01T08:30:00.000Z","0OH2X000000cU9nWAE","2000-01-01T17:00:00.000Z",,,,,"0Gj2X000000cUMwSAM",510
,"Tuesday",,,,"18:00:00.000Z",,"08:00:00.000Z",,"0OH2X000000cU9nWAE","America/Los_Angeles",,,"2000-01-01T08:00:00.000Z","0OH2X000000cU9nWAE","2000-01-01T18:00:00.000Z",,,,,"0Gj2X000000cUMxSAM",600
,"Wednesday",,,,"17:00:00.000Z",,"08:30:00.000Z",,"0OH2X000000cU9nWAE","America/Los_Angeles",,,"2000-01-01T08:30:00.000Z","0OH2X000000cU9nWAE","2000-01-01T17:00:00.000Z",,,,,"0Gj2X000000cUMySAM",510
,"Thursday",,,,"17:00:00.000Z",,"08:00:00.000Z",,"0OH2X000000cU9nWAE","America/Los_Angeles",,,"2000-01-01T08:00:00.000Z","0OH2X000000cU9nWAE","2000-01-01T17:00:00.000Z",,,,,"0Gj2X000000cUMzSAM",540
,"Friday",,,,"17:00:00.000Z",,"08:30:00.000Z",,"0OH2X000000cU9nWAE","America/Los_Angeles",,,"2000-01-01T08:30:00.000Z","0OH2X000000cU9nWAE","2000-01-01T17:00:00.000Z",,,,,"0Gj2X000000cUN0SAM",510
